index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
6307,2013,Jan,670201,-,-,327.9,372.0,BUKIT PANJANG,1.372,103.7753,BANGKIT,WEST
6308,2013,Jan,670202,-,-,304.2,350.6,BUKIT PANJANG,1.3722,103.775,BANGKIT,WEST
6309,2013,Jan,670203,-,-,323.9,362.3,BUKIT PANJANG,1.3728,103.7755,BANGKIT,WEST
6310,2013,Jan,670204,-,-,333.7,399.0,BUKIT PANJANG,1.3732,103.7752,BANGKIT,WEST
6311,2013,Jan,670205,-,242.3,304.7,-,BUKIT PANJANG,1.3736,103.7739,BANGKIT,WEST
6312,2013,Jan,670206,-,244.1,332.0,-,BUKIT PANJANG,1.3738,103.7742,BANGKIT,WEST
6313,2013,Jan,670207,-,-,335.1,-,BUKIT PANJANG,1.3738,103.7749,BANGKIT,WEST
6314,2013,Jan,670208,-,-,304.9,-,BUKIT PANJANG,1.3739,103.7749,BANGKIT,WEST
6315,2013,Jan,670209,-,-,347.7,374.7,BUKIT PANJANG,1.3743,103.7758,BANGKIT,WEST
6316,2013,Jan,670210,-,-,-,368.2,BUKIT PANJANG,1.3743,103.7762,BANGKIT,WEST
6317,2013,Jan,670211,-,-,-,341.4,BUKIT PANJANG,1.3744,103.7762,BANGKIT,WEST
6318,2013,Jan,670212,-,-,401.9,291.3,BUKIT PANJANG,1.3744,103.7758,BANGKIT,WEST
6319,2013,Jan,670213,-,-,331.6,357.7,BUKIT PANJANG,1.3742,103.7755,BANGKIT,WEST
6320,2013,Jan,670214,-,236.4,318.5,-,BUKIT PANJANG,1.3748,103.7748,BANGKIT,WEST
6321,2013,Jan,670215,-,190.3,294.4,349.8,BUKIT PANJANG,1.3745,103.7739,BANGKIT,WEST
6322,2013,Jan,670216,-,277.8,323.8,-,BUKIT PANJANG,1.3748,103.7747,BANGKIT,WEST
6323,2013,Jan,670217,-,-,313.8,-,BUKIT PANJANG,1.3746,103.7739,BANGKIT,WEST
6324,2013,Jan,670218,-,-,337.8,-,BUKIT PANJANG,1.3746,103.7737,BANGKIT,WEST
6325,2013,Jan,670219,-,200.1,358.5,-,BUKIT PANJANG,1.3744,103.7727,BANGKIT,WEST
6326,2013,Jan,670220,-,228.7,368.0,-,BUKIT PANJANG,1.3746,103.773,BANGKIT,WEST
6327,2013,Jan,670221,-,246.7,272.7,-,BUKIT PANJANG,1.3756,103.7734,BANGKIT,WEST
6328,2013,Jan,670222,-,243.1,382.4,349.6,BUKIT PANJANG,1.3753,103.7731,BANGKIT,WEST
6329,2013,Jan,670223,-,252.1,306.5,-,BUKIT PANJANG,1.3756,103.7736,BANGKIT,WEST
6330,2013,Jan,670224,-,234.3,289.0,431.8,BUKIT PANJANG,1.3758,103.773,BANGKIT,WEST
6331,2013,Jan,670225,-,-,333.4,-,BUKIT PANJANG,1.3754,103.7725,BANGKIT,WEST
6332,2013,Jan,670226,-,-,325.6,-,BUKIT PANJANG,1.3754,103.7724,BANGKIT,WEST
6333,2013,Jan,670227,-,251.5,368.5,-,BUKIT PANJANG,1.3751,103.7715,BANGKIT,WEST
6334,2013,Jan,670228,-,-,-,483.1,BUKIT PANJANG,1.3754,103.7712,BANGKIT,WEST
6335,2013,Jan,670229,-,245.1,388.7,-,BUKIT PANJANG,1.3752,103.7716,BANGKIT,WEST
6336,2013,Jan,670230,-,260.9,346.9,-,BUKIT PANJANG,1.3761,103.7721,BANGKIT,WEST
6337,2013,Jan,670231,-,199.4,390.3,465.3,BUKIT PANJANG,1.3758,103.773,BANGKIT,WEST
6338,2013,Jan,670232,-,254.8,349.0,-,BUKIT PANJANG,1.3764,103.7724,BANGKIT,WEST
6339,2013,Jan,670233,-,-,-,449.7,BUKIT PANJANG,1.3765,103.7719,BANGKIT,WEST
6340,2013,Jan,670234,-,-,354.8,345.6,BUKIT PANJANG,1.3786,103.7719,BANGKIT,WEST
6341,2013,Jan,670235,-,-,301.5,342.7,BUKIT PANJANG,1.3788,103.7708,BANGKIT,WEST
6342,2013,Jan,670236,-,-,355.4,-,BUKIT PANJANG,1.3791,103.7712,BANGKIT,WEST
6343,2013,Jan,670237,-,-,320.4,476.5,BUKIT PANJANG,1.3788,103.7706,BANGKIT,WEST
6344,2013,Jan,670238,-,-,323.9,417.9,BUKIT PANJANG,1.3793,103.7706,BANGKIT,WEST
6345,2013,Jan,670239,-,-,-,482.1,BUKIT PANJANG,1.3798,103.7711,BANGKIT,WEST
6346,2013,Jan,670240,-,-,307.7,-,BUKIT PANJANG,1.3792,103.7712,BANGKIT,WEST
6347,2013,Jan,670241,-,-,326.9,384.1,BUKIT PANJANG,1.3795,103.7717,BANGKIT,WEST
6348,2013,Jan,670242,-,-,312.7,341.5,BUKIT PANJANG,1.3803,103.7717,BANGKIT,WEST
6349,2013,Jan,670243,-,-,348.3,427.7,BUKIT PANJANG,1.3805,103.7715,BANGKIT,WEST
6350,2013,Jan,670244,-,-,307.9,369.1,BUKIT PANJANG,1.3807,103.7717,BANGKIT,WEST
6351,2013,Jan,670245,-,-,441.4,587.8,BUKIT PANJANG,1.3805,103.7721,BANGKIT,WEST
6352,2013,Jan,670246,-,-,268.8,369.6,BUKIT PANJANG,1.3808,103.7729,BANGKIT,WEST
6353,2013,Jan,670248,-,-,311.8,375.7,BUKIT PANJANG,1.3809,103.7745,BANGKIT,WEST
6354,2013,Jan,670249,-,256.2,338.8,-,BUKIT PANJANG,1.3811,103.774,BANGKIT,WEST
6355,2013,Jan,670250,-,211.8,360.5,-,BUKIT PANJANG,1.3805,103.7739,BANGKIT,WEST
6356,2013,Jan,670251,-,257.4,341.9,-,BUKIT PANJANG,1.3804,103.7739,BANGKIT,WEST
6357,2013,Jan,670252,-,273.1,341.6,-,BUKIT PANJANG,1.3798,103.774,BANGKIT,WEST
6358,2013,Jan,670253,-,-,311.7,382.0,BUKIT PANJANG,1.38,103.7748,BANGKIT,WEST
6359,2013,Jan,670254,-,-,-,445.3,BUKIT PANJANG,1.3797,103.7738,BANGKIT,WEST
6360,2013,Jan,670255,-,-,335.5,426.5,BUKIT PANJANG,1.3794,103.7729,BANGKIT,WEST
6361,2013,Jan,670257,-,-,334.0,339.8,BUKIT PANJANG,1.3788,103.7734,BANGKIT,WEST
6362,2013,Jan,670270,-,-,345.8,418.2,BUKIT PANJANG,1.3767,103.7741,BANGKIT,WEST
6363,2013,Jan,670271,-,-,372.3,608.4,BUKIT PANJANG,1.3771,103.7741,BANGKIT,WEST
6364,2013,Jan,670272,-,-,405.3,451.3,BUKIT PANJANG,1.3774,103.7743,BANGKIT,WEST
6365,2013,Jan,670273,-,-,373.0,446.6,BUKIT PANJANG,1.3774,103.7755,BANGKIT,WEST
6366,2013,Jan,670274,-,-,339.1,-,BUKIT PANJANG,1.3771,103.7748,BANGKIT,WEST
6367,2013,Jan,670275,-,-,342.0,-,BUKIT PANJANG,1.3769999999999998,103.7748,BANGKIT,WEST
6368,2013,Jan,670276,-,-,324.5,398.0,BUKIT PANJANG,1.3766,103.7757,BANGKIT,WEST
6369,2013,Jan,670277,-,-,329.0,454.2,BUKIT PANJANG,1.3763,103.7749,BANGKIT,WEST
6526,2013,Jan,671259,-,-,375.1,342.4,BUKIT PANJANG,1.3772,103.7733,BANGKIT,WEST
14943,2013,Feb,670201,-,-,354.1,425.9,BUKIT PANJANG,1.372,103.7753,BANGKIT,WEST
14944,2013,Feb,670202,-,-,352.1,401.2,BUKIT PANJANG,1.3722,103.775,BANGKIT,WEST
14945,2013,Feb,670203,-,-,346.6,406.4,BUKIT PANJANG,1.3728,103.7755,BANGKIT,WEST
14946,2013,Feb,670204,-,-,361.9,438.2,BUKIT PANJANG,1.3732,103.7752,BANGKIT,WEST
14947,2013,Feb,670205,-,260.0,343.4,-,BUKIT PANJANG,1.3736,103.7739,BANGKIT,WEST
14948,2013,Feb,670206,-,268.4,387.1,-,BUKIT PANJANG,1.3738,103.7742,BANGKIT,WEST
14949,2013,Feb,670207,-,-,364.7,-,BUKIT PANJANG,1.3738,103.7749,BANGKIT,WEST
14950,2013,Feb,670208,-,-,349.0,-,BUKIT PANJANG,1.3739,103.7749,BANGKIT,WEST
14951,2013,Feb,670209,-,-,350.2,393.3,BUKIT PANJANG,1.3743,103.7758,BANGKIT,WEST
14952,2013,Feb,670210,-,-,-,410.9,BUKIT PANJANG,1.3743,103.7762,BANGKIT,WEST
14953,2013,Feb,670211,-,-,-,399.8,BUKIT PANJANG,1.3744,103.7762,BANGKIT,WEST
14954,2013,Feb,670212,-,-,467.2,305.0,BUKIT PANJANG,1.3744,103.7758,BANGKIT,WEST
14955,2013,Feb,670213,-,-,367.9,414.5,BUKIT PANJANG,1.3742,103.7755,BANGKIT,WEST
14956,2013,Feb,670214,-,261.1,351.8,-,BUKIT PANJANG,1.3748,103.7748,BANGKIT,WEST
14957,2013,Feb,670215,-,214.2,318.1,407.0,BUKIT PANJANG,1.3745,103.7739,BANGKIT,WEST
14958,2013,Feb,670216,-,310.8,373.7,-,BUKIT PANJANG,1.3748,103.7747,BANGKIT,WEST
14959,2013,Feb,670217,-,-,361.9,-,BUKIT PANJANG,1.3746,103.7739,BANGKIT,WEST
14960,2013,Feb,670218,-,-,378.3,-,BUKIT PANJANG,1.3746,103.7737,BANGKIT,WEST
14961,2013,Feb,670219,-,231.8,391.3,-,BUKIT PANJANG,1.3744,103.7727,BANGKIT,WEST
14962,2013,Feb,670220,-,261.6,415.1,-,BUKIT PANJANG,1.3746,103.773,BANGKIT,WEST
14963,2013,Feb,670221,-,258.2,352.0,-,BUKIT PANJANG,1.3756,103.7734,BANGKIT,WEST
14964,2013,Feb,670222,-,267.8,393.0,410.6,BUKIT PANJANG,1.3753,103.7731,BANGKIT,WEST
