index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
1797,2013,Jan,460078,-,-,363.8,-,BEDOK,1.3271,103.9409,BEDOK NORTH,EAST
1798,2013,Jan,460079,-,-,332.7,-,BEDOK,1.3278,103.9407,BEDOK NORTH,EAST
1799,2013,Jan,460080,-,-,341.6,-,BEDOK,1.3283,103.9407,BEDOK NORTH,EAST
1800,2013,Jan,460081,-,-,365.4,-,BEDOK,1.3291,103.9404,BEDOK NORTH,EAST
1801,2013,Jan,460082,-,-,367.5,-,BEDOK,1.3293,103.9404,BEDOK NORTH,EAST
1802,2013,Jan,460084,-,298.5,-,-,BEDOK,1.3318,103.9394,BEDOK NORTH,EAST
1803,2013,Jan,460086,-,288.5,298.5,-,BEDOK,1.3327,103.9391,BEDOK NORTH,EAST
1804,2013,Jan,460088,-,299.1,270.7,-,BEDOK,1.3330000000000002,103.9391,BEDOK NORTH,EAST
1805,2013,Jan,460089,-,297.1,214.4,-,BEDOK,1.3328,103.9382,BEDOK NORTH,EAST
1806,2013,Jan,460090,-,-,455.8,435.9,BEDOK,1.3319,103.9405,BEDOK NORTH,EAST
1807,2013,Jan,460091,-,-,454.1,428.1,BEDOK,1.3324,103.9398,BEDOK NORTH,EAST
1808,2013,Jan,460092,-,236.1,279.5,-,BEDOK,1.3329,103.9408,BEDOK NORTH,EAST
1809,2013,Jan,460093,-,-,360.1,-,BEDOK,1.3330000000000002,103.9408,BEDOK NORTH,EAST
1810,2013,Jan,460095,-,-,367.2,-,BEDOK,1.3337,103.942,BEDOK NORTH,EAST
1811,2013,Jan,460096,-,-,-,355.4,BEDOK,1.3333,103.9406,BEDOK NORTH,EAST
1812,2013,Jan,460097,-,-,-,411.6,BEDOK,1.3328,103.94,BEDOK NORTH,EAST
1813,2013,Jan,460098,-,-,-,450.9,BEDOK,1.3344,103.9398,BEDOK NORTH,EAST
1814,2013,Jan,460099,-,-,-,401.1,BEDOK,1.3336,103.9395,BEDOK NORTH,EAST
1815,2013,Jan,460100,-,233.2,-,-,BEDOK,1.3342,103.9382,BEDOK NORTH,EAST
1816,2013,Jan,460101,194.7,-,-,-,BEDOK,1.3343,103.938,BEDOK NORTH,EAST
1817,2013,Jan,460102,-,262.8,372.4,722.3,BEDOK,1.3341,103.9374,BEDOK NORTH,EAST
1818,2013,Jan,460103,-,263.3,-,-,BEDOK,1.3336,103.9375,BEDOK NORTH,EAST
1819,2013,Jan,460104,-,247.2,306.9,663.7,BEDOK,1.3330000000000002,103.9376,BEDOK NORTH,EAST
1820,2013,Jan,460105,-,276.3,-,-,BEDOK,1.334,103.9369,BEDOK NORTH,EAST
1821,2013,Jan,460106,189.0,-,-,-,BEDOK,1.3343,103.9371,BEDOK NORTH,EAST
1822,2013,Jan,460107,-,279.3,416.7,-,BEDOK,1.3325,103.9363,BEDOK NORTH,EAST
1823,2013,Jan,460108,-,259.6,388.8,-,BEDOK,1.3326,103.9362,BEDOK NORTH,EAST
1824,2013,Jan,460109,-,253.1,364.1,443.0,BEDOK,1.3318,103.935,BEDOK NORTH,EAST
1825,2013,Jan,460110,-,262.5,-,-,BEDOK,1.3327,103.9348,BEDOK NORTH,EAST
1826,2013,Jan,460111,-,-,275.8,447.5,BEDOK,1.3317,103.9354,BEDOK NORTH,EAST
1827,2013,Jan,460112,-,-,287.0,436.7,BEDOK,1.3312,103.9361,BEDOK NORTH,EAST
1828,2013,Jan,460113,162.4,-,-,-,BEDOK,1.3301,103.9351,BEDOK NORTH,EAST
