index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
5305,2013,Jan,640167,-,221.5,-,448.7,JURONG WEST,1.3467,103.7067,BOON LAY PLACE,WEST
5306,2013,Jan,640171,-,246.4,-,596.0,JURONG WEST,1.3467,103.7074,BOON LAY PLACE,WEST
5307,2013,Jan,640174,-,279.0,-,-,JURONG WEST,1.3467,103.7092,BOON LAY PLACE,WEST
5308,2013,Jan,640175,-,271.6,-,-,JURONG WEST,1.3468,103.7094,BOON LAY PLACE,WEST
5309,2013,Jan,640176,-,304.6,-,-,JURONG WEST,1.3472,103.7096,BOON LAY PLACE,WEST
5310,2013,Jan,640177,145.9,-,-,-,JURONG WEST,1.3479,103.7095,BOON LAY PLACE,WEST
5311,2013,Jan,640178,147.0,-,-,-,JURONG WEST,1.3475,103.7087,BOON LAY PLACE,WEST
5312,2013,Jan,640179,126.1,-,-,-,JURONG WEST,1.3469,103.7091,BOON LAY PLACE,WEST
5313,2013,Jan,640185,-,214.0,-,532.3,JURONG WEST,1.3464,103.7113,BOON LAY PLACE,WEST
5314,2013,Jan,640186,-,217.3,-,182.7,JURONG WEST,1.3462,103.7114,BOON LAY PLACE,WEST
5315,2013,Jan,640188,204.9,-,-,-,JURONG WEST,1.3439,103.7112,BOON LAY PLACE,WEST
5316,2013,Jan,640189,-,125.7,-,-,JURONG WEST,1.3443,103.7116,BOON LAY PLACE,WEST
5317,2013,Jan,640190,-,62.9,-,-,JURONG WEST,1.3447,103.7121,BOON LAY PLACE,WEST
5318,2013,Jan,640191,205.1,-,-,-,JURONG WEST,1.3445,103.7123,BOON LAY PLACE,WEST
5319,2013,Jan,640198,-,-,-,371.6,JURONG WEST,1.3445,103.7146,BOON LAY PLACE,WEST
5320,2013,Jan,640199,-,-,-,349.7,JURONG WEST,1.3437,103.7143,BOON LAY PLACE,WEST
5321,2013,Jan,640200,-,-,-,373.8,JURONG WEST,1.3433,103.7147,BOON LAY PLACE,WEST
5322,2013,Jan,640201,-,-,-,345.3,JURONG WEST,1.3434,103.7154,BOON LAY PLACE,WEST
5323,2013,Jan,640202,-,-,-,304.6,JURONG WEST,1.3436,103.7151,BOON LAY PLACE,WEST
5324,2013,Jan,640203,-,-,-,342.7,JURONG WEST,1.3444,103.7156,BOON LAY PLACE,WEST
5325,2013,Jan,640204,-,-,-,377.8,JURONG WEST,1.3446,103.7151,BOON LAY PLACE,WEST
5326,2013,Jan,640205,-,-,-,392.8,JURONG WEST,1.3447,103.7157,BOON LAY PLACE,WEST
5327,2013,Jan,640206,-,-,-,343.3,JURONG WEST,1.3448,103.7151,BOON LAY PLACE,WEST
5328,2013,Jan,640208,-,228.7,-,496.0,JURONG WEST,1.347,103.7147,BOON LAY PLACE,WEST
5329,2013,Jan,640209,-,245.9,-,341.6,JURONG WEST,1.3466,103.7149,BOON LAY PLACE,WEST
5330,2013,Jan,640210,-,227.9,-,394.5,JURONG WEST,1.3484,103.7131,BOON LAY PLACE,WEST
5331,2013,Jan,640211,-,225.1,-,415.0,JURONG WEST,1.3489,103.7138,BOON LAY PLACE,WEST
5332,2013,Jan,640212,-,250.5,-,-,JURONG WEST,1.3494,103.7133,BOON LAY PLACE,WEST
5333,2013,Jan,640213,-,233.3,-,-,JURONG WEST,1.3494,103.7133,BOON LAY PLACE,WEST
5334,2013,Jan,640214,-,220.0,-,-,JURONG WEST,1.3488,103.7118,BOON LAY PLACE,WEST
