index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
5888,2013,Jan,650101,-,-,-,435.3,BUKIT BATOK,1.3465,103.7467,BUKIT BATOK CENTRAL,WEST
5889,2013,Jan,650102,-,-,-,494.6,BUKIT BATOK,1.3472,103.7474,BUKIT BATOK CENTRAL,WEST
5890,2013,Jan,650103,-,274.5,416.2,407.1,BUKIT BATOK,1.348,103.7479,BUKIT BATOK CENTRAL,WEST
5891,2013,Jan,650104,-,-,349.4,-,BUKIT BATOK,1.3485,103.7473,BUKIT BATOK CENTRAL,WEST
5892,2013,Jan,650105,-,-,394.9,-,BUKIT BATOK,1.3485,103.7473,BUKIT BATOK CENTRAL,WEST
5893,2013,Jan,650106,-,-,410.3,-,BUKIT BATOK,1.3484,103.7469,BUKIT BATOK CENTRAL,WEST
5894,2013,Jan,650107,-,-,396.3,-,BUKIT BATOK,1.3477,103.7467,BUKIT BATOK CENTRAL,WEST
5895,2013,Jan,650108,-,-,375.9,-,BUKIT BATOK,1.3476,103.7465,BUKIT BATOK CENTRAL,WEST
5896,2013,Jan,650109,154.8,261.8,-,-,BUKIT BATOK,1.3469,103.7462,BUKIT BATOK CENTRAL,WEST
5897,2013,Jan,650110,-,-,-,413.5,BUKIT BATOK,1.3471,103.7454,BUKIT BATOK CENTRAL,WEST
5898,2013,Jan,650111,-,-,-,381.0,BUKIT BATOK,1.349,103.746,BUKIT BATOK CENTRAL,WEST
5899,2013,Jan,650112,-,-,405.5,-,BUKIT BATOK,1.3483,103.7454,BUKIT BATOK CENTRAL,WEST
5900,2013,Jan,650113,-,-,363.2,-,BUKIT BATOK,1.3487,103.7448,BUKIT BATOK CENTRAL,WEST
5901,2013,Jan,650114,-,-,349.4,-,BUKIT BATOK,1.349,103.746,BUKIT BATOK CENTRAL,WEST
5902,2013,Jan,650115,-,-,-,389.7,BUKIT BATOK,1.3492,103.7464,BUKIT BATOK CENTRAL,WEST
5903,2013,Jan,650116,-,-,387.4,-,BUKIT BATOK,1.3495,103.7459,BUKIT BATOK CENTRAL,WEST
5904,2013,Jan,650117,-,-,-,401.9,BUKIT BATOK,1.3499,103.747,BUKIT BATOK CENTRAL,WEST
5905,2013,Jan,650118,-,-,387.5,-,BUKIT BATOK,1.3499,103.7466,BUKIT BATOK CENTRAL,WEST
5906,2013,Jan,650119,-,-,354.4,-,BUKIT BATOK,1.3503,103.7468,BUKIT BATOK CENTRAL,WEST
5907,2013,Jan,650120,-,-,-,466.9,BUKIT BATOK,1.3507,103.7475,BUKIT BATOK CENTRAL,WEST
5908,2013,Jan,650121,-,-,-,573.4,BUKIT BATOK,1.3514,103.7482,BUKIT BATOK CENTRAL,WEST
5909,2013,Jan,650122,-,-,-,474.1,BUKIT BATOK,1.352,103.7472,BUKIT BATOK CENTRAL,WEST
5910,2013,Jan,650123,-,-,353.2,-,BUKIT BATOK,1.3517,103.7474,BUKIT BATOK CENTRAL,WEST
5911,2013,Jan,650124,-,-,377.0,-,BUKIT BATOK,1.3511,103.7468,BUKIT BATOK CENTRAL,WEST
5912,2013,Jan,650125,-,-,-,470.5,BUKIT BATOK,1.3513,103.7467,BUKIT BATOK CENTRAL,WEST
5913,2013,Jan,650126,-,282.5,531.9,-,BUKIT BATOK,1.3517,103.7467,BUKIT BATOK CENTRAL,WEST
5914,2013,Jan,650127,-,268.1,363.3,-,BUKIT BATOK,1.3517,103.746,BUKIT BATOK CENTRAL,WEST
5916,2013,Jan,650129,-,225.6,340.9,-,BUKIT BATOK,1.3516,103.7461,BUKIT BATOK CENTRAL,WEST
5917,2013,Jan,650130,-,249.6,397.7,-,BUKIT BATOK,1.3509,103.7459,BUKIT BATOK CENTRAL,WEST
5918,2013,Jan,650131,-,255.0,448.4,-,BUKIT BATOK,1.3507,103.7463,BUKIT BATOK CENTRAL,WEST
5919,2013,Jan,650132,-,269.1,276.5,-,BUKIT BATOK,1.3506,103.7458,BUKIT BATOK CENTRAL,WEST
5973,2013,Jan,650201,-,300.7,372.6,370.2,BUKIT BATOK,1.3461,103.7477,BUKIT BATOK CENTRAL,WEST
5974,2013,Jan,650202,-,-,-,377.3,BUKIT BATOK,1.3467,103.7482,BUKIT BATOK CENTRAL,WEST
5975,2013,Jan,650203,-,-,-,389.9,BUKIT BATOK,1.3476,103.7488,BUKIT BATOK CENTRAL,WEST
5976,2013,Jan,650204,-,-,352.8,-,BUKIT BATOK,1.3476,103.7504,BUKIT BATOK CENTRAL,WEST
5977,2013,Jan,650205,-,252.0,323.8,-,BUKIT BATOK,1.347,103.7498,BUKIT BATOK CENTRAL,WEST
5978,2013,Jan,650206,-,226.4,290.3,-,BUKIT BATOK,1.3465,103.7494,BUKIT BATOK CENTRAL,WEST
5979,2013,Jan,650207,-,231.1,278.7,-,BUKIT BATOK,1.3461,103.7494,BUKIT BATOK CENTRAL,WEST
5980,2013,Jan,650208,-,237.9,331.8,-,BUKIT BATOK,1.346,103.7488,BUKIT BATOK CENTRAL,WEST
5981,2013,Jan,650209,-,-,351.5,-,BUKIT BATOK,1.3456,103.7487,BUKIT BATOK CENTRAL,WEST
5982,2013,Jan,650210,-,-,330.2,-,BUKIT BATOK,1.3455,103.7494,BUKIT BATOK CENTRAL,WEST
5983,2013,Jan,650211,-,-,354.0,-,BUKIT BATOK,1.3466,103.7508,BUKIT BATOK CENTRAL,WEST
5984,2013,Jan,650212,-,187.4,-,-,BUKIT BATOK,1.3471,103.7521,BUKIT BATOK CENTRAL,WEST
5985,2013,Jan,650213,-,229.7,-,-,BUKIT BATOK,1.347,103.7525,BUKIT BATOK CENTRAL,WEST
5986,2013,Jan,650214,-,-,-,469.2,BUKIT BATOK,1.3474,103.7528,BUKIT BATOK CENTRAL,WEST
5987,2013,Jan,650215,-,229.5,388.0,-,BUKIT BATOK,1.3469,103.7533,BUKIT BATOK CENTRAL,WEST
