index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
5915,2013,Jan,650128,-,266.6,256.5,-,BUKIT BATOK,1.3517,103.7453,BUKIT BATOK WEST,WEST
5920,2013,Jan,650133,-,375.1,248.4,-,BUKIT BATOK,1.3517,103.7452,BUKIT BATOK WEST,WEST
5921,2013,Jan,650134,-,236.1,383.0,458.7,BUKIT BATOK,1.3515,103.7445,BUKIT BATOK WEST,WEST
5922,2013,Jan,650135,-,242.7,-,-,BUKIT BATOK,1.3514,103.7448,BUKIT BATOK WEST,WEST
5923,2013,Jan,650136,-,232.6,-,-,BUKIT BATOK,1.351,103.7451,BUKIT BATOK WEST,WEST
5924,2013,Jan,650137,-,385.5,402.5,-,BUKIT BATOK,1.3505,103.7452,BUKIT BATOK WEST,WEST
5925,2013,Jan,650138,-,238.5,393.0,-,BUKIT BATOK,1.3506,103.7445,BUKIT BATOK WEST,WEST
5926,2013,Jan,650139,-,255.6,414.0,-,BUKIT BATOK,1.351,103.7444,BUKIT BATOK WEST,WEST
5927,2013,Jan,650140,-,-,-,486.2,BUKIT BATOK,1.3507,103.7436,BUKIT BATOK WEST,WEST
5928,2013,Jan,650141,-,-,-,447.1,BUKIT BATOK,1.3503,103.7433,BUKIT BATOK WEST,WEST
5929,2013,Jan,650142,-,-,-,535.2,BUKIT BATOK,1.35,103.7432,BUKIT BATOK WEST,WEST
5930,2013,Jan,650143,-,314.2,-,-,BUKIT BATOK,1.3504,103.7438,BUKIT BATOK WEST,WEST
5931,2013,Jan,650144,-,318.7,-,-,BUKIT BATOK,1.3501,103.7445,BUKIT BATOK WEST,WEST
5932,2013,Jan,650145,-,265.1,351.5,-,BUKIT BATOK,1.3501,103.7438,BUKIT BATOK WEST,WEST
5933,2013,Jan,650146,-,232.2,-,-,BUKIT BATOK,1.3495,103.7441,BUKIT BATOK WEST,WEST
5934,2013,Jan,650147,-,270.1,296.0,-,BUKIT BATOK,1.3498,103.7444,BUKIT BATOK WEST,WEST
5935,2013,Jan,650148,-,276.3,-,-,BUKIT BATOK,1.3494,103.7438,BUKIT BATOK WEST,WEST
5936,2013,Jan,650150,-,366.8,-,-,BUKIT BATOK,1.3488,103.7436,BUKIT BATOK WEST,WEST
5937,2013,Jan,650152,-,319.0,-,-,BUKIT BATOK,1.3482,103.7443,BUKIT BATOK WEST,WEST
5938,2013,Jan,650154,-,450.5,-,-,BUKIT BATOK,1.3478,103.7441,BUKIT BATOK WEST,WEST
5939,2013,Jan,650157,-,325.2,-,-,BUKIT BATOK,1.3488,103.7431,BUKIT BATOK WEST,WEST
5940,2013,Jan,650160,-,240.4,376.2,-,BUKIT BATOK,1.349,103.7422,BUKIT BATOK WEST,WEST
5941,2013,Jan,650161,-,269.0,398.0,-,BUKIT BATOK,1.3484,103.7419,BUKIT BATOK WEST,WEST
5942,2013,Jan,650162,-,257.3,-,-,BUKIT BATOK,1.3487,103.7417,BUKIT BATOK WEST,WEST
5943,2013,Jan,650163,-,244.3,378.6,-,BUKIT BATOK,1.3483,103.7426,BUKIT BATOK WEST,WEST
5944,2013,Jan,650164,-,280.1,-,-,BUKIT BATOK,1.3479,103.743,BUKIT BATOK WEST,WEST
5945,2013,Jan,650165,-,-,363.2,-,BUKIT BATOK,1.3472,103.7419,BUKIT BATOK WEST,WEST
5946,2013,Jan,650167,-,284.6,-,-,BUKIT BATOK,1.3471,103.7422,BUKIT BATOK WEST,WEST
5947,2013,Jan,650168,-,279.6,-,-,BUKIT BATOK,1.3473,103.7413,BUKIT BATOK WEST,WEST
5948,2013,Jan,650169,-,268.0,340.1,-,BUKIT BATOK,1.3465,103.7409,BUKIT BATOK WEST,WEST
5949,2013,Jan,650170,-,-,326.8,441.0,BUKIT BATOK,1.3466,103.7399,BUKIT BATOK WEST,WEST
5950,2013,Jan,650171,-,-,364.4,457.0,BUKIT BATOK,1.346,103.7405,BUKIT BATOK WEST,WEST
5951,2013,Jan,650172,-,-,404.7,432.4,BUKIT BATOK,1.3459,103.7406,BUKIT BATOK WEST,WEST
5952,2013,Jan,650173,-,222.9,349.0,-,BUKIT BATOK,1.3462,103.7407,BUKIT BATOK WEST,WEST
5953,2013,Jan,650174,-,452.1,208.0,-,BUKIT BATOK,1.3458,103.7411,BUKIT BATOK WEST,WEST
5954,2013,Jan,650175,-,246.5,-,-,BUKIT BATOK,1.3458,103.7424,BUKIT BATOK WEST,WEST
5955,2013,Jan,650176,-,270.4,356.7,-,BUKIT BATOK,1.3459,103.7413,BUKIT BATOK WEST,WEST
5956,2013,Jan,650177,-,260.9,-,-,BUKIT BATOK,1.3462,103.7418,BUKIT BATOK WEST,WEST
5957,2013,Jan,650178,-,252.1,389.1,-,BUKIT BATOK,1.3461,103.7427,BUKIT BATOK WEST,WEST
5958,2013,Jan,650179,-,265.6,382.3,-,BUKIT BATOK,1.3458,103.7424,BUKIT BATOK WEST,WEST
5959,2013,Jan,650180,-,230.9,371.4,-,BUKIT BATOK,1.3457,103.743,BUKIT BATOK WEST,WEST
5960,2013,Jan,650181,-,249.1,286.0,-,BUKIT BATOK,1.3458,103.7434,BUKIT BATOK WEST,WEST
5961,2013,Jan,650182,-,258.7,296.5,603.0,BUKIT BATOK,1.3457,103.7438,BUKIT BATOK WEST,WEST
5962,2013,Jan,650183,-,-,374.1,-,BUKIT BATOK,1.3464,103.7432,BUKIT BATOK WEST,WEST
5963,2013,Jan,650184,-,268.1,393.8,-,BUKIT BATOK,1.3462,103.7437,BUKIT BATOK WEST,WEST
5964,2013,Jan,650185,-,-,348.9,333.7,BUKIT BATOK,1.3469,103.745,BUKIT BATOK WEST,WEST
5965,2013,Jan,650186,-,-,405.6,442.5,BUKIT BATOK,1.347,103.7439,BUKIT BATOK WEST,WEST
5966,2013,Jan,650187,-,-,322.5,374.0,BUKIT BATOK,1.3466,103.7444,BUKIT BATOK WEST,WEST
5967,2013,Jan,650188,-,-,377.9,444.1,BUKIT BATOK,1.3463,103.7456,BUKIT BATOK WEST,WEST
5968,2013,Jan,650189,-,-,381.9,433.5,BUKIT BATOK,1.3459,103.7465,BUKIT BATOK WEST,WEST
5969,2013,Jan,650190,-,-,358.4,387.7,BUKIT BATOK,1.3453,103.7461,BUKIT BATOK WEST,WEST
5970,2013,Jan,650191,-,-,311.0,380.6,BUKIT BATOK,1.3455,103.7453,BUKIT BATOK WEST,WEST
5971,2013,Jan,650192,-,-,361.9,398.6,BUKIT BATOK,1.3455,103.7448,BUKIT BATOK WEST,WEST
5972,2013,Jan,650193,-,-,355.6,343.4,BUKIT BATOK,1.346,103.7444,BUKIT BATOK WEST,WEST
14554,2013,Feb,650128,-,295.9,247.1,-,BUKIT BATOK,1.3517,103.7453,BUKIT BATOK WEST,WEST
14559,2013,Feb,650134,-,216.5,356.3,449.0,BUKIT BATOK,1.3515,103.7445,BUKIT BATOK WEST,WEST
14560,2013,Feb,650135,-,215.4,-,-,BUKIT BATOK,1.3514,103.7448,BUKIT BATOK WEST,WEST
14561,2013,Feb,650136,-,241.8,-,-,BUKIT BATOK,1.351,103.7451,BUKIT BATOK WEST,WEST
14562,2013,Feb,650137,-,358.5,364.0,-,BUKIT BATOK,1.3505,103.7452,BUKIT BATOK WEST,WEST
14563,2013,Feb,650138,-,230.3,399.9,-,BUKIT BATOK,1.3506,103.7445,BUKIT BATOK WEST,WEST
14564,2013,Feb,650139,-,256.4,417.6,-,BUKIT BATOK,1.351,103.7444,BUKIT BATOK WEST,WEST
14565,2013,Feb,650140,-,-,-,448.9,BUKIT BATOK,1.3507,103.7436,BUKIT BATOK WEST,WEST
14566,2013,Feb,650141,-,-,-,432.4,BUKIT BATOK,1.3503,103.7433,BUKIT BATOK WEST,WEST
14567,2013,Feb,650142,-,-,-,525.2,BUKIT BATOK,1.35,103.7432,BUKIT BATOK WEST,WEST
14568,2013,Feb,650143,-,260.0,-,-,BUKIT BATOK,1.3504,103.7438,BUKIT BATOK WEST,WEST
14569,2013,Feb,650144,-,304.8,-,-,BUKIT BATOK,1.3501,103.7445,BUKIT BATOK WEST,WEST
14570,2013,Feb,650145,-,259.8,389.5,-,BUKIT BATOK,1.3501,103.7438,BUKIT BATOK WEST,WEST
14571,2013,Feb,650146,-,224.7,-,-,BUKIT BATOK,1.3495,103.7441,BUKIT BATOK WEST,WEST
14572,2013,Feb,650147,-,280.0,281.3,-,BUKIT BATOK,1.3498,103.7444,BUKIT BATOK WEST,WEST
14573,2013,Feb,650148,-,252.2,-,-,BUKIT BATOK,1.3494,103.7438,BUKIT BATOK WEST,WEST
14574,2013,Feb,650150,-,309.3,-,-,BUKIT BATOK,1.3488,103.7436,BUKIT BATOK WEST,WEST
14575,2013,Feb,650152,-,291.8,-,-,BUKIT BATOK,1.3482,103.7443,BUKIT BATOK WEST,WEST
14576,2013,Feb,650154,-,412.5,-,-,BUKIT BATOK,1.3478,103.7441,BUKIT BATOK WEST,WEST
14577,2013,Feb,650157,-,301.6,-,-,BUKIT BATOK,1.3488,103.7431,BUKIT BATOK WEST,WEST
14578,2013,Feb,650160,-,197.6,342.9,-,BUKIT BATOK,1.349,103.7422,BUKIT BATOK WEST,WEST
14579,2013,Feb,650161,-,210.7,364.8,-,BUKIT BATOK,1.3484,103.7419,BUKIT BATOK WEST,WEST
14580,2013,Feb,650162,-,207.7,-,-,BUKIT BATOK,1.3487,103.7417,BUKIT BATOK WEST,WEST
14581,2013,Feb,650163,-,213.7,334.4,-,BUKIT BATOK,1.3483,103.7426,BUKIT BATOK WEST,WEST
14582,2013,Feb,650164,-,233.5,-,-,BUKIT BATOK,1.3479,103.743,BUKIT BATOK WEST,WEST
