index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
619,2013,Jan,160001,-,-,-,370.5,BUKIT MERAH,1.2923,103.8286,BUKIT HO SWEE,CENTRAL
620,2013,Jan,160003,-,-,315.6,-,BUKIT MERAH,1.2919,103.8273,BUKIT HO SWEE,CENTRAL
621,2013,Jan,160005,-,-,312.9,-,BUKIT MERAH,1.2921,103.8276,BUKIT HO SWEE,CENTRAL
624,2013,Jan,160020,-,253.9,-,-,BUKIT MERAH,1.288,103.8288,BUKIT HO SWEE,CENTRAL
625,2013,Jan,160022,-,242.8,-,-,BUKIT MERAH,1.2889,103.8289,BUKIT HO SWEE,CENTRAL
626,2013,Jan,160024,-,271.5,-,-,BUKIT MERAH,1.2887,103.828,BUKIT HO SWEE,CENTRAL
628,2013,Jan,160028,-,252.3,-,-,BUKIT MERAH,1.2879,103.8287,BUKIT HO SWEE,CENTRAL
629,2013,Jan,160030,193.8,248.3,465.2,-,BUKIT MERAH,1.2877,103.8287,BUKIT HO SWEE,CENTRAL
630,2013,Jan,160032,-,255.7,-,-,BUKIT MERAH,1.2873,103.8284,BUKIT HO SWEE,CENTRAL
631,2013,Jan,160034,-,239.3,-,-,BUKIT MERAH,1.2879,103.827,BUKIT HO SWEE,CENTRAL
633,2013,Jan,160036,152.8,239.0,347.8,-,BUKIT MERAH,1.2884,103.8272,BUKIT HO SWEE,CENTRAL
635,2013,Jan,160038,-,278.8,-,-,BUKIT MERAH,1.2885,103.8272,BUKIT HO SWEE,CENTRAL
636,2013,Jan,160040,-,270.7,-,-,BUKIT MERAH,1.2893,103.8271,BUKIT HO SWEE,CENTRAL
638,2013,Jan,160042,171.3,-,-,-,BUKIT MERAH,1.2894,103.8268,BUKIT HO SWEE,CENTRAL
640,2013,Jan,160044,174.2,-,-,-,BUKIT MERAH,1.2887,103.8269,BUKIT HO SWEE,CENTRAL
642,2013,Jan,160046,-,243.7,379.7,-,BUKIT MERAH,1.2882,103.8261,BUKIT HO SWEE,CENTRAL
643,2013,Jan,160048,152.7,-,-,-,BUKIT MERAH,1.2893,103.8259,BUKIT HO SWEE,CENTRAL
645,2013,Jan,160050,152.9,-,-,-,BUKIT MERAH,1.2899,103.8269,BUKIT HO SWEE,CENTRAL
657,2013,Jan,160077,-,244.4,-,-,BUKIT MERAH,1.2913,103.8268,BUKIT HO SWEE,CENTRAL
662,2013,Jan,160087,-,-,-,440.2,BUKIT MERAH,1.2907,103.8324,BUKIT HO SWEE,CENTRAL
663,2013,Jan,160094,-,-,-,341.1,BUKIT MERAH,1.2884,103.8331,BUKIT HO SWEE,CENTRAL
664,2013,Jan,160095,-,-,-,291.9,BUKIT MERAH,1.2887,103.8328,BUKIT HO SWEE,CENTRAL
