index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
2146,2013,Jan,500004,-,271.9,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
10791,2013,Feb,500004,-,240.0,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
19425,2013,Mar,500004,-,246.4,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
28098,2013,Apr,500004,-,329.1,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
36776,2013,May,500004,-,357.2,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
45363,2013,Jun,500004,-,332.9,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
54034,2013,Jul,500004,-,314.4,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
62701,2013,Aug,500004,-,336.4,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
71373,2013,Sep,500004,-,300.1,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
80048,2013,Oct,500004,-,338.1,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
88721,2013,Nov,500004,-,344.0,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
97421,2013,Dec,500004,-,282.1,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
106130,2014,Jan,500004,-,292.7,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
114858,2014,Feb,500004,-,273.5,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
123593,2014,Mar,500004,-,259.5,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
132365,2014,Apr,500004,-,319.3,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
141181,2014,May,500004,-,296.9,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
150012,2014,Jun,500004,-,383.9,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
158832,2014,Jul,500004,-,324.2,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
167647,2014,Aug,500004,-,362.8,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
176474,2014,Sep,500004,-,332.1,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
185311,2014,Oct,500004,-,314.9,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
194174,2014,Nov,500004,-,302.6,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
203049,2014,Dec,500004,-,263.3,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
211915,2015,Jan,500004,-,281.2,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
220814,2015,Feb,500004,-,248.7,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
229695,2015,Mar,500004,-,276.3,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
238597,2015,Apr,500004,-,404.5,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
247517,2015,May,500004,-,352.4,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
256414,2015,Jun,500004,-,351.9,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
265304,2015,July,500004,-,302.9,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
274206,2015,Aug,500004,-,372.0,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
283095,2015,Sep,500004,-,336.2,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
291982,2015,Oct,500004,-,326.1,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
300853,2015,Nov,500004,-,295.9,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
309610,2015,Dec,500004,-,277.1,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
318508,2016,Jan,500004,-,337.088,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
327433,2016,Feb,500004,-,277.914,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
336329,2016,Mar,500004,-,250.111,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
345247,2016,Apr,500004,-,362.529,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
354185,2016,May,500004,-,317.029,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
363098,2016,Jun,500004,-,305.25,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
371993,2016,Jul,500004,-,305.028,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
380872,2016,Aug,500004,-,390.515,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
389745,2016,Sep,500004,-,348.765,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
398628,2016,Oct,500004,-,344.364,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
407503,2016,Nov,500004,-,379.735,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
416377,2016,Dec,500004,-,300.343,-,-,CHANGI,1.3891,103.9872,CHANGI POINT,EAST
