index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
4,2013,Jan,50535,-,277.6,-,409.7,OUTRAM,1.2839,103.8458,CHINA SQUARE,CENTRAL
6,2013,Jan,50538,-,268.0,-,768.5,OUTRAM,1.285,103.846,CHINA SQUARE,CENTRAL
8645,2013,Feb,50535,-,243.5,-,426.3,OUTRAM,1.2839,103.8458,CHINA SQUARE,CENTRAL
8647,2013,Feb,50538,-,235.9,-,716.5,OUTRAM,1.285,103.846,CHINA SQUARE,CENTRAL
17279,2013,Mar,50535,-,247.3,-,390.3,OUTRAM,1.2839,103.8458,CHINA SQUARE,CENTRAL
17281,2013,Mar,50538,-,241.5,-,693.0,OUTRAM,1.285,103.846,CHINA SQUARE,CENTRAL
25928,2013,Apr,50535,-,312.2,-,481.3,OUTRAM,1.2839,103.8458,CHINA SQUARE,CENTRAL
25929,2013,Apr,50538,-,299.7,-,851.8,OUTRAM,1.285,103.846,CHINA SQUARE,CENTRAL
34618,2013,May,50535,-,276.9,-,442.0,OUTRAM,1.2839,103.8458,CHINA SQUARE,CENTRAL
34620,2013,May,50538,-,276.0,-,785.5,OUTRAM,1.285,103.846,CHINA SQUARE,CENTRAL
43214,2013,Jun,50535,-,347.5,-,636.7,OUTRAM,1.2839,103.8458,CHINA SQUARE,CENTRAL
51887,2013,Jul,50535,-,275.0,-,479.3,OUTRAM,1.2839,103.8458,CHINA SQUARE,CENTRAL
51889,2013,Jul,50538,-,280.0,-,817.8,OUTRAM,1.285,103.846,CHINA SQUARE,CENTRAL
60571,2013,Aug,50535,-,315.9,-,523.7,OUTRAM,1.2839,103.8458,CHINA SQUARE,CENTRAL
69229,2013,Sep,50535,-,308.8,-,527.0,OUTRAM,1.2839,103.8458,CHINA SQUARE,CENTRAL
77915,2013,Oct,50535,-,249.8,-,325.0,OUTRAM,1.2839,103.8458,CHINA SQUARE,CENTRAL
86593,2013,Nov,50535,-,293.9,-,451.0,OUTRAM,1.2839,103.8458,CHINA SQUARE,CENTRAL
95282,2013,Dec,50535,-,277.7,-,488.7,OUTRAM,1.2839,103.8458,CHINA SQUARE,CENTRAL
103997,2014,Jan,50535,-,275.6,-,455.0,OUTRAM,1.2839,103.8458,CHINA SQUARE,CENTRAL
112711,2014,Feb,50535,-,239.3,-,314.3,OUTRAM,1.2839,103.8458,CHINA SQUARE,CENTRAL
112713,2014,Feb,50538,-,225.4,-,543.0,OUTRAM,1.285,103.846,CHINA SQUARE,CENTRAL
121449,2014,Mar,50535,-,237.6,-,353.3,OUTRAM,1.2839,103.8458,CHINA SQUARE,CENTRAL
121451,2014,Mar,50538,-,223.9,-,643.3,OUTRAM,1.285,103.846,CHINA SQUARE,CENTRAL
130197,2014,Apr,50535,-,269.3,-,498.0,OUTRAM,1.2839,103.8458,CHINA SQUARE,CENTRAL
130199,2014,Apr,50538,-,241.6,-,585.5,OUTRAM,1.285,103.846,CHINA SQUARE,CENTRAL
139008,2014,May,50535,-,257.7,-,433.0,OUTRAM,1.2839,103.8458,CHINA SQUARE,CENTRAL
139010,2014,May,50538,-,246.5,-,624.8,OUTRAM,1.285,103.846,CHINA SQUARE,CENTRAL
147858,2014,Jun,50535,-,365.6,-,562.0,OUTRAM,1.2839,103.8458,CHINA SQUARE,CENTRAL
147860,2014,Jun,50538,-,365.4,-,728.8,OUTRAM,1.285,103.846,CHINA SQUARE,CENTRAL
