index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
4524,2013,Jan,560401,-,-,-,453.1,ANG MO KIO,1.3609,103.8553,CHONG BOON,NORTH-EAST
4525,2013,Jan,560402,-,-,-,443.6,ANG MO KIO,1.3614,103.8558,CHONG BOON,NORTH-EAST
4526,2013,Jan,560403,-,293.4,-,-,ANG MO KIO,1.3612,103.8546,CHONG BOON,NORTH-EAST
4527,2013,Jan,560404,-,272.6,-,-,ANG MO KIO,1.3612,103.8545,CHONG BOON,NORTH-EAST
4528,2013,Jan,560405,-,274.2,435.5,634.8,ANG MO KIO,1.3615,103.8538,CHONG BOON,NORTH-EAST
4529,2013,Jan,560406,177.8,-,-,-,ANG MO KIO,1.3623,103.854,CHONG BOON,NORTH-EAST
4530,2013,Jan,560411,-,-,386.8,-,ANG MO KIO,1.3633,103.8552,CHONG BOON,NORTH-EAST
4531,2013,Jan,560412,-,-,368.0,-,ANG MO KIO,1.364,103.8553,CHONG BOON,NORTH-EAST
4532,2013,Jan,560413,-,-,444.7,-,ANG MO KIO,1.3641,103.8539,CHONG BOON,NORTH-EAST
4533,2013,Jan,560414,-,-,380.3,-,ANG MO KIO,1.3641,103.8538,CHONG BOON,NORTH-EAST
4534,2013,Jan,560415,-,-,395.4,-,ANG MO KIO,1.3643,103.8536,CHONG BOON,NORTH-EAST
4535,2013,Jan,560416,-,319.4,-,-,ANG MO KIO,1.3644,103.855,CHONG BOON,NORTH-EAST
4536,2013,Jan,560417,-,288.5,385.9,-,ANG MO KIO,1.3644,103.855,CHONG BOON,NORTH-EAST
4537,2013,Jan,560418,-,281.6,362.1,648.0,ANG MO KIO,1.3648,103.854,CHONG BOON,NORTH-EAST
4538,2013,Jan,560419,-,323.0,424.3,474.8,ANG MO KIO,1.3648,103.854,CHONG BOON,NORTH-EAST
4539,2013,Jan,560420,134.2,-,-,-,ANG MO KIO,1.3652,103.853,CHONG BOON,NORTH-EAST
4540,2013,Jan,560421,-,290.2,-,-,ANG MO KIO,1.3653,103.853,CHONG BOON,NORTH-EAST
4541,2013,Jan,560422,-,264.0,-,-,ANG MO KIO,1.3681,103.8516,CHONG BOON,NORTH-EAST
4542,2013,Jan,560423,-,-,373.3,395.9,ANG MO KIO,1.3686,103.8517,CHONG BOON,NORTH-EAST
4543,2013,Jan,560424,-,304.6,-,-,ANG MO KIO,1.3691,103.8507,CHONG BOON,NORTH-EAST
4544,2013,Jan,560425,-,321.8,-,-,ANG MO KIO,1.3694,103.8516,CHONG BOON,NORTH-EAST
4545,2013,Jan,560426,-,-,374.0,-,ANG MO KIO,1.3698,103.8533,CHONG BOON,NORTH-EAST
4546,2013,Jan,560427,-,-,371.3,-,ANG MO KIO,1.3696,103.8547,CHONG BOON,NORTH-EAST
4547,2013,Jan,560428,-,-,358.6,-,ANG MO KIO,1.3687,103.8543,CHONG BOON,NORTH-EAST
4548,2013,Jan,560429,-,-,364.1,-,ANG MO KIO,1.3689,103.8534,CHONG BOON,NORTH-EAST
4549,2013,Jan,560430,-,-,-,414.5,ANG MO KIO,1.3687,103.8528,CHONG BOON,NORTH-EAST
4550,2013,Jan,560431,-,-,-,405.2,ANG MO KIO,1.3684,103.853,CHONG BOON,NORTH-EAST
4551,2013,Jan,560432,-,241.6,377.1,-,ANG MO KIO,1.3685,103.8536,CHONG BOON,NORTH-EAST
4552,2013,Jan,560433,-,270.8,-,-,ANG MO KIO,1.3679,103.8543,CHONG BOON,NORTH-EAST
4553,2013,Jan,560434,-,242.8,367.3,397.0,ANG MO KIO,1.368,103.8539,CHONG BOON,NORTH-EAST
4554,2013,Jan,560435,-,275.3,-,-,ANG MO KIO,1.3678,103.8543,CHONG BOON,NORTH-EAST
4555,2013,Jan,560436,-,-,368.1,-,ANG MO KIO,1.3672,103.854,CHONG BOON,NORTH-EAST
4556,2013,Jan,560437,-,-,-,378.2,ANG MO KIO,1.368,103.8539,CHONG BOON,NORTH-EAST
4557,2013,Jan,560438,-,-,385.2,-,ANG MO KIO,1.3671,103.854,CHONG BOON,NORTH-EAST
4558,2013,Jan,560439,-,-,-,385.0,ANG MO KIO,1.3663,103.8539,CHONG BOON,NORTH-EAST
4559,2013,Jan,560440,-,261.1,410.7,-,ANG MO KIO,1.3663,103.8543,CHONG BOON,NORTH-EAST
4560,2013,Jan,560441,-,270.2,-,-,ANG MO KIO,1.3662,103.8542,CHONG BOON,NORTH-EAST
4561,2013,Jan,560442,-,266.6,-,-,ANG MO KIO,1.3662,103.8554,CHONG BOON,NORTH-EAST
4562,2013,Jan,560443,-,268.8,318.0,653.1,ANG MO KIO,1.3662,103.8554,CHONG BOON,NORTH-EAST
4563,2013,Jan,560444,-,264.9,381.4,670.0,ANG MO KIO,1.3668,103.8556,CHONG BOON,NORTH-EAST
4564,2013,Jan,560445,-,250.5,-,-,ANG MO KIO,1.3669,103.8556,CHONG BOON,NORTH-EAST
4565,2013,Jan,560446,-,310.6,-,-,ANG MO KIO,1.3679,103.8554,CHONG BOON,NORTH-EAST
4566,2013,Jan,560447,-,342.0,-,-,ANG MO KIO,1.3676,103.856,CHONG BOON,NORTH-EAST
4567,2013,Jan,560448,-,271.3,-,-,ANG MO KIO,1.3675,103.8567,CHONG BOON,NORTH-EAST
4568,2013,Jan,560449,-,388.8,-,-,ANG MO KIO,1.3681,103.8558,CHONG BOON,NORTH-EAST
4569,2013,Jan,560450,-,355.8,-,-,ANG MO KIO,1.3682,103.8554,CHONG BOON,NORTH-EAST
4570,2013,Jan,560451,-,346.1,-,-,ANG MO KIO,1.3687,103.8558,CHONG BOON,NORTH-EAST
4571,2013,Jan,560453,-,243.8,-,-,ANG MO KIO,1.3687,103.856,CHONG BOON,NORTH-EAST
4572,2013,Jan,560456,-,252.6,-,-,ANG MO KIO,1.3672,103.8588,CHONG BOON,NORTH-EAST
4573,2013,Jan,560457,-,240.5,325.2,496.4,ANG MO KIO,1.3659,103.8591,CHONG BOON,NORTH-EAST
4574,2013,Jan,560458,-,-,-,379.0,ANG MO KIO,1.3663,103.8596,CHONG BOON,NORTH-EAST
4575,2013,Jan,560459,-,-,-,313.7,ANG MO KIO,1.3671,103.8592,CHONG BOON,NORTH-EAST
4576,2013,Jan,560460,-,-,-,408.5,ANG MO KIO,1.3663,103.8593,CHONG BOON,NORTH-EAST
4577,2013,Jan,560461,-,241.0,-,-,ANG MO KIO,1.3674,103.8574,CHONG BOON,NORTH-EAST
4578,2013,Jan,560462,-,236.2,274.1,723.0,ANG MO KIO,1.3668,103.8579,CHONG BOON,NORTH-EAST
