index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
806,2013,Jan,190001,-,317.0,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
9461,2013,Feb,190001,-,324.9,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
18090,2013,Mar,190001,-,324.7,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
26744,2013,Apr,190001,-,298.3,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
35434,2013,May,190001,-,365.7,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
44018,2013,Jun,190001,-,373.6,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
52694,2013,Jul,190001,-,361.5,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
61376,2013,Aug,190001,-,385.7,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
70038,2013,Sep,190001,-,318.4,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
78727,2013,Oct,190001,-,330.1,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
87398,2013,Nov,190001,-,292.9,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
96095,2013,Dec,190001,-,346.9,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
104803,2014,Jan,190001,-,271.9,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
113528,2014,Feb,190001,-,301.3,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
122263,2014,Mar,190001,-,283.5,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
131018,2014,Apr,190001,-,304.8,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
139832,2014,May,190001,-,350.7,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
148674,2014,Jun,190001,-,351.4,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
157495,2014,Jul,190001,-,400.7,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
166324,2014,Aug,190001,-,395.9,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
175146,2014,Sep,190001,-,322.5,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
183989,2014,Oct,190001,-,340.5,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
192839,2014,Nov,190001,-,370.9,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
201715,2014,Dec,190001,-,350.7,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
210581,2015,Jan,190001,-,254.6,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
219477,2015,Feb,190001,-,305.0,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
228359,2015,Mar,190001,-,321.5,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
237247,2015,Apr,190001,-,312.9,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
246170,2015,May,190001,-,354.5,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
255078,2015,Jun,190001,-,317.5,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
263955,2015,July,190001,-,357.4,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
272872,2015,Aug,190001,-,344.1,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
281762,2015,Sep,190001,-,363.0,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
290646,2015,Oct,190001,-,337.7,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
299537,2015,Nov,190001,-,348.8,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
308271,2015,Dec,190001,-,359.9,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
317171,2016,Jan,190001,-,265.124,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
326102,2016,Feb,190001,-,342.219,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
334988,2016,Mar,190001,-,324.985,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
343906,2016,Apr,190001,-,352.669,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
352831,2016,May,190001,-,411.167,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
361771,2016,Jun,190001,-,348.101,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
370664,2016,Jul,190001,-,364.601,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
379551,2016,Aug,190001,-,353.087,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
388421,2016,Sep,190001,-,327.294,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
397295,2016,Oct,190001,-,372.118,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
406178,2016,Nov,190001,-,357.191,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
415047,2016,Dec,190001,-,359.471,-,-,DOWNTOWN CORE,1.2943,103.8549,CITY HALL,CENTRAL
