index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
292,2013,Jan,120513,-,227.5,-,-,CLEMENTI,1.3089,103.7605,CLEMENTI WEST,WEST
293,2013,Jan,120514,-,211.8,245.9,-,CLEMENTI,1.3088,103.7591,CLEMENTI WEST,WEST
294,2013,Jan,120515,-,240.8,333.2,414.0,CLEMENTI,1.3082,103.7597,CLEMENTI WEST,WEST
295,2013,Jan,120518,-,213.5,225.4,263.5,CLEMENTI,1.3083,103.7591,CLEMENTI WEST,WEST
296,2013,Jan,120519,-,231.1,-,-,CLEMENTI,1.3078,103.7595,CLEMENTI WEST,WEST
297,2013,Jan,120520,-,247.7,369.2,-,CLEMENTI,1.3069,103.7601,CLEMENTI WEST,WEST
311,2013,Jan,120701,-,224.7,342.0,480.3,CLEMENTI,1.3079,103.7616,CLEMENTI WEST,WEST
312,2013,Jan,120702,-,242.9,-,-,CLEMENTI,1.3071,103.761,CLEMENTI WEST,WEST
313,2013,Jan,120703,-,220.2,289.8,554.0,CLEMENTI,1.3068,103.7609,CLEMENTI WEST,WEST
314,2013,Jan,120704,-,244.1,262.8,372.6,CLEMENTI,1.3061,103.7606,CLEMENTI WEST,WEST
315,2013,Jan,120705,-,245.8,333.6,316.0,CLEMENTI,1.3058,103.7608,CLEMENTI WEST,WEST
316,2013,Jan,120706,-,234.5,344.7,325.8,CLEMENTI,1.3062,103.7622,CLEMENTI WEST,WEST
317,2013,Jan,120707,-,-,324.3,-,CLEMENTI,1.3062,103.7623,CLEMENTI WEST,WEST
318,2013,Jan,120708,-,-,339.7,-,CLEMENTI,1.3058,103.7622,CLEMENTI WEST,WEST
319,2013,Jan,120709,-,-,296.0,-,CLEMENTI,1.3055,103.7615,CLEMENTI WEST,WEST
320,2013,Jan,120710,-,252.2,391.6,617.8,CLEMENTI,1.3062,103.7617,CLEMENTI WEST,WEST
321,2013,Jan,120711,-,261.0,332.0,533.3,CLEMENTI,1.3051,103.7613,CLEMENTI WEST,WEST
322,2013,Jan,120712,-,-,332.3,-,CLEMENTI,1.3049,103.7618,CLEMENTI WEST,WEST
323,2013,Jan,120713,-,234.4,-,-,CLEMENTI,1.3041,103.7621,CLEMENTI WEST,WEST
324,2013,Jan,120714,-,223.9,401.7,527.7,CLEMENTI,1.3042,103.7619,CLEMENTI WEST,WEST
325,2013,Jan,120715,-,256.9,-,-,CLEMENTI,1.3031,103.7623,CLEMENTI WEST,WEST
326,2013,Jan,120716,-,-,351.4,-,CLEMENTI,1.3023,103.7626,CLEMENTI WEST,WEST
327,2013,Jan,120717,-,-,-,409.8,CLEMENTI,1.3032,103.7623,CLEMENTI WEST,WEST
328,2013,Jan,120721,-,252.7,-,-,CLEMENTI,1.3024,103.7643,CLEMENTI WEST,WEST
329,2013,Jan,120722,-,195.0,-,-,CLEMENTI,1.3027,103.7633,CLEMENTI WEST,WEST
330,2013,Jan,120723,-,-,-,368.1,CLEMENTI,1.3030000000000002,103.7631,CLEMENTI WEST,WEST
331,2013,Jan,120724,-,-,-,329.1,CLEMENTI,1.3038,103.7633,CLEMENTI WEST,WEST
332,2013,Jan,120725,-,284.3,-,-,CLEMENTI,1.3036,103.7639,CLEMENTI WEST,WEST
333,2013,Jan,120727,-,210.8,-,-,CLEMENTI,1.3044,103.7638,CLEMENTI WEST,WEST
334,2013,Jan,120728,-,238.9,303.0,489.8,CLEMENTI,1.3053,103.7636,CLEMENTI WEST,WEST
335,2013,Jan,120729,-,257.7,397.9,594.4,CLEMENTI,1.3051,103.7636,CLEMENTI WEST,WEST
336,2013,Jan,120730,-,244.8,-,-,CLEMENTI,1.305,103.7627,CLEMENTI WEST,WEST
337,2013,Jan,120731,-,233.9,-,-,CLEMENTI,1.3043,103.7629,CLEMENTI WEST,WEST
8934,2013,Feb,120513,-,261.5,-,-,CLEMENTI,1.3089,103.7605,CLEMENTI WEST,WEST
8935,2013,Feb,120514,-,233.7,279.2,-,CLEMENTI,1.3088,103.7591,CLEMENTI WEST,WEST
8936,2013,Feb,120515,-,263.8,373.5,478.0,CLEMENTI,1.3082,103.7597,CLEMENTI WEST,WEST
8937,2013,Feb,120518,-,242.9,269.7,375.8,CLEMENTI,1.3083,103.7591,CLEMENTI WEST,WEST
8938,2013,Feb,120519,-,249.8,-,-,CLEMENTI,1.3078,103.7595,CLEMENTI WEST,WEST
8939,2013,Feb,120520,-,272.8,384.0,-,CLEMENTI,1.3069,103.7601,CLEMENTI WEST,WEST
8953,2013,Feb,120701,-,252.6,359.8,498.8,CLEMENTI,1.3079,103.7616,CLEMENTI WEST,WEST
8954,2013,Feb,120702,-,260.5,-,-,CLEMENTI,1.3071,103.761,CLEMENTI WEST,WEST
8955,2013,Feb,120703,-,250.4,333.8,609.2,CLEMENTI,1.3068,103.7609,CLEMENTI WEST,WEST
8956,2013,Feb,120704,-,266.7,300.1,444.6,CLEMENTI,1.3061,103.7606,CLEMENTI WEST,WEST
8957,2013,Feb,120705,-,275.9,386.1,260.7,CLEMENTI,1.3058,103.7608,CLEMENTI WEST,WEST
8958,2013,Feb,120706,-,261.0,395.0,374.2,CLEMENTI,1.3062,103.7622,CLEMENTI WEST,WEST
8959,2013,Feb,120707,-,-,341.2,-,CLEMENTI,1.3062,103.7623,CLEMENTI WEST,WEST
8960,2013,Feb,120708,-,-,371.6,-,CLEMENTI,1.3058,103.7622,CLEMENTI WEST,WEST
8961,2013,Feb,120709,-,-,336.7,-,CLEMENTI,1.3055,103.7615,CLEMENTI WEST,WEST
8962,2013,Feb,120710,-,269.2,412.3,628.5,CLEMENTI,1.3062,103.7617,CLEMENTI WEST,WEST
8963,2013,Feb,120711,-,268.5,355.0,488.7,CLEMENTI,1.3051,103.7613,CLEMENTI WEST,WEST
8964,2013,Feb,120712,-,-,352.9,-,CLEMENTI,1.3049,103.7618,CLEMENTI WEST,WEST
8965,2013,Feb,120713,-,273.1,-,-,CLEMENTI,1.3041,103.7621,CLEMENTI WEST,WEST
8966,2013,Feb,120714,-,246.4,422.6,545.3,CLEMENTI,1.3042,103.7619,CLEMENTI WEST,WEST
8967,2013,Feb,120715,-,266.2,-,-,CLEMENTI,1.3031,103.7623,CLEMENTI WEST,WEST
8968,2013,Feb,120716,-,-,368.7,-,CLEMENTI,1.3023,103.7626,CLEMENTI WEST,WEST
8969,2013,Feb,120717,-,-,-,433.1,CLEMENTI,1.3032,103.7623,CLEMENTI WEST,WEST
8970,2013,Feb,120721,-,252.3,-,-,CLEMENTI,1.3024,103.7643,CLEMENTI WEST,WEST
8971,2013,Feb,120722,-,240.3,-,-,CLEMENTI,1.3027,103.7633,CLEMENTI WEST,WEST
8972,2013,Feb,120723,-,-,-,399.5,CLEMENTI,1.3030000000000002,103.7631,CLEMENTI WEST,WEST
8973,2013,Feb,120724,-,-,-,373.4,CLEMENTI,1.3038,103.7633,CLEMENTI WEST,WEST
8974,2013,Feb,120725,-,287.0,-,-,CLEMENTI,1.3036,103.7639,CLEMENTI WEST,WEST
8975,2013,Feb,120727,-,262.5,-,-,CLEMENTI,1.3044,103.7638,CLEMENTI WEST,WEST
8976,2013,Feb,120728,-,270.3,335.1,486.8,CLEMENTI,1.3053,103.7636,CLEMENTI WEST,WEST
8977,2013,Feb,120729,-,273.0,427.6,601.6,CLEMENTI,1.3051,103.7636,CLEMENTI WEST,WEST
8978,2013,Feb,120730,-,262.7,-,-,CLEMENTI,1.305,103.7627,CLEMENTI WEST,WEST
8979,2013,Feb,120731,-,259.8,-,-,CLEMENTI,1.3043,103.7629,CLEMENTI WEST,WEST
17564,2013,Mar,120513,-,253.5,-,-,CLEMENTI,1.3089,103.7605,CLEMENTI WEST,WEST
17565,2013,Mar,120514,-,207.5,281.8,-,CLEMENTI,1.3088,103.7591,CLEMENTI WEST,WEST
17566,2013,Mar,120515,-,245.3,279.7,413.0,CLEMENTI,1.3082,103.7597,CLEMENTI WEST,WEST
17567,2013,Mar,120518,-,219.1,265.1,338.3,CLEMENTI,1.3083,103.7591,CLEMENTI WEST,WEST
17568,2013,Mar,120519,-,218.8,-,-,CLEMENTI,1.3078,103.7595,CLEMENTI WEST,WEST
17569,2013,Mar,120520,-,232.0,378.0,-,CLEMENTI,1.3069,103.7601,CLEMENTI WEST,WEST
17583,2013,Mar,120701,-,227.7,375.7,435.0,CLEMENTI,1.3079,103.7616,CLEMENTI WEST,WEST
17584,2013,Mar,120702,-,228.2,-,-,CLEMENTI,1.3071,103.761,CLEMENTI WEST,WEST
17585,2013,Mar,120703,-,221.8,299.3,507.8,CLEMENTI,1.3068,103.7609,CLEMENTI WEST,WEST
17586,2013,Mar,120704,-,233.4,307.6,439.0,CLEMENTI,1.3061,103.7606,CLEMENTI WEST,WEST
17587,2013,Mar,120705,-,247.6,327.8,345.7,CLEMENTI,1.3058,103.7608,CLEMENTI WEST,WEST
17588,2013,Mar,120706,-,223.3,312.9,360.2,CLEMENTI,1.3062,103.7622,CLEMENTI WEST,WEST
17589,2013,Mar,120707,-,-,321.8,-,CLEMENTI,1.3062,103.7623,CLEMENTI WEST,WEST
17590,2013,Mar,120708,-,-,295.8,-,CLEMENTI,1.3058,103.7622,CLEMENTI WEST,WEST
17591,2013,Mar,120709,-,-,303.5,-,CLEMENTI,1.3055,103.7615,CLEMENTI WEST,WEST
17592,2013,Mar,120710,-,246.6,335.9,540.0,CLEMENTI,1.3062,103.7617,CLEMENTI WEST,WEST
17593,2013,Mar,120711,-,248.1,349.1,519.3,CLEMENTI,1.3051,103.7613,CLEMENTI WEST,WEST
17594,2013,Mar,120712,-,-,306.3,-,CLEMENTI,1.3049,103.7618,CLEMENTI WEST,WEST
17595,2013,Mar,120713,-,227.2,-,-,CLEMENTI,1.3041,103.7621,CLEMENTI WEST,WEST
17596,2013,Mar,120714,-,228.4,353.3,442.7,CLEMENTI,1.3042,103.7619,CLEMENTI WEST,WEST
17597,2013,Mar,120715,-,219.6,-,-,CLEMENTI,1.3031,103.7623,CLEMENTI WEST,WEST
17598,2013,Mar,120716,-,-,317.0,-,CLEMENTI,1.3023,103.7626,CLEMENTI WEST,WEST
17599,2013,Mar,120717,-,-,-,375.4,CLEMENTI,1.3032,103.7623,CLEMENTI WEST,WEST
17600,2013,Mar,120721,-,219.0,-,-,CLEMENTI,1.3024,103.7643,CLEMENTI WEST,WEST
17601,2013,Mar,120722,-,145.3,-,-,CLEMENTI,1.3027,103.7633,CLEMENTI WEST,WEST
17602,2013,Mar,120723,-,-,-,336.6,CLEMENTI,1.3030000000000002,103.7631,CLEMENTI WEST,WEST
17603,2013,Mar,120724,-,-,-,342.5,CLEMENTI,1.3038,103.7633,CLEMENTI WEST,WEST
17604,2013,Mar,120725,-,240.3,-,-,CLEMENTI,1.3036,103.7639,CLEMENTI WEST,WEST
17605,2013,Mar,120727,-,211.7,-,-,CLEMENTI,1.3044,103.7638,CLEMENTI WEST,WEST
17606,2013,Mar,120728,-,244.1,296.9,474.8,CLEMENTI,1.3053,103.7636,CLEMENTI WEST,WEST
17607,2013,Mar,120729,-,242.1,383.4,550.8,CLEMENTI,1.3051,103.7636,CLEMENTI WEST,WEST
17608,2013,Mar,120730,-,238.9,-,-,CLEMENTI,1.305,103.7627,CLEMENTI WEST,WEST
17609,2013,Mar,120731,-,232.1,-,-,CLEMENTI,1.3043,103.7629,CLEMENTI WEST,WEST
26213,2013,Apr,120513,-,274.3,-,-,CLEMENTI,1.3089,103.7605,CLEMENTI WEST,WEST
26214,2013,Apr,120514,-,233.4,294.7,-,CLEMENTI,1.3088,103.7591,CLEMENTI WEST,WEST
26215,2013,Apr,120515,-,269.2,334.7,468.3,CLEMENTI,1.3082,103.7597,CLEMENTI WEST,WEST
26216,2013,Apr,120518,-,236.2,269.5,375.0,CLEMENTI,1.3083,103.7591,CLEMENTI WEST,WEST
26217,2013,Apr,120519,-,244.1,-,-,CLEMENTI,1.3078,103.7595,CLEMENTI WEST,WEST
26218,2013,Apr,120520,-,263.1,401.5,-,CLEMENTI,1.3069,103.7601,CLEMENTI WEST,WEST
26232,2013,Apr,120701,-,255.1,399.7,472.0,CLEMENTI,1.3079,103.7616,CLEMENTI WEST,WEST
26233,2013,Apr,120702,-,261.3,-,-,CLEMENTI,1.3071,103.761,CLEMENTI WEST,WEST
26234,2013,Apr,120703,-,253.1,332.6,587.0,CLEMENTI,1.3068,103.7609,CLEMENTI WEST,WEST
26235,2013,Apr,120704,-,259.3,319.2,464.2,CLEMENTI,1.3061,103.7606,CLEMENTI WEST,WEST
26236,2013,Apr,120705,-,274.2,375.6,354.0,CLEMENTI,1.3058,103.7608,CLEMENTI WEST,WEST
26237,2013,Apr,120706,-,256.6,376.9,385.8,CLEMENTI,1.3062,103.7622,CLEMENTI WEST,WEST
26238,2013,Apr,120707,-,-,353.0,-,CLEMENTI,1.3062,103.7623,CLEMENTI WEST,WEST
26239,2013,Apr,120708,-,-,353.0,-,CLEMENTI,1.3058,103.7622,CLEMENTI WEST,WEST
26240,2013,Apr,120709,-,-,340.4,-,CLEMENTI,1.3055,103.7615,CLEMENTI WEST,WEST
26241,2013,Apr,120710,-,269.2,393.1,625.5,CLEMENTI,1.3062,103.7617,CLEMENTI WEST,WEST
26242,2013,Apr,120711,-,275.8,370.0,529.7,CLEMENTI,1.3051,103.7613,CLEMENTI WEST,WEST
26243,2013,Apr,120712,-,-,346.3,-,CLEMENTI,1.3049,103.7618,CLEMENTI WEST,WEST
26244,2013,Apr,120713,-,264.0,-,-,CLEMENTI,1.3041,103.7621,CLEMENTI WEST,WEST
26245,2013,Apr,120714,-,250.8,397.3,519.3,CLEMENTI,1.3042,103.7619,CLEMENTI WEST,WEST
26246,2013,Apr,120715,-,253.3,-,-,CLEMENTI,1.3031,103.7623,CLEMENTI WEST,WEST
26247,2013,Apr,120716,-,-,359.5,-,CLEMENTI,1.3023,103.7626,CLEMENTI WEST,WEST
26248,2013,Apr,120717,-,-,-,425.0,CLEMENTI,1.3032,103.7623,CLEMENTI WEST,WEST
