index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
238,2013,Jan,120401,-,125.0,-,-,CLEMENTI,1.307,103.7685,CLEMENTI WOODS,WEST
239,2013,Jan,120402,-,163.6,-,-,CLEMENTI,1.3078,103.7677,CLEMENTI WOODS,WEST
240,2013,Jan,120403,-,83.7,193.7,-,CLEMENTI,1.3082,103.7673,CLEMENTI WOODS,WEST
241,2013,Jan,120405,8.1,-,-,-,CLEMENTI,1.3096,103.7674,CLEMENTI WOODS,WEST
242,2013,Jan,120406,60.3,-,-,-,CLEMENTI,1.3098,103.7675,CLEMENTI WOODS,WEST
243,2013,Jan,120407,-,111.8,-,-,CLEMENTI,1.3105,103.7679,CLEMENTI WOODS,WEST
244,2013,Jan,120410,-,-,330.7,-,CLEMENTI,1.3113,103.7697,CLEMENTI WOODS,WEST
245,2013,Jan,120411,-,-,313.6,-,CLEMENTI,1.311,103.7695,CLEMENTI WOODS,WEST
246,2013,Jan,120412,-,-,275.2,-,CLEMENTI,1.3111,103.7709,CLEMENTI WOODS,WEST
247,2013,Jan,120413,-,-,-,322.9,CLEMENTI,1.3112,103.7711,CLEMENTI WOODS,WEST
248,2013,Jan,120414,-,-,-,348.3,CLEMENTI,1.3117,103.7715,CLEMENTI WOODS,WEST
249,2013,Jan,120415,-,-,-,380.8,CLEMENTI,1.3117,103.7715,CLEMENTI WOODS,WEST
250,2013,Jan,120416,-,-,343.3,394.5,CLEMENTI,1.3105,103.7714,CLEMENTI WOODS,WEST
251,2013,Jan,120417,-,180.8,226.0,-,CLEMENTI,1.3104,103.7708,CLEMENTI WOODS,WEST
252,2013,Jan,120418,146.9,128.3,223.0,-,CLEMENTI,1.3103,103.7701,CLEMENTI WOODS,WEST
253,2013,Jan,120419,100.3,-,-,-,CLEMENTI,1.3103,103.7696,CLEMENTI WOODS,WEST
254,2013,Jan,120420,-,187.3,284.9,-,CLEMENTI,1.3103,103.769,CLEMENTI WOODS,WEST
255,2013,Jan,120421,-,169.9,251.3,-,CLEMENTI,1.3091,103.7685,CLEMENTI WOODS,WEST
256,2013,Jan,120422,112.1,-,-,-,CLEMENTI,1.3091,103.7693,CLEMENTI WOODS,WEST
257,2013,Jan,120423,86.8,176.0,215.4,-,CLEMENTI,1.3092,103.7699,CLEMENTI WOODS,WEST
258,2013,Jan,120424,-,185.5,245.9,-,CLEMENTI,1.3095,103.7707,CLEMENTI WOODS,WEST
259,2013,Jan,120425,-,-,271.1,286.8,CLEMENTI,1.3096,103.7713,CLEMENTI WOODS,WEST
298,2013,Jan,120601,-,-,275.4,-,CLEMENTI,1.3046,103.7653,CLEMENTI WOODS,WEST
299,2013,Jan,120602,-,214.7,285.3,433.8,CLEMENTI,1.3049,103.766,CLEMENTI WOODS,WEST
300,2013,Jan,120603,-,247.4,226.3,-,CLEMENTI,1.3049,103.7672,CLEMENTI WOODS,WEST
301,2013,Jan,120604,-,-,-,394.0,CLEMENTI,1.3045,103.7678,CLEMENTI WOODS,WEST
302,2013,Jan,120605,-,-,-,348.3,CLEMENTI,1.304,103.7684,CLEMENTI WOODS,WEST
303,2013,Jan,120606,-,-,-,359.2,CLEMENTI,1.3047,103.768,CLEMENTI WOODS,WEST
304,2013,Jan,120607,-,221.2,363.2,-,CLEMENTI,1.3044,103.7678,CLEMENTI WOODS,WEST
305,2013,Jan,120608,-,182.7,224.2,461.7,CLEMENTI,1.3045,103.7666,CLEMENTI WOODS,WEST
306,2013,Jan,120609,-,-,301.0,-,CLEMENTI,1.3042,103.7655,CLEMENTI WOODS,WEST
307,2013,Jan,120610,-,216.8,321.8,-,CLEMENTI,1.3042,103.7689,CLEMENTI WOODS,WEST
308,2013,Jan,120611,-,250.2,331.3,-,CLEMENTI,1.3041,103.769,CLEMENTI WOODS,WEST
309,2013,Jan,120612,-,214.4,286.5,-,CLEMENTI,1.3036,103.7687,CLEMENTI WOODS,WEST
310,2013,Jan,120613,-,-,300.9,400.3,CLEMENTI,1.3038,103.7684,CLEMENTI WOODS,WEST
