index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
404,2013,Jan,140081,176.1,252.3,-,-,QUEENSTOWN,1.3035,103.8005,COMMONWEALTH,CENTRAL
405,2013,Jan,140082,-,260.3,-,-,QUEENSTOWN,1.3041,103.8009,COMMONWEALTH,CENTRAL
406,2013,Jan,140083,-,255.9,-,-,QUEENSTOWN,1.3046,103.8008,COMMONWEALTH,CENTRAL
407,2013,Jan,140084,-,270.7,-,-,QUEENSTOWN,1.3036,103.7992,COMMONWEALTH,CENTRAL
408,2013,Jan,140085,183.1,271.3,-,-,QUEENSTOWN,1.3041,103.799,COMMONWEALTH,CENTRAL
409,2013,Jan,140086,189.2,279.3,-,-,QUEENSTOWN,1.3043,103.799,COMMONWEALTH,CENTRAL
410,2013,Jan,140087,-,288.7,-,-,QUEENSTOWN,1.3047,103.7989,COMMONWEALTH,CENTRAL
411,2013,Jan,140088,-,291.5,-,-,QUEENSTOWN,1.3048,103.7989,COMMONWEALTH,CENTRAL
412,2013,Jan,140089,-,248.5,-,-,QUEENSTOWN,1.3054,103.7992,COMMONWEALTH,CENTRAL
413,2013,Jan,140090,-,249.8,-,-,QUEENSTOWN,1.3054,103.7992,COMMONWEALTH,CENTRAL
414,2013,Jan,140091,124.7,275.5,469.4,-,QUEENSTOWN,1.3061,103.7996,COMMONWEALTH,CENTRAL
415,2013,Jan,140092,-,264.1,-,-,QUEENSTOWN,1.306,103.8003,COMMONWEALTH,CENTRAL
416,2013,Jan,140093,-,267.4,-,-,QUEENSTOWN,1.306,103.8003,COMMONWEALTH,CENTRAL
417,2013,Jan,140094,-,288.5,-,-,QUEENSTOWN,1.3058,103.8007,COMMONWEALTH,CENTRAL
418,2013,Jan,140095,195.6,265.4,338.5,-,QUEENSTOWN,1.3057,103.801,COMMONWEALTH,CENTRAL
419,2013,Jan,140096,168.7,213.4,450.0,-,QUEENSTOWN,1.3063,103.801,COMMONWEALTH,CENTRAL
420,2013,Jan,140097,-,265.9,-,-,QUEENSTOWN,1.3066,103.8012,COMMONWEALTH,CENTRAL
421,2013,Jan,140098,206.8,246.2,460.0,-,QUEENSTOWN,1.3068,103.8013,COMMONWEALTH,CENTRAL
422,2013,Jan,140099,124.6,240.1,310.7,-,QUEENSTOWN,1.3073,103.8011,COMMONWEALTH,CENTRAL
423,2013,Jan,140100,143.8,235.5,442.6,-,QUEENSTOWN,1.3073,103.8011,COMMONWEALTH,CENTRAL
424,2013,Jan,140101,134.3,204.5,409.8,-,QUEENSTOWN,1.3077,103.8006,COMMONWEALTH,CENTRAL
425,2013,Jan,140102,168.6,238.5,459.6,-,QUEENSTOWN,1.3077,103.8005,COMMONWEALTH,CENTRAL
426,2013,Jan,140103,159.3,-,-,-,QUEENSTOWN,1.3078,103.8003,COMMONWEALTH,CENTRAL
427,2013,Jan,140104,208.1,-,-,-,QUEENSTOWN,1.3078,103.8,COMMONWEALTH,CENTRAL
428,2013,Jan,140106,171.6,-,-,-,QUEENSTOWN,1.3077,103.7997,COMMONWEALTH,CENTRAL
429,2013,Jan,140107,177.6,-,-,-,QUEENSTOWN,1.3075,103.7993,COMMONWEALTH,CENTRAL
430,2013,Jan,140108,142.1,237.4,507.0,-,QUEENSTOWN,1.3074,103.7993,COMMONWEALTH,CENTRAL
431,2013,Jan,140109,-,272.6,-,-,QUEENSTOWN,1.3073,103.7993,COMMONWEALTH,CENTRAL
432,2013,Jan,140110,165.0,261.8,497.5,-,QUEENSTOWN,1.3067,103.7989,COMMONWEALTH,CENTRAL
433,2013,Jan,140111,-,239.3,-,-,QUEENSTOWN,1.3063,103.7988,COMMONWEALTH,CENTRAL
434,2013,Jan,140112,156.8,271.8,456.5,-,QUEENSTOWN,1.3065,103.7988,COMMONWEALTH,CENTRAL
435,2013,Jan,140113,-,233.1,-,-,QUEENSTOWN,1.3065,103.7988,COMMONWEALTH,CENTRAL
9050,2013,Feb,140081,131.5,198.7,-,-,QUEENSTOWN,1.3035,103.8005,COMMONWEALTH,CENTRAL
9051,2013,Feb,140082,125.8,187.9,393.3,-,QUEENSTOWN,1.3041,103.8009,COMMONWEALTH,CENTRAL
9052,2013,Feb,140083,-,188.0,-,-,QUEENSTOWN,1.3046,103.8008,COMMONWEALTH,CENTRAL
9053,2013,Feb,140084,-,211.7,-,-,QUEENSTOWN,1.3036,103.7992,COMMONWEALTH,CENTRAL
9054,2013,Feb,140085,168.8,189.5,-,-,QUEENSTOWN,1.3041,103.799,COMMONWEALTH,CENTRAL
9055,2013,Feb,140086,130.2,209.6,-,-,QUEENSTOWN,1.3043,103.799,COMMONWEALTH,CENTRAL
