index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
807,2013,Jan,190002,-,298.1,-,-,KALLANG,1.3038,103.865,CRAWFORD,CENTRAL
808,2013,Jan,190003,-,280.9,-,-,KALLANG,1.3045,103.8657,CRAWFORD,CENTRAL
809,2013,Jan,190004,87.1,-,-,-,KALLANG,1.3048,103.865,CRAWFORD,CENTRAL
810,2013,Jan,190005,102.9,-,-,-,KALLANG,1.304,103.8653,CRAWFORD,CENTRAL
811,2013,Jan,190006,128.8,-,-,-,KALLANG,1.3036,103.8639,CRAWFORD,CENTRAL
812,2013,Jan,190007,108.3,-,-,-,KALLANG,1.3048,103.8634,CRAWFORD,CENTRAL
813,2013,Jan,190008,111.6,-,-,-,KALLANG,1.305,103.8637,CRAWFORD,CENTRAL
814,2013,Jan,190009,122.4,-,-,-,KALLANG,1.305,103.8643,CRAWFORD,CENTRAL
815,2013,Jan,190010,109.1,-,-,-,KALLANG,1.3055,103.8635,CRAWFORD,CENTRAL
816,2013,Jan,190012,-,-,-,312.5,KALLANG,1.3046,103.8627,CRAWFORD,CENTRAL
817,2013,Jan,190015,-,-,278.0,-,KALLANG,1.3035,103.8633,CRAWFORD,CENTRAL
818,2013,Jan,190017,-,-,301.6,-,KALLANG,1.3036,103.8635,CRAWFORD,CENTRAL
819,2013,Jan,190018,186.7,-,-,-,KALLANG,1.3032,103.8624,CRAWFORD,CENTRAL
820,2013,Jan,190019,204.4,-,-,-,KALLANG,1.3035,103.8621,CRAWFORD,CENTRAL
821,2013,Jan,190461,-,-,-,402.8,KALLANG,1.305,103.861,CRAWFORD,CENTRAL
822,2013,Jan,190462,-,232.6,-,369.5,KALLANG,1.3048,103.8609,CRAWFORD,CENTRAL
823,2013,Jan,190463,-,233.2,-,-,KALLANG,1.3052,103.8618,CRAWFORD,CENTRAL
824,2013,Jan,190466,-,-,303.5,-,KALLANG,1.3051,103.8625,CRAWFORD,CENTRAL
825,2013,Jan,190467,-,239.8,-,628.2,KALLANG,1.3056,103.8633,CRAWFORD,CENTRAL
826,2013,Jan,190468,-,253.4,-,366.3,KALLANG,1.3055,103.8633,CRAWFORD,CENTRAL
9462,2013,Feb,190002,-,323.5,-,-,KALLANG,1.3038,103.865,CRAWFORD,CENTRAL
9463,2013,Feb,190003,-,303.4,-,-,KALLANG,1.3045,103.8657,CRAWFORD,CENTRAL
9464,2013,Feb,190004,92.7,-,-,-,KALLANG,1.3048,103.865,CRAWFORD,CENTRAL
9465,2013,Feb,190005,111.8,-,-,-,KALLANG,1.304,103.8653,CRAWFORD,CENTRAL
9466,2013,Feb,190006,134.7,-,-,-,KALLANG,1.3036,103.8639,CRAWFORD,CENTRAL
9467,2013,Feb,190007,116.4,-,-,-,KALLANG,1.3048,103.8634,CRAWFORD,CENTRAL
9468,2013,Feb,190008,118.3,-,-,-,KALLANG,1.305,103.8637,CRAWFORD,CENTRAL
9469,2013,Feb,190009,128.9,-,-,-,KALLANG,1.305,103.8643,CRAWFORD,CENTRAL
9470,2013,Feb,190010,116.8,-,-,-,KALLANG,1.3055,103.8635,CRAWFORD,CENTRAL
9471,2013,Feb,190012,-,-,-,397.6,KALLANG,1.3046,103.8627,CRAWFORD,CENTRAL
9472,2013,Feb,190015,-,-,352.3,-,KALLANG,1.3035,103.8633,CRAWFORD,CENTRAL
9473,2013,Feb,190017,-,-,383.7,-,KALLANG,1.3036,103.8635,CRAWFORD,CENTRAL
9474,2013,Feb,190018,165.5,-,-,-,KALLANG,1.3032,103.8624,CRAWFORD,CENTRAL
9475,2013,Feb,190019,163.2,-,-,-,KALLANG,1.3035,103.8621,CRAWFORD,CENTRAL
9476,2013,Feb,190461,-,-,-,450.0,KALLANG,1.305,103.861,CRAWFORD,CENTRAL
9477,2013,Feb,190462,-,263.3,-,430.8,KALLANG,1.3048,103.8609,CRAWFORD,CENTRAL
9478,2013,Feb,190463,-,244.4,-,-,KALLANG,1.3052,103.8618,CRAWFORD,CENTRAL
9479,2013,Feb,190466,-,-,311.5,-,KALLANG,1.3051,103.8625,CRAWFORD,CENTRAL
9480,2013,Feb,190467,-,257.3,-,679.6,KALLANG,1.3056,103.8633,CRAWFORD,CENTRAL
9481,2013,Feb,190468,-,271.6,-,419.0,KALLANG,1.3055,103.8633,CRAWFORD,CENTRAL
18091,2013,Mar,190002,-,303.8,-,-,KALLANG,1.3038,103.865,CRAWFORD,CENTRAL
18092,2013,Mar,190003,-,292.2,-,-,KALLANG,1.3045,103.8657,CRAWFORD,CENTRAL
18093,2013,Mar,190004,95.4,-,-,-,KALLANG,1.3048,103.865,CRAWFORD,CENTRAL
18094,2013,Mar,190005,96.6,-,-,-,KALLANG,1.304,103.8653,CRAWFORD,CENTRAL
18095,2013,Mar,190006,129.6,-,-,-,KALLANG,1.3036,103.8639,CRAWFORD,CENTRAL
18096,2013,Mar,190007,122.5,-,-,-,KALLANG,1.3048,103.8634,CRAWFORD,CENTRAL
18097,2013,Mar,190008,114.3,-,-,-,KALLANG,1.305,103.8637,CRAWFORD,CENTRAL
18098,2013,Mar,190009,114.0,-,-,-,KALLANG,1.305,103.8643,CRAWFORD,CENTRAL
18099,2013,Mar,190010,107.6,-,-,-,KALLANG,1.3055,103.8635,CRAWFORD,CENTRAL
18100,2013,Mar,190012,-,-,-,404.8,KALLANG,1.3046,103.8627,CRAWFORD,CENTRAL
18101,2013,Mar,190015,-,-,368.6,-,KALLANG,1.3035,103.8633,CRAWFORD,CENTRAL
18102,2013,Mar,190017,-,-,401.3,-,KALLANG,1.3036,103.8635,CRAWFORD,CENTRAL
18103,2013,Mar,190018,173.5,-,-,-,KALLANG,1.3032,103.8624,CRAWFORD,CENTRAL
18104,2013,Mar,190019,181.0,-,-,-,KALLANG,1.3035,103.8621,CRAWFORD,CENTRAL
18105,2013,Mar,190461,-,-,-,450.6,KALLANG,1.305,103.861,CRAWFORD,CENTRAL
18106,2013,Mar,190462,-,242.7,-,379.8,KALLANG,1.3048,103.8609,CRAWFORD,CENTRAL
18107,2013,Mar,190463,-,208.0,-,-,KALLANG,1.3052,103.8618,CRAWFORD,CENTRAL
18108,2013,Mar,190466,-,-,247.7,-,KALLANG,1.3051,103.8625,CRAWFORD,CENTRAL
18109,2013,Mar,190467,-,222.6,-,560.2,KALLANG,1.3056,103.8633,CRAWFORD,CENTRAL
18110,2013,Mar,190468,-,216.0,-,388.7,KALLANG,1.3055,103.8633,CRAWFORD,CENTRAL
26745,2013,Apr,190002,-,283.0,-,-,KALLANG,1.3038,103.865,CRAWFORD,CENTRAL
26746,2013,Apr,190003,-,266.1,-,-,KALLANG,1.3045,103.8657,CRAWFORD,CENTRAL
26747,2013,Apr,190004,85.5,-,-,-,KALLANG,1.3048,103.865,CRAWFORD,CENTRAL
26748,2013,Apr,190005,95.5,-,-,-,KALLANG,1.304,103.8653,CRAWFORD,CENTRAL
26749,2013,Apr,190006,121.0,-,-,-,KALLANG,1.3036,103.8639,CRAWFORD,CENTRAL
26750,2013,Apr,190007,108.0,-,-,-,KALLANG,1.3048,103.8634,CRAWFORD,CENTRAL
26751,2013,Apr,190008,108.9,-,-,-,KALLANG,1.305,103.8637,CRAWFORD,CENTRAL
26752,2013,Apr,190009,110.7,-,-,-,KALLANG,1.305,103.8643,CRAWFORD,CENTRAL
26753,2013,Apr,190010,101.7,-,-,-,KALLANG,1.3055,103.8635,CRAWFORD,CENTRAL
26754,2013,Apr,190012,-,-,-,91.4,KALLANG,1.3046,103.8627,CRAWFORD,CENTRAL
26755,2013,Apr,190015,-,-,322.4,-,KALLANG,1.3035,103.8633,CRAWFORD,CENTRAL
26756,2013,Apr,190017,-,-,352.8,-,KALLANG,1.3036,103.8635,CRAWFORD,CENTRAL
26757,2013,Apr,190018,194.2,-,-,-,KALLANG,1.3032,103.8624,CRAWFORD,CENTRAL
26758,2013,Apr,190019,211.2,-,-,-,KALLANG,1.3035,103.8621,CRAWFORD,CENTRAL
26759,2013,Apr,190461,-,-,-,452.3,KALLANG,1.305,103.861,CRAWFORD,CENTRAL
26760,2013,Apr,190462,-,254.9,-,405.5,KALLANG,1.3048,103.8609,CRAWFORD,CENTRAL
26761,2013,Apr,190463,-,223.2,-,-,KALLANG,1.3052,103.8618,CRAWFORD,CENTRAL
26762,2013,Apr,190466,-,-,279.8,-,KALLANG,1.3051,103.8625,CRAWFORD,CENTRAL
26763,2013,Apr,190467,-,242.0,-,620.0,KALLANG,1.3056,103.8633,CRAWFORD,CENTRAL
26764,2013,Apr,190468,-,244.6,-,404.0,KALLANG,1.3055,103.8633,CRAWFORD,CENTRAL
35435,2013,May,190002,-,388.0,-,-,KALLANG,1.3038,103.865,CRAWFORD,CENTRAL
35436,2013,May,190003,-,340.2,-,-,KALLANG,1.3045,103.8657,CRAWFORD,CENTRAL
35437,2013,May,190004,109.4,-,-,-,KALLANG,1.3048,103.865,CRAWFORD,CENTRAL
35438,2013,May,190005,131.5,-,-,-,KALLANG,1.304,103.8653,CRAWFORD,CENTRAL
35439,2013,May,190006,159.4,-,-,-,KALLANG,1.3036,103.8639,CRAWFORD,CENTRAL
35440,2013,May,190007,136.8,-,-,-,KALLANG,1.3048,103.8634,CRAWFORD,CENTRAL
35441,2013,May,190008,139.9,-,-,-,KALLANG,1.305,103.8637,CRAWFORD,CENTRAL
35442,2013,May,190009,153.3,-,-,-,KALLANG,1.305,103.8643,CRAWFORD,CENTRAL
35443,2013,May,190010,134.1,-,-,-,KALLANG,1.3055,103.8635,CRAWFORD,CENTRAL
35444,2013,May,190012,-,-,-,530.8,KALLANG,1.3046,103.8627,CRAWFORD,CENTRAL
35445,2013,May,190015,-,-,445.1,-,KALLANG,1.3035,103.8633,CRAWFORD,CENTRAL
35446,2013,May,190017,-,-,467.2,-,KALLANG,1.3036,103.8635,CRAWFORD,CENTRAL
35447,2013,May,190018,181.1,-,-,-,KALLANG,1.3032,103.8624,CRAWFORD,CENTRAL
35448,2013,May,190019,192.8,-,-,-,KALLANG,1.3035,103.8621,CRAWFORD,CENTRAL
35449,2013,May,190461,-,-,-,573.0,KALLANG,1.305,103.861,CRAWFORD,CENTRAL
35450,2013,May,190462,-,336.1,-,479.3,KALLANG,1.3048,103.8609,CRAWFORD,CENTRAL
35451,2013,May,190463,-,308.1,-,-,KALLANG,1.3052,103.8618,CRAWFORD,CENTRAL
35452,2013,May,190466,-,-,390.5,-,KALLANG,1.3051,103.8625,CRAWFORD,CENTRAL
35453,2013,May,190467,-,342.9,-,838.8,KALLANG,1.3056,103.8633,CRAWFORD,CENTRAL
35454,2013,May,190468,-,351.5,-,611.0,KALLANG,1.3055,103.8633,CRAWFORD,CENTRAL
44019,2013,Jun,190002,-,376.4,-,-,KALLANG,1.3038,103.865,CRAWFORD,CENTRAL
44020,2013,Jun,190003,-,342.2,-,-,KALLANG,1.3045,103.8657,CRAWFORD,CENTRAL
44021,2013,Jun,190004,108.8,-,-,-,KALLANG,1.3048,103.865,CRAWFORD,CENTRAL
44022,2013,Jun,190005,126.3,-,-,-,KALLANG,1.304,103.8653,CRAWFORD,CENTRAL
44023,2013,Jun,190006,158.3,-,-,-,KALLANG,1.3036,103.8639,CRAWFORD,CENTRAL
44024,2013,Jun,190007,136.7,-,-,-,KALLANG,1.3048,103.8634,CRAWFORD,CENTRAL
44025,2013,Jun,190008,137.5,-,-,-,KALLANG,1.305,103.8637,CRAWFORD,CENTRAL
44026,2013,Jun,190009,147.9,-,-,-,KALLANG,1.305,103.8643,CRAWFORD,CENTRAL
44027,2013,Jun,190010,132.3,-,-,-,KALLANG,1.3055,103.8635,CRAWFORD,CENTRAL
44028,2013,Jun,190012,-,-,-,502.4,KALLANG,1.3046,103.8627,CRAWFORD,CENTRAL
