index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
131,2013,Jan,100113,-,-,-,340.5,BUKIT MERAH,1.2816,103.8073,DEPOT ROAD,CENTRAL
132,2013,Jan,100114,-,-,-,364.6,BUKIT MERAH,1.2818,103.8071,DEPOT ROAD,CENTRAL
134,2013,Jan,101103,-,-,316.4,-,BUKIT MERAH,1.2805,103.8134,DEPOT ROAD,CENTRAL
135,2013,Jan,101104,-,-,304.6,405.4,BUKIT MERAH,1.2806,103.8124,DEPOT ROAD,CENTRAL
136,2013,Jan,101106,-,-,328.5,351.7,BUKIT MERAH,1.2808,103.811,DEPOT ROAD,CENTRAL
137,2013,Jan,101109,-,-,342.8,356.5,BUKIT MERAH,1.2811,103.8095,DEPOT ROAD,CENTRAL
138,2013,Jan,101111,-,-,295.8,365.6,BUKIT MERAH,1.2812,103.8088,DEPOT ROAD,CENTRAL
139,2013,Jan,101112,-,-,260.3,376.2,BUKIT MERAH,1.2817,103.8081,DEPOT ROAD,CENTRAL
141,2013,Jan,102103,-,-,375.8,338.5,BUKIT MERAH,1.2807,103.813,DEPOT ROAD,CENTRAL
142,2013,Jan,102104,-,-,336.0,390.2,BUKIT MERAH,1.2806,103.812,DEPOT ROAD,CENTRAL
143,2013,Jan,102106,-,-,299.5,368.6,BUKIT MERAH,1.2807,103.8106,DEPOT ROAD,CENTRAL
144,2013,Jan,102109,-,-,284.1,314.4,BUKIT MERAH,1.2811,103.8092,DEPOT ROAD,CENTRAL
145,2013,Jan,102111,-,-,313.0,357.4,BUKIT MERAH,1.2813,103.8085,DEPOT ROAD,CENTRAL
146,2013,Jan,102112,-,-,229.0,310.4,BUKIT MERAH,1.2817,103.8076,DEPOT ROAD,CENTRAL
8774,2013,Feb,100113,-,-,-,362.2,BUKIT MERAH,1.2816,103.8073,DEPOT ROAD,CENTRAL
8775,2013,Feb,100114,-,-,-,405.8,BUKIT MERAH,1.2818,103.8071,DEPOT ROAD,CENTRAL
8777,2013,Feb,101103,-,-,346.4,-,BUKIT MERAH,1.2805,103.8134,DEPOT ROAD,CENTRAL
8778,2013,Feb,101104,-,-,326.8,431.2,BUKIT MERAH,1.2806,103.8124,DEPOT ROAD,CENTRAL
8779,2013,Feb,101106,-,-,379.8,387.5,BUKIT MERAH,1.2808,103.811,DEPOT ROAD,CENTRAL
8780,2013,Feb,101109,-,-,382.7,388.5,BUKIT MERAH,1.2811,103.8095,DEPOT ROAD,CENTRAL
8781,2013,Feb,101111,-,-,353.3,393.9,BUKIT MERAH,1.2812,103.8088,DEPOT ROAD,CENTRAL
8782,2013,Feb,101112,-,-,298.0,439.6,BUKIT MERAH,1.2817,103.8081,DEPOT ROAD,CENTRAL
8784,2013,Feb,102103,-,-,393.9,351.5,BUKIT MERAH,1.2807,103.813,DEPOT ROAD,CENTRAL
8785,2013,Feb,102104,-,-,359.8,424.7,BUKIT MERAH,1.2806,103.812,DEPOT ROAD,CENTRAL
8786,2013,Feb,102106,-,-,323.5,414.8,BUKIT MERAH,1.2807,103.8106,DEPOT ROAD,CENTRAL
8787,2013,Feb,102109,-,-,301.5,346.3,BUKIT MERAH,1.2811,103.8092,DEPOT ROAD,CENTRAL
8788,2013,Feb,102111,-,-,347.2,385.1,BUKIT MERAH,1.2813,103.8085,DEPOT ROAD,CENTRAL
8789,2013,Feb,102112,-,-,287.6,368.5,BUKIT MERAH,1.2817,103.8076,DEPOT ROAD,CENTRAL
17408,2013,Mar,100113,-,-,-,333.3,BUKIT MERAH,1.2816,103.8073,DEPOT ROAD,CENTRAL
17409,2013,Mar,100114,-,-,-,394.9,BUKIT MERAH,1.2818,103.8071,DEPOT ROAD,CENTRAL
17411,2013,Mar,101103,-,-,295.4,-,BUKIT MERAH,1.2805,103.8134,DEPOT ROAD,CENTRAL
17412,2013,Mar,101104,-,-,255.8,379.6,BUKIT MERAH,1.2806,103.8124,DEPOT ROAD,CENTRAL
17413,2013,Mar,101106,-,-,334.1,347.0,BUKIT MERAH,1.2808,103.811,DEPOT ROAD,CENTRAL
17414,2013,Mar,101109,-,-,326.9,338.8,BUKIT MERAH,1.2811,103.8095,DEPOT ROAD,CENTRAL
17415,2013,Mar,101111,-,-,310.7,376.1,BUKIT MERAH,1.2812,103.8088,DEPOT ROAD,CENTRAL
17416,2013,Mar,101112,-,-,265.3,391.7,BUKIT MERAH,1.2817,103.8081,DEPOT ROAD,CENTRAL
17418,2013,Mar,102103,-,-,346.9,291.0,BUKIT MERAH,1.2807,103.813,DEPOT ROAD,CENTRAL
17419,2013,Mar,102104,-,-,306.3,358.7,BUKIT MERAH,1.2806,103.812,DEPOT ROAD,CENTRAL
17420,2013,Mar,102106,-,-,274.0,340.1,BUKIT MERAH,1.2807,103.8106,DEPOT ROAD,CENTRAL
17421,2013,Mar,102109,-,-,268.0,316.7,BUKIT MERAH,1.2811,103.8092,DEPOT ROAD,CENTRAL
17422,2013,Mar,102111,-,-,302.8,376.7,BUKIT MERAH,1.2813,103.8085,DEPOT ROAD,CENTRAL
17423,2013,Mar,102112,-,-,293.7,314.8,BUKIT MERAH,1.2817,103.8076,DEPOT ROAD,CENTRAL
26056,2013,Apr,100113,-,-,-,350.9,BUKIT MERAH,1.2816,103.8073,DEPOT ROAD,CENTRAL
26057,2013,Apr,100114,-,-,-,404.0,BUKIT MERAH,1.2818,103.8071,DEPOT ROAD,CENTRAL
26059,2013,Apr,101103,-,-,312.2,-,BUKIT MERAH,1.2805,103.8134,DEPOT ROAD,CENTRAL
26060,2013,Apr,101104,-,-,295.3,408.5,BUKIT MERAH,1.2806,103.8124,DEPOT ROAD,CENTRAL
26061,2013,Apr,101106,-,-,357.0,370.5,BUKIT MERAH,1.2808,103.811,DEPOT ROAD,CENTRAL
26062,2013,Apr,101109,-,-,355.4,364.0,BUKIT MERAH,1.2811,103.8095,DEPOT ROAD,CENTRAL
26063,2013,Apr,101111,-,-,317.7,381.2,BUKIT MERAH,1.2812,103.8088,DEPOT ROAD,CENTRAL
26064,2013,Apr,101112,-,-,282.5,416.2,BUKIT MERAH,1.2817,103.8081,DEPOT ROAD,CENTRAL
26066,2013,Apr,102103,-,-,373.2,322.1,BUKIT MERAH,1.2807,103.813,DEPOT ROAD,CENTRAL
26067,2013,Apr,102104,-,-,330.2,387.1,BUKIT MERAH,1.2806,103.812,DEPOT ROAD,CENTRAL
