index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
340,2013,Jan,130001,-,298.8,-,645.5,QUEENSTOWN,1.3027,103.7833,DOVER,CENTRAL
341,2013,Jan,130002,-,297.9,-,434.8,QUEENSTOWN,1.3032,103.783,DOVER,CENTRAL
342,2013,Jan,130003,-,292.9,-,515.7,QUEENSTOWN,1.3035,103.7821,DOVER,CENTRAL
343,2013,Jan,130004,194.6,-,-,-,QUEENSTOWN,1.3029,103.7825,DOVER,CENTRAL
344,2013,Jan,130005,-,264.4,412.9,-,QUEENSTOWN,1.304,103.7826,DOVER,CENTRAL
345,2013,Jan,130012,-,-,-,445.4,QUEENSTOWN,1.3051,103.7854,DOVER,CENTRAL
346,2013,Jan,130013,-,-,-,433.6,QUEENSTOWN,1.3053,103.7854,DOVER,CENTRAL
347,2013,Jan,130014,-,-,-,454.0,QUEENSTOWN,1.3058,103.7857,DOVER,CENTRAL
348,2013,Jan,130017,-,-,338.3,429.5,QUEENSTOWN,1.3076,103.783,DOVER,CENTRAL
349,2013,Jan,130018,-,-,338.1,449.8,QUEENSTOWN,1.3082,103.783,DOVER,CENTRAL
350,2013,Jan,130019,-,-,356.2,391.5,QUEENSTOWN,1.3079,103.7838,DOVER,CENTRAL
351,2013,Jan,130020,-,257.0,-,424.0,QUEENSTOWN,1.3068,103.7831,DOVER,CENTRAL
352,2013,Jan,130021,-,267.4,-,433.4,QUEENSTOWN,1.3075,103.7839,DOVER,CENTRAL
353,2013,Jan,130022,-,-,-,537.7,QUEENSTOWN,1.3071,103.7832,DOVER,CENTRAL
354,2013,Jan,130023,-,-,344.9,-,QUEENSTOWN,1.3075,103.7837,DOVER,CENTRAL
355,2013,Jan,130026,-,-,-,397.4,QUEENSTOWN,1.3059,103.7813,DOVER,CENTRAL
356,2013,Jan,130027,-,-,-,397.8,QUEENSTOWN,1.3058,103.7812,DOVER,CENTRAL
357,2013,Jan,130031,-,199.6,-,-,QUEENSTOWN,1.3002,103.7841,DOVER,CENTRAL
358,2013,Jan,130032,-,248.3,230.7,-,QUEENSTOWN,1.2999,103.784,DOVER,CENTRAL
359,2013,Jan,130034,-,318.5,188.4,-,QUEENSTOWN,1.3005,103.7825,DOVER,CENTRAL
360,2013,Jan,130035,-,227.1,209.8,-,QUEENSTOWN,1.2990000000000002,103.7834,DOVER,CENTRAL
361,2013,Jan,130036,-,-,267.8,-,QUEENSTOWN,1.2999,103.7831,DOVER,CENTRAL
362,2013,Jan,131028,-,-,341.6,423.2,QUEENSTOWN,1.3048,103.7821,DOVER,CENTRAL
363,2013,Jan,132028,-,211.4,318.9,-,QUEENSTOWN,1.3052,103.782,DOVER,CENTRAL
364,2013,Jan,133028,-,238.7,333.8,-,QUEENSTOWN,1.3055,103.7824,DOVER,CENTRAL
365,2013,Jan,134028,-,-,341.8,415.4,QUEENSTOWN,1.306,103.7825,DOVER,CENTRAL
8982,2013,Feb,130001,-,252.5,-,548.2,QUEENSTOWN,1.3027,103.7833,DOVER,CENTRAL
8983,2013,Feb,130002,-,234.9,-,582.0,QUEENSTOWN,1.3032,103.783,DOVER,CENTRAL
8984,2013,Feb,130003,-,253.4,-,455.3,QUEENSTOWN,1.3035,103.7821,DOVER,CENTRAL
8985,2013,Feb,130004,151.7,-,-,-,QUEENSTOWN,1.3029,103.7825,DOVER,CENTRAL
8986,2013,Feb,130005,-,223.7,324.6,-,QUEENSTOWN,1.304,103.7826,DOVER,CENTRAL
8987,2013,Feb,130012,-,-,-,397.3,QUEENSTOWN,1.3051,103.7854,DOVER,CENTRAL
8988,2013,Feb,130013,-,-,-,370.3,QUEENSTOWN,1.3053,103.7854,DOVER,CENTRAL
8989,2013,Feb,130014,-,-,-,344.4,QUEENSTOWN,1.3058,103.7857,DOVER,CENTRAL
8990,2013,Feb,130017,-,-,273.5,346.8,QUEENSTOWN,1.3076,103.783,DOVER,CENTRAL
8991,2013,Feb,130018,-,-,263.7,398.3,QUEENSTOWN,1.3082,103.783,DOVER,CENTRAL
8992,2013,Feb,130019,-,-,309.9,325.6,QUEENSTOWN,1.3079,103.7838,DOVER,CENTRAL
8993,2013,Feb,130020,-,217.2,-,341.6,QUEENSTOWN,1.3068,103.7831,DOVER,CENTRAL
8994,2013,Feb,130021,-,219.5,-,444.8,QUEENSTOWN,1.3075,103.7839,DOVER,CENTRAL
8995,2013,Feb,130022,-,-,-,436.1,QUEENSTOWN,1.3071,103.7832,DOVER,CENTRAL
8996,2013,Feb,130023,-,-,277.6,-,QUEENSTOWN,1.3075,103.7837,DOVER,CENTRAL
8997,2013,Feb,130026,-,-,-,341.4,QUEENSTOWN,1.3059,103.7813,DOVER,CENTRAL
8998,2013,Feb,130027,-,-,-,383.8,QUEENSTOWN,1.3058,103.7812,DOVER,CENTRAL
8999,2013,Feb,130030,-,-,50.9,-,QUEENSTOWN,1.2991,103.7844,DOVER,CENTRAL
9000,2013,Feb,130031,-,218.2,-,-,QUEENSTOWN,1.3002,103.7841,DOVER,CENTRAL
9001,2013,Feb,130032,-,198.6,196.0,-,QUEENSTOWN,1.2999,103.784,DOVER,CENTRAL
9002,2013,Feb,130034,-,211.6,165.9,-,QUEENSTOWN,1.3005,103.7825,DOVER,CENTRAL
9003,2013,Feb,130035,-,195.9,238.4,-,QUEENSTOWN,1.2990000000000002,103.7834,DOVER,CENTRAL
9004,2013,Feb,130036,-,-,110.8,-,QUEENSTOWN,1.2999,103.7831,DOVER,CENTRAL
9005,2013,Feb,130037,-,-,1.2,-,QUEENSTOWN,1.3002,103.7821,DOVER,CENTRAL
9006,2013,Feb,130039,-,-,-,5.1,QUEENSTOWN,1.2990000000000002,103.783,DOVER,CENTRAL
9007,2013,Feb,131028,-,-,279.1,352.8,QUEENSTOWN,1.3048,103.7821,DOVER,CENTRAL
9008,2013,Feb,132028,-,174.1,273.4,-,QUEENSTOWN,1.3052,103.782,DOVER,CENTRAL
9009,2013,Feb,133028,-,185.6,250.3,-,QUEENSTOWN,1.3055,103.7824,DOVER,CENTRAL
9010,2013,Feb,134028,-,-,290.9,368.0,QUEENSTOWN,1.306,103.7825,DOVER,CENTRAL
17612,2013,Mar,130001,-,274.7,-,511.7,QUEENSTOWN,1.3027,103.7833,DOVER,CENTRAL
17613,2013,Mar,130002,-,272.3,-,504.8,QUEENSTOWN,1.3032,103.783,DOVER,CENTRAL
17614,2013,Mar,130003,-,276.0,-,485.7,QUEENSTOWN,1.3035,103.7821,DOVER,CENTRAL
17615,2013,Mar,130004,170.2,-,-,-,QUEENSTOWN,1.3029,103.7825,DOVER,CENTRAL
17616,2013,Mar,130005,-,250.6,368.9,-,QUEENSTOWN,1.304,103.7826,DOVER,CENTRAL
17617,2013,Mar,130012,-,-,-,417.6,QUEENSTOWN,1.3051,103.7854,DOVER,CENTRAL
17618,2013,Mar,130013,-,-,-,391.5,QUEENSTOWN,1.3053,103.7854,DOVER,CENTRAL
17619,2013,Mar,130014,-,-,-,397.5,QUEENSTOWN,1.3058,103.7857,DOVER,CENTRAL
17620,2013,Mar,130017,-,-,304.7,391.5,QUEENSTOWN,1.3076,103.783,DOVER,CENTRAL
17621,2013,Mar,130018,-,-,302.9,439.9,QUEENSTOWN,1.3082,103.783,DOVER,CENTRAL
17622,2013,Mar,130019,-,-,331.5,358.6,QUEENSTOWN,1.3079,103.7838,DOVER,CENTRAL
17623,2013,Mar,130020,-,237.8,-,364.4,QUEENSTOWN,1.3068,103.7831,DOVER,CENTRAL
17624,2013,Mar,130021,-,238.0,-,477.8,QUEENSTOWN,1.3075,103.7839,DOVER,CENTRAL
17625,2013,Mar,130022,-,-,-,479.6,QUEENSTOWN,1.3071,103.7832,DOVER,CENTRAL
17626,2013,Mar,130023,-,-,310.0,-,QUEENSTOWN,1.3075,103.7837,DOVER,CENTRAL
17627,2013,Mar,130026,-,-,-,378.1,QUEENSTOWN,1.3059,103.7813,DOVER,CENTRAL
17628,2013,Mar,130027,-,-,-,396.6,QUEENSTOWN,1.3058,103.7812,DOVER,CENTRAL
17629,2013,Mar,130030,-,-,107.4,-,QUEENSTOWN,1.2991,103.7844,DOVER,CENTRAL
17630,2013,Mar,130031,-,196.6,232.2,-,QUEENSTOWN,1.3002,103.7841,DOVER,CENTRAL
17631,2013,Mar,130032,-,207.2,216.8,-,QUEENSTOWN,1.2999,103.784,DOVER,CENTRAL
17632,2013,Mar,130034,-,269.3,190.6,-,QUEENSTOWN,1.3005,103.7825,DOVER,CENTRAL
17633,2013,Mar,130035,-,208.4,230.5,-,QUEENSTOWN,1.2990000000000002,103.7834,DOVER,CENTRAL
17634,2013,Mar,130036,-,-,167.4,-,QUEENSTOWN,1.2999,103.7831,DOVER,CENTRAL
17635,2013,Mar,130037,-,-,296.3,-,QUEENSTOWN,1.3002,103.7821,DOVER,CENTRAL
17636,2013,Mar,130038,-,223.0,256.2,331.3,QUEENSTOWN,1.2991,103.7822,DOVER,CENTRAL
17637,2013,Mar,130039,-,-,-,275.8,QUEENSTOWN,1.2990000000000002,103.783,DOVER,CENTRAL
