index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
9,2013,Jan,80003,-,348.4,-,479.1,BUKIT MERAH,1.2771,103.8387,EVERTON PARK,CENTRAL
10,2013,Jan,80004,-,269.8,-,556.3,BUKIT MERAH,1.277,103.8401,EVERTON PARK,CENTRAL
11,2013,Jan,80005,-,315.1,-,570.6,BUKIT MERAH,1.2768,103.8394,EVERTON PARK,CENTRAL
12,2013,Jan,80006,-,330.3,-,494.4,BUKIT MERAH,1.2768,103.8388,EVERTON PARK,CENTRAL
13,2013,Jan,80007,-,355.6,-,-,BUKIT MERAH,1.2772,103.8398,EVERTON PARK,CENTRAL
15,2013,Jan,80009,-,227.0,414.7,382.3,BUKIT MERAH,1.2753,103.839,EVERTON PARK,CENTRAL
16,2013,Jan,80011,-,266.7,380.2,475.7,BUKIT MERAH,1.2746,103.8397,EVERTON PARK,CENTRAL
17,2013,Jan,80012,-,246.2,340.8,418.5,BUKIT MERAH,1.2745,103.8399,EVERTON PARK,CENTRAL
18,2013,Jan,80013,-,276.2,390.0,412.7,BUKIT MERAH,1.2748,103.8404,EVERTON PARK,CENTRAL
19,2013,Jan,80016,-,262.3,376.9,508.9,BUKIT MERAH,1.2739,103.8401,EVERTON PARK,CENTRAL
20,2013,Jan,80017,-,-,385.6,527.8,BUKIT MERAH,1.2739,103.84,EVERTON PARK,CENTRAL
21,2013,Jan,80018,-,280.8,398.7,449.7,BUKIT MERAH,1.2739,103.8393,EVERTON PARK,CENTRAL
22,2013,Jan,80019,-,-,441.3,450.9,BUKIT MERAH,1.2739,103.8388,EVERTON PARK,CENTRAL
23,2013,Jan,80101,-,-,439.7,-,BUKIT MERAH,1.2751,103.836,EVERTON PARK,CENTRAL
24,2013,Jan,80102,-,-,450.5,-,BUKIT MERAH,1.2749,103.8362,EVERTON PARK,CENTRAL
25,2013,Jan,80103,-,-,-,560.6,BUKIT MERAH,1.2749,103.8359,EVERTON PARK,CENTRAL
26,2013,Jan,80104,-,-,-,480.5,BUKIT MERAH,1.2748,103.8358,EVERTON PARK,CENTRAL
27,2013,Jan,80105,-,-,-,500.1,BUKIT MERAH,1.2746,103.8359,EVERTON PARK,CENTRAL
28,2013,Jan,80106,-,-,-,524.3,BUKIT MERAH,1.2736,103.8361,EVERTON PARK,CENTRAL
29,2013,Jan,80107,-,-,-,566.4,BUKIT MERAH,1.2736,103.8361,EVERTON PARK,CENTRAL
30,2013,Jan,80109,-,-,-,484.6,BUKIT MERAH,1.2743,103.8364,EVERTON PARK,CENTRAL
33,2013,Jan,81001,-,308.5,-,627.4,BUKIT MERAH,1.2773,103.84,EVERTON PARK,CENTRAL
34,2013,Jan,81002,-,288.2,-,549.2,BUKIT MERAH,1.2773,103.8394,EVERTON PARK,CENTRAL
37,2013,Jan,81008,-,217.8,412.8,444.8,BUKIT MERAH,1.2758,103.8388,EVERTON PARK,CENTRAL
38,2013,Jan,81110,-,-,-,457.2,BUKIT MERAH,1.2737,103.8362,EVERTON PARK,CENTRAL
789,2013,Jan,168790,67.8,132.5,-,-,BUKIT MERAH,1.2755,103.8302,EVERTON PARK,CENTRAL
8650,2013,Feb,80003,-,278.1,-,413.6,BUKIT MERAH,1.2771,103.8387,EVERTON PARK,CENTRAL
