index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
6370,2013,Jan,670401,-,-,307.7,394.3,BUKIT PANJANG,1.3808,103.7688,FAJAR,WEST
6371,2013,Jan,670402,-,-,310.3,353.1,BUKIT PANJANG,1.3809,103.7681,FAJAR,WEST
6372,2013,Jan,670403,-,-,359.1,-,BUKIT PANJANG,1.3813,103.768,FAJAR,WEST
6373,2013,Jan,670404,-,-,312.9,394.9,BUKIT PANJANG,1.3809,103.7674,FAJAR,WEST
6374,2013,Jan,670405,-,-,266.6,272.2,BUKIT PANJANG,1.3813,103.7674,FAJAR,WEST
6375,2013,Jan,670406,-,-,332.4,451.5,BUKIT PANJANG,1.3816,103.7674,FAJAR,WEST
6376,2013,Jan,670407,-,-,309.7,-,BUKIT PANJANG,1.3814,103.768,FAJAR,WEST
6377,2013,Jan,670408,-,-,-,468.3,BUKIT PANJANG,1.3816,103.7687,FAJAR,WEST
6378,2013,Jan,670409,-,-,346.4,342.2,BUKIT PANJANG,1.3825,103.7678,FAJAR,WEST
6379,2013,Jan,670410,-,-,-,392.5,BUKIT PANJANG,1.3823,103.7672,FAJAR,WEST
6380,2013,Jan,670411,-,-,-,471.8,BUKIT PANJANG,1.383,103.7676,FAJAR,WEST
6381,2013,Jan,670412,-,-,307.3,-,BUKIT PANJANG,1.3829,103.7682,FAJAR,WEST
6382,2013,Jan,670413,-,-,292.1,309.9,BUKIT PANJANG,1.3821,103.769,FAJAR,WEST
6383,2013,Jan,670414,-,-,368.1,254.0,BUKIT PANJANG,1.3827,103.769,FAJAR,WEST
6384,2013,Jan,670415,-,-,379.6,422.8,BUKIT PANJANG,1.3831,103.7689,FAJAR,WEST
6385,2013,Jan,670416,-,-,337.3,-,BUKIT PANJANG,1.3831,103.7684,FAJAR,WEST
6386,2013,Jan,670417,-,-,376.6,392.6,BUKIT PANJANG,1.3836,103.7686,FAJAR,WEST
6387,2013,Jan,670418,-,-,366.1,410.6,BUKIT PANJANG,1.3842,103.7689,FAJAR,WEST
6388,2013,Jan,670419,-,-,360.9,400.5,BUKIT PANJANG,1.3841,103.7694,FAJAR,WEST
6389,2013,Jan,670420,-,-,322.2,352.4,BUKIT PANJANG,1.3852,103.7697,FAJAR,WEST
6390,2013,Jan,670421,-,-,365.2,322.3,BUKIT PANJANG,1.3847,103.7701,FAJAR,WEST
6391,2013,Jan,670422,-,-,-,459.7,BUKIT PANJANG,1.3851,103.7697,FAJAR,WEST
6392,2013,Jan,670423,-,-,-,417.0,BUKIT PANJANG,1.3854,103.7694,FAJAR,WEST
6393,2013,Jan,670424,-,-,306.9,508.5,BUKIT PANJANG,1.3857,103.7693,FAJAR,WEST
6394,2013,Jan,670425,-,-,-,406.0,BUKIT PANJANG,1.3857,103.7694,FAJAR,WEST
6395,2013,Jan,670426,-,-,-,461.7,BUKIT PANJANG,1.3862,103.7696,FAJAR,WEST
6396,2013,Jan,670427,-,-,-,374.9,BUKIT PANJANG,1.3865,103.7699,FAJAR,WEST
6397,2013,Jan,670428,-,-,339.9,365.2,BUKIT PANJANG,1.3866,103.7699,FAJAR,WEST
6398,2013,Jan,670429,-,-,-,408.1,BUKIT PANJANG,1.3867,103.77,FAJAR,WEST
6399,2013,Jan,670430,-,-,315.4,427.0,BUKIT PANJANG,1.3865,103.7706,FAJAR,WEST
6400,2013,Jan,670431,-,-,302.6,-,BUKIT PANJANG,1.3861,103.7706,FAJAR,WEST
6401,2013,Jan,670432,-,-,342.2,384.0,BUKIT PANJANG,1.386,103.7712,FAJAR,WEST
6402,2013,Jan,670433,-,-,-,541.5,BUKIT PANJANG,1.3858,103.7712,FAJAR,WEST
