index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region,average
889,2013,Jan,260001,-,-,-,397.3,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,397.3
890,2013,Jan,260002,-,231.3,313.4,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,272.35
891,2013,Jan,260003,-,311.1,398.6,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,354.85
894,2013,Jan,260008,-,255.2,-,513,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,384.1
9545,2013,Feb,260001,-,-,-,371.9,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,371.9
9546,2013,Feb,260002,-,208.5,272.5,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,240.5
9547,2013,Feb,260003,-,311.8,376.1,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,343.95
9550,2013,Feb,260008,-,281.7,-,618.8,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,450.25
18174,2013,Mar,260001,-,-,-,392.7,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,392.7
18175,2013,Mar,260002,-,186,288.2,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,237.1
18176,2013,Mar,260003,-,316,391.9,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,353.95
18179,2013,Mar,260008,-,227,-,595,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,411.0
26828,2013,Apr,260001,-,-,-,440.4,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,440.4
26829,2013,Apr,260002,-,263.8,317.3,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,290.55
26830,2013,Apr,260003,-,309.1,396.7,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,352.9
26833,2013,Apr,260008,-,261.9,-,637.6,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,449.75
35518,2013,May,260001,-,-,-,430.5,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,430.5
35519,2013,May,260002,-,258.7,318.4,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,288.55
35520,2013,May,260003,-,323,400.1,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,361.55
35523,2013,May,260008,-,343.6,-,580.6,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,462.1
