index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
874,2013,Jan,210661,-,-,335.2,-,ROCHOR,1.307,103.8503,FARRER PARK,CENTRAL
875,2013,Jan,210662,-,256.7,336.8,-,ROCHOR,1.307,103.8503,FARRER PARK,CENTRAL
876,2013,Jan,210663,-,-,376.4,-,ROCHOR,1.3062,103.8513,FARRER PARK,CENTRAL
877,2013,Jan,210664,-,381.5,-,-,ROCHOR,1.3061,103.8513,FARRER PARK,CENTRAL
878,2013,Jan,210668,-,290.3,351.4,-,ROCHOR,1.3077,103.8515,FARRER PARK,CENTRAL
885,2013,Jan,211671,-,-,359.3,245.6,ROCHOR,1.3086,103.8523,FARRER PARK,CENTRAL
886,2013,Jan,211672,-,-,385.9,468.9,ROCHOR,1.3085,103.8524,FARRER PARK,CENTRAL
887,2013,Jan,212671,-,-,383.8,548.2,ROCHOR,1.3087,103.8525,FARRER PARK,CENTRAL
888,2013,Jan,212672,-,-,393.1,454.4,ROCHOR,1.3086,103.8525,FARRER PARK,CENTRAL
9530,2013,Feb,210661,-,-,283.9,-,ROCHOR,1.307,103.8503,FARRER PARK,CENTRAL
9531,2013,Feb,210662,-,206.9,282.4,-,ROCHOR,1.307,103.8503,FARRER PARK,CENTRAL
9532,2013,Feb,210663,-,-,313.1,-,ROCHOR,1.3062,103.8513,FARRER PARK,CENTRAL
9533,2013,Feb,210664,-,339.4,-,-,ROCHOR,1.3061,103.8513,FARRER PARK,CENTRAL
9534,2013,Feb,210668,-,239.9,285.7,-,ROCHOR,1.3077,103.8515,FARRER PARK,CENTRAL
9541,2013,Feb,211671,-,-,310.3,217.6,ROCHOR,1.3086,103.8523,FARRER PARK,CENTRAL
9542,2013,Feb,211672,-,-,298.7,393.3,ROCHOR,1.3085,103.8524,FARRER PARK,CENTRAL
9543,2013,Feb,212671,-,-,281.6,336.6,ROCHOR,1.3087,103.8525,FARRER PARK,CENTRAL
9544,2013,Feb,212672,-,-,318.6,361.6,ROCHOR,1.3086,103.8525,FARRER PARK,CENTRAL
18159,2013,Mar,210661,-,-,282.4,-,ROCHOR,1.307,103.8503,FARRER PARK,CENTRAL
18160,2013,Mar,210662,-,209.3,284.8,-,ROCHOR,1.307,103.8503,FARRER PARK,CENTRAL
18161,2013,Mar,210663,-,-,314.9,-,ROCHOR,1.3062,103.8513,FARRER PARK,CENTRAL
18162,2013,Mar,210664,-,325.7,-,-,ROCHOR,1.3061,103.8513,FARRER PARK,CENTRAL
18163,2013,Mar,210668,-,243.9,287.7,-,ROCHOR,1.3077,103.8515,FARRER PARK,CENTRAL
18170,2013,Mar,211671,-,-,308.2,209.3,ROCHOR,1.3086,103.8523,FARRER PARK,CENTRAL
18171,2013,Mar,211672,-,-,315.0,376.7,ROCHOR,1.3085,103.8524,FARRER PARK,CENTRAL
18172,2013,Mar,212671,-,-,301.7,399.2,ROCHOR,1.3087,103.8525,FARRER PARK,CENTRAL
18173,2013,Mar,212672,-,-,324.0,366.5,ROCHOR,1.3086,103.8525,FARRER PARK,CENTRAL
26813,2013,Apr,210661,-,-,346.1,-,ROCHOR,1.307,103.8503,FARRER PARK,CENTRAL
26814,2013,Apr,210662,-,295.0,355.4,-,ROCHOR,1.307,103.8503,FARRER PARK,CENTRAL
26815,2013,Apr,210663,-,-,397.7,-,ROCHOR,1.3062,103.8513,FARRER PARK,CENTRAL
26816,2013,Apr,210664,-,419.9,-,-,ROCHOR,1.3061,103.8513,FARRER PARK,CENTRAL
26817,2013,Apr,210668,-,323.2,372.3,-,ROCHOR,1.3077,103.8515,FARRER PARK,CENTRAL
26824,2013,Apr,211671,-,-,408.6,214.6,ROCHOR,1.3086,103.8523,FARRER PARK,CENTRAL
26825,2013,Apr,211672,-,-,429.4,524.9,ROCHOR,1.3085,103.8524,FARRER PARK,CENTRAL
26826,2013,Apr,212671,-,-,443.9,512.3,ROCHOR,1.3087,103.8525,FARRER PARK,CENTRAL
26827,2013,Apr,212672,-,-,393.4,561.0,ROCHOR,1.3086,103.8525,FARRER PARK,CENTRAL
35503,2013,May,210661,-,-,336.9,-,ROCHOR,1.307,103.8503,FARRER PARK,CENTRAL
35504,2013,May,210662,-,269.7,342.1,-,ROCHOR,1.307,103.8503,FARRER PARK,CENTRAL
35505,2013,May,210663,-,-,385.1,-,ROCHOR,1.3062,103.8513,FARRER PARK,CENTRAL
35506,2013,May,210664,-,356.6,-,-,ROCHOR,1.3061,103.8513,FARRER PARK,CENTRAL
35507,2013,May,210668,-,306.3,358.7,-,ROCHOR,1.3077,103.8515,FARRER PARK,CENTRAL
35514,2013,May,211671,-,-,391.1,235.2,ROCHOR,1.3086,103.8523,FARRER PARK,CENTRAL
35515,2013,May,211672,-,-,381.4,479.2,ROCHOR,1.3085,103.8524,FARRER PARK,CENTRAL
35516,2013,May,212671,-,-,401.1,489.8,ROCHOR,1.3087,103.8525,FARRER PARK,CENTRAL
35517,2013,May,212672,-,-,391.0,499.5,ROCHOR,1.3086,103.8525,FARRER PARK,CENTRAL
44087,2013,Jun,210661,-,-,386.1,-,ROCHOR,1.307,103.8503,FARRER PARK,CENTRAL
44088,2013,Jun,210662,-,287.8,373.3,-,ROCHOR,1.307,103.8503,FARRER PARK,CENTRAL
