index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
895,2013,Jan,270001,-,271.7,-,523.0,QUEENSTOWN,1.3124,103.786,GHIM MOH,CENTRAL
896,2013,Jan,270002,-,260.5,-,577.3,QUEENSTOWN,1.3117,103.7871,GHIM MOH,CENTRAL
897,2013,Jan,270003,-,272.7,-,266.0,QUEENSTOWN,1.3118,103.7873,GHIM MOH,CENTRAL
898,2013,Jan,270004,-,260.8,-,509.4,QUEENSTOWN,1.3129,103.7877,GHIM MOH,CENTRAL
899,2013,Jan,270005,-,272.2,-,487.0,QUEENSTOWN,1.3128,103.7877,GHIM MOH,CENTRAL
900,2013,Jan,270006,-,265.1,-,512.8,QUEENSTOWN,1.3119999999999998,103.7885,GHIM MOH,CENTRAL
901,2013,Jan,270007,-,-,-,429.0,QUEENSTOWN,1.3113,103.787,GHIM MOH,CENTRAL
902,2013,Jan,270008,-,-,-,403.2,QUEENSTOWN,1.3105,103.7872,GHIM MOH,CENTRAL
903,2013,Jan,270013,-,-,-,422.9,QUEENSTOWN,1.3097,103.789,GHIM MOH,CENTRAL
904,2013,Jan,270014,-,-,-,401.1,QUEENSTOWN,1.3090000000000002,103.789,GHIM MOH,CENTRAL
905,2013,Jan,270015,-,-,344.6,-,QUEENSTOWN,1.3090000000000002,103.7889,GHIM MOH,CENTRAL
906,2013,Jan,270016,166.2,-,-,-,QUEENSTOWN,1.3095,103.7881,GHIM MOH,CENTRAL
907,2013,Jan,270017,176.8,-,-,-,QUEENSTOWN,1.3103,103.7873,GHIM MOH,CENTRAL
908,2013,Jan,270018,167.1,-,-,-,QUEENSTOWN,1.3102,103.7871,GHIM MOH,CENTRAL
909,2013,Jan,270019,-,268.2,-,640.8,QUEENSTOWN,1.3116,103.7883,GHIM MOH,CENTRAL
910,2013,Jan,270026,157.0,208.9,-,-,QUEENSTOWN,1.3085,103.7858,GHIM MOH,CENTRAL
911,2013,Jan,270027,122.6,140.3,230.7,-,QUEENSTOWN,1.3085,103.7852,GHIM MOH,CENTRAL
912,2013,Jan,270028,-,-,285.1,341.3,QUEENSTOWN,1.3087,103.7848,GHIM MOH,CENTRAL
931,2013,Jan,271022,-,-,265.7,306.1,QUEENSTOWN,1.3094,103.7857,GHIM MOH,CENTRAL
932,2013,Jan,271023,-,-,284.2,405.6,QUEENSTOWN,1.3090000000000002,103.7863,GHIM MOH,CENTRAL
9551,2013,Feb,270001,-,222.9,-,529.5,QUEENSTOWN,1.3124,103.786,GHIM MOH,CENTRAL
9552,2013,Feb,270002,-,246.9,-,420.7,QUEENSTOWN,1.3117,103.7871,GHIM MOH,CENTRAL
9553,2013,Feb,270003,-,270.7,-,136.8,QUEENSTOWN,1.3118,103.7873,GHIM MOH,CENTRAL
9554,2013,Feb,270004,-,230.6,-,446.8,QUEENSTOWN,1.3129,103.7877,GHIM MOH,CENTRAL
9555,2013,Feb,270005,-,247.6,-,439.5,QUEENSTOWN,1.3128,103.7877,GHIM MOH,CENTRAL
9556,2013,Feb,270006,-,232.3,-,510.3,QUEENSTOWN,1.3119999999999998,103.7885,GHIM MOH,CENTRAL
9557,2013,Feb,270007,-,-,-,384.8,QUEENSTOWN,1.3113,103.787,GHIM MOH,CENTRAL
9558,2013,Feb,270008,-,-,-,330.7,QUEENSTOWN,1.3105,103.7872,GHIM MOH,CENTRAL
9559,2013,Feb,270013,-,-,-,365.6,QUEENSTOWN,1.3097,103.789,GHIM MOH,CENTRAL
9560,2013,Feb,270014,-,-,-,375.1,QUEENSTOWN,1.3090000000000002,103.789,GHIM MOH,CENTRAL
9561,2013,Feb,270015,-,-,320.8,-,QUEENSTOWN,1.3090000000000002,103.7889,GHIM MOH,CENTRAL
