index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
6168,2013,Jan,650501,-,251.7,-,-,BUKIT BATOK,1.3516,103.755,GUILIN,WEST
6169,2013,Jan,650503,-,220.7,-,-,BUKIT BATOK,1.3516,103.7537,GUILIN,WEST
6170,2013,Jan,650506,-,194.0,-,-,BUKIT BATOK,1.3524,103.7546,GUILIN,WEST
6171,2013,Jan,650507,-,217.3,-,-,BUKIT BATOK,1.3523,103.7539,GUILIN,WEST
6172,2013,Jan,650508,-,262.6,363.1,-,BUKIT BATOK,1.3526,103.7545,GUILIN,WEST
6173,2013,Jan,650509,-,306.8,321.0,-,BUKIT BATOK,1.3526,103.7541,GUILIN,WEST
6174,2013,Jan,650510,-,-,367.6,437.0,BUKIT BATOK,1.3525,103.7549,GUILIN,WEST
6175,2013,Jan,650511,-,-,312.8,438.6,BUKIT BATOK,1.3526,103.7538,GUILIN,WEST
6176,2013,Jan,650512,-,-,-,496.1,BUKIT BATOK,1.354,103.7527,GUILIN,WEST
6177,2013,Jan,650513,-,-,280.7,486.0,BUKIT BATOK,1.3541,103.7525,GUILIN,WEST
6178,2013,Jan,650514,-,-,395.4,427.8,BUKIT BATOK,1.3544,103.7526,GUILIN,WEST
6179,2013,Jan,650523,-,229.2,-,506.5,BUKIT BATOK,1.3568,103.7525,GUILIN,WEST
6180,2013,Jan,650524,-,-,-,449.1,BUKIT BATOK,1.3572,103.7526,GUILIN,WEST
6181,2013,Jan,650525,-,202.7,351.1,-,BUKIT BATOK,1.357,103.7521,GUILIN,WEST
6182,2013,Jan,650526,-,-,-,442.6,BUKIT BATOK,1.357,103.7511,GUILIN,WEST
6183,2013,Jan,650527,-,289.8,384.3,-,BUKIT BATOK,1.3572,103.7515,GUILIN,WEST
6184,2013,Jan,650530,-,261.3,316.9,-,BUKIT BATOK,1.3563,103.751,GUILIN,WEST
6185,2013,Jan,650531,-,-,342.0,454.1,BUKIT BATOK,1.3564,103.7509,GUILIN,WEST
6186,2013,Jan,650532,-,-,356.5,363.1,BUKIT BATOK,1.356,103.7492,GUILIN,WEST
6187,2013,Jan,650533,-,236.8,-,464.4,BUKIT BATOK,1.356,103.7499,GUILIN,WEST
6188,2013,Jan,650534,-,263.2,-,517.3,BUKIT BATOK,1.3561,103.7506,GUILIN,WEST
6189,2013,Jan,650535,-,-,-,451.7,BUKIT BATOK,1.355,103.7505,GUILIN,WEST
6190,2013,Jan,650536,-,230.1,370.8,-,BUKIT BATOK,1.3554,103.7512,GUILIN,WEST
6191,2013,Jan,650537,-,260.9,332.2,-,BUKIT BATOK,1.3552,103.7508,GUILIN,WEST
6192,2013,Jan,650539,-,242.1,377.7,-,BUKIT BATOK,1.3546,103.7509,GUILIN,WEST
6193,2013,Jan,650540,-,216.6,373.7,-,BUKIT BATOK,1.3545,103.7513,GUILIN,WEST
6194,2013,Jan,650541,-,-,377.3,390.8,BUKIT BATOK,1.354,103.7515,GUILIN,WEST
6195,2013,Jan,650542,-,-,-,420.8,BUKIT BATOK,1.3541,103.7512,GUILIN,WEST
14804,2013,Feb,650501,-,232.6,-,-,BUKIT BATOK,1.3516,103.755,GUILIN,WEST
14805,2013,Feb,650503,-,214.7,-,-,BUKIT BATOK,1.3516,103.7537,GUILIN,WEST
14806,2013,Feb,650506,-,183.0,-,-,BUKIT BATOK,1.3524,103.7546,GUILIN,WEST
