index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
6230,2013,Jan,670101,-,-,-,370.8,BUKIT PANJANG,1.3791,103.7676,JELEBU,WEST
6231,2013,Jan,670102,-,198.1,306.3,-,BUKIT PANJANG,1.3787,103.7679,JELEBU,WEST
6232,2013,Jan,670103,-,267.7,305.0,-,BUKIT PANJANG,1.3786,103.7682,JELEBU,WEST
6233,2013,Jan,670104,-,213.2,296.9,-,BUKIT PANJANG,1.3788,103.7679,JELEBU,WEST
6234,2013,Jan,670105,-,194.3,308.7,-,BUKIT PANJANG,1.3783,103.7679,JELEBU,WEST
6235,2013,Jan,670106,-,251.1,388.5,-,BUKIT PANJANG,1.3779,103.7673,JELEBU,WEST
6236,2013,Jan,670107,-,-,-,454.1,BUKIT PANJANG,1.3782,103.7666,JELEBU,WEST
6237,2013,Jan,670108,-,265.4,361.5,-,BUKIT PANJANG,1.378,103.7665,JELEBU,WEST
6238,2013,Jan,670109,-,282.3,185.1,-,BUKIT PANJANG,1.378,103.7681,JELEBU,WEST
6239,2013,Jan,670110,-,-,300.0,379.3,BUKIT PANJANG,1.3779,103.7683,JELEBU,WEST
6240,2013,Jan,670111,-,-,258.3,387.3,BUKIT PANJANG,1.3781,103.7682,JELEBU,WEST
6241,2013,Jan,670112,-,193.7,408.4,-,BUKIT PANJANG,1.3785,103.7688,JELEBU,WEST
6242,2013,Jan,670113,-,184.8,396.2,-,BUKIT PANJANG,1.3782,103.7694,JELEBU,WEST
6243,2013,Jan,670114,-,202.2,-,-,BUKIT PANJANG,1.3779,103.7698,JELEBU,WEST
6244,2013,Jan,670115,-,238.8,363.7,-,BUKIT PANJANG,1.3781,103.7691,JELEBU,WEST
6245,2013,Jan,670116,-,253.4,311.5,-,BUKIT PANJANG,1.3772,103.7687,JELEBU,WEST
6246,2013,Jan,670117,-,194.8,356.0,-,BUKIT PANJANG,1.3771,103.7682,JELEBU,WEST
6247,2013,Jan,670118,-,248.1,361.9,-,BUKIT PANJANG,1.3769999999999998,103.7684,JELEBU,WEST
6248,2013,Jan,670119,-,206.7,371.7,-,BUKIT PANJANG,1.3767,103.769,JELEBU,WEST
6249,2013,Jan,670120,-,-,288.8,361.5,BUKIT PANJANG,1.3771,103.7696,JELEBU,WEST
6250,2013,Jan,670121,-,-,291.3,385.1,BUKIT PANJANG,1.3773,103.7695,JELEBU,WEST
6251,2013,Jan,670122,-,251.9,297.9,-,BUKIT PANJANG,1.3779,103.7698,JELEBU,WEST
6252,2013,Jan,670123,-,249.3,308.8,-,BUKIT PANJANG,1.3774,103.7707,JELEBU,WEST
6253,2013,Jan,670124,-,-,-,491.6,BUKIT PANJANG,1.3769999999999998,103.771,JELEBU,WEST
6254,2013,Jan,670125,-,253.1,326.6,-,BUKIT PANJANG,1.3774,103.7705,JELEBU,WEST
6255,2013,Jan,670126,-,230.8,320.6,-,BUKIT PANJANG,1.3762,103.7699,JELEBU,WEST
6256,2013,Jan,670127,-,234.6,253.6,-,BUKIT PANJANG,1.3767,103.769,JELEBU,WEST
6257,2013,Jan,670128,-,254.4,348.1,-,BUKIT PANJANG,1.3762,103.7697,JELEBU,WEST
6258,2013,Jan,670129,-,-,-,454.3,BUKIT PANJANG,1.376,103.7704,JELEBU,WEST
6259,2013,Jan,670130,-,-,-,408.0,BUKIT PANJANG,1.3741,103.7712,JELEBU,WEST
6260,2013,Jan,670131,-,231.0,320.1,-,BUKIT PANJANG,1.3745,103.7708,JELEBU,WEST
6261,2013,Jan,670132,-,213.0,283.2,-,BUKIT PANJANG,1.3742,103.7706,JELEBU,WEST
6262,2013,Jan,670133,-,-,-,411.1,BUKIT PANJANG,1.3742,103.7699,JELEBU,WEST
6263,2013,Jan,670134,-,-,-,511.4,BUKIT PANJANG,1.3746,103.769,JELEBU,WEST
6264,2013,Jan,670135,-,-,-,365.5,BUKIT PANJANG,1.3739,103.769,JELEBU,WEST
6265,2013,Jan,670136,-,-,248.8,356.9,BUKIT PANJANG,1.3746,103.7688,JELEBU,WEST
6266,2013,Jan,670137,-,209.9,294.5,-,BUKIT PANJANG,1.3752,103.7695,JELEBU,WEST
6267,2013,Jan,670138,-,-,-,387.5,BUKIT PANJANG,1.3752,103.7703,JELEBU,WEST
6268,2013,Jan,670139,-,192.2,303.1,-,BUKIT PANJANG,1.3752,103.7697,JELEBU,WEST
6269,2013,Jan,670140,-,-,301.5,365.9,BUKIT PANJANG,1.3755,103.7688,JELEBU,WEST
6270,2013,Jan,670141,-,-,287.7,297.8,BUKIT PANJANG,1.376,103.7681,JELEBU,WEST
6271,2013,Jan,670142,-,235.8,319.2,-,BUKIT PANJANG,1.3764,103.7677,JELEBU,WEST
6272,2013,Jan,670143,-,187.5,354.9,-,BUKIT PANJANG,1.3764,103.7675,JELEBU,WEST
6273,2013,Jan,670144,-,-,-,427.5,BUKIT PANJANG,1.3762,103.7669,JELEBU,WEST
6274,2013,Jan,670145,-,-,308.6,467.8,BUKIT PANJANG,1.376,103.7668,JELEBU,WEST
6275,2013,Jan,670146,-,-,254.1,317.0,BUKIT PANJANG,1.3758,103.7661,JELEBU,WEST
6276,2013,Jan,670147,-,-,-,360.1,BUKIT PANJANG,1.376,103.7657,JELEBU,WEST
6277,2013,Jan,670148,-,203.5,276.6,-,BUKIT PANJANG,1.3758,103.7661,JELEBU,WEST
6278,2013,Jan,670149,-,196.5,332.9,-,BUKIT PANJANG,1.3769,103.7667,JELEBU,WEST
6279,2013,Jan,670150,-,246.8,309.0,-,BUKIT PANJANG,1.3769,103.7668,JELEBU,WEST
6280,2013,Jan,670151,-,-,-,384.7,BUKIT PANJANG,1.3772,103.7664,JELEBU,WEST
6281,2013,Jan,670152,-,-,-,297.9,BUKIT PANJANG,1.3752,103.7658,JELEBU,WEST
6282,2013,Jan,670153,-,-,-,322.8,BUKIT PANJANG,1.3749,103.7654,JELEBU,WEST
6283,2013,Jan,670154,-,-,-,320.1,BUKIT PANJANG,1.3748,103.765,JELEBU,WEST
6284,2013,Jan,670155,-,-,-,421.9,BUKIT PANJANG,1.3753,103.7649,JELEBU,WEST
6285,2013,Jan,670163,-,-,258.6,308.5,BUKIT PANJANG,1.3762,103.7643,JELEBU,WEST
6286,2013,Jan,670164,-,-,326.6,331.7,BUKIT PANJANG,1.3763,103.765,JELEBU,WEST
6287,2013,Jan,670165,-,-,306.2,324.2,BUKIT PANJANG,1.3769999999999998,103.7654,JELEBU,WEST
6288,2013,Jan,670166,-,-,322.9,323.8,BUKIT PANJANG,1.3772,103.7655,JELEBU,WEST
6289,2013,Jan,670167,-,-,303.9,368.5,BUKIT PANJANG,1.3776,103.765,JELEBU,WEST
6290,2013,Jan,670168,-,-,329.0,353.9,BUKIT PANJANG,1.3775,103.7643,JELEBU,WEST
6291,2013,Jan,670170,-,-,308.5,379.4,BUKIT PANJANG,1.3784,103.7661,JELEBU,WEST
6292,2013,Jan,670171,-,-,295.7,345.5,BUKIT PANJANG,1.3789,103.7663,JELEBU,WEST
6293,2013,Jan,670172,-,-,290.2,341.9,BUKIT PANJANG,1.3793,103.7668,JELEBU,WEST
6294,2013,Jan,670173,-,-,291.8,294.3,BUKIT PANJANG,1.3796,103.7672,JELEBU,WEST
6295,2013,Jan,670174,-,-,304.4,300.2,BUKIT PANJANG,1.3801,103.7661,JELEBU,WEST
6296,2013,Jan,670175,-,-,343.4,351.1,BUKIT PANJANG,1.3797,103.7658,JELEBU,WEST
6297,2013,Jan,670176,-,-,326.3,326.4,BUKIT PANJANG,1.3792,103.7657,JELEBU,WEST
6298,2013,Jan,670177,-,-,285.9,315.6,BUKIT PANJANG,1.3804,103.7655,JELEBU,WEST
6299,2013,Jan,670178,-,-,312.1,293.4,BUKIT PANJANG,1.3801,103.7647,JELEBU,WEST
