index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
1457,2013,Jan,381112,-,-,456.4,-,KALLANG,1.3119999999999998,103.8735,KAMPONG BUGIS,CENTRAL
1458,2013,Jan,381113,-,-,374.3,-,KALLANG,1.3117,103.8739,KAMPONG BUGIS,CENTRAL
1459,2013,Jan,381114,-,-,460.4,495.8,KALLANG,1.3114,103.874,KAMPONG BUGIS,CENTRAL
10111,2013,Feb,381111,-,-,353.0,550.0,KALLANG,1.3125,103.8741,KAMPONG BUGIS,CENTRAL
10112,2013,Feb,381112,-,-,402.7,-,KALLANG,1.3119999999999998,103.8735,KAMPONG BUGIS,CENTRAL
10113,2013,Feb,381113,-,-,317.1,-,KALLANG,1.3117,103.8739,KAMPONG BUGIS,CENTRAL
10114,2013,Feb,381114,-,-,419.8,409.8,KALLANG,1.3114,103.874,KAMPONG BUGIS,CENTRAL
18743,2013,Mar,381111,-,-,395.9,641.8,KALLANG,1.3125,103.8741,KAMPONG BUGIS,CENTRAL
18744,2013,Mar,381112,-,-,401.6,-,KALLANG,1.3119999999999998,103.8735,KAMPONG BUGIS,CENTRAL
18745,2013,Mar,381113,-,-,323.7,-,KALLANG,1.3117,103.8739,KAMPONG BUGIS,CENTRAL
18746,2013,Mar,381114,-,-,411.3,422.9,KALLANG,1.3114,103.874,KAMPONG BUGIS,CENTRAL
27406,2013,Apr,381111,-,-,378.1,780.5,KALLANG,1.3125,103.8741,KAMPONG BUGIS,CENTRAL
27407,2013,Apr,381112,-,-,426.1,-,KALLANG,1.3119999999999998,103.8735,KAMPONG BUGIS,CENTRAL
27408,2013,Apr,381113,-,-,349.8,-,KALLANG,1.3117,103.8739,KAMPONG BUGIS,CENTRAL
27409,2013,Apr,381114,-,-,419.3,474.9,KALLANG,1.3114,103.874,KAMPONG BUGIS,CENTRAL
36094,2013,May,381111,-,-,416.9,784.8,KALLANG,1.3125,103.8741,KAMPONG BUGIS,CENTRAL
36095,2013,May,381112,-,-,455.6,-,KALLANG,1.3119999999999998,103.8735,KAMPONG BUGIS,CENTRAL
36096,2013,May,381113,-,-,359.6,-,KALLANG,1.3117,103.8739,KAMPONG BUGIS,CENTRAL
36097,2013,May,381114,-,-,459.4,497.5,KALLANG,1.3114,103.874,KAMPONG BUGIS,CENTRAL
44677,2013,Jun,381111,-,-,473.3,822.0,KALLANG,1.3125,103.8741,KAMPONG BUGIS,CENTRAL
44678,2013,Jun,381112,-,-,523.5,-,KALLANG,1.3119999999999998,103.8735,KAMPONG BUGIS,CENTRAL
44679,2013,Jun,381113,-,-,410.7,-,KALLANG,1.3117,103.8739,KAMPONG BUGIS,CENTRAL
44680,2013,Jun,381114,-,-,515.7,495.4,KALLANG,1.3114,103.874,KAMPONG BUGIS,CENTRAL
53348,2013,Jul,381111,-,-,467.0,755.4,KALLANG,1.3125,103.8741,KAMPONG BUGIS,CENTRAL
53349,2013,Jul,381112,-,-,513.3,-,KALLANG,1.3119999999999998,103.8735,KAMPONG BUGIS,CENTRAL
53350,2013,Jul,381113,-,-,409.1,-,KALLANG,1.3117,103.8739,KAMPONG BUGIS,CENTRAL
53351,2013,Jul,381114,-,-,464.2,516.4,KALLANG,1.3114,103.874,KAMPONG BUGIS,CENTRAL
62024,2013,Aug,381111,-,-,481.5,788.7,KALLANG,1.3125,103.8741,KAMPONG BUGIS,CENTRAL
62025,2013,Aug,381112,-,-,524.7,-,KALLANG,1.3119999999999998,103.8735,KAMPONG BUGIS,CENTRAL
