index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
852,2013,Jan,210009,-,-,406.0,-,KALLANG,1.3137,103.8518,KAMPONG JAVA,CENTRAL
853,2013,Jan,210010,-,270.6,-,-,KALLANG,1.3138,103.8521,KAMPONG JAVA,CENTRAL
854,2013,Jan,210011,-,-,423.6,483.1,KALLANG,1.3126,103.8518,KAMPONG JAVA,CENTRAL
855,2013,Jan,210012,-,303.2,384.2,-,KALLANG,1.3121,103.8516,KAMPONG JAVA,CENTRAL
856,2013,Jan,210013,-,-,402.6,471.4,KALLANG,1.3118,103.8512,KAMPONG JAVA,CENTRAL
857,2013,Jan,210015,-,262.7,369.0,-,KALLANG,1.311,103.8516,KAMPONG JAVA,CENTRAL
858,2013,Jan,210037,-,-,381.1,604.3,KALLANG,1.3167,103.8494,KAMPONG JAVA,CENTRAL
859,2013,Jan,210038,-,-,415.3,427.6,KALLANG,1.3164,103.8489,KAMPONG JAVA,CENTRAL
860,2013,Jan,210039,-,-,400.1,517.4,KALLANG,1.3162,103.8486,KAMPONG JAVA,CENTRAL
861,2013,Jan,210040,-,-,449.2,416.5,KALLANG,1.3156,103.8486,KAMPONG JAVA,CENTRAL
862,2013,Jan,210041,-,-,380.7,-,KALLANG,1.3157,103.8499,KAMPONG JAVA,CENTRAL
863,2013,Jan,210042,-,-,428.8,-,KALLANG,1.3157,103.8498,KAMPONG JAVA,CENTRAL
864,2013,Jan,210043,-,-,419.7,-,KALLANG,1.3153,103.8493,KAMPONG JAVA,CENTRAL
865,2013,Jan,210046,-,341.2,341.8,-,KALLANG,1.3152,103.8507,KAMPONG JAVA,CENTRAL
866,2013,Jan,210047,131.5,-,-,-,KALLANG,1.3149,103.8502,KAMPONG JAVA,CENTRAL
867,2013,Jan,210048,-,-,-,339.3,KALLANG,1.3143,103.8505,KAMPONG JAVA,CENTRAL
868,2013,Jan,210049,-,270.7,-,-,KALLANG,1.3127,103.8501,KAMPONG JAVA,CENTRAL
869,2013,Jan,210050,-,273.4,407.3,590.0,KALLANG,1.3133,103.8508,KAMPONG JAVA,CENTRAL
870,2013,Jan,210051,-,-,405.1,-,KALLANG,1.3166,103.851,KAMPONG JAVA,CENTRAL
871,2013,Jan,210052,-,-,400.1,-,KALLANG,1.3164,103.8515,KAMPONG JAVA,CENTRAL
872,2013,Jan,210053,-,-,335.4,-,KALLANG,1.3166,103.852,KAMPONG JAVA,CENTRAL
873,2013,Jan,210054,-,-,-,401.7,KALLANG,1.3169,103.8528,KAMPONG JAVA,CENTRAL
