index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
8185,2013,Jan,760775,-,-,352.7,447.5,YISHUN,1.4221,103.8326,KHATIB,NORTH
8186,2013,Jan,760776,-,-,310.5,449.2,YISHUN,1.4225,103.834,KHATIB,NORTH
8187,2013,Jan,760777,-,259.9,-,-,YISHUN,1.422,103.8343,KHATIB,NORTH
8188,2013,Jan,760778,-,304.8,385.8,-,YISHUN,1.4221,103.8338,KHATIB,NORTH
8189,2013,Jan,760779,-,312.4,509.0,-,YISHUN,1.4221,103.8333,KHATIB,NORTH
8190,2013,Jan,760781,-,288.7,380.9,-,YISHUN,1.422,103.8323,KHATIB,NORTH
8191,2013,Jan,760782,-,283.0,336.9,-,YISHUN,1.4219,103.8319,KHATIB,NORTH
8192,2013,Jan,760783,-,257.5,408.5,-,YISHUN,1.4219,103.8323,KHATIB,NORTH
8193,2013,Jan,760784,-,317.8,380.6,-,YISHUN,1.4217,103.8336,KHATIB,NORTH
8194,2013,Jan,760785,-,-,350.9,440.1,YISHUN,1.4217,103.8341,KHATIB,NORTH
8195,2013,Jan,760786,-,-,401.3,411.3,YISHUN,1.4215,103.8324,KHATIB,NORTH
8196,2013,Jan,760787,-,-,367.1,405.3,YISHUN,1.4209,103.8322,KHATIB,NORTH
8197,2013,Jan,760788,-,-,417.7,414.7,YISHUN,1.421,103.8336,KHATIB,NORTH
8198,2013,Jan,760789,-,222.2,-,-,YISHUN,1.4206,103.8341,KHATIB,NORTH
8199,2013,Jan,760790,-,-,409.4,447.7,YISHUN,1.4202,103.8339,KHATIB,NORTH
8200,2013,Jan,760791,-,-,-,552.9,YISHUN,1.4206,103.8334,KHATIB,NORTH
8201,2013,Jan,760792,-,-,-,517.4,YISHUN,1.4205,103.8326,KHATIB,NORTH
8202,2013,Jan,760793,-,-,-,625.6,YISHUN,1.4206,103.832,KHATIB,NORTH
8203,2013,Jan,760794,-,-,340.5,470.8,YISHUN,1.4202,103.8321,KHATIB,NORTH
8204,2013,Jan,760795,-,-,309.5,437.0,YISHUN,1.4198,103.8328,KHATIB,NORTH
8205,2013,Jan,760796,-,-,309.6,441.6,YISHUN,1.4192,103.8329,KHATIB,NORTH
8206,2013,Jan,760797,-,316.1,-,-,YISHUN,1.4193,103.8335,KHATIB,NORTH
8207,2013,Jan,760798,-,-,353.4,469.9,YISHUN,1.419,103.8327,KHATIB,NORTH
8208,2013,Jan,760799,-,-,414.7,479.1,YISHUN,1.4193,103.8327,KHATIB,NORTH
8209,2013,Jan,760800,-,-,393.6,-,YISHUN,1.4186,103.8321,KHATIB,NORTH
8210,2013,Jan,760801,-,292.8,409.4,-,YISHUN,1.4181,103.8321,KHATIB,NORTH
8211,2013,Jan,760802,-,263.7,431.6,-,YISHUN,1.4187,103.8318,KHATIB,NORTH
8212,2013,Jan,760803,-,250.4,413.6,-,YISHUN,1.4184,103.8312,KHATIB,NORTH
8213,2013,Jan,760804,-,-,358.3,445.7,YISHUN,1.4178,103.8313,KHATIB,NORTH
8214,2013,Jan,760805,-,-,376.0,431.4,YISHUN,1.4175,103.8316,KHATIB,NORTH
8215,2013,Jan,760806,-,250.1,443.0,-,YISHUN,1.4171,103.831,KHATIB,NORTH
8216,2013,Jan,760807,-,226.3,331.1,-,YISHUN,1.4167,103.8314,KHATIB,NORTH
8217,2013,Jan,760808,-,339.6,378.8,-,YISHUN,1.4169999999999998,103.831,KHATIB,NORTH
8218,2013,Jan,760809,-,-,384.9,419.3,YISHUN,1.4166,103.8311,KHATIB,NORTH
8219,2013,Jan,760810,-,-,338.5,428.5,YISHUN,1.4166,103.8313,KHATIB,NORTH
8220,2013,Jan,760811,-,259.6,-,-,YISHUN,1.4165,103.8321,KHATIB,NORTH
8221,2013,Jan,760812,-,-,356.0,497.8,YISHUN,1.4168,103.8323,KHATIB,NORTH
8295,2013,Jan,761796,-,234.3,512.0,-,YISHUN,1.4193,103.8332,KHATIB,NORTH
16818,2013,Feb,760775,-,-,324.9,401.1,YISHUN,1.4221,103.8326,KHATIB,NORTH
16819,2013,Feb,760776,-,-,290.5,408.9,YISHUN,1.4225,103.834,KHATIB,NORTH
16820,2013,Feb,760777,-,225.8,-,-,YISHUN,1.422,103.8343,KHATIB,NORTH
16821,2013,Feb,760778,-,273.4,375.2,-,YISHUN,1.4221,103.8338,KHATIB,NORTH
