index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
958,2013,Jan,310025,-,256.6,-,-,TOA PAYOH,1.3335,103.8569,KIM KEAT,CENTRAL
959,2013,Jan,310026,-,264.6,-,-,TOA PAYOH,1.3333,103.8566,KIM KEAT,CENTRAL
960,2013,Jan,310027,-,263.0,-,-,TOA PAYOH,1.3322,103.8563,KIM KEAT,CENTRAL
1061,2013,Jan,310194,-,309.5,-,726.2,TOA PAYOH,1.331,103.8583,KIM KEAT,CENTRAL
1062,2013,Jan,310195,-,286.7,-,436.1,TOA PAYOH,1.3306,103.8586,KIM KEAT,CENTRAL
1096,2013,Jan,310241,-,-,382.4,410.1,TOA PAYOH,1.3306,103.8557,KIM KEAT,CENTRAL
1097,2013,Jan,310242,-,-,498.0,413.6,TOA PAYOH,1.3299,103.8559,KIM KEAT,CENTRAL
1098,2013,Jan,310243,-,-,499.1,557.2,TOA PAYOH,1.3302,103.8563,KIM KEAT,CENTRAL
1099,2013,Jan,310244,-,-,392.1,454.9,TOA PAYOH,1.3306,103.8563,KIM KEAT,CENTRAL
1100,2013,Jan,310245,-,-,418.5,258.2,TOA PAYOH,1.3312,103.8566,KIM KEAT,CENTRAL
1101,2013,Jan,310246,-,-,417.7,466.0,TOA PAYOH,1.3309,103.8562,KIM KEAT,CENTRAL
1102,2013,Jan,310247,-,-,393.4,486.0,TOA PAYOH,1.3312,103.8554,KIM KEAT,CENTRAL
1103,2013,Jan,310248,-,-,403.7,479.6,TOA PAYOH,1.3315,103.8563,KIM KEAT,CENTRAL
1104,2013,Jan,310249,-,-,369.2,466.2,TOA PAYOH,1.3314,103.8567,KIM KEAT,CENTRAL
1105,2013,Jan,310250,-,-,369.4,490.0,TOA PAYOH,1.3319,103.8564,KIM KEAT,CENTRAL
1106,2013,Jan,310251,-,-,414.1,568.3,TOA PAYOH,1.3315,103.8571,KIM KEAT,CENTRAL
1107,2013,Jan,310252,-,-,438.3,520.3,TOA PAYOH,1.3312,103.8572,KIM KEAT,CENTRAL
1108,2013,Jan,310253,-,-,359.6,421.7,TOA PAYOH,1.3311,103.8583,KIM KEAT,CENTRAL
1109,2013,Jan,310254,-,-,-,493.7,TOA PAYOH,1.3317,103.8583,KIM KEAT,CENTRAL
1110,2013,Jan,310255,-,-,379.6,389.4,TOA PAYOH,1.3316,103.858,KIM KEAT,CENTRAL
1111,2013,Jan,310256,-,-,407.6,400.8,TOA PAYOH,1.3321,103.8583,KIM KEAT,CENTRAL
1112,2013,Jan,310257,-,-,-,534.0,TOA PAYOH,1.3325,103.8573,KIM KEAT,CENTRAL
1113,2013,Jan,310258,-,-,399.8,420.0,TOA PAYOH,1.3328,103.8578,KIM KEAT,CENTRAL
1114,2013,Jan,310259,-,-,374.0,465.2,TOA PAYOH,1.3336,103.8578,KIM KEAT,CENTRAL
9614,2013,Feb,310025,-,284.2,-,-,TOA PAYOH,1.3335,103.8569,KIM KEAT,CENTRAL
9615,2013,Feb,310026,-,287.9,-,-,TOA PAYOH,1.3333,103.8566,KIM KEAT,CENTRAL
9616,2013,Feb,310027,-,285.0,-,-,TOA PAYOH,1.3322,103.8563,KIM KEAT,CENTRAL
9717,2013,Feb,310194,-,288.1,-,554.4,TOA PAYOH,1.331,103.8583,KIM KEAT,CENTRAL
9718,2013,Feb,310195,-,263.0,-,402.6,TOA PAYOH,1.3306,103.8586,KIM KEAT,CENTRAL
9751,2013,Feb,310241,-,-,345.0,337.7,TOA PAYOH,1.3306,103.8557,KIM KEAT,CENTRAL
9752,2013,Feb,310242,-,-,432.3,410.8,TOA PAYOH,1.3299,103.8559,KIM KEAT,CENTRAL
9753,2013,Feb,310243,-,-,404.3,471.5,TOA PAYOH,1.3302,103.8563,KIM KEAT,CENTRAL
9754,2013,Feb,310244,-,-,370.6,380.2,TOA PAYOH,1.3306,103.8563,KIM KEAT,CENTRAL
9755,2013,Feb,310245,-,-,428.6,333.8,TOA PAYOH,1.3312,103.8566,KIM KEAT,CENTRAL
9756,2013,Feb,310246,-,-,382.7,403.7,TOA PAYOH,1.3309,103.8562,KIM KEAT,CENTRAL
9757,2013,Feb,310247,-,-,366.0,439.2,TOA PAYOH,1.3312,103.8554,KIM KEAT,CENTRAL
9758,2013,Feb,310248,-,-,420.9,504.5,TOA PAYOH,1.3315,103.8563,KIM KEAT,CENTRAL
9759,2013,Feb,310249,-,-,371.5,501.9,TOA PAYOH,1.3314,103.8567,KIM KEAT,CENTRAL
9760,2013,Feb,310250,-,-,347.2,489.9,TOA PAYOH,1.3319,103.8564,KIM KEAT,CENTRAL
9761,2013,Feb,310251,-,-,395.1,537.3,TOA PAYOH,1.3315,103.8571,KIM KEAT,CENTRAL
9762,2013,Feb,310252,-,-,390.1,453.4,TOA PAYOH,1.3312,103.8572,KIM KEAT,CENTRAL
9763,2013,Feb,310253,-,-,301.1,328.0,TOA PAYOH,1.3311,103.8583,KIM KEAT,CENTRAL
9764,2013,Feb,310254,-,-,-,471.9,TOA PAYOH,1.3317,103.8583,KIM KEAT,CENTRAL
9765,2013,Feb,310255,-,-,335.4,350.4,TOA PAYOH,1.3316,103.858,KIM KEAT,CENTRAL
9766,2013,Feb,310256,-,-,344.9,337.4,TOA PAYOH,1.3321,103.8583,KIM KEAT,CENTRAL
9767,2013,Feb,310257,-,-,-,463.8,TOA PAYOH,1.3325,103.8573,KIM KEAT,CENTRAL
9768,2013,Feb,310258,-,-,340.2,338.3,TOA PAYOH,1.3328,103.8578,KIM KEAT,CENTRAL
9769,2013,Feb,310259,-,-,319.2,442.0,TOA PAYOH,1.3336,103.8578,KIM KEAT,CENTRAL
18243,2013,Mar,310025,-,260.4,-,-,TOA PAYOH,1.3335,103.8569,KIM KEAT,CENTRAL
18244,2013,Mar,310026,-,242.7,-,-,TOA PAYOH,1.3333,103.8566,KIM KEAT,CENTRAL
18245,2013,Mar,310027,-,259.2,-,-,TOA PAYOH,1.3322,103.8563,KIM KEAT,CENTRAL
18345,2013,Mar,310194,-,261.1,-,578.4,TOA PAYOH,1.331,103.8583,KIM KEAT,CENTRAL
18346,2013,Mar,310195,-,254.9,-,378.8,TOA PAYOH,1.3306,103.8586,KIM KEAT,CENTRAL
18381,2013,Mar,310241,-,-,329.6,342.9,TOA PAYOH,1.3306,103.8557,KIM KEAT,CENTRAL
18382,2013,Mar,310242,-,-,420.4,372.2,TOA PAYOH,1.3299,103.8559,KIM KEAT,CENTRAL
18383,2013,Mar,310243,-,-,415.0,465.3,TOA PAYOH,1.3302,103.8563,KIM KEAT,CENTRAL
18384,2013,Mar,310244,-,-,405.0,372.1,TOA PAYOH,1.3306,103.8563,KIM KEAT,CENTRAL
18385,2013,Mar,310245,-,-,373.1,306.7,TOA PAYOH,1.3312,103.8566,KIM KEAT,CENTRAL
18386,2013,Mar,310246,-,-,361.8,392.8,TOA PAYOH,1.3309,103.8562,KIM KEAT,CENTRAL
18387,2013,Mar,310247,-,-,347.9,469.2,TOA PAYOH,1.3312,103.8554,KIM KEAT,CENTRAL
18388,2013,Mar,310248,-,-,368.2,444.4,TOA PAYOH,1.3315,103.8563,KIM KEAT,CENTRAL
18389,2013,Mar,310249,-,-,334.8,438.7,TOA PAYOH,1.3314,103.8567,KIM KEAT,CENTRAL
18390,2013,Mar,310250,-,-,323.1,442.5,TOA PAYOH,1.3319,103.8564,KIM KEAT,CENTRAL
18391,2013,Mar,310251,-,-,366.0,499.2,TOA PAYOH,1.3315,103.8571,KIM KEAT,CENTRAL
18392,2013,Mar,310252,-,-,374.2,460.0,TOA PAYOH,1.3312,103.8572,KIM KEAT,CENTRAL
18393,2013,Mar,310253,-,-,298.4,338.5,TOA PAYOH,1.3311,103.8583,KIM KEAT,CENTRAL
18394,2013,Mar,310254,-,-,-,452.8,TOA PAYOH,1.3317,103.8583,KIM KEAT,CENTRAL
18395,2013,Mar,310255,-,-,323.3,345.8,TOA PAYOH,1.3316,103.858,KIM KEAT,CENTRAL
18396,2013,Mar,310256,-,-,336.7,343.5,TOA PAYOH,1.3321,103.8583,KIM KEAT,CENTRAL
18397,2013,Mar,310257,-,-,-,451.9,TOA PAYOH,1.3325,103.8573,KIM KEAT,CENTRAL
18398,2013,Mar,310258,-,-,335.0,350.3,TOA PAYOH,1.3328,103.8578,KIM KEAT,CENTRAL
18399,2013,Mar,310259,-,-,309.2,410.0,TOA PAYOH,1.3336,103.8578,KIM KEAT,CENTRAL
26897,2013,Apr,310025,-,282.9,-,-,TOA PAYOH,1.3335,103.8569,KIM KEAT,CENTRAL
26898,2013,Apr,310026,-,274.5,-,-,TOA PAYOH,1.3333,103.8566,KIM KEAT,CENTRAL
26899,2013,Apr,310027,-,284.2,-,-,TOA PAYOH,1.3322,103.8563,KIM KEAT,CENTRAL
26998,2013,Apr,310194,-,342.4,-,795.4,TOA PAYOH,1.331,103.8583,KIM KEAT,CENTRAL
26999,2013,Apr,310195,-,320.7,-,472.7,TOA PAYOH,1.3306,103.8586,KIM KEAT,CENTRAL
27033,2013,Apr,310241,-,-,385.5,426.4,TOA PAYOH,1.3306,103.8557,KIM KEAT,CENTRAL
27034,2013,Apr,310242,-,-,531.0,421.8,TOA PAYOH,1.3299,103.8559,KIM KEAT,CENTRAL
27035,2013,Apr,310243,-,-,449.3,487.3,TOA PAYOH,1.3302,103.8563,KIM KEAT,CENTRAL
27036,2013,Apr,310244,-,-,409.6,477.6,TOA PAYOH,1.3306,103.8563,KIM KEAT,CENTRAL
27037,2013,Apr,310245,-,-,490.9,380.0,TOA PAYOH,1.3312,103.8566,KIM KEAT,CENTRAL
27038,2013,Apr,310246,-,-,486.5,524.6,TOA PAYOH,1.3309,103.8562,KIM KEAT,CENTRAL
27039,2013,Apr,310247,-,-,482.8,578.1,TOA PAYOH,1.3312,103.8554,KIM KEAT,CENTRAL
27040,2013,Apr,310248,-,-,444.4,563.8,TOA PAYOH,1.3315,103.8563,KIM KEAT,CENTRAL
27041,2013,Apr,310249,-,-,379.3,499.2,TOA PAYOH,1.3314,103.8567,KIM KEAT,CENTRAL
27042,2013,Apr,310250,-,-,375.7,524.0,TOA PAYOH,1.3319,103.8564,KIM KEAT,CENTRAL
27043,2013,Apr,310251,-,-,512.4,608.6,TOA PAYOH,1.3315,103.8571,KIM KEAT,CENTRAL
27044,2013,Apr,310252,-,-,427.9,544.7,TOA PAYOH,1.3312,103.8572,KIM KEAT,CENTRAL
27045,2013,Apr,310253,-,-,401.3,590.3,TOA PAYOH,1.3311,103.8583,KIM KEAT,CENTRAL
27046,2013,Apr,310254,-,-,-,579.4,TOA PAYOH,1.3317,103.8583,KIM KEAT,CENTRAL
27047,2013,Apr,310255,-,-,409.0,441.4,TOA PAYOH,1.3316,103.858,KIM KEAT,CENTRAL
27048,2013,Apr,310256,-,-,461.9,498.5,TOA PAYOH,1.3321,103.8583,KIM KEAT,CENTRAL
