index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
827,2013,Jan,200001,157.5,-,-,-,KALLANG,1.3075,103.8589,LAVENDER,CENTRAL
828,2013,Jan,200002,167.9,-,-,-,KALLANG,1.3078,103.8591,LAVENDER,CENTRAL
829,2013,Jan,200008,97.4,-,-,-,KALLANG,1.3073,103.8606,LAVENDER,CENTRAL
844,2013,Jan,200802,-,245.0,-,-,KALLANG,1.3072,103.8604,LAVENDER,CENTRAL
845,2013,Jan,200805,186.8,-,-,-,KALLANG,1.3082,103.8608,LAVENDER,CENTRAL
846,2013,Jan,200807,-,-,-,412.0,KALLANG,1.3094,103.8613,LAVENDER,CENTRAL
847,2013,Jan,200811,123.2,-,-,-,KALLANG,1.3078,103.8612,LAVENDER,CENTRAL
848,2013,Jan,200813,-,-,338.8,339.8,KALLANG,1.3074,103.8623,LAVENDER,CENTRAL
849,2013,Jan,200815,-,-,344.0,375.6,KALLANG,1.3068,103.8615,LAVENDER,CENTRAL
850,2013,Jan,200816,-,-,338.4,339.8,KALLANG,1.3069,103.8611,LAVENDER,CENTRAL
851,2013,Jan,201007,107.4,-,-,-,KALLANG,1.3079,103.86,LAVENDER,CENTRAL
879,2013,Jan,210681,-,-,437.0,-,KALLANG,1.3139,103.8554,LAVENDER,CENTRAL
880,2013,Jan,210682,-,-,386.6,513.5,KALLANG,1.3142,103.8556,LAVENDER,CENTRAL
881,2013,Jan,210683,-,-,406.7,-,KALLANG,1.3146,103.8559,LAVENDER,CENTRAL
882,2013,Jan,210684,-,278.2,-,-,KALLANG,1.3141,103.8563,LAVENDER,CENTRAL
883,2013,Jan,210685,-,292.8,391.6,-,KALLANG,1.3142,103.8569,LAVENDER,CENTRAL
9482,2013,Feb,200001,137.5,-,-,-,KALLANG,1.3075,103.8589,LAVENDER,CENTRAL
9483,2013,Feb,200002,139.9,-,-,-,KALLANG,1.3078,103.8591,LAVENDER,CENTRAL
9484,2013,Feb,200008,104.0,-,-,-,KALLANG,1.3073,103.8606,LAVENDER,CENTRAL
9500,2013,Feb,200802,-,186.9,-,-,KALLANG,1.3072,103.8604,LAVENDER,CENTRAL
9501,2013,Feb,200805,149.5,-,-,-,KALLANG,1.3082,103.8608,LAVENDER,CENTRAL
9502,2013,Feb,200807,-,-,-,354.0,KALLANG,1.3094,103.8613,LAVENDER,CENTRAL
9503,2013,Feb,200811,88.6,-,-,-,KALLANG,1.3078,103.8612,LAVENDER,CENTRAL
9504,2013,Feb,200813,-,-,373.5,417.8,KALLANG,1.3074,103.8623,LAVENDER,CENTRAL
9505,2013,Feb,200815,-,-,363.1,400.5,KALLANG,1.3068,103.8615,LAVENDER,CENTRAL
9506,2013,Feb,200816,-,-,395.6,413.8,KALLANG,1.3069,103.8611,LAVENDER,CENTRAL
9507,2013,Feb,201007,111.0,-,-,-,KALLANG,1.3079,103.86,LAVENDER,CENTRAL
9535,2013,Feb,210681,-,-,409.2,-,KALLANG,1.3139,103.8554,LAVENDER,CENTRAL
