index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
3250,2013,Jan,530015,-,-,290.4,-,HOUGANG,1.3628,103.8919,LORONG AH SOO,NORTH-EAST
3251,2013,Jan,530016,-,-,-,396.8,HOUGANG,1.3630000000000002,103.8911,LORONG AH SOO,NORTH-EAST
3252,2013,Jan,530017,-,251.9,328.5,-,HOUGANG,1.3636,103.891,LORONG AH SOO,NORTH-EAST
3253,2013,Jan,530018,-,-,345.5,-,HOUGANG,1.3631,103.8919,LORONG AH SOO,NORTH-EAST
3254,2013,Jan,530019,-,301.0,364.4,-,HOUGANG,1.364,103.8918,LORONG AH SOO,NORTH-EAST
3255,2013,Jan,530020,-,270.1,343.4,-,HOUGANG,1.364,103.8907,LORONG AH SOO,NORTH-EAST
3256,2013,Jan,530021,-,278.7,-,-,HOUGANG,1.3641,103.8915,LORONG AH SOO,NORTH-EAST
3257,2013,Jan,530022,-,278.1,403.3,-,HOUGANG,1.3641,103.8904,LORONG AH SOO,NORTH-EAST
3258,2013,Jan,530023,-,254.4,-,-,HOUGANG,1.3648,103.8908,LORONG AH SOO,NORTH-EAST
3261,2013,Jan,530101,-,-,395.0,-,HOUGANG,1.3549,103.8912,LORONG AH SOO,NORTH-EAST
3262,2013,Jan,530102,-,312.8,381.8,-,HOUGANG,1.3547,103.8906,LORONG AH SOO,NORTH-EAST
3263,2013,Jan,530103,-,-,404.1,465.5,HOUGANG,1.3551,103.8905,LORONG AH SOO,NORTH-EAST
3264,2013,Jan,530106,-,262.1,372.6,-,HOUGANG,1.3539,103.8908,LORONG AH SOO,NORTH-EAST
3265,2013,Jan,530108,-,278.6,321.8,-,HOUGANG,1.3531,103.8896,LORONG AH SOO,NORTH-EAST
3266,2013,Jan,530109,-,255.9,-,-,HOUGANG,1.3551,103.8894,LORONG AH SOO,NORTH-EAST
3267,2013,Jan,530110,-,258.5,-,-,HOUGANG,1.3548,103.8895,LORONG AH SOO,NORTH-EAST
