index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
382,2013,Jan,140048,-,-,304.7,455.3,QUEENSTOWN,1.2937,103.8077,MARGARET DRIVE,CENTRAL
383,2013,Jan,140049,-,-,332.3,412.4,QUEENSTOWN,1.2942,103.8081,MARGARET DRIVE,CENTRAL
384,2013,Jan,140050,-,-,307.6,351.4,QUEENSTOWN,1.2937,103.8087,MARGARET DRIVE,CENTRAL
385,2013,Jan,140051,-,-,371.4,374.7,QUEENSTOWN,1.2935,103.8087,MARGARET DRIVE,CENTRAL
386,2013,Jan,140055,-,-,375.8,402.8,QUEENSTOWN,1.2934,103.8091,MARGARET DRIVE,CENTRAL
387,2013,Jan,140056,-,-,351.4,469.7,QUEENSTOWN,1.2934,103.8098,MARGARET DRIVE,CENTRAL
436,2013,Jan,140129,-,-,408.3,-,QUEENSTOWN,1.293,103.8143,MARGARET DRIVE,CENTRAL
437,2013,Jan,140130,-,-,392.0,-,QUEENSTOWN,1.2928,103.8146,MARGARET DRIVE,CENTRAL
438,2013,Jan,140131,-,-,-,470.5,QUEENSTOWN,1.2926,103.8146,MARGARET DRIVE,CENTRAL
439,2013,Jan,140132,-,-,-,511.6,QUEENSTOWN,1.2922,103.815,MARGARET DRIVE,CENTRAL
440,2013,Jan,140133,-,-,-,525.5,QUEENSTOWN,1.2925,103.8146,MARGARET DRIVE,CENTRAL
480,2013,Jan,141052,-,-,358.8,427.8,QUEENSTOWN,1.2932,103.8082,MARGARET DRIVE,CENTRAL
483,2013,Jan,141060,-,-,393.8,467.3,QUEENSTOWN,1.293,103.8116,MARGARET DRIVE,CENTRAL
484,2013,Jan,141080,-,-,426.8,404.9,QUEENSTOWN,1.2947,103.8097,MARGARET DRIVE,CENTRAL
485,2013,Jan,141081,-,-,381.3,442.5,QUEENSTOWN,1.2946,103.8091,MARGARET DRIVE,CENTRAL
486,2013,Jan,141082,-,-,393.4,490.6,QUEENSTOWN,1.2947,103.8086,MARGARET DRIVE,CENTRAL
487,2013,Jan,141083,-,-,372.3,508.7,QUEENSTOWN,1.2949,103.8081,MARGARET DRIVE,CENTRAL
498,2013,Jan,142058,-,-,369.5,396.2,QUEENSTOWN,1.2931,103.8107,MARGARET DRIVE,CENTRAL
499,2013,Jan,142059,-,-,398.1,462.0,QUEENSTOWN,1.293,103.8112,MARGARET DRIVE,CENTRAL
500,2013,Jan,142061,143.5,183.2,276.9,-,QUEENSTOWN,1.2937,103.8116,MARGARET DRIVE,CENTRAL
501,2013,Jan,142062,-,-,256.0,381.1,QUEENSTOWN,1.2942,103.8113,MARGARET DRIVE,CENTRAL
504,2013,Jan,143061,-,233.7,257.0,-,QUEENSTOWN,1.2938,103.8122,MARGARET DRIVE,CENTRAL
505,2013,Jan,143062,134.9,197.5,214.5,-,QUEENSTOWN,1.2943,103.8108,MARGARET DRIVE,CENTRAL
