index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
1684,2013,Jan,440001,-,-,-,382.6,MARINE PARADE,1.3047,103.9184,MARINE PARADE,CENTRAL
1685,2013,Jan,440002,-,-,-,474.0,MARINE PARADE,1.3046,103.9183,MARINE PARADE,CENTRAL
1686,2013,Jan,440003,-,-,-,426.1,MARINE PARADE,1.3047,103.9179,MARINE PARADE,CENTRAL
1687,2013,Jan,440004,-,267.3,-,625.8,MARINE PARADE,1.305,103.9177,MARINE PARADE,CENTRAL
1688,2013,Jan,440005,-,262.2,-,607.3,MARINE PARADE,1.3047,103.9173,MARINE PARADE,CENTRAL
1689,2013,Jan,440007,-,237.6,-,-,MARINE PARADE,1.3042,103.9171,MARINE PARADE,CENTRAL
1690,2013,Jan,440012,-,-,-,404.1,MARINE PARADE,1.3046,103.9159,MARINE PARADE,CENTRAL
1691,2013,Jan,440013,-,-,-,411.1,MARINE PARADE,1.3039,103.9157,MARINE PARADE,CENTRAL
1692,2013,Jan,440014,-,-,-,416.1,MARINE PARADE,1.3034,103.9154,MARINE PARADE,CENTRAL
1693,2013,Jan,440015,196.6,-,-,-,MARINE PARADE,1.3052,103.9139,MARINE PARADE,CENTRAL
1694,2013,Jan,440016,193.8,-,-,-,MARINE PARADE,1.3045,103.9142,MARINE PARADE,CENTRAL
1695,2013,Jan,440017,-,-,319.0,-,MARINE PARADE,1.3037,103.9146,MARINE PARADE,CENTRAL
1696,2013,Jan,440018,-,-,335.5,-,MARINE PARADE,1.3034,103.9145,MARINE PARADE,CENTRAL
1697,2013,Jan,440019,-,331.4,405.4,-,MARINE PARADE,1.3043,103.9147,MARINE PARADE,CENTRAL
1698,2013,Jan,440020,-,-,306.9,-,MARINE PARADE,1.3038,103.9147,MARINE PARADE,CENTRAL
1699,2013,Jan,440027,-,-,-,435.1,MARINE PARADE,1.3043,103.9133,MARINE PARADE,CENTRAL
1700,2013,Jan,440028,-,-,-,443.8,MARINE PARADE,1.3042,103.9131,MARINE PARADE,CENTRAL
1701,2013,Jan,440029,-,-,-,417.9,MARINE PARADE,1.3027,103.9132,MARINE PARADE,CENTRAL
1702,2013,Jan,440031,-,288.3,-,271.5,MARINE PARADE,1.3039,103.9116,MARINE PARADE,CENTRAL
1703,2013,Jan,440032,-,282.9,-,483.9,MARINE PARADE,1.3035,103.9121,MARINE PARADE,CENTRAL
1704,2013,Jan,440034,-,269.7,394.1,-,MARINE PARADE,1.304,103.9125,MARINE PARADE,CENTRAL
1705,2013,Jan,440035,-,262.0,393.4,-,MARINE PARADE,1.3032,103.9124,MARINE PARADE,CENTRAL
1706,2013,Jan,440043,-,-,-,485.6,MARINE PARADE,1.3055,103.9134,MARINE PARADE,CENTRAL
1707,2013,Jan,440044,-,-,-,398.2,MARINE PARADE,1.3047,103.9133,MARINE PARADE,CENTRAL
1708,2013,Jan,440045,-,-,355.5,-,MARINE PARADE,1.3047,103.9125,MARINE PARADE,CENTRAL
1709,2013,Jan,440051,195.4,-,-,-,MARINE PARADE,1.3063,103.9162,MARINE PARADE,CENTRAL
1710,2013,Jan,440052,202.4,-,-,-,MARINE PARADE,1.3057,103.9163,MARINE PARADE,CENTRAL
1711,2013,Jan,440053,192.1,-,-,-,MARINE PARADE,1.3053,103.9164,MARINE PARADE,CENTRAL
1712,2013,Jan,440054,-,-,367.9,-,MARINE PARADE,1.3055,103.915,MARINE PARADE,CENTRAL
1713,2013,Jan,440055,-,-,405.6,-,MARINE PARADE,1.3056,103.9141,MARINE PARADE,CENTRAL
1714,2013,Jan,440059,-,325.6,-,-,MARINE PARADE,1.3058,103.9145,MARINE PARADE,CENTRAL
1715,2013,Jan,440060,-,-,340.7,-,MARINE PARADE,1.3036,103.9084,MARINE PARADE,CENTRAL
1716,2013,Jan,440061,-,-,337.3,-,MARINE PARADE,1.3030000000000002,103.9088,MARINE PARADE,CENTRAL
1717,2013,Jan,440062,-,-,357.4,-,MARINE PARADE,1.3028,103.9089,MARINE PARADE,CENTRAL
1718,2013,Jan,440063,-,-,370.0,-,MARINE PARADE,1.3022,103.9089,MARINE PARADE,CENTRAL
1719,2013,Jan,440064,-,292.9,-,375.3,MARINE PARADE,1.3018,103.9091,MARINE PARADE,CENTRAL
1720,2013,Jan,440065,-,271.6,-,672.0,MARINE PARADE,1.3032,103.9092,MARINE PARADE,CENTRAL
1721,2013,Jan,440066,-,274.2,-,-,MARINE PARADE,1.3035,103.9092,MARINE PARADE,CENTRAL
1722,2013,Jan,440071,-,-,-,409.3,MARINE PARADE,1.3044,103.909,MARINE PARADE,CENTRAL
1723,2013,Jan,440072,-,-,-,389.5,MARINE PARADE,1.3044,103.9086,MARINE PARADE,CENTRAL
