index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
4841,2013,Jan,570201,-,-,-,579.0,BISHAN,1.3554,103.8468,MARYMOUNT,CENTRAL
4842,2013,Jan,570202,-,-,-,465.8,BISHAN,1.3551,103.8473,MARYMOUNT,CENTRAL
4843,2013,Jan,570203,-,-,461.8,564.8,BISHAN,1.3547,103.8475,MARYMOUNT,CENTRAL
4844,2013,Jan,570204,-,-,386.0,415.4,BISHAN,1.3547,103.8476,MARYMOUNT,CENTRAL
4845,2013,Jan,570205,-,-,380.1,381.3,BISHAN,1.3555,103.8477,MARYMOUNT,CENTRAL
4846,2013,Jan,570206,-,-,376.8,409.5,BISHAN,1.3556,103.8478,MARYMOUNT,CENTRAL
4847,2013,Jan,570207,-,-,397.0,491.0,BISHAN,1.3548,103.8482,MARYMOUNT,CENTRAL
4848,2013,Jan,570208,-,-,-,603.0,BISHAN,1.3553,103.8482,MARYMOUNT,CENTRAL
4849,2013,Jan,570209,-,-,432.9,442.5,BISHAN,1.3556,103.8486,MARYMOUNT,CENTRAL
4850,2013,Jan,570210,-,-,381.0,561.4,BISHAN,1.3558,103.8487,MARYMOUNT,CENTRAL
4851,2013,Jan,570211,-,-,414.7,499.2,BISHAN,1.3563,103.849,MARYMOUNT,CENTRAL
4852,2013,Jan,570212,-,-,-,578.1,BISHAN,1.3564,103.8482,MARYMOUNT,CENTRAL
4853,2013,Jan,570213,-,-,396.9,463.5,BISHAN,1.3573,103.8481,MARYMOUNT,CENTRAL
4854,2013,Jan,570214,-,-,396.7,540.8,BISHAN,1.3576,103.8484,MARYMOUNT,CENTRAL
4855,2013,Jan,570215,-,-,324.9,453.0,BISHAN,1.357,103.8486,MARYMOUNT,CENTRAL
4856,2013,Jan,570216,-,-,427.5,545.5,BISHAN,1.3566,103.8489,MARYMOUNT,CENTRAL
4857,2013,Jan,570217,-,-,401.2,454.8,BISHAN,1.3568,103.8495,MARYMOUNT,CENTRAL
4858,2013,Jan,570218,-,-,-,585.9,BISHAN,1.3569,103.8496,MARYMOUNT,CENTRAL
4859,2013,Jan,570219,-,-,-,544.4,BISHAN,1.3572,103.8495,MARYMOUNT,CENTRAL
4860,2013,Jan,570220,-,-,430.7,524.5,BISHAN,1.3576,103.8488,MARYMOUNT,CENTRAL
4861,2013,Jan,570221,-,-,395.4,487.2,BISHAN,1.3578,103.8489,MARYMOUNT,CENTRAL
4862,2013,Jan,570222,-,-,-,514.7,BISHAN,1.358,103.8482,MARYMOUNT,CENTRAL
4863,2013,Jan,570223,-,-,352.0,459.2,BISHAN,1.3584,103.8482,MARYMOUNT,CENTRAL
4864,2013,Jan,570224,-,-,329.5,378.4,BISHAN,1.3589,103.8477,MARYMOUNT,CENTRAL
4865,2013,Jan,570225,-,-,375.3,458.5,BISHAN,1.3587,103.8475,MARYMOUNT,CENTRAL
4866,2013,Jan,570226,-,-,361.1,549.0,BISHAN,1.3584,103.8473,MARYMOUNT,CENTRAL
4867,2013,Jan,570227,-,-,399.5,493.2,BISHAN,1.3582,103.8472,MARYMOUNT,CENTRAL
4868,2013,Jan,570228,-,-,410.6,386.9,BISHAN,1.3583,103.8471,MARYMOUNT,CENTRAL
