index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
8381,2013,Jan,820293,-,-,346.9,314.6,PUNGGOL,1.4031,103.9047,MATILDA,NORTH-EAST
8382,2013,Jan,820294,-,-,317.7,391.3,PUNGGOL,1.4029,103.9046,MATILDA,NORTH-EAST
8383,2013,Jan,820295,-,-,337.9,379.4,PUNGGOL,1.4018,103.9047,MATILDA,NORTH-EAST
8384,2013,Jan,820296,-,-,352.0,339.3,PUNGGOL,1.4016,103.9051,MATILDA,NORTH-EAST
8385,2013,Jan,820297,-,-,289.7,392.4,PUNGGOL,1.4023,103.9057,MATILDA,NORTH-EAST
8386,2013,Jan,820298,-,-,313.1,411.0,PUNGGOL,1.4025,103.9058,MATILDA,NORTH-EAST
8387,2013,Jan,820299,-,-,326.1,367.6,PUNGGOL,1.4031,103.9053,MATILDA,NORTH-EAST
8427,2013,Jan,821201,-,-,323.1,407.4,PUNGGOL,1.4002,103.9033,MATILDA,NORTH-EAST
8428,2013,Jan,821202,-,-,343.1,408.7,PUNGGOL,1.3996,103.9046,MATILDA,NORTH-EAST
8429,2013,Jan,821203,-,-,349.0,425.7,PUNGGOL,1.3985,103.9038,MATILDA,NORTH-EAST
8430,2013,Jan,821204,-,-,430.5,385.3,PUNGGOL,1.3989,103.9027,MATILDA,NORTH-EAST
8431,2013,Jan,821205,-,-,331.1,397.0,PUNGGOL,1.3985,103.902,MATILDA,NORTH-EAST
8432,2013,Jan,821206,149.3,-,-,-,PUNGGOL,1.3992,103.9016,MATILDA,NORTH-EAST
8433,2013,Jan,821207,-,-,14.8,15.1,PUNGGOL,1.4002,103.901,MATILDA,NORTH-EAST
8434,2013,Jan,821267,-,-,282.9,307.6,PUNGGOL,1.4045,103.8976,MATILDA,NORTH-EAST
8435,2013,Jan,821268,-,-,227.0,307.8,PUNGGOL,1.404,103.8974,MATILDA,NORTH-EAST
8436,2013,Jan,821269,-,-,229.7,297.4,PUNGGOL,1.403,103.8991,MATILDA,NORTH-EAST
8437,2013,Jan,821270,-,-,276.8,335.1,PUNGGOL,1.4039,103.8996,MATILDA,NORTH-EAST
8438,2013,Jan,821271,-,-,150.7,-,PUNGGOL,1.4038,103.9002,MATILDA,NORTH-EAST
8439,2013,Jan,821272,-,-,34.8,95.9,PUNGGOL,1.403,103.9009,MATILDA,NORTH-EAST
8440,2013,Jan,821273,-,-,237.2,-,PUNGGOL,1.4024,103.9023,MATILDA,NORTH-EAST
8441,2013,Jan,821274,-,-,228.4,-,PUNGGOL,1.4029,103.9026,MATILDA,NORTH-EAST
8442,2013,Jan,821288,-,-,242.4,322.6,PUNGGOL,1.4025,103.903,MATILDA,NORTH-EAST
8443,2013,Jan,821289,-,234.8,257.5,-,PUNGGOL,1.4015,103.9027,MATILDA,NORTH-EAST
8502,2013,Jan,822201,-,-,392.1,427.5,PUNGGOL,1.4002,103.9039,MATILDA,NORTH-EAST
8503,2013,Jan,822202,-,-,311.7,422.1,PUNGGOL,1.3992,103.9044,MATILDA,NORTH-EAST
8504,2013,Jan,822203,-,-,350.7,425.0,PUNGGOL,1.3979,103.9034,MATILDA,NORTH-EAST
8505,2013,Jan,822204,-,-,411.2,430.2,PUNGGOL,1.3989,103.9027,MATILDA,NORTH-EAST
8506,2013,Jan,822207,-,-,7.6,9.9,PUNGGOL,1.3988,103.9013,MATILDA,NORTH-EAST
8507,2013,Jan,822267,-,-,256.2,384.0,PUNGGOL,1.4044,103.898,MATILDA,NORTH-EAST
8508,2013,Jan,822270,-,-,292.6,296.2,PUNGGOL,1.4041,103.8991,MATILDA,NORTH-EAST
8509,2013,Jan,822271,-,-,260.2,270.1,PUNGGOL,1.4042,103.9004,MATILDA,NORTH-EAST
8510,2013,Jan,822272,-,-,78.5,77.5,PUNGGOL,1.4034,103.9,MATILDA,NORTH-EAST
8511,2013,Jan,822273,-,-,256.7,352.1,PUNGGOL,1.402,103.9017,MATILDA,NORTH-EAST
8512,2013,Jan,822274,-,-,238.6,290.4,PUNGGOL,1.403,103.9027,MATILDA,NORTH-EAST
8513,2013,Jan,822288,-,179.6,235.6,-,PUNGGOL,1.4029,103.9034,MATILDA,NORTH-EAST
8514,2013,Jan,822289,-,225.4,239.5,-,PUNGGOL,1.4012,103.9032,MATILDA,NORTH-EAST
8566,2013,Jan,823201,-,-,338.0,403.3,PUNGGOL,1.3993,103.9039,MATILDA,NORTH-EAST
8567,2013,Jan,823204,-,-,429.9,425.4,PUNGGOL,1.398,103.903,MATILDA,NORTH-EAST
8568,2013,Jan,823207,-,5.3,0.7,-,PUNGGOL,1.4006,103.9005,MATILDA,NORTH-EAST
8569,2013,Jan,823208,-,48.0,33.2,-,PUNGGOL,1.4011,103.9011,MATILDA,NORTH-EAST
8570,2013,Jan,823267,-,-,315.5,299.0,PUNGGOL,1.4043,103.8982,MATILDA,NORTH-EAST
8571,2013,Jan,823269,-,-,250.6,377.6,PUNGGOL,1.404,103.8989,MATILDA,NORTH-EAST
8572,2013,Jan,823270,-,-,253.8,220.3,PUNGGOL,1.4041,103.8989,MATILDA,NORTH-EAST
8573,2013,Jan,823271,-,-,219.5,151.7,PUNGGOL,1.404,103.9011,MATILDA,NORTH-EAST
8574,2013,Jan,823272,-,-,16.2,18.7,PUNGGOL,1.4028,103.9,MATILDA,NORTH-EAST
8575,2013,Jan,823273,-,-,224.4,303.1,PUNGGOL,1.4018,103.9011,MATILDA,NORTH-EAST
8576,2013,Jan,823274,-,-,261.4,217.5,PUNGGOL,1.4035,103.902,MATILDA,NORTH-EAST
8577,2013,Jan,823288,-,207.4,261.8,-,PUNGGOL,1.4027,103.9037,MATILDA,NORTH-EAST
8578,2013,Jan,823289,-,-,325.3,293.3,PUNGGOL,1.4015,103.9037,MATILDA,NORTH-EAST
8620,2013,Jan,824201,-,-,309.0,400.5,PUNGGOL,1.3998,103.9031,MATILDA,NORTH-EAST
8621,2013,Jan,824204,-,-,401.2,443.6,PUNGGOL,1.3983,103.9025,MATILDA,NORTH-EAST
8622,2013,Jan,824268,-,-,278.7,351.4,PUNGGOL,1.4033,103.8982,MATILDA,NORTH-EAST
8623,2013,Jan,824271,-,-,86.4,-,PUNGGOL,1.4034,103.9012,MATILDA,NORTH-EAST
8624,2013,Jan,824272,-,-,14.3,-,PUNGGOL,1.4025,103.9005,MATILDA,NORTH-EAST
8625,2013,Jan,824273,-,-,229.4,-,PUNGGOL,1.4027,103.9013,MATILDA,NORTH-EAST
8626,2013,Jan,824274,-,-,244.2,-,PUNGGOL,1.4032,103.9016,MATILDA,NORTH-EAST
8627,2013,Jan,824289,-,-,257.5,289.8,PUNGGOL,1.4019,103.904,MATILDA,NORTH-EAST
17014,2013,Feb,820293,-,-,419.3,371.7,PUNGGOL,1.4031,103.9047,MATILDA,NORTH-EAST
17015,2013,Feb,820294,-,-,348.4,447.4,PUNGGOL,1.4029,103.9046,MATILDA,NORTH-EAST
17016,2013,Feb,820295,-,-,385.1,450.8,PUNGGOL,1.4018,103.9047,MATILDA,NORTH-EAST
17017,2013,Feb,820296,-,-,397.2,386.1,PUNGGOL,1.4016,103.9051,MATILDA,NORTH-EAST
17018,2013,Feb,820297,-,-,345.0,413.5,PUNGGOL,1.4023,103.9057,MATILDA,NORTH-EAST
17019,2013,Feb,820298,-,-,341.6,408.8,PUNGGOL,1.4025,103.9058,MATILDA,NORTH-EAST
17020,2013,Feb,820299,-,-,354.4,421.0,PUNGGOL,1.4031,103.9053,MATILDA,NORTH-EAST
17060,2013,Feb,821201,-,-,291.7,394.6,PUNGGOL,1.4002,103.9033,MATILDA,NORTH-EAST
17061,2013,Feb,821202,-,-,326.7,390.2,PUNGGOL,1.3996,103.9046,MATILDA,NORTH-EAST
17062,2013,Feb,821203,-,-,328.3,406.4,PUNGGOL,1.3985,103.9038,MATILDA,NORTH-EAST
17063,2013,Feb,821204,-,-,406.2,356.6,PUNGGOL,1.3989,103.9027,MATILDA,NORTH-EAST
17064,2013,Feb,821205,-,-,320.1,365.7,PUNGGOL,1.3985,103.902,MATILDA,NORTH-EAST
17065,2013,Feb,821206,131.9,-,-,-,PUNGGOL,1.3992,103.9016,MATILDA,NORTH-EAST
17066,2013,Feb,821207,-,-,14.2,13.0,PUNGGOL,1.4002,103.901,MATILDA,NORTH-EAST
17067,2013,Feb,821267,-,-,263.5,315.0,PUNGGOL,1.4045,103.8976,MATILDA,NORTH-EAST
17068,2013,Feb,821268,-,-,234.7,310.2,PUNGGOL,1.404,103.8974,MATILDA,NORTH-EAST
17069,2013,Feb,821269,-,-,228.1,307.3,PUNGGOL,1.403,103.8991,MATILDA,NORTH-EAST
17070,2013,Feb,821270,-,-,268.1,302.5,PUNGGOL,1.4039,103.8996,MATILDA,NORTH-EAST
17071,2013,Feb,821271,-,-,84.0,-,PUNGGOL,1.4038,103.9002,MATILDA,NORTH-EAST
17072,2013,Feb,821272,-,-,21.5,55.7,PUNGGOL,1.403,103.9009,MATILDA,NORTH-EAST
17073,2013,Feb,821273,-,-,241.3,-,PUNGGOL,1.4024,103.9023,MATILDA,NORTH-EAST
17074,2013,Feb,821274,-,-,230.7,-,PUNGGOL,1.4029,103.9026,MATILDA,NORTH-EAST
17075,2013,Feb,821288,-,-,237.6,308.0,PUNGGOL,1.4025,103.903,MATILDA,NORTH-EAST
17076,2013,Feb,821289,-,220.5,243.4,-,PUNGGOL,1.4015,103.9027,MATILDA,NORTH-EAST
17135,2013,Feb,822201,-,-,372.8,408.6,PUNGGOL,1.4002,103.9039,MATILDA,NORTH-EAST
17136,2013,Feb,822202,-,-,294.3,396.6,PUNGGOL,1.3992,103.9044,MATILDA,NORTH-EAST
17137,2013,Feb,822203,-,-,321.5,387.5,PUNGGOL,1.3979,103.9034,MATILDA,NORTH-EAST
17138,2013,Feb,822204,-,-,370.3,401.6,PUNGGOL,1.3989,103.9027,MATILDA,NORTH-EAST
17139,2013,Feb,822207,-,-,7.7,10.4,PUNGGOL,1.3988,103.9013,MATILDA,NORTH-EAST
17140,2013,Feb,822267,-,-,265.4,360.9,PUNGGOL,1.4044,103.898,MATILDA,NORTH-EAST
17141,2013,Feb,822270,-,-,288.3,293.9,PUNGGOL,1.4041,103.8991,MATILDA,NORTH-EAST
17142,2013,Feb,822271,-,-,150.7,174.2,PUNGGOL,1.4042,103.9004,MATILDA,NORTH-EAST
17143,2013,Feb,822272,-,-,56.4,49.0,PUNGGOL,1.4034,103.9,MATILDA,NORTH-EAST
17144,2013,Feb,822273,-,-,267.1,335.0,PUNGGOL,1.402,103.9017,MATILDA,NORTH-EAST
17145,2013,Feb,822274,-,-,272.0,337.9,PUNGGOL,1.403,103.9027,MATILDA,NORTH-EAST
17146,2013,Feb,822288,-,176.3,233.7,-,PUNGGOL,1.4029,103.9034,MATILDA,NORTH-EAST
17147,2013,Feb,822289,-,223.0,242.4,-,PUNGGOL,1.4012,103.9032,MATILDA,NORTH-EAST
17199,2013,Feb,823201,-,-,318.4,375.8,PUNGGOL,1.3993,103.9039,MATILDA,NORTH-EAST
17200,2013,Feb,823204,-,-,408.8,404.4,PUNGGOL,1.398,103.903,MATILDA,NORTH-EAST
17201,2013,Feb,823207,-,5.5,1.6,-,PUNGGOL,1.4006,103.9005,MATILDA,NORTH-EAST
