index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
942,2013,Jan,300069,-,-,322.0,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
9598,2013,Feb,300069,-,-,339.2,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
18227,2013,Mar,300069,-,-,282.3,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
26881,2013,Apr,300069,-,-,351.1,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
35571,2013,May,300069,-,-,415.6,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
44155,2013,Jun,300069,-,-,385.5,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
52831,2013,Jul,300069,-,-,401.4,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
61513,2013,Aug,300069,-,-,436.8,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
70175,2013,Sep,300069,-,-,316.2,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
78864,2013,Oct,300069,-,-,394.4,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
87535,2013,Nov,300069,-,-,328.9,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
96232,2013,Dec,300069,-,-,358.6,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
104940,2014,Jan,300069,-,-,337.0,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
113665,2014,Feb,300069,-,-,342.4,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
122400,2014,Mar,300069,-,-,288.5,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
131154,2014,Apr,300069,-,-,340.1,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
139969,2014,May,300069,-,-,436.2,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
148811,2014,Jun,300069,-,-,384.8,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
157632,2014,Jul,300069,-,-,423.7,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
166461,2014,Aug,300069,-,-,417.3,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
175283,2014,Sep,300069,-,-,367.2,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
184126,2014,Oct,300069,-,-,414.9,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
192976,2014,Nov,300069,-,-,381.2,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
201852,2014,Dec,300069,-,-,409.9,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
210717,2015,Jan,300069,-,-,286.5,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
219614,2015,Feb,300069,-,-,346.0,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
228496,2015,Mar,300069,-,-,318.7,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
237384,2015,Apr,300069,-,-,312.0,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
246307,2015,May,300069,-,-,402.3,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
255215,2015,Jun,300069,-,-,404.8,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
264092,2015,July,300069,-,-,432.5,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
273008,2015,Aug,300069,-,-,418.4,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
281899,2015,Sep,300069,-,-,412.4,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
290782,2015,Oct,300069,-,-,401.8,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
299674,2015,Nov,300069,-,-,382.2,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
308407,2015,Dec,300069,-,-,411.0,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
317307,2016,Jan,300069,-,-,346.632,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
326238,2016,Feb,300069,-,-,380.158,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
335125,2016,Mar,300069,-,-,379.24,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
344043,2016,Apr,300069,-,-,390.579,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
352968,2016,May,300069,-,-,411.829,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
361907,2016,Jun,300069,-,-,428.237,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
370800,2016,Jul,300069,-,-,415.195,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
379687,2016,Aug,300069,-,-,421.649,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
388557,2016,Sep,300069,-,-,375.947,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
397431,2016,Oct,300069,-,-,406.312,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
406314,2016,Nov,300069,-,-,384.896,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
415183,2016,Dec,300069,-,-,365.269,-,NOVENA,1.3189,103.8504,MOULMEIN,CENTRAL
