index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
2360,2013,Jan,510500,-,-,-,522.9,PASIR RIS,1.376,103.9461,PASIR RIS CENTRAL,EAST
2361,2013,Jan,510501,-,-,-,636.3,PASIR RIS,1.3759,103.9467,PASIR RIS CENTRAL,EAST
2362,2013,Jan,510502,-,-,-,538.9,PASIR RIS,1.3757,103.946,PASIR RIS CENTRAL,EAST
2363,2013,Jan,510503,-,-,-,488.6,PASIR RIS,1.3756,103.9454,PASIR RIS CENTRAL,EAST
2364,2013,Jan,510504,-,-,-,559.9,PASIR RIS,1.3761,103.9451,PASIR RIS CENTRAL,EAST
2365,2013,Jan,510505,-,-,-,549.5,PASIR RIS,1.3764,103.9452,PASIR RIS CENTRAL,EAST
2366,2013,Jan,510506,-,-,-,555.8,PASIR RIS,1.3764,103.9451,PASIR RIS CENTRAL,EAST
2367,2013,Jan,510507,-,-,-,477.6,PASIR RIS,1.3765,103.9448,PASIR RIS CENTRAL,EAST
2368,2013,Jan,510508,-,-,-,479.6,PASIR RIS,1.3762,103.9445,PASIR RIS CENTRAL,EAST
2369,2013,Jan,510509,-,-,-,487.0,PASIR RIS,1.3761,103.9445,PASIR RIS CENTRAL,EAST
2370,2013,Jan,510510,-,-,-,580.8,PASIR RIS,1.3757,103.9445,PASIR RIS CENTRAL,EAST
2371,2013,Jan,510511,-,-,438.2,484.3,PASIR RIS,1.3752,103.944,PASIR RIS CENTRAL,EAST
2372,2013,Jan,510512,-,-,337.5,459.4,PASIR RIS,1.3761,103.9445,PASIR RIS CENTRAL,EAST
2373,2013,Jan,510513,-,-,459.9,538.7,PASIR RIS,1.375,103.9437,PASIR RIS CENTRAL,EAST
2374,2013,Jan,510514,-,-,405.5,475.1,PASIR RIS,1.3746,103.9433,PASIR RIS CENTRAL,EAST
2375,2013,Jan,510515,-,-,443.2,424.5,PASIR RIS,1.3746,103.9434,PASIR RIS CENTRAL,EAST
2376,2013,Jan,510516,-,-,430.5,483.7,PASIR RIS,1.3742,103.9435,PASIR RIS CENTRAL,EAST
2377,2013,Jan,510517,-,-,414.0,423.7,PASIR RIS,1.3745,103.9438,PASIR RIS CENTRAL,EAST
2378,2013,Jan,510518,-,-,392.4,522.3,PASIR RIS,1.3743,103.9447,PASIR RIS CENTRAL,EAST
2379,2013,Jan,510519,-,-,422.5,427.3,PASIR RIS,1.374,103.9449,PASIR RIS CENTRAL,EAST
2380,2013,Jan,510520,-,-,465.8,426.7,PASIR RIS,1.3736,103.9447,PASIR RIS CENTRAL,EAST
2381,2013,Jan,510521,-,-,485.4,439.8,PASIR RIS,1.3744,103.9444,PASIR RIS CENTRAL,EAST
2382,2013,Jan,510531,-,-,-,579.3,PASIR RIS,1.3713,103.9505,PASIR RIS CENTRAL,EAST
2383,2013,Jan,510532,-,-,-,492.1,PASIR RIS,1.3714,103.9507,PASIR RIS CENTRAL,EAST
2384,2013,Jan,510533,-,-,-,526.0,PASIR RIS,1.3708,103.9508,PASIR RIS CENTRAL,EAST
2385,2013,Jan,510534,-,-,-,501.3,PASIR RIS,1.3705,103.9508,PASIR RIS CENTRAL,EAST
2386,2013,Jan,510535,-,-,-,490.8,PASIR RIS,1.3707,103.9503,PASIR RIS CENTRAL,EAST
2387,2013,Jan,510536,-,-,-,528.7,PASIR RIS,1.3705,103.9497,PASIR RIS CENTRAL,EAST
2388,2013,Jan,510537,-,-,-,585.4,PASIR RIS,1.3698,103.9496,PASIR RIS CENTRAL,EAST
2389,2013,Jan,510538,-,-,-,626.2,PASIR RIS,1.3692,103.9501,PASIR RIS CENTRAL,EAST
2390,2013,Jan,510539,-,-,-,483.5,PASIR RIS,1.3694,103.9504,PASIR RIS CENTRAL,EAST
2391,2013,Jan,510540,-,-,-,539.3,PASIR RIS,1.3693,103.9507,PASIR RIS CENTRAL,EAST
2392,2013,Jan,510541,-,-,-,502.4,PASIR RIS,1.3691,103.9511,PASIR RIS CENTRAL,EAST
2393,2013,Jan,510543,-,-,-,550.0,PASIR RIS,1.369,103.9515,PASIR RIS CENTRAL,EAST
2394,2013,Jan,510544,-,-,-,532.9,PASIR RIS,1.3691,103.952,PASIR RIS CENTRAL,EAST
2395,2013,Jan,510545,-,-,-,769.8,PASIR RIS,1.3692,103.952,PASIR RIS CENTRAL,EAST
2396,2013,Jan,510546,-,-,-,541.6,PASIR RIS,1.3688,103.9526,PASIR RIS CENTRAL,EAST
2397,2013,Jan,510547,-,-,-,539.1,PASIR RIS,1.3688,103.9534,PASIR RIS CENTRAL,EAST
2398,2013,Jan,510548,-,-,-,581.8,PASIR RIS,1.3685,103.9535,PASIR RIS CENTRAL,EAST
2399,2013,Jan,510549,-,-,-,606.4,PASIR RIS,1.3679,103.9534,PASIR RIS CENTRAL,EAST
2400,2013,Jan,510550,-,-,-,508.5,PASIR RIS,1.3673,103.9534,PASIR RIS CENTRAL,EAST
