index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
2147,2013,Jan,510101,-,-,-,588.9,PASIR RIS,1.3671,103.9582,PASIR RIS DRIVE,EAST
2148,2013,Jan,510102,-,-,345.1,464.5,PASIR RIS,1.3675,103.9582,PASIR RIS DRIVE,EAST
2149,2013,Jan,510103,-,-,418.2,478.1,PASIR RIS,1.3675,103.9585,PASIR RIS DRIVE,EAST
2150,2013,Jan,510104,-,-,411.0,525.9,PASIR RIS,1.3678,103.9588,PASIR RIS DRIVE,EAST
2151,2013,Jan,510105,-,-,439.2,495.5,PASIR RIS,1.3679,103.9576,PASIR RIS DRIVE,EAST
2152,2013,Jan,510106,-,-,422.8,467.1,PASIR RIS,1.368,103.9574,PASIR RIS DRIVE,EAST
2153,2013,Jan,510107,-,-,354.7,485.9,PASIR RIS,1.3675,103.9576,PASIR RIS DRIVE,EAST
2154,2013,Jan,510108,-,-,-,564.5,PASIR RIS,1.3674,103.9569,PASIR RIS DRIVE,EAST
2155,2013,Jan,510109,-,-,432.5,445.1,PASIR RIS,1.3683,103.9559,PASIR RIS DRIVE,EAST
2156,2013,Jan,510110,-,-,395.1,469.7,PASIR RIS,1.3686,103.9564,PASIR RIS DRIVE,EAST
2157,2013,Jan,510111,-,-,-,520.7,PASIR RIS,1.3681,103.9564,PASIR RIS DRIVE,EAST
2158,2013,Jan,510112,-,-,414.1,469.5,PASIR RIS,1.3677,103.9555,PASIR RIS DRIVE,EAST
2159,2013,Jan,510113,-,-,398.9,534.3,PASIR RIS,1.3682,103.9559,PASIR RIS DRIVE,EAST
2160,2013,Jan,510114,-,-,440.9,455.6,PASIR RIS,1.3684,103.9554,PASIR RIS DRIVE,EAST
2161,2013,Jan,510115,-,-,431.6,467.9,PASIR RIS,1.3683,103.9549,PASIR RIS DRIVE,EAST
2162,2013,Jan,510116,-,-,-,759.8,PASIR RIS,1.3684,103.9546,PASIR RIS DRIVE,EAST
2163,2013,Jan,510117,-,-,452.3,460.3,PASIR RIS,1.368,103.9551,PASIR RIS DRIVE,EAST
2164,2013,Jan,510118,-,-,431.8,462.8,PASIR RIS,1.3671,103.9546,PASIR RIS DRIVE,EAST
