index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
8355,2013,Jan,820111,-,-,398.4,563.0,PUNGGOL,1.3968,103.9063,PUNGGOL FIELD,NORTH-EAST
8356,2013,Jan,820112,-,-,412.2,552.6,PUNGGOL,1.3965,103.9073,PUNGGOL FIELD,NORTH-EAST
8357,2013,Jan,820114,-,-,443.7,533.0,PUNGGOL,1.3963,103.9077,PUNGGOL FIELD,NORTH-EAST
8358,2013,Jan,820115,-,-,-,589.0,PUNGGOL,1.3951,103.9075,PUNGGOL FIELD,NORTH-EAST
8359,2013,Jan,820116,-,-,429.5,521.2,PUNGGOL,1.3951,103.9075,PUNGGOL FIELD,NORTH-EAST
8360,2013,Jan,820117,-,-,441.7,548.1,PUNGGOL,1.3954,103.9063,PUNGGOL FIELD,NORTH-EAST
8361,2013,Jan,820118,-,-,422.5,467.9,PUNGGOL,1.3966,103.9062,PUNGGOL FIELD,NORTH-EAST
8362,2013,Jan,820130,-,-,361.0,367.1,PUNGGOL,1.3933,103.9099,PUNGGOL FIELD,NORTH-EAST
8363,2013,Jan,820132,-,-,332.9,411.7,PUNGGOL,1.3931,103.911,PUNGGOL FIELD,NORTH-EAST
8364,2013,Jan,820133,-,-,335.3,395.0,PUNGGOL,1.3926,103.9107,PUNGGOL FIELD,NORTH-EAST
8365,2013,Jan,820134,-,-,411.5,417.7,PUNGGOL,1.3925,103.9103,PUNGGOL FIELD,NORTH-EAST
8366,2013,Jan,820135,-,-,383.7,389.9,PUNGGOL,1.3919,103.91,PUNGGOL FIELD,NORTH-EAST
8367,2013,Jan,820138,-,-,321.0,382.2,PUNGGOL,1.393,103.9096,PUNGGOL FIELD,NORTH-EAST
8368,2013,Jan,820178,-,-,420.2,489.8,PUNGGOL,1.3996,103.9082,PUNGGOL FIELD,NORTH-EAST
8369,2013,Jan,820181,-,-,-,495.6,PUNGGOL,1.3997,103.909,PUNGGOL FIELD,NORTH-EAST
8370,2013,Jan,820182,-,-,-,508.8,PUNGGOL,1.3991,103.9095,PUNGGOL FIELD,NORTH-EAST
8371,2013,Jan,820183,-,-,-,475.8,PUNGGOL,1.3983,103.9093,PUNGGOL FIELD,NORTH-EAST
8372,2013,Jan,820184,-,-,-,453.1,PUNGGOL,1.3985,103.9101,PUNGGOL FIELD,NORTH-EAST
8373,2013,Jan,820185,-,-,-,463.2,PUNGGOL,1.3982,103.9103,PUNGGOL FIELD,NORTH-EAST
8374,2013,Jan,820186,-,-,-,504.7,PUNGGOL,1.3987,103.9111,PUNGGOL FIELD,NORTH-EAST
8375,2013,Jan,820187,-,-,-,505.7,PUNGGOL,1.3993,103.9111,PUNGGOL FIELD,NORTH-EAST
8376,2013,Jan,820188,-,-,-,489.1,PUNGGOL,1.3991,103.9105,PUNGGOL FIELD,NORTH-EAST
8377,2013,Jan,820190,-,-,-,475.2,PUNGGOL,1.3999,103.9104,PUNGGOL FIELD,NORTH-EAST
8378,2013,Jan,820191,-,-,-,531.8,PUNGGOL,1.3996,103.9098,PUNGGOL FIELD,NORTH-EAST
8379,2013,Jan,820192,-,-,-,478.1,PUNGGOL,1.4003,103.9098,PUNGGOL FIELD,NORTH-EAST
8380,2013,Jan,820193,-,-,380.3,421.5,PUNGGOL,1.3999,103.9091,PUNGGOL FIELD,NORTH-EAST
8396,2013,Jan,821101,-,-,383.5,423.0,PUNGGOL,1.398,103.9058,PUNGGOL FIELD,NORTH-EAST
8397,2013,Jan,821102,-,-,424.2,444.7,PUNGGOL,1.399,103.9059,PUNGGOL FIELD,NORTH-EAST
8398,2013,Jan,821103,-,-,-,481.0,PUNGGOL,1.3984,103.905,PUNGGOL FIELD,NORTH-EAST
8399,2013,Jan,821104,-,-,313.3,410.9,PUNGGOL,1.3968,103.9049,PUNGGOL FIELD,NORTH-EAST
8400,2013,Jan,821105,-,-,434.7,409.2,PUNGGOL,1.3969,103.9059,PUNGGOL FIELD,NORTH-EAST
8401,2013,Jan,821106,-,-,373.2,446.8,PUNGGOL,1.3968,103.9086,PUNGGOL FIELD,NORTH-EAST
8402,2013,Jan,821107,-,-,-,415.7,PUNGGOL,1.3974,103.9068,PUNGGOL FIELD,NORTH-EAST
8403,2013,Jan,821109,-,-,-,442.5,PUNGGOL,1.3946,103.9098,PUNGGOL FIELD,NORTH-EAST
8404,2013,Jan,821110,-,-,320.6,418.6,PUNGGOL,1.3963,103.9093,PUNGGOL FIELD,NORTH-EAST
8405,2013,Jan,821126,-,-,345.7,437.2,PUNGGOL,1.3944,103.9116,PUNGGOL FIELD,NORTH-EAST
8406,2013,Jan,821128,-,-,368.9,381.2,PUNGGOL,1.3936,103.9125,PUNGGOL FIELD,NORTH-EAST
8407,2013,Jan,821160,-,-,423.5,439.0,PUNGGOL,1.3957,103.9158,PUNGGOL FIELD,NORTH-EAST
8408,2013,Jan,821161,-,-,405.4,447.0,PUNGGOL,1.3961,103.9149,PUNGGOL FIELD,NORTH-EAST
8409,2013,Jan,821162,-,-,351.9,435.3,PUNGGOL,1.3967,103.9142,PUNGGOL FIELD,NORTH-EAST
8410,2013,Jan,821163,-,-,382.6,430.3,PUNGGOL,1.3954,103.9141,PUNGGOL FIELD,NORTH-EAST
8411,2013,Jan,821165,-,-,300.4,402.7,PUNGGOL,1.395,103.9149,PUNGGOL FIELD,NORTH-EAST
8412,2013,Jan,821166,-,-,352.1,450.1,PUNGGOL,1.3945,103.9157,PUNGGOL FIELD,NORTH-EAST
8413,2013,Jan,821167,-,-,381.6,-,PUNGGOL,1.3942,103.9153,PUNGGOL FIELD,NORTH-EAST
8414,2013,Jan,821168,-,-,382.7,-,PUNGGOL,1.3947,103.9142,PUNGGOL FIELD,NORTH-EAST
8415,2013,Jan,821169,-,-,162.0,279.7,PUNGGOL,1.393,103.914,PUNGGOL FIELD,NORTH-EAST
8416,2013,Jan,821170,-,-,52.0,33.2,PUNGGOL,1.3934,103.9149,PUNGGOL FIELD,NORTH-EAST
8417,2013,Jan,821171,-,-,377.9,450.0,PUNGGOL,1.3945,103.9123,PUNGGOL FIELD,NORTH-EAST
8418,2013,Jan,821172,-,-,389.2,388.9,PUNGGOL,1.3952,103.9115,PUNGGOL FIELD,NORTH-EAST
8419,2013,Jan,821173,-,-,403.9,448.1,PUNGGOL,1.3969999999999998,103.9093,PUNGGOL FIELD,NORTH-EAST
8420,2013,Jan,821174,-,-,-,421.2,PUNGGOL,1.3966,103.9113,PUNGGOL FIELD,NORTH-EAST
8421,2013,Jan,821175,-,-,344.6,446.8,PUNGGOL,1.3973,103.9087,PUNGGOL FIELD,NORTH-EAST
8422,2013,Jan,821176,-,-,-,383.6,PUNGGOL,1.399,103.9083,PUNGGOL FIELD,NORTH-EAST
8423,2013,Jan,821195,-,-,369.9,-,PUNGGOL,1.4018,103.9063,PUNGGOL FIELD,NORTH-EAST
8424,2013,Jan,821196,-,-,361.2,419.7,PUNGGOL,1.3992,103.9066,PUNGGOL FIELD,NORTH-EAST
8425,2013,Jan,821197,-,-,-,411.4,PUNGGOL,1.4,103.907,PUNGGOL FIELD,NORTH-EAST
8426,2013,Jan,821199,-,-,369.8,438.4,PUNGGOL,1.3997,103.906,PUNGGOL FIELD,NORTH-EAST
8471,2013,Jan,822101,-,-,-,376.8,PUNGGOL,1.3978,103.9065,PUNGGOL FIELD,NORTH-EAST
8472,2013,Jan,822102,-,-,-,440.2,PUNGGOL,1.3992,103.9056,PUNGGOL FIELD,NORTH-EAST
8473,2013,Jan,822103,-,-,-,432.3,PUNGGOL,1.3978,103.9045,PUNGGOL FIELD,NORTH-EAST
8474,2013,Jan,822104,-,-,394.3,432.1,PUNGGOL,1.3965,103.9056,PUNGGOL FIELD,NORTH-EAST
8475,2013,Jan,822105,-,-,389.1,419.7,PUNGGOL,1.3974,103.9062,PUNGGOL FIELD,NORTH-EAST
8476,2013,Jan,822106,-,-,405.5,484.2,PUNGGOL,1.3973,103.908,PUNGGOL FIELD,NORTH-EAST
8477,2013,Jan,822107,-,-,344.4,418.5,PUNGGOL,1.3969,103.9071,PUNGGOL FIELD,NORTH-EAST
8478,2013,Jan,822109,-,-,372.3,469.8,PUNGGOL,1.3949,103.9094,PUNGGOL FIELD,NORTH-EAST
8479,2013,Jan,822110,-,-,425.8,435.9,PUNGGOL,1.3959,103.9098,PUNGGOL FIELD,NORTH-EAST
8480,2013,Jan,822126,-,-,-,361.6,PUNGGOL,1.3947,103.9108,PUNGGOL FIELD,NORTH-EAST
8481,2013,Jan,822128,-,-,-,431.2,PUNGGOL,1.393,103.913,PUNGGOL FIELD,NORTH-EAST
8482,2013,Jan,822160,-,-,321.7,422.9,PUNGGOL,1.3955,103.9161,PUNGGOL FIELD,NORTH-EAST
8483,2013,Jan,822161,-,-,367.6,380.0,PUNGGOL,1.3958,103.9155,PUNGGOL FIELD,NORTH-EAST
8484,2013,Jan,822162,-,-,441.8,393.7,PUNGGOL,1.3962,103.9148,PUNGGOL FIELD,NORTH-EAST
8485,2013,Jan,822163,-,-,352.6,407.8,PUNGGOL,1.3959,103.9136,PUNGGOL FIELD,NORTH-EAST
8486,2013,Jan,822165,-,-,271.8,372.4,PUNGGOL,1.3953,103.9143,PUNGGOL FIELD,NORTH-EAST
8487,2013,Jan,822166,-,-,353.7,423.6,PUNGGOL,1.3946,103.9152,PUNGGOL FIELD,NORTH-EAST
8488,2013,Jan,822167,-,-,318.6,-,PUNGGOL,1.3943,103.9151,PUNGGOL FIELD,NORTH-EAST
8489,2013,Jan,822168,-,-,424.2,-,PUNGGOL,1.3939,103.9149,PUNGGOL FIELD,NORTH-EAST
