index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
8445,2013,Jan,821302,-,-,329.0,-,PUNGGOL,1.4043,103.9044,PUNGGOL TOWN CENTRE,NORTH-EAST
8446,2013,Jan,821303,-,-,368.4,-,PUNGGOL,1.4037,103.9059,PUNGGOL TOWN CENTRE,NORTH-EAST
8447,2013,Jan,821305,-,-,295.6,-,PUNGGOL,1.4053,103.9068,PUNGGOL TOWN CENTRE,NORTH-EAST
8448,2013,Jan,821306,-,-,311.1,-,PUNGGOL,1.4063,103.9055,PUNGGOL TOWN CENTRE,NORTH-EAST
8515,2013,Jan,822301,-,-,309.9,-,PUNGGOL,1.4042,103.906,PUNGGOL TOWN CENTRE,NORTH-EAST
8516,2013,Jan,822302,-,-,290.9,-,PUNGGOL,1.4041,103.9047,PUNGGOL TOWN CENTRE,NORTH-EAST
8517,2013,Jan,822303,-,-,349.3,-,PUNGGOL,1.4037,103.9054,PUNGGOL TOWN CENTRE,NORTH-EAST
8518,2013,Jan,822305,-,-,324.8,-,PUNGGOL,1.4055,103.9064,PUNGGOL TOWN CENTRE,NORTH-EAST
8519,2013,Jan,822306,-,-,339.3,-,PUNGGOL,1.406,103.906,PUNGGOL TOWN CENTRE,NORTH-EAST
8579,2013,Jan,823301,-,-,275.7,-,PUNGGOL,1.4045,103.9058,PUNGGOL TOWN CENTRE,NORTH-EAST
8580,2013,Jan,823302,-,-,301.9,-,PUNGGOL,1.405,103.905,PUNGGOL TOWN CENTRE,NORTH-EAST
8581,2013,Jan,823303,-,-,297.0,-,PUNGGOL,1.4038,103.9052,PUNGGOL TOWN CENTRE,NORTH-EAST
8582,2013,Jan,823306,-,-,312.2,-,PUNGGOL,1.4065,103.906,PUNGGOL TOWN CENTRE,NORTH-EAST
8628,2013,Jan,824301,-,-,316.9,-,PUNGGOL,1.4047,103.9055,PUNGGOL TOWN CENTRE,NORTH-EAST
8629,2013,Jan,824302,-,-,319.5,-,PUNGGOL,1.4048,103.9053,PUNGGOL TOWN CENTRE,NORTH-EAST
8630,2013,Jan,824305,-,-,281.4,-,PUNGGOL,1.4059,103.907,PUNGGOL TOWN CENTRE,NORTH-EAST
8631,2013,Jan,824306,-,-,313.4,-,PUNGGOL,1.4062,103.9065,PUNGGOL TOWN CENTRE,NORTH-EAST
17078,2013,Feb,821302,-,-,348.8,-,PUNGGOL,1.4043,103.9044,PUNGGOL TOWN CENTRE,NORTH-EAST
17079,2013,Feb,821303,-,-,371.3,-,PUNGGOL,1.4037,103.9059,PUNGGOL TOWN CENTRE,NORTH-EAST
17080,2013,Feb,821305,-,-,283.4,-,PUNGGOL,1.4053,103.9068,PUNGGOL TOWN CENTRE,NORTH-EAST
17081,2013,Feb,821306,-,-,293.5,-,PUNGGOL,1.4063,103.9055,PUNGGOL TOWN CENTRE,NORTH-EAST
17148,2013,Feb,822301,-,-,319.4,-,PUNGGOL,1.4042,103.906,PUNGGOL TOWN CENTRE,NORTH-EAST
17149,2013,Feb,822302,-,-,319.2,-,PUNGGOL,1.4041,103.9047,PUNGGOL TOWN CENTRE,NORTH-EAST
17150,2013,Feb,822303,-,-,371.1,-,PUNGGOL,1.4037,103.9054,PUNGGOL TOWN CENTRE,NORTH-EAST
17151,2013,Feb,822305,-,-,302.5,-,PUNGGOL,1.4055,103.9064,PUNGGOL TOWN CENTRE,NORTH-EAST
17152,2013,Feb,822306,-,-,313.5,-,PUNGGOL,1.406,103.906,PUNGGOL TOWN CENTRE,NORTH-EAST
17212,2013,Feb,823301,-,-,297.4,-,PUNGGOL,1.4045,103.9058,PUNGGOL TOWN CENTRE,NORTH-EAST
