index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
3771,2013,Jan,540101,-,-,343.6,354.0,SENGKANG,1.3829,103.8995,RIVERVALE,NORTH-EAST
3772,2013,Jan,540102,-,-,-,439.9,SENGKANG,1.3821,103.901,RIVERVALE,NORTH-EAST
3773,2013,Jan,540103,-,-,-,385.2,SENGKANG,1.3826,103.9012,RIVERVALE,NORTH-EAST
3774,2013,Jan,540104,-,-,299.8,283.5,SENGKANG,1.3829,103.9008,RIVERVALE,NORTH-EAST
3775,2013,Jan,540105,-,-,301.0,301.4,SENGKANG,1.3822,103.9006,RIVERVALE,NORTH-EAST
3776,2013,Jan,540106,-,-,319.0,332.4,SENGKANG,1.3825,103.9001,RIVERVALE,NORTH-EAST
3777,2013,Jan,540107,-,-,290.0,358.2,SENGKANG,1.383,103.9005,RIVERVALE,NORTH-EAST
3778,2013,Jan,540108,-,-,350.1,375.8,SENGKANG,1.3828,103.8997,RIVERVALE,NORTH-EAST
3779,2013,Jan,540109,-,-,-,322.8,SENGKANG,1.3831,103.8997,RIVERVALE,NORTH-EAST
3780,2013,Jan,540110,-,-,256.6,355.0,SENGKANG,1.3835,103.9,RIVERVALE,NORTH-EAST
3781,2013,Jan,540111,-,-,326.6,394.7,SENGKANG,1.3842,103.9009,RIVERVALE,NORTH-EAST
3782,2013,Jan,540112,-,-,391.9,379.5,SENGKANG,1.3836,103.9013,RIVERVALE,NORTH-EAST
3783,2013,Jan,540113,-,-,370.3,380.6,SENGKANG,1.3842,103.9017,RIVERVALE,NORTH-EAST
3784,2013,Jan,540114,-,-,310.5,350.8,SENGKANG,1.3841,103.901,RIVERVALE,NORTH-EAST
3785,2013,Jan,540115,-,-,325.5,366.9,SENGKANG,1.3845,103.9011,RIVERVALE,NORTH-EAST
3786,2013,Jan,540121,-,-,299.4,308.9,SENGKANG,1.3869999999999998,103.9048,RIVERVALE,NORTH-EAST
3787,2013,Jan,540122,-,-,394.0,342.0,SENGKANG,1.3869,103.9067,RIVERVALE,NORTH-EAST
3788,2013,Jan,540123,-,-,348.8,342.5,SENGKANG,1.3864,103.9033,RIVERVALE,NORTH-EAST
3789,2013,Jan,540124,-,-,328.6,359.9,SENGKANG,1.3875,103.9021,RIVERVALE,NORTH-EAST
3790,2013,Jan,540125,-,-,312.3,370.3,SENGKANG,1.3892,103.9029,RIVERVALE,NORTH-EAST
3791,2013,Jan,540126,-,-,328.9,417.0,SENGKANG,1.3892,103.9021,RIVERVALE,NORTH-EAST
3792,2013,Jan,540127,-,-,327.2,308.7,SENGKANG,1.3904,103.9024,RIVERVALE,NORTH-EAST
3793,2013,Jan,540128,-,-,328.7,357.5,SENGKANG,1.3903,103.9027,RIVERVALE,NORTH-EAST
3794,2013,Jan,540129,-,-,305.3,370.6,SENGKANG,1.3902,103.9027,RIVERVALE,NORTH-EAST
3795,2013,Jan,540130,-,-,309.7,293.8,SENGKANG,1.3892,103.9027,RIVERVALE,NORTH-EAST
3796,2013,Jan,540131,-,-,291.9,-,SENGKANG,1.3897,103.9033,RIVERVALE,NORTH-EAST
3797,2013,Jan,540132,-,-,281.9,335.0,SENGKANG,1.3898,103.9035,RIVERVALE,NORTH-EAST
3798,2013,Jan,540133,-,-,277.8,365.1,SENGKANG,1.3887,103.9036,RIVERVALE,NORTH-EAST
3799,2013,Jan,540134,-,-,375.2,367.0,SENGKANG,1.3881,103.9046,RIVERVALE,NORTH-EAST
3800,2013,Jan,540135,-,-,-,477.5,SENGKANG,1.3883,103.9049,RIVERVALE,NORTH-EAST
3801,2013,Jan,540136,-,-,-,372.6,SENGKANG,1.3883,103.9048,RIVERVALE,NORTH-EAST
3802,2013,Jan,540137,-,-,-,446.6,SENGKANG,1.389,103.9046,RIVERVALE,NORTH-EAST
3803,2013,Jan,540138,-,-,-,420.5,SENGKANG,1.3885,103.9045,RIVERVALE,NORTH-EAST
3804,2013,Jan,540139,-,-,-,425.6,SENGKANG,1.3888,103.9042,RIVERVALE,NORTH-EAST
3805,2013,Jan,540140,-,-,292.8,-,SENGKANG,1.3889,103.9038,RIVERVALE,NORTH-EAST
3806,2013,Jan,540141,-,-,308.8,333.7,SENGKANG,1.3896,103.9039,RIVERVALE,NORTH-EAST
3807,2013,Jan,540142,-,-,336.9,345.2,SENGKANG,1.39,103.9047,RIVERVALE,NORTH-EAST
3808,2013,Jan,540143,-,-,-,408.7,SENGKANG,1.3896,103.9053,RIVERVALE,NORTH-EAST
3809,2013,Jan,540144,-,-,328.5,371.5,SENGKANG,1.3894,103.9056,RIVERVALE,NORTH-EAST
3810,2013,Jan,540145,-,-,323.5,387.0,SENGKANG,1.3894,103.9064,RIVERVALE,NORTH-EAST
3811,2013,Jan,540146,-,-,372.0,385.3,SENGKANG,1.3903,103.9065,RIVERVALE,NORTH-EAST
3812,2013,Jan,540147,-,-,-,462.3,SENGKANG,1.3907,103.9051,RIVERVALE,NORTH-EAST
