index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
793,2013,Jan,180009,170.5,287.4,402.1,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
9448,2013,Feb,180009,184.2,215.8,272.2,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
18077,2013,Mar,180009,192.7,266.5,354.5,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
26731,2013,Apr,180009,153.8,294.1,376.9,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
35421,2013,May,180009,200.9,283.6,378.5,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
44005,2013,Jun,180009,276.6,348.9,408.4,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
52681,2013,Jul,180009,223.3,307.3,385.5,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
61363,2013,Aug,180009,227.3,330.0,425.9,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
70025,2013,Sep,180009,226.7,296.0,351.7,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
78714,2013,Oct,180009,210.6,262.9,335.0,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
87385,2013,Nov,180009,230.5,322.1,407.4,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
96082,2013,Dec,180009,175.2,295.7,351.0,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
104790,2014,Jan,180009,190.9,299.7,364.5,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
113515,2014,Feb,180009,182.5,213.4,305.4,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
122250,2014,Mar,180009,164.3,226.8,305.0,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
131005,2014,Apr,180009,230.5,306.0,435.4,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
139819,2014,May,180009,166.3,271.8,364.9,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
148661,2014,Jun,180009,266.6,384.9,519.9,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
157482,2014,Jul,180009,223.8,323.1,456.0,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
166311,2014,Aug,180009,243.3,307.6,426.1,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
175133,2014,Sep,180009,245.7,303.8,397.9,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
183976,2014,Oct,180009,264.3,309.3,410.0,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
192827,2014,Nov,180009,232.1,284.6,386.9,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
201702,2014,Dec,180009,194.1,289.1,334.3,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
210568,2015,Jan,180009,218.4,306.2,371.3,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
219464,2015,Feb,180009,173.7,236.5,313.3,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
228346,2015,Mar,180009,186.7,244.6,341.8,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
237234,2015,Apr,180009,258.5,298.2,400.5,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
246157,2015,May,180009,233.9,285.9,388.8,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
255065,2015,Jun,180009,236.5,363.6,465.2,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
263942,2015,July,180009,241.1,316.5,408.9,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
272859,2015,Aug,180009,260.9,340.2,444.0,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
281749,2015,Sep,180009,227.3,312.7,399.6,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
290633,2015,Oct,180009,240.2,321.8,461.3,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
299524,2015,Nov,180009,228.9,323.7,410.8,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
308258,2015,Dec,180009,229.0,295.8,385.4,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
317158,2016,Jan,180009,262.067,322.121,422.649,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
326089,2016,Feb,180009,216.667,291.032,444.378,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
334975,2016,Mar,180009,207.375,277.335,396.568,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
343893,2016,Apr,180009,121.813,294.186,366.895,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
352818,2016,May,180009,191.667,289.9,398.081,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
361758,2016,Jun,180009,271.143,405.884,534.189,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
370651,2016,Jul,180009,245.429,357.5,483.108,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
379538,2016,Aug,180009,175,273.451,336.944,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
388409,2016,Sep,180009,210.286,317.418,406.605,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
397284,2016,Oct,180009,231.667,326.61,403.757,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
406165,2016,Nov,180009,217.533,327.372,387.816,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
415036,2016,Dec,180009,235,271.426,339.054,-,ROCHOR,1.3036,103.8501,SELEGIE,CENTRAL
