index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
2550,2013,Jan,520101,-,-,424.0,490.0,TAMPINES,1.341,103.9515,SIMEI,EAST
2551,2013,Jan,520102,-,-,407.3,465.8,TAMPINES,1.3414,103.9513,SIMEI,EAST
2554,2013,Jan,520105,-,-,-,536.3,TAMPINES,1.3412,103.9506,SIMEI,EAST
2555,2013,Jan,520106,-,-,448.6,440.3,TAMPINES,1.342,103.9508,SIMEI,EAST
2556,2013,Jan,520107,-,-,380.1,438.3,TAMPINES,1.342,103.9504,SIMEI,EAST
2557,2013,Jan,520108,-,-,359.8,527.4,TAMPINES,1.3431,103.951,SIMEI,EAST
2558,2013,Jan,520109,-,-,408.7,500.0,TAMPINES,1.3424,103.9502,SIMEI,EAST
2559,2013,Jan,520110,-,-,360.0,563.0,TAMPINES,1.3428,103.9501,SIMEI,EAST
2560,2013,Jan,520111,-,-,-,580.3,TAMPINES,1.3425,103.9496,SIMEI,EAST
2561,2013,Jan,520112,-,-,355.9,468.6,TAMPINES,1.3429,103.9495,SIMEI,EAST
2562,2013,Jan,520113,-,-,340.2,468.8,TAMPINES,1.3429,103.95,SIMEI,EAST
2563,2013,Jan,520114,-,-,407.3,489.3,TAMPINES,1.3437,103.9504,SIMEI,EAST
2564,2013,Jan,520116,-,-,411.1,470.0,TAMPINES,1.3434,103.9511,SIMEI,EAST
2565,2013,Jan,520117,-,-,393.2,519.9,TAMPINES,1.3444,103.9513,SIMEI,EAST
2566,2013,Jan,520119,-,-,412.6,463.6,TAMPINES,1.3439,103.9519,SIMEI,EAST
2567,2013,Jan,520120,-,-,450.9,564.8,TAMPINES,1.3447,103.9532,SIMEI,EAST
2568,2013,Jan,520122,-,-,347.4,527.4,TAMPINES,1.3454,103.9525,SIMEI,EAST
2569,2013,Jan,520123,-,-,422.9,456.4,TAMPINES,1.3458,103.9538,SIMEI,EAST
2570,2013,Jan,520124,-,-,393.9,501.2,TAMPINES,1.3461,103.9533,SIMEI,EAST
2571,2013,Jan,520126,-,-,363.9,412.9,TAMPINES,1.3468,103.9542,SIMEI,EAST
