index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
830,2013,Jan,200025,177.6,-,-,-,ROCHOR,1.3063,103.858,SUNGEI ROAD,CENTRAL
831,2013,Jan,200026,-,-,380.7,-,ROCHOR,1.3063,103.8578,SUNGEI ROAD,CENTRAL
832,2013,Jan,200027,-,329.3,-,-,ROCHOR,1.3065,103.8577,SUNGEI ROAD,CENTRAL
833,2013,Jan,200028,-,311.3,-,526.7,ROCHOR,1.3062,103.8571,SUNGEI ROAD,CENTRAL
9485,2013,Feb,200025,143.0,-,-,-,ROCHOR,1.3063,103.858,SUNGEI ROAD,CENTRAL
9486,2013,Feb,200026,-,-,277.6,-,ROCHOR,1.3063,103.8578,SUNGEI ROAD,CENTRAL
9487,2013,Feb,200027,-,297.3,-,-,ROCHOR,1.3065,103.8577,SUNGEI ROAD,CENTRAL
9488,2013,Feb,200028,-,256.6,-,254.0,ROCHOR,1.3062,103.8571,SUNGEI ROAD,CENTRAL
9489,2013,Feb,200029,-,243.8,-,573.7,ROCHOR,1.3058,103.8572,SUNGEI ROAD,CENTRAL
18114,2013,Mar,200025,169.4,-,-,-,ROCHOR,1.3063,103.858,SUNGEI ROAD,CENTRAL
18115,2013,Mar,200026,-,-,341.2,-,ROCHOR,1.3063,103.8578,SUNGEI ROAD,CENTRAL
18116,2013,Mar,200027,-,329.0,-,-,ROCHOR,1.3065,103.8577,SUNGEI ROAD,CENTRAL
18117,2013,Mar,200028,-,294.4,-,410.0,ROCHOR,1.3062,103.8571,SUNGEI ROAD,CENTRAL
18118,2013,Mar,200029,-,286.4,-,713.9,ROCHOR,1.3058,103.8572,SUNGEI ROAD,CENTRAL
26768,2013,Apr,200025,186.0,-,-,-,ROCHOR,1.3063,103.858,SUNGEI ROAD,CENTRAL
26769,2013,Apr,200026,-,-,395.0,-,ROCHOR,1.3063,103.8578,SUNGEI ROAD,CENTRAL
26770,2013,Apr,200027,-,337.7,-,-,ROCHOR,1.3065,103.8577,SUNGEI ROAD,CENTRAL
26771,2013,Apr,200028,-,327.8,-,486.7,ROCHOR,1.3062,103.8571,SUNGEI ROAD,CENTRAL
26772,2013,Apr,200029,-,314.6,-,749.6,ROCHOR,1.3058,103.8572,SUNGEI ROAD,CENTRAL
35458,2013,May,200025,180.0,-,-,-,ROCHOR,1.3063,103.858,SUNGEI ROAD,CENTRAL
35459,2013,May,200026,-,-,374.8,-,ROCHOR,1.3063,103.8578,SUNGEI ROAD,CENTRAL
35460,2013,May,200027,-,338.7,-,-,ROCHOR,1.3065,103.8577,SUNGEI ROAD,CENTRAL
35461,2013,May,200028,-,316.9,-,455.7,ROCHOR,1.3062,103.8571,SUNGEI ROAD,CENTRAL
35462,2013,May,200029,-,309.6,-,761.3,ROCHOR,1.3058,103.8572,SUNGEI ROAD,CENTRAL
44042,2013,Jun,200025,206.4,-,-,-,ROCHOR,1.3063,103.858,SUNGEI ROAD,CENTRAL
44043,2013,Jun,200026,-,-,440.5,-,ROCHOR,1.3063,103.8578,SUNGEI ROAD,CENTRAL
44044,2013,Jun,200027,-,418.3,-,-,ROCHOR,1.3065,103.8577,SUNGEI ROAD,CENTRAL
44045,2013,Jun,200028,-,385.9,-,503.0,ROCHOR,1.3062,103.8571,SUNGEI ROAD,CENTRAL
44046,2013,Jun,200029,-,373.1,-,796.9,ROCHOR,1.3058,103.8572,SUNGEI ROAD,CENTRAL
52718,2013,Jul,200025,178.3,-,-,-,ROCHOR,1.3063,103.858,SUNGEI ROAD,CENTRAL
52719,2013,Jul,200026,-,-,380.4,-,ROCHOR,1.3063,103.8578,SUNGEI ROAD,CENTRAL
52720,2013,Jul,200027,-,348.3,-,-,ROCHOR,1.3065,103.8577,SUNGEI ROAD,CENTRAL
52721,2013,Jul,200028,-,332.2,-,441.3,ROCHOR,1.3062,103.8571,SUNGEI ROAD,CENTRAL
52722,2013,Jul,200029,-,317.1,-,725.9,ROCHOR,1.3058,103.8572,SUNGEI ROAD,CENTRAL
61400,2013,Aug,200025,206.7,-,-,-,ROCHOR,1.3063,103.858,SUNGEI ROAD,CENTRAL
61401,2013,Aug,200026,-,-,440.1,-,ROCHOR,1.3063,103.8578,SUNGEI ROAD,CENTRAL
61402,2013,Aug,200027,-,401.7,-,-,ROCHOR,1.3065,103.8577,SUNGEI ROAD,CENTRAL
61403,2013,Aug,200028,-,358.1,-,653.0,ROCHOR,1.3062,103.8571,SUNGEI ROAD,CENTRAL
61404,2013,Aug,200029,-,386.5,-,802.4,ROCHOR,1.3058,103.8572,SUNGEI ROAD,CENTRAL
70062,2013,Sep,200025,174.0,-,-,-,ROCHOR,1.3063,103.858,SUNGEI ROAD,CENTRAL
70063,2013,Sep,200026,-,-,378.7,-,ROCHOR,1.3063,103.8578,SUNGEI ROAD,CENTRAL
70064,2013,Sep,200027,-,350.7,-,-,ROCHOR,1.3065,103.8577,SUNGEI ROAD,CENTRAL
70065,2013,Sep,200028,-,310.7,-,512.0,ROCHOR,1.3062,103.8571,SUNGEI ROAD,CENTRAL
70066,2013,Sep,200029,-,325.0,-,705.1,ROCHOR,1.3058,103.8572,SUNGEI ROAD,CENTRAL
78751,2013,Oct,200025,171.3,-,-,-,ROCHOR,1.3063,103.858,SUNGEI ROAD,CENTRAL
78752,2013,Oct,200026,-,-,345.6,-,ROCHOR,1.3063,103.8578,SUNGEI ROAD,CENTRAL
78753,2013,Oct,200027,-,250.7,-,-,ROCHOR,1.3065,103.8577,SUNGEI ROAD,CENTRAL
78754,2013,Oct,200028,-,272.4,-,567.3,ROCHOR,1.3062,103.8571,SUNGEI ROAD,CENTRAL
78755,2013,Oct,200029,-,286.9,-,523.6,ROCHOR,1.3058,103.8572,SUNGEI ROAD,CENTRAL
87422,2013,Nov,200025,182.3,-,-,-,ROCHOR,1.3063,103.858,SUNGEI ROAD,CENTRAL
87423,2013,Nov,200026,-,-,382.5,-,ROCHOR,1.3063,103.8578,SUNGEI ROAD,CENTRAL
87424,2013,Nov,200027,-,316.0,-,-,ROCHOR,1.3065,103.8577,SUNGEI ROAD,CENTRAL
87425,2013,Nov,200028,-,307.9,-,567.0,ROCHOR,1.3062,103.8571,SUNGEI ROAD,CENTRAL
87426,2013,Nov,200029,-,322.0,-,465.7,ROCHOR,1.3058,103.8572,SUNGEI ROAD,CENTRAL
96119,2013,Dec,200025,182.6,-,-,-,ROCHOR,1.3063,103.858,SUNGEI ROAD,CENTRAL
96120,2013,Dec,200026,-,-,367.5,-,ROCHOR,1.3063,103.8578,SUNGEI ROAD,CENTRAL
96121,2013,Dec,200027,-,349.0,-,-,ROCHOR,1.3065,103.8577,SUNGEI ROAD,CENTRAL
96122,2013,Dec,200028,-,308.4,-,494.0,ROCHOR,1.3062,103.8571,SUNGEI ROAD,CENTRAL
96123,2013,Dec,200029,-,321.2,-,413.8,ROCHOR,1.3058,103.8572,SUNGEI ROAD,CENTRAL
104827,2014,Jan,200025,176.0,-,-,-,ROCHOR,1.3063,103.858,SUNGEI ROAD,CENTRAL
104828,2014,Jan,200026,-,-,367.8,-,ROCHOR,1.3063,103.8578,SUNGEI ROAD,CENTRAL
104829,2014,Jan,200027,-,322.0,-,-,ROCHOR,1.3065,103.8577,SUNGEI ROAD,CENTRAL
104830,2014,Jan,200028,-,300.5,-,513.3,ROCHOR,1.3062,103.8571,SUNGEI ROAD,CENTRAL
104831,2014,Jan,200029,-,309.4,-,450.2,ROCHOR,1.3058,103.8572,SUNGEI ROAD,CENTRAL
113552,2014,Feb,200025,148.1,-,-,-,ROCHOR,1.3063,103.858,SUNGEI ROAD,CENTRAL
113553,2014,Feb,200026,-,-,287.3,-,ROCHOR,1.3063,103.8578,SUNGEI ROAD,CENTRAL
113554,2014,Feb,200027,-,256.3,-,-,ROCHOR,1.3065,103.8577,SUNGEI ROAD,CENTRAL
113555,2014,Feb,200028,-,222.4,-,379.7,ROCHOR,1.3062,103.8571,SUNGEI ROAD,CENTRAL
113556,2014,Feb,200029,-,260.4,-,348.8,ROCHOR,1.3058,103.8572,SUNGEI ROAD,CENTRAL
122287,2014,Mar,200025,149.1,-,-,-,ROCHOR,1.3063,103.858,SUNGEI ROAD,CENTRAL
122288,2014,Mar,200026,-,-,300.6,-,ROCHOR,1.3063,103.8578,SUNGEI ROAD,CENTRAL
122289,2014,Mar,200027,-,265.3,-,-,ROCHOR,1.3065,103.8577,SUNGEI ROAD,CENTRAL
122290,2014,Mar,200028,-,237.6,-,409.7,ROCHOR,1.3062,103.8571,SUNGEI ROAD,CENTRAL
122291,2014,Mar,200029,-,257.5,-,366.8,ROCHOR,1.3058,103.8572,SUNGEI ROAD,CENTRAL
131042,2014,Apr,200025,167.4,-,-,-,ROCHOR,1.3063,103.858,SUNGEI ROAD,CENTRAL
131043,2014,Apr,200026,-,-,402.3,-,ROCHOR,1.3063,103.8578,SUNGEI ROAD,CENTRAL
131044,2014,Apr,200027,-,283.3,-,-,ROCHOR,1.3065,103.8577,SUNGEI ROAD,CENTRAL
131045,2014,Apr,200028,-,319.8,-,617.3,ROCHOR,1.3062,103.8571,SUNGEI ROAD,CENTRAL
131046,2014,Apr,200029,-,345.0,-,516.0,ROCHOR,1.3058,103.8572,SUNGEI ROAD,CENTRAL
139856,2014,May,200025,161.2,-,-,-,ROCHOR,1.3063,103.858,SUNGEI ROAD,CENTRAL
139857,2014,May,200026,-,-,356.9,-,ROCHOR,1.3063,103.8578,SUNGEI ROAD,CENTRAL
139858,2014,May,200027,-,279.0,-,-,ROCHOR,1.3065,103.8577,SUNGEI ROAD,CENTRAL
139859,2014,May,200028,-,288.7,-,522.3,ROCHOR,1.3062,103.8571,SUNGEI ROAD,CENTRAL
139860,2014,May,200029,-,299.0,-,448.8,ROCHOR,1.3058,103.8572,SUNGEI ROAD,CENTRAL
148698,2014,Jun,200025,217.2,-,-,-,ROCHOR,1.3063,103.858,SUNGEI ROAD,CENTRAL
148699,2014,Jun,200026,-,-,480.6,-,ROCHOR,1.3063,103.8578,SUNGEI ROAD,CENTRAL
148700,2014,Jun,200027,-,280.3,-,-,ROCHOR,1.3065,103.8577,SUNGEI ROAD,CENTRAL
148701,2014,Jun,200028,-,360.0,-,803.0,ROCHOR,1.3062,103.8571,SUNGEI ROAD,CENTRAL
148702,2014,Jun,200029,-,390.8,-,575.8,ROCHOR,1.3058,103.8572,SUNGEI ROAD,CENTRAL
157519,2014,Jul,200025,186.9,-,-,-,ROCHOR,1.3063,103.858,SUNGEI ROAD,CENTRAL
157520,2014,Jul,200026,-,-,406.5,-,ROCHOR,1.3063,103.8578,SUNGEI ROAD,CENTRAL
157521,2014,Jul,200027,-,275.0,-,-,ROCHOR,1.3065,103.8577,SUNGEI ROAD,CENTRAL
157522,2014,Jul,200028,-,319.8,-,651.7,ROCHOR,1.3062,103.8571,SUNGEI ROAD,CENTRAL
