index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
3284,2013,Jan,530128,-,-,-,475.4,HOUGANG,1.3518,103.8863,TAI SENG,NORTH-EAST
3285,2013,Jan,530129,-,275.7,415.6,454.0,HOUGANG,1.3523,103.8878,TAI SENG,NORTH-EAST
3286,2013,Jan,530130,-,-,383.4,-,HOUGANG,1.3515,103.8864,TAI SENG,NORTH-EAST
3287,2013,Jan,530131,-,-,-,610.0,HOUGANG,1.3514,103.8871,TAI SENG,NORTH-EAST
3288,2013,Jan,530132,-,-,-,514.7,HOUGANG,1.3506,103.8863,TAI SENG,NORTH-EAST
3289,2013,Jan,530133,-,-,395.6,394.1,HOUGANG,1.3513,103.8875,TAI SENG,NORTH-EAST
3290,2013,Jan,530134,-,-,379.9,-,HOUGANG,1.3506,103.8865,TAI SENG,NORTH-EAST
3291,2013,Jan,530135,-,236.1,361.6,407.0,HOUGANG,1.3506,103.8872,TAI SENG,NORTH-EAST
3292,2013,Jan,530136,-,-,-,564.8,HOUGANG,1.3498,103.8863,TAI SENG,NORTH-EAST
3293,2013,Jan,530137,-,-,354.4,547.4,HOUGANG,1.3499,103.8868,TAI SENG,NORTH-EAST
3310,2013,Jan,530165,-,-,354.0,-,HOUGANG,1.3504,103.8876,TAI SENG,NORTH-EAST
3311,2013,Jan,530166,-,-,374.9,374.2,HOUGANG,1.3513,103.888,TAI SENG,NORTH-EAST
3312,2013,Jan,530167,-,-,402.9,453.5,HOUGANG,1.3519,103.8882,TAI SENG,NORTH-EAST
3313,2013,Jan,530168,-,-,384.9,464.0,HOUGANG,1.352,103.8897,TAI SENG,NORTH-EAST
3314,2013,Jan,530169,-,-,410.5,359.0,HOUGANG,1.3516,103.8897,TAI SENG,NORTH-EAST
3315,2013,Jan,530170,-,-,421.9,422.3,HOUGANG,1.3517,103.8893,TAI SENG,NORTH-EAST
3316,2013,Jan,530171,-,-,350.5,432.7,HOUGANG,1.351,103.8892,TAI SENG,NORTH-EAST
3317,2013,Jan,530172,-,-,356.5,503.7,HOUGANG,1.3505,103.8894,TAI SENG,NORTH-EAST
3318,2013,Jan,530173,-,-,357.5,425.8,HOUGANG,1.3504,103.8885,TAI SENG,NORTH-EAST
11931,2013,Feb,530128,-,-,-,431.8,HOUGANG,1.3518,103.8863,TAI SENG,NORTH-EAST
11932,2013,Feb,530129,-,267.4,365.9,433.7,HOUGANG,1.3523,103.8878,TAI SENG,NORTH-EAST
11933,2013,Feb,530130,-,-,343.4,-,HOUGANG,1.3515,103.8864,TAI SENG,NORTH-EAST
11934,2013,Feb,530131,-,-,-,588.5,HOUGANG,1.3514,103.8871,TAI SENG,NORTH-EAST
11935,2013,Feb,530132,-,-,-,492.7,HOUGANG,1.3506,103.8863,TAI SENG,NORTH-EAST
11936,2013,Feb,530133,-,-,382.2,682.9,HOUGANG,1.3513,103.8875,TAI SENG,NORTH-EAST
11937,2013,Feb,530134,-,-,367.5,-,HOUGANG,1.3506,103.8865,TAI SENG,NORTH-EAST
11938,2013,Feb,530135,-,239.1,355.3,426.3,HOUGANG,1.3506,103.8872,TAI SENG,NORTH-EAST
11939,2013,Feb,530136,-,-,-,598.6,HOUGANG,1.3498,103.8863,TAI SENG,NORTH-EAST
11940,2013,Feb,530137,-,-,356.0,595.0,HOUGANG,1.3499,103.8868,TAI SENG,NORTH-EAST
11957,2013,Feb,530165,-,-,326.6,-,HOUGANG,1.3504,103.8876,TAI SENG,NORTH-EAST
11958,2013,Feb,530166,-,-,353.2,381.3,HOUGANG,1.3513,103.888,TAI SENG,NORTH-EAST
11959,2013,Feb,530167,-,-,379.7,427.1,HOUGANG,1.3519,103.8882,TAI SENG,NORTH-EAST
11960,2013,Feb,530168,-,-,374.5,453.1,HOUGANG,1.352,103.8897,TAI SENG,NORTH-EAST
11961,2013,Feb,530169,-,-,409.7,349.6,HOUGANG,1.3516,103.8897,TAI SENG,NORTH-EAST
11962,2013,Feb,530170,-,-,349.8,404.1,HOUGANG,1.3517,103.8893,TAI SENG,NORTH-EAST
11963,2013,Feb,530171,-,-,365.3,434.0,HOUGANG,1.351,103.8892,TAI SENG,NORTH-EAST
11964,2013,Feb,530172,-,-,355.8,450.0,HOUGANG,1.3505,103.8894,TAI SENG,NORTH-EAST
11965,2013,Feb,530173,-,-,358.2,393.7,HOUGANG,1.3504,103.8885,TAI SENG,NORTH-EAST
20568,2013,Mar,530128,-,-,-,438.6,HOUGANG,1.3518,103.8863,TAI SENG,NORTH-EAST
20569,2013,Mar,530129,-,262.6,380.1,450.0,HOUGANG,1.3523,103.8878,TAI SENG,NORTH-EAST
20570,2013,Mar,530130,-,-,352.7,-,HOUGANG,1.3515,103.8864,TAI SENG,NORTH-EAST
20571,2013,Mar,530131,-,-,-,576.5,HOUGANG,1.3514,103.8871,TAI SENG,NORTH-EAST
20572,2013,Mar,530132,-,-,-,495.3,HOUGANG,1.3506,103.8863,TAI SENG,NORTH-EAST
20573,2013,Mar,530133,-,-,378.8,416.1,HOUGANG,1.3513,103.8875,TAI SENG,NORTH-EAST
20574,2013,Mar,530134,-,-,354.3,-,HOUGANG,1.3506,103.8865,TAI SENG,NORTH-EAST
20575,2013,Mar,530135,-,229.8,348.7,418.2,HOUGANG,1.3506,103.8872,TAI SENG,NORTH-EAST
20576,2013,Mar,530136,-,-,-,563.4,HOUGANG,1.3498,103.8863,TAI SENG,NORTH-EAST
20577,2013,Mar,530137,-,-,344.4,552.4,HOUGANG,1.3499,103.8868,TAI SENG,NORTH-EAST
20594,2013,Mar,530165,-,-,331.7,-,HOUGANG,1.3504,103.8876,TAI SENG,NORTH-EAST
20595,2013,Mar,530166,-,-,341.0,426.8,HOUGANG,1.3513,103.888,TAI SENG,NORTH-EAST
20596,2013,Mar,530167,-,-,374.6,425.6,HOUGANG,1.3519,103.8882,TAI SENG,NORTH-EAST
20597,2013,Mar,530168,-,-,369.3,442.1,HOUGANG,1.352,103.8897,TAI SENG,NORTH-EAST
20598,2013,Mar,530169,-,-,399.6,342.6,HOUGANG,1.3516,103.8897,TAI SENG,NORTH-EAST
