index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
372,2013,Jan,140024,194.4,262.8,493.3,-,QUEENSTOWN,1.2977,103.7992,TANGLIN HALT,CENTRAL
373,2013,Jan,140025,152.8,242.3,511.3,-,QUEENSTOWN,1.298,103.7992,TANGLIN HALT,CENTRAL
374,2013,Jan,140028,115.6,180.2,383.7,-,QUEENSTOWN,1.2986,103.7994,TANGLIN HALT,CENTRAL
375,2013,Jan,140030,-,263.3,-,-,QUEENSTOWN,1.2988,103.7993,TANGLIN HALT,CENTRAL
376,2013,Jan,140037,-,193.4,-,-,QUEENSTOWN,1.2979,103.7979,TANGLIN HALT,CENTRAL
377,2013,Jan,140038,168.8,237.8,515.3,-,QUEENSTOWN,1.2975,103.799,TANGLIN HALT,CENTRAL
388,2013,Jan,140057,-,190.8,-,-,QUEENSTOWN,1.2986,103.7966,TANGLIN HALT,CENTRAL
389,2013,Jan,140058,190.8,224.0,480.3,-,QUEENSTOWN,1.2978,103.7975,TANGLIN HALT,CENTRAL
390,2013,Jan,140059,116.8,244.0,415.6,-,QUEENSTOWN,1.2986,103.7971,TANGLIN HALT,CENTRAL
391,2013,Jan,140060,-,211.8,-,-,QUEENSTOWN,1.2986,103.7971,TANGLIN HALT,CENTRAL
392,2013,Jan,140061,-,465.6,-,-,QUEENSTOWN,1.2984,103.7965,TANGLIN HALT,CENTRAL
393,2013,Jan,140062,-,265.9,-,-,QUEENSTOWN,1.2986,103.7971,TANGLIN HALT,CENTRAL
394,2013,Jan,140063,113.9,227.9,494.2,-,QUEENSTOWN,1.2987,103.7971,TANGLIN HALT,CENTRAL
395,2013,Jan,140064,-,232.8,-,-,QUEENSTOWN,1.2994,103.7974,TANGLIN HALT,CENTRAL
396,2013,Jan,140065,-,235.7,-,-,QUEENSTOWN,1.2995,103.7967,TANGLIN HALT,CENTRAL
397,2013,Jan,140066,159.3,242.5,312.0,-,QUEENSTOWN,1.2991,103.7967,TANGLIN HALT,CENTRAL
398,2013,Jan,140068,-,295.4,-,-,QUEENSTOWN,1.2990000000000002,103.7964,TANGLIN HALT,CENTRAL
399,2013,Jan,140069,-,240.8,-,-,QUEENSTOWN,1.2993,103.7964,TANGLIN HALT,CENTRAL
400,2013,Jan,140070,-,317.6,-,-,QUEENSTOWN,1.3,103.7959,TANGLIN HALT,CENTRAL
401,2013,Jan,140071,-,324.7,-,-,QUEENSTOWN,1.3,103.7972,TANGLIN HALT,CENTRAL
402,2013,Jan,140072,-,340.3,-,-,QUEENSTOWN,1.3002,103.7971,TANGLIN HALT,CENTRAL
403,2013,Jan,140073,-,280.8,-,-,QUEENSTOWN,1.3003,103.7964,TANGLIN HALT,CENTRAL
469,2013,Jan,141026,-,235.6,-,-,QUEENSTOWN,1.2982,103.7992,TANGLIN HALT,CENTRAL
470,2013,Jan,141029,-,229.9,-,-,QUEENSTOWN,1.2987,103.7994,TANGLIN HALT,CENTRAL
471,2013,Jan,141031,-,194.6,-,-,QUEENSTOWN,1.2993,103.7991,TANGLIN HALT,CENTRAL
472,2013,Jan,141035,-,211.0,-,-,QUEENSTOWN,1.2979,103.7977,TANGLIN HALT,CENTRAL
473,2013,Jan,141036,-,227.2,-,-,QUEENSTOWN,1.2979,103.7979,TANGLIN HALT,CENTRAL
474,2013,Jan,141041,-,229.8,-,-,QUEENSTOWN,1.2982,103.799,TANGLIN HALT,CENTRAL
475,2013,Jan,141042,-,219.7,-,-,QUEENSTOWN,1.2984,103.799,TANGLIN HALT,CENTRAL
477,2013,Jan,141045,-,185.8,-,-,QUEENSTOWN,1.2993,103.799,TANGLIN HALT,CENTRAL
481,2013,Jan,141055,-,232.4,-,-,QUEENSTOWN,1.2971,103.7972,TANGLIN HALT,CENTRAL
482,2013,Jan,141056,-,222.5,-,-,QUEENSTOWN,1.2975,103.7975,TANGLIN HALT,CENTRAL
