index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
1675,2013,Jan,431003,-,221.7,459.0,-,KALLANG,1.3028,103.8839,TANJONG RHU,CENTRAL
1676,2013,Jan,431004,-,231.7,106.7,-,KALLANG,1.3019999999999998,103.884,TANJONG RHU,CENTRAL
1677,2013,Jan,431005,-,224.6,470.6,-,KALLANG,1.3019999999999998,103.884,TANJONG RHU,CENTRAL
1678,2013,Jan,431006,-,278.3,544.0,-,KALLANG,1.3019999999999998,103.884,TANJONG RHU,CENTRAL
1679,2013,Jan,431009,173.1,-,466.0,-,KALLANG,1.3028,103.883,TANJONG RHU,CENTRAL
1680,2013,Jan,431010,-,-,460.4,400.9,KALLANG,1.3022,103.883,TANJONG RHU,CENTRAL
1681,2013,Jan,431011,-,-,471.9,487.4,KALLANG,1.3016,103.8825,TANJONG RHU,CENTRAL
1682,2013,Jan,431012,-,314.6,398.0,-,KALLANG,1.3011,103.8837,TANJONG RHU,CENTRAL
1683,2013,Jan,431014,-,347.9,-,-,KALLANG,1.3004,103.8842,TANJONG RHU,CENTRAL
10332,2013,Feb,431011,-,-,446.8,524.5,KALLANG,1.3016,103.8825,TANJONG RHU,CENTRAL
10333,2013,Feb,431012,-,343.2,435.5,-,KALLANG,1.3011,103.8837,TANJONG RHU,CENTRAL
10334,2013,Feb,431014,-,369.1,-,-,KALLANG,1.3004,103.8842,TANJONG RHU,CENTRAL
18962,2013,Mar,431003,-,241.4,497.3,-,KALLANG,1.3028,103.8839,TANJONG RHU,CENTRAL
18963,2013,Mar,431004,-,225.2,90.5,-,KALLANG,1.3019999999999998,103.884,TANJONG RHU,CENTRAL
18964,2013,Mar,431006,-,279.1,491.0,-,KALLANG,1.3019999999999998,103.884,TANJONG RHU,CENTRAL
18965,2013,Mar,431011,-,-,445.0,515.0,KALLANG,1.3016,103.8825,TANJONG RHU,CENTRAL
18966,2013,Mar,431012,-,318.7,431.5,-,KALLANG,1.3011,103.8837,TANJONG RHU,CENTRAL
18967,2013,Mar,431014,-,338.3,-,-,KALLANG,1.3004,103.8842,TANJONG RHU,CENTRAL
27628,2013,Apr,431002,-,256.8,532.3,-,KALLANG,1.3033,103.8836,TANJONG RHU,CENTRAL
27629,2013,Apr,431003,-,246.2,499.7,-,KALLANG,1.3028,103.8839,TANJONG RHU,CENTRAL
27630,2013,Apr,431005,-,223.6,549.6,-,KALLANG,1.3019999999999998,103.884,TANJONG RHU,CENTRAL
27631,2013,Apr,431006,-,293.1,508.5,-,KALLANG,1.3019999999999998,103.884,TANJONG RHU,CENTRAL
27632,2013,Apr,431009,173.9,-,487.0,-,KALLANG,1.3028,103.883,TANJONG RHU,CENTRAL
27633,2013,Apr,431010,-,-,536.1,443.1,KALLANG,1.3022,103.883,TANJONG RHU,CENTRAL
27634,2013,Apr,431011,-,-,424.5,511.4,KALLANG,1.3016,103.8825,TANJONG RHU,CENTRAL
27635,2013,Apr,431012,-,316.4,411.0,-,KALLANG,1.3011,103.8837,TANJONG RHU,CENTRAL
27636,2013,Apr,431014,-,337.9,-,-,KALLANG,1.3004,103.8842,TANJONG RHU,CENTRAL
36314,2013,May,431005,-,282.9,628.2,-,KALLANG,1.3019999999999998,103.884,TANJONG RHU,CENTRAL
36315,2013,May,431010,-,-,582.9,575.9,KALLANG,1.3022,103.883,TANJONG RHU,CENTRAL
36316,2013,May,431011,-,-,463.3,596.1,KALLANG,1.3016,103.8825,TANJONG RHU,CENTRAL
36317,2013,May,431012,-,414.5,511.0,-,KALLANG,1.3011,103.8837,TANJONG RHU,CENTRAL
36318,2013,May,431014,-,430.4,-,-,KALLANG,1.3004,103.8842,TANJONG RHU,CENTRAL
44897,2013,Jun,431005,-,285.8,634.2,-,KALLANG,1.3019999999999998,103.884,TANJONG RHU,CENTRAL
44898,2013,Jun,431010,-,-,600.0,564.9,KALLANG,1.3022,103.883,TANJONG RHU,CENTRAL
44899,2013,Jun,431011,-,-,489.3,593.5,KALLANG,1.3016,103.8825,TANJONG RHU,CENTRAL
44900,2013,Jun,431012,-,401.5,509.4,-,KALLANG,1.3011,103.8837,TANJONG RHU,CENTRAL
44901,2013,Jun,431014,-,426.6,-,-,KALLANG,1.3004,103.8842,TANJONG RHU,CENTRAL
53568,2013,Jul,431002,-,345.8,608.8,-,KALLANG,1.3033,103.8836,TANJONG RHU,CENTRAL
53569,2013,Jul,431010,-,-,517.1,541.0,KALLANG,1.3022,103.883,TANJONG RHU,CENTRAL
53570,2013,Jul,431011,-,-,413.6,566.2,KALLANG,1.3016,103.8825,TANJONG RHU,CENTRAL
53571,2013,Jul,431012,-,410.7,504.8,-,KALLANG,1.3011,103.8837,TANJONG RHU,CENTRAL
53572,2013,Jul,431014,-,458.5,-,-,KALLANG,1.3004,103.8842,TANJONG RHU,CENTRAL
62241,2013,Aug,431010,-,-,525.6,553.1,KALLANG,1.3022,103.883,TANJONG RHU,CENTRAL
62242,2013,Aug,431011,-,-,449.5,586.1,KALLANG,1.3016,103.8825,TANJONG RHU,CENTRAL
62243,2013,Aug,431012,-,408.5,507.1,-,KALLANG,1.3011,103.8837,TANJONG RHU,CENTRAL
62244,2013,Aug,431014,-,442.6,-,-,KALLANG,1.3004,103.8842,TANJONG RHU,CENTRAL
70906,2013,Sep,431006,-,302.3,563.5,-,KALLANG,1.3019999999999998,103.884,TANJONG RHU,CENTRAL
70907,2013,Sep,431010,-,-,525.4,518.2,KALLANG,1.3022,103.883,TANJONG RHU,CENTRAL
70908,2013,Sep,431011,-,-,396.4,567.4,KALLANG,1.3016,103.8825,TANJONG RHU,CENTRAL
70909,2013,Sep,431012,-,331.4,449.3,-,KALLANG,1.3011,103.8837,TANJONG RHU,CENTRAL
70910,2013,Sep,431014,-,372.9,-,-,KALLANG,1.3004,103.8842,TANJONG RHU,CENTRAL
79586,2013,Oct,431010,-,-,503.9,515.1,KALLANG,1.3022,103.883,TANJONG RHU,CENTRAL
79587,2013,Oct,431011,-,-,413.3,546.8,KALLANG,1.3016,103.8825,TANJONG RHU,CENTRAL
79588,2013,Oct,431012,-,355.5,462.8,-,KALLANG,1.3011,103.8837,TANJONG RHU,CENTRAL
79589,2013,Oct,431014,-,396.0,-,-,KALLANG,1.3004,103.8842,TANJONG RHU,CENTRAL
88257,2013,Nov,431010,-,-,499.8,521.2,KALLANG,1.3022,103.883,TANJONG RHU,CENTRAL
88258,2013,Nov,431011,-,-,387.4,536.6,KALLANG,1.3016,103.8825,TANJONG RHU,CENTRAL
88259,2013,Nov,431012,-,381.1,502.1,-,KALLANG,1.3011,103.8837,TANJONG RHU,CENTRAL
