index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
66,2013,Jan,90027,-,-,359.6,-,BUKIT MERAH,1.2741,103.8219,TELOK BLANGAH RISE,CENTRAL
67,2013,Jan,90029,209.8,-,-,-,BUKIT MERAH,1.2736,103.8212,TELOK BLANGAH RISE,CENTRAL
68,2013,Jan,90031,-,247.5,-,277.0,BUKIT MERAH,1.2725,103.8208,TELOK BLANGAH RISE,CENTRAL
69,2013,Jan,90032,-,255.0,-,431.4,BUKIT MERAH,1.2732,103.8215,TELOK BLANGAH RISE,CENTRAL
70,2013,Jan,90033,-,261.0,-,773.8,BUKIT MERAH,1.2746,103.8226,TELOK BLANGAH RISE,CENTRAL
71,2013,Jan,90034,-,-,349.9,-,BUKIT MERAH,1.2736,103.8224,TELOK BLANGAH RISE,CENTRAL
72,2013,Jan,90035,-,281.3,-,-,BUKIT MERAH,1.2731,103.822,TELOK BLANGAH RISE,CENTRAL
73,2013,Jan,90037,-,-,-,401.7,BUKIT MERAH,1.2725,103.8229,TELOK BLANGAH RISE,CENTRAL
74,2013,Jan,90038,-,341.3,-,-,BUKIT MERAH,1.2721,103.8222,TELOK BLANGAH RISE,CENTRAL
75,2013,Jan,90039,-,-,-,441.3,BUKIT MERAH,1.272,103.8222,TELOK BLANGAH RISE,CENTRAL
76,2013,Jan,90040,-,-,373.6,-,BUKIT MERAH,1.2721,103.8235,TELOK BLANGAH RISE,CENTRAL
77,2013,Jan,90041,176.7,-,-,-,BUKIT MERAH,1.2712,103.823,TELOK BLANGAH RISE,CENTRAL
78,2013,Jan,90042,-,257.5,-,476.0,BUKIT MERAH,1.2712,103.8227,TELOK BLANGAH RISE,CENTRAL
79,2013,Jan,90101,-,284.3,362.1,-,BUKIT MERAH,1.2717,103.8259,TELOK BLANGAH RISE,CENTRAL
80,2013,Jan,90102,-,349.8,409.3,-,BUKIT MERAH,1.2719,103.8265,TELOK BLANGAH RISE,CENTRAL
81,2013,Jan,90103,-,251.3,-,-,BUKIT MERAH,1.272,103.8257,TELOK BLANGAH RISE,CENTRAL
82,2013,Jan,90104,-,265.3,415.2,-,BUKIT MERAH,1.2724,103.8254,TELOK BLANGAH RISE,CENTRAL
83,2013,Jan,90105,-,276.2,342.0,-,BUKIT MERAH,1.2727,103.8246,TELOK BLANGAH RISE,CENTRAL
84,2013,Jan,90106,-,240.6,392.0,-,BUKIT MERAH,1.2731,103.8256,TELOK BLANGAH RISE,CENTRAL
85,2013,Jan,90107,-,277.6,391.7,-,BUKIT MERAH,1.2729,103.8249,TELOK BLANGAH RISE,CENTRAL
86,2013,Jan,90108,-,335.3,368.6,-,BUKIT MERAH,1.2735,103.8254,TELOK BLANGAH RISE,CENTRAL
87,2013,Jan,90109,-,323.7,-,-,BUKIT MERAH,1.2738,103.8253,TELOK BLANGAH RISE,CENTRAL
88,2013,Jan,90110,-,-,393.0,-,BUKIT MERAH,1.274,103.8274,TELOK BLANGAH RISE,CENTRAL
89,2013,Jan,90111,-,-,406.9,469.6,BUKIT MERAH,1.2742,103.8273,TELOK BLANGAH RISE,CENTRAL
90,2013,Jan,90112,-,251.9,378.5,-,BUKIT MERAH,1.2747,103.8259,TELOK BLANGAH RISE,CENTRAL
91,2013,Jan,90113,-,-,424.5,-,BUKIT MERAH,1.2749,103.8269,TELOK BLANGAH RISE,CENTRAL
92,2013,Jan,90114,-,-,409.2,428.9,BUKIT MERAH,1.2749,103.8257,TELOK BLANGAH RISE,CENTRAL
93,2013,Jan,90115,-,-,421.7,462.0,BUKIT MERAH,1.2752,103.8265,TELOK BLANGAH RISE,CENTRAL
8709,2013,Feb,90027,-,-,333.7,-,BUKIT MERAH,1.2741,103.8219,TELOK BLANGAH RISE,CENTRAL
8710,2013,Feb,90029,183.3,-,-,-,BUKIT MERAH,1.2736,103.8212,TELOK BLANGAH RISE,CENTRAL
8711,2013,Feb,90031,-,221.9,-,241.8,BUKIT MERAH,1.2725,103.8208,TELOK BLANGAH RISE,CENTRAL
8712,2013,Feb,90032,-,216.0,-,376.4,BUKIT MERAH,1.2732,103.8215,TELOK BLANGAH RISE,CENTRAL
8713,2013,Feb,90033,-,203.5,-,579.7,BUKIT MERAH,1.2746,103.8226,TELOK BLANGAH RISE,CENTRAL
8714,2013,Feb,90034,-,-,268.6,-,BUKIT MERAH,1.2736,103.8224,TELOK BLANGAH RISE,CENTRAL
8715,2013,Feb,90035,-,249.0,-,-,BUKIT MERAH,1.2731,103.822,TELOK BLANGAH RISE,CENTRAL
8716,2013,Feb,90037,-,-,-,352.1,BUKIT MERAH,1.2725,103.8229,TELOK BLANGAH RISE,CENTRAL
8717,2013,Feb,90038,-,284.1,-,-,BUKIT MERAH,1.2721,103.8222,TELOK BLANGAH RISE,CENTRAL
8718,2013,Feb,90039,-,-,-,351.7,BUKIT MERAH,1.272,103.8222,TELOK BLANGAH RISE,CENTRAL
8719,2013,Feb,90040,-,-,293.2,-,BUKIT MERAH,1.2721,103.8235,TELOK BLANGAH RISE,CENTRAL
8720,2013,Feb,90041,167.3,-,-,-,BUKIT MERAH,1.2712,103.823,TELOK BLANGAH RISE,CENTRAL
8721,2013,Feb,90042,-,212.8,-,273.3,BUKIT MERAH,1.2712,103.8227,TELOK BLANGAH RISE,CENTRAL
8722,2013,Feb,90101,-,244.8,355.4,-,BUKIT MERAH,1.2717,103.8259,TELOK BLANGAH RISE,CENTRAL
8723,2013,Feb,90102,-,302.1,391.2,-,BUKIT MERAH,1.2719,103.8265,TELOK BLANGAH RISE,CENTRAL
