index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
996,2013,Jan,310080,-,-,436.1,459.4,TOA PAYOH,1.3353,103.8485,TOA PAYOH CENTRAL,CENTRAL
997,2013,Jan,310081,-,-,427.5,525.8,TOA PAYOH,1.3356,103.8507,TOA PAYOH CENTRAL,CENTRAL
998,2013,Jan,310082,-,-,391.7,530.9,TOA PAYOH,1.3362,103.8484,TOA PAYOH CENTRAL,CENTRAL
999,2013,Jan,310084,-,-,381.6,397.9,TOA PAYOH,1.3353,103.8477,TOA PAYOH CENTRAL,CENTRAL
1000,2013,Jan,310085,-,369.3,-,-,TOA PAYOH,1.3363,103.8486,TOA PAYOH CENTRAL,CENTRAL
1001,2013,Jan,310086,-,-,492.1,464.5,TOA PAYOH,1.3358,103.8478,TOA PAYOH CENTRAL,CENTRAL
1030,2013,Jan,310142,-,-,317.9,446.6,TOA PAYOH,1.3356,103.845,TOA PAYOH CENTRAL,CENTRAL
1031,2013,Jan,310143,-,-,328.6,373.9,TOA PAYOH,1.3359,103.8439,TOA PAYOH CENTRAL,CENTRAL
1032,2013,Jan,310144,-,-,310.1,372.4,TOA PAYOH,1.3358,103.8442,TOA PAYOH CENTRAL,CENTRAL
1033,2013,Jan,310145,-,-,296.3,402.4,TOA PAYOH,1.335,103.8461,TOA PAYOH CENTRAL,CENTRAL
1034,2013,Jan,310146,-,-,305.4,430.3,TOA PAYOH,1.3348,103.8464,TOA PAYOH CENTRAL,CENTRAL
1035,2013,Jan,310147,-,-,317.6,373.7,TOA PAYOH,1.3347,103.8451,TOA PAYOH CENTRAL,CENTRAL
1036,2013,Jan,310148,176.8,-,-,-,TOA PAYOH,1.3348,103.8435,TOA PAYOH CENTRAL,CENTRAL
1037,2013,Jan,310149,181.7,-,-,-,TOA PAYOH,1.334,103.8439,TOA PAYOH CENTRAL,CENTRAL
1038,2013,Jan,310150,174.8,-,-,-,TOA PAYOH,1.3345,103.8444,TOA PAYOH CENTRAL,CENTRAL
1039,2013,Jan,310152,-,-,306.6,391.6,TOA PAYOH,1.334,103.8458,TOA PAYOH CENTRAL,CENTRAL
1040,2013,Jan,310153,-,-,374.8,443.1,TOA PAYOH,1.3339,103.8457,TOA PAYOH CENTRAL,CENTRAL
1041,2013,Jan,310154,-,-,324.2,499.5,TOA PAYOH,1.3335,103.8462,TOA PAYOH CENTRAL,CENTRAL
1042,2013,Jan,310155,-,-,380.5,-,TOA PAYOH,1.3326,103.8458,TOA PAYOH CENTRAL,CENTRAL
1043,2013,Jan,310156,-,-,335.9,420.8,TOA PAYOH,1.3325,103.8452,TOA PAYOH CENTRAL,CENTRAL
1044,2013,Jan,310157,-,288.6,-,389.4,TOA PAYOH,1.3326,103.8458,TOA PAYOH CENTRAL,CENTRAL
1045,2013,Jan,310159,-,267.3,-,-,TOA PAYOH,1.3307,103.8455,TOA PAYOH CENTRAL,CENTRAL
1046,2013,Jan,310160,167.3,-,-,-,TOA PAYOH,1.3309,103.845,TOA PAYOH CENTRAL,CENTRAL
1047,2013,Jan,310161,181.2,-,-,-,TOA PAYOH,1.3305,103.845,TOA PAYOH CENTRAL,CENTRAL
1048,2013,Jan,310163,-,279.4,-,-,TOA PAYOH,1.3318,103.8443,TOA PAYOH CENTRAL,CENTRAL
1049,2013,Jan,310170,104.6,-,-,-,TOA PAYOH,1.3312,103.8426,TOA PAYOH CENTRAL,CENTRAL
1050,2013,Jan,310171,-,-,359.3,438.0,TOA PAYOH,1.3309,103.8426,TOA PAYOH CENTRAL,CENTRAL
1051,2013,Jan,310172,-,-,389.5,476.6,TOA PAYOH,1.3305,103.8431,TOA PAYOH CENTRAL,CENTRAL
1052,2013,Jan,310174,-,281.6,-,623.0,TOA PAYOH,1.3307,103.842,TOA PAYOH CENTRAL,CENTRAL
1053,2013,Jan,310175,-,-,316.7,-,TOA PAYOH,1.3335,103.8469,TOA PAYOH CENTRAL,CENTRAL
1054,2013,Jan,310177,-,342.6,439.8,-,TOA PAYOH,1.3338,103.8488,TOA PAYOH CENTRAL,CENTRAL
1055,2013,Jan,310178,-,351.4,-,-,TOA PAYOH,1.3337,103.8492,TOA PAYOH CENTRAL,CENTRAL
1056,2013,Jan,310179,-,-,368.9,-,TOA PAYOH,1.3339,103.85,TOA PAYOH CENTRAL,CENTRAL
1057,2013,Jan,310183,-,327.1,-,-,TOA PAYOH,1.3337,103.8488,TOA PAYOH CENTRAL,CENTRAL
1058,2013,Jan,310184,-,258.1,420.8,-,TOA PAYOH,1.3327,103.8498,TOA PAYOH CENTRAL,CENTRAL
1059,2013,Jan,310191,-,-,336.0,-,TOA PAYOH,1.332,103.8509,TOA PAYOH CENTRAL,CENTRAL
1060,2013,Jan,310193,-,-,322.0,-,TOA PAYOH,1.3316,103.8517,TOA PAYOH CENTRAL,CENTRAL
1116,2013,Jan,311079,-,-,315.6,395.2,TOA PAYOH,1.3348,103.8477,TOA PAYOH CENTRAL,CENTRAL
1117,2013,Jan,311080,-,-,403.5,536.5,TOA PAYOH,1.3354,103.8492,TOA PAYOH CENTRAL,CENTRAL
1118,2013,Jan,311081,-,-,421.4,520.5,TOA PAYOH,1.3355,103.8501,TOA PAYOH CENTRAL,CENTRAL
1119,2013,Jan,311082,-,-,334.3,516.2,TOA PAYOH,1.3361,103.849,TOA PAYOH CENTRAL,CENTRAL
1120,2013,Jan,311084,-,-,397.4,473.7,TOA PAYOH,1.3353,103.8468,TOA PAYOH CENTRAL,CENTRAL
1123,2013,Jan,311138,-,181.3,177.1,233.3,TOA PAYOH,1.3368,103.8457,TOA PAYOH CENTRAL,CENTRAL
1124,2013,Jan,311139,-,165.0,179.9,232.9,TOA PAYOH,1.3361,103.844,TOA PAYOH CENTRAL,CENTRAL
1125,2013,Jan,311141,-,-,334.9,433.3,TOA PAYOH,1.3358,103.8457,TOA PAYOH CENTRAL,CENTRAL
