index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
5046,2013,Jan,600201,-,-,-,333.9,JURONG EAST,1.3365,103.7434,TOH GUAN,WEST
5047,2013,Jan,600202,-,245.7,-,-,JURONG EAST,1.3369,103.7429,TOH GUAN,WEST
5048,2013,Jan,600203,-,237.0,226.4,409.2,JURONG EAST,1.3371,103.7427,TOH GUAN,WEST
5049,2013,Jan,600204,-,-,334.5,428.5,JURONG EAST,1.3375,103.7417,TOH GUAN,WEST
5050,2013,Jan,600205,-,238.2,332.2,-,JURONG EAST,1.3374,103.743,TOH GUAN,WEST
5051,2013,Jan,600206,-,247.4,354.0,-,JURONG EAST,1.3377,103.742,TOH GUAN,WEST
5052,2013,Jan,600207,-,263.3,358.7,-,JURONG EAST,1.338,103.7422,TOH GUAN,WEST
5053,2013,Jan,600208,-,275.5,-,-,JURONG EAST,1.3384,103.7425,TOH GUAN,WEST
5106,2013,Jan,600265,-,-,353.4,380.4,JURONG EAST,1.3406,103.7448,TOH GUAN,WEST
5107,2013,Jan,600266,-,-,362.6,-,JURONG EAST,1.3406,103.7439,TOH GUAN,WEST
5108,2013,Jan,600267,-,-,309.0,362.3,JURONG EAST,1.3412,103.7449,TOH GUAN,WEST
5109,2013,Jan,600268,-,-,358.0,433.1,JURONG EAST,1.342,103.7459,TOH GUAN,WEST
5110,2013,Jan,600269,-,-,327.8,418.7,JURONG EAST,1.3413,103.7455,TOH GUAN,WEST
5111,2013,Jan,600270,-,-,356.1,366.8,JURONG EAST,1.3411,103.7459,TOH GUAN,WEST
5112,2013,Jan,600271,-,-,344.5,363.9,JURONG EAST,1.3418,103.7464,TOH GUAN,WEST
5113,2013,Jan,600272,-,-,346.6,385.2,JURONG EAST,1.3423,103.7456,TOH GUAN,WEST
5114,2013,Jan,600273,-,-,396.6,-,JURONG EAST,1.3425,103.7454,TOH GUAN,WEST
5115,2013,Jan,600274,-,-,365.9,-,JURONG EAST,1.3419,103.7468,TOH GUAN,WEST
5116,2013,Jan,600275,-,-,382.4,-,JURONG EAST,1.3411,103.7478,TOH GUAN,WEST
5117,2013,Jan,600276,-,-,353.9,406.2,JURONG EAST,1.3409,103.7476,TOH GUAN,WEST
5118,2013,Jan,600277,-,-,365.9,383.4,JURONG EAST,1.3415,103.7468,TOH GUAN,WEST
5119,2013,Jan,600278,-,-,305.9,377.9,JURONG EAST,1.3408,103.7463,TOH GUAN,WEST
5120,2013,Jan,600279,-,-,294.5,399.9,JURONG EAST,1.3406,103.7465,TOH GUAN,WEST
5121,2013,Jan,600280,-,-,356.1,-,JURONG EAST,1.3403,103.7473,TOH GUAN,WEST
5122,2013,Jan,600281,-,-,358.2,384.1,JURONG EAST,1.3401,103.7466,TOH GUAN,WEST
5123,2013,Jan,600282,-,-,351.0,-,JURONG EAST,1.3397,103.7472,TOH GUAN,WEST
5124,2013,Jan,600283,-,-,357.8,-,JURONG EAST,1.3393,103.7467,TOH GUAN,WEST
5125,2013,Jan,600284,-,-,318.0,390.2,JURONG EAST,1.3397,103.7463,TOH GUAN,WEST
5197,2013,Jan,601285,-,-,-,476.6,JURONG EAST,1.3384,103.7463,TOH GUAN,WEST
5198,2013,Jan,601286,-,-,319.8,413.6,JURONG EAST,1.3388,103.7459,TOH GUAN,WEST
5199,2013,Jan,601287,-,-,-,469.7,JURONG EAST,1.3383,103.7436,TOH GUAN,WEST
5200,2013,Jan,601288,-,-,328.4,414.9,JURONG EAST,1.3386,103.7435,TOH GUAN,WEST
5203,2013,Jan,602285,-,-,379.2,423.9,JURONG EAST,1.3381,103.7472,TOH GUAN,WEST
5204,2013,Jan,602286,-,-,-,506.9,JURONG EAST,1.3388,103.7455,TOH GUAN,WEST
5205,2013,Jan,602287,-,-,-,507.1,JURONG EAST,1.3383,103.7443,TOH GUAN,WEST
5206,2013,Jan,602288,-,-,385.0,374.0,JURONG EAST,1.3391,103.7427,TOH GUAN,WEST
5207,2013,Jan,603285,-,-,-,528.0,JURONG EAST,1.338,103.7466,TOH GUAN,WEST
5208,2013,Jan,603286,-,-,-,511.5,JURONG EAST,1.3398,103.745,TOH GUAN,WEST
5209,2013,Jan,603287,-,-,-,495.8,JURONG EAST,1.3381,103.7448,TOH GUAN,WEST
5210,2013,Jan,603288,-,-,-,512.4,JURONG EAST,1.3394,103.7436,TOH GUAN,WEST
5211,2013,Jan,604285,-,-,-,464.2,JURONG EAST,1.3381,103.746,TOH GUAN,WEST
5212,2013,Jan,604286,-,-,415.2,409.7,JURONG EAST,1.3396,103.7446,TOH GUAN,WEST
5213,2013,Jan,604287,-,-,-,493.6,JURONG EAST,1.338,103.7441,TOH GUAN,WEST
5214,2013,Jan,604288,-,-,366.7,393.2,JURONG EAST,1.3399,103.7439,TOH GUAN,WEST
5215,2013,Jan,605288,-,-,397.5,439.3,JURONG EAST,1.3401,103.7437,TOH GUAN,WEST
13690,2013,Feb,600201,-,-,-,348.1,JURONG EAST,1.3365,103.7434,TOH GUAN,WEST
13691,2013,Feb,600202,-,263.3,-,-,JURONG EAST,1.3369,103.7429,TOH GUAN,WEST
13692,2013,Feb,600203,-,284.3,236.6,426.8,JURONG EAST,1.3371,103.7427,TOH GUAN,WEST
13693,2013,Feb,600204,-,-,334.1,390.0,JURONG EAST,1.3375,103.7417,TOH GUAN,WEST
13694,2013,Feb,600205,-,260.2,345.4,-,JURONG EAST,1.3374,103.743,TOH GUAN,WEST
13695,2013,Feb,600206,-,233.0,322.5,-,JURONG EAST,1.3377,103.742,TOH GUAN,WEST
13696,2013,Feb,600207,-,263.1,340.0,-,JURONG EAST,1.338,103.7422,TOH GUAN,WEST
13697,2013,Feb,600208,-,239.4,-,-,JURONG EAST,1.3384,103.7425,TOH GUAN,WEST
13749,2013,Feb,600265,-,-,335.5,351.1,JURONG EAST,1.3406,103.7448,TOH GUAN,WEST
13750,2013,Feb,600266,-,-,353.7,-,JURONG EAST,1.3406,103.7439,TOH GUAN,WEST
13751,2013,Feb,600267,-,-,311.6,326.9,JURONG EAST,1.3412,103.7449,TOH GUAN,WEST
13752,2013,Feb,600268,-,-,338.2,397.3,JURONG EAST,1.342,103.7459,TOH GUAN,WEST
13753,2013,Feb,600269,-,-,296.5,379.3,JURONG EAST,1.3413,103.7455,TOH GUAN,WEST
13754,2013,Feb,600270,-,-,337.1,338.8,JURONG EAST,1.3411,103.7459,TOH GUAN,WEST
13755,2013,Feb,600271,-,-,300.5,331.4,JURONG EAST,1.3418,103.7464,TOH GUAN,WEST
13756,2013,Feb,600272,-,-,314.0,338.9,JURONG EAST,1.3423,103.7456,TOH GUAN,WEST
13757,2013,Feb,600273,-,-,374.0,-,JURONG EAST,1.3425,103.7454,TOH GUAN,WEST
13758,2013,Feb,600274,-,-,331.0,-,JURONG EAST,1.3419,103.7468,TOH GUAN,WEST
13759,2013,Feb,600275,-,-,331.4,-,JURONG EAST,1.3411,103.7478,TOH GUAN,WEST
13760,2013,Feb,600276,-,-,286.6,349.1,JURONG EAST,1.3409,103.7476,TOH GUAN,WEST
13761,2013,Feb,600277,-,-,324.5,342.5,JURONG EAST,1.3415,103.7468,TOH GUAN,WEST
13762,2013,Feb,600278,-,-,285.5,324.9,JURONG EAST,1.3408,103.7463,TOH GUAN,WEST
13763,2013,Feb,600279,-,-,255.5,376.3,JURONG EAST,1.3406,103.7465,TOH GUAN,WEST
13764,2013,Feb,600280,-,-,325.2,-,JURONG EAST,1.3403,103.7473,TOH GUAN,WEST
13765,2013,Feb,600281,-,-,272.1,349.6,JURONG EAST,1.3401,103.7466,TOH GUAN,WEST
13766,2013,Feb,600282,-,-,309.9,-,JURONG EAST,1.3397,103.7472,TOH GUAN,WEST
13767,2013,Feb,600283,-,-,344.5,-,JURONG EAST,1.3393,103.7467,TOH GUAN,WEST
13768,2013,Feb,600284,-,-,328.7,379.9,JURONG EAST,1.3397,103.7463,TOH GUAN,WEST
13842,2013,Feb,601285,-,-,-,448.0,JURONG EAST,1.3384,103.7463,TOH GUAN,WEST
13843,2013,Feb,601286,-,-,313.8,378.0,JURONG EAST,1.3388,103.7459,TOH GUAN,WEST
13844,2013,Feb,601287,-,-,-,425.3,JURONG EAST,1.3383,103.7436,TOH GUAN,WEST
13845,2013,Feb,601288,-,-,298.3,375.9,JURONG EAST,1.3386,103.7435,TOH GUAN,WEST
13848,2013,Feb,602285,-,-,359.6,377.7,JURONG EAST,1.3381,103.7472,TOH GUAN,WEST
13849,2013,Feb,602286,-,-,-,430.8,JURONG EAST,1.3388,103.7455,TOH GUAN,WEST
13850,2013,Feb,602287,-,-,-,452.2,JURONG EAST,1.3383,103.7443,TOH GUAN,WEST
13851,2013,Feb,602288,-,-,299.0,329.9,JURONG EAST,1.3391,103.7427,TOH GUAN,WEST
13852,2013,Feb,603285,-,-,-,503.7,JURONG EAST,1.338,103.7466,TOH GUAN,WEST
13853,2013,Feb,603286,-,-,-,448.0,JURONG EAST,1.3398,103.745,TOH GUAN,WEST
13854,2013,Feb,603287,-,-,-,462.5,JURONG EAST,1.3381,103.7448,TOH GUAN,WEST
13855,2013,Feb,603288,-,-,-,469.7,JURONG EAST,1.3394,103.7436,TOH GUAN,WEST
13856,2013,Feb,604285,-,-,-,430.1,JURONG EAST,1.3381,103.746,TOH GUAN,WEST
13857,2013,Feb,604286,-,-,379.2,370.6,JURONG EAST,1.3396,103.7446,TOH GUAN,WEST
13858,2013,Feb,604287,-,-,-,454.3,JURONG EAST,1.338,103.7441,TOH GUAN,WEST
13859,2013,Feb,604288,-,-,357.0,379.5,JURONG EAST,1.3399,103.7439,TOH GUAN,WEST
13860,2013,Feb,605288,-,-,378.4,435.7,JURONG EAST,1.3401,103.7437,TOH GUAN,WEST
22334,2013,Mar,600201,-,-,-,349.0,JURONG EAST,1.3365,103.7434,TOH GUAN,WEST
22335,2013,Mar,600202,-,258.4,-,-,JURONG EAST,1.3369,103.7429,TOH GUAN,WEST
22336,2013,Mar,600203,-,264.5,235.4,426.0,JURONG EAST,1.3371,103.7427,TOH GUAN,WEST
22337,2013,Mar,600204,-,-,342.9,414.3,JURONG EAST,1.3375,103.7417,TOH GUAN,WEST
22338,2013,Mar,600205,-,253.4,344.6,-,JURONG EAST,1.3374,103.743,TOH GUAN,WEST
22339,2013,Mar,600206,-,234.8,352.6,-,JURONG EAST,1.3377,103.742,TOH GUAN,WEST
22340,2013,Mar,600207,-,267.6,348.1,-,JURONG EAST,1.338,103.7422,TOH GUAN,WEST
22341,2013,Mar,600208,-,262.5,-,-,JURONG EAST,1.3384,103.7425,TOH GUAN,WEST
22393,2013,Mar,600265,-,-,350.5,379.6,JURONG EAST,1.3406,103.7448,TOH GUAN,WEST
22394,2013,Mar,600266,-,-,362.9,-,JURONG EAST,1.3406,103.7439,TOH GUAN,WEST
22395,2013,Mar,600267,-,-,315.6,355.7,JURONG EAST,1.3412,103.7449,TOH GUAN,WEST
22396,2013,Mar,600268,-,-,354.1,394.3,JURONG EAST,1.342,103.7459,TOH GUAN,WEST
22397,2013,Mar,600269,-,-,319.7,405.2,JURONG EAST,1.3413,103.7455,TOH GUAN,WEST
22398,2013,Mar,600270,-,-,352.5,350.4,JURONG EAST,1.3411,103.7459,TOH GUAN,WEST
