index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
4482,2013,Jan,560301,-,293.3,346.1,721.3,ANG MO KIO,1.3673,103.8459,TOWNSVILLE,NORTH-EAST
4483,2013,Jan,560302,-,278.8,431.6,-,ANG MO KIO,1.3672,103.8458,TOWNSVILLE,NORTH-EAST
4484,2013,Jan,560303,-,-,365.9,-,ANG MO KIO,1.3667,103.8457,TOWNSVILLE,NORTH-EAST
4485,2013,Jan,560304,-,-,337.7,-,ANG MO KIO,1.3661,103.8449,TOWNSVILLE,NORTH-EAST
4486,2013,Jan,560305,-,-,438.7,372.7,ANG MO KIO,1.3664,103.8459,TOWNSVILLE,NORTH-EAST
4487,2013,Jan,560306,-,-,329.3,351.6,ANG MO KIO,1.3656,103.8457,TOWNSVILLE,NORTH-EAST
4488,2013,Jan,560311,-,-,351.3,464.5,ANG MO KIO,1.3668,103.8488,TOWNSVILLE,NORTH-EAST
4489,2013,Jan,560312,-,-,447.4,431.3,ANG MO KIO,1.3661,103.8488,TOWNSVILLE,NORTH-EAST
4490,2013,Jan,560313,-,300.0,445.8,642.0,ANG MO KIO,1.3668,103.8501,TOWNSVILLE,NORTH-EAST
4491,2013,Jan,560314,186.7,-,-,-,ANG MO KIO,1.3662,103.8501,TOWNSVILLE,NORTH-EAST
4492,2013,Jan,560317,-,-,432.6,430.4,ANG MO KIO,1.3657,103.8467,TOWNSVILLE,NORTH-EAST
4493,2013,Jan,560318,117.9,-,-,-,ANG MO KIO,1.3655,103.8477,TOWNSVILLE,NORTH-EAST
4494,2013,Jan,560319,-,239.8,318.3,552.0,ANG MO KIO,1.365,103.8473,TOWNSVILLE,NORTH-EAST
4495,2013,Jan,560320,-,238.4,-,-,ANG MO KIO,1.3656,103.8489,TOWNSVILLE,NORTH-EAST
4496,2013,Jan,560321,-,257.0,-,-,ANG MO KIO,1.365,103.8484,TOWNSVILLE,NORTH-EAST
4497,2013,Jan,560322,-,305.3,-,-,ANG MO KIO,1.3685,103.8478,TOWNSVILLE,NORTH-EAST
4498,2013,Jan,560323,203.3,-,-,-,ANG MO KIO,1.3678,103.8477,TOWNSVILLE,NORTH-EAST
4499,2013,Jan,560324,-,-,448.6,-,ANG MO KIO,1.3685,103.8469,TOWNSVILLE,NORTH-EAST
4500,2013,Jan,560325,-,-,414.1,-,ANG MO KIO,1.3678,103.8469,TOWNSVILLE,NORTH-EAST
4501,2013,Jan,560326,-,-,398.5,-,ANG MO KIO,1.3669,103.8479,TOWNSVILLE,NORTH-EAST
4502,2013,Jan,560327,-,-,381.1,-,ANG MO KIO,1.3669,103.847,TOWNSVILLE,NORTH-EAST
4503,2013,Jan,560328,-,311.8,-,-,ANG MO KIO,1.3668,103.8479,TOWNSVILLE,NORTH-EAST
4504,2013,Jan,560329,-,317.7,493.2,-,ANG MO KIO,1.3668,103.8469,TOWNSVILLE,NORTH-EAST
4505,2013,Jan,560330,-,262.6,429.7,525.7,ANG MO KIO,1.3626,103.851,TOWNSVILLE,NORTH-EAST
4506,2013,Jan,560331,-,291.9,-,-,ANG MO KIO,1.3619,103.8506,TOWNSVILLE,NORTH-EAST
4507,2013,Jan,560332,-,290.3,-,-,ANG MO KIO,1.3618,103.852,TOWNSVILLE,NORTH-EAST
4508,2013,Jan,560333,-,276.2,-,-,ANG MO KIO,1.3611,103.8516,TOWNSVILLE,NORTH-EAST
4509,2013,Jan,560334,-,-,361.8,-,ANG MO KIO,1.3631,103.8512,TOWNSVILLE,NORTH-EAST
4510,2013,Jan,560335,-,-,337.5,-,ANG MO KIO,1.3631,103.8506,TOWNSVILLE,NORTH-EAST
4511,2013,Jan,560336,-,-,353.8,-,ANG MO KIO,1.3630000000000002,103.8518,TOWNSVILLE,NORTH-EAST
4512,2013,Jan,560337,-,-,389.8,-,ANG MO KIO,1.3630000000000002,103.8516,TOWNSVILLE,NORTH-EAST
4513,2013,Jan,560339,-,295.0,-,-,ANG MO KIO,1.3651,103.8493,TOWNSVILLE,NORTH-EAST
4514,2013,Jan,560343,-,311.6,-,-,ANG MO KIO,1.3685,103.8492,TOWNSVILLE,NORTH-EAST
4515,2013,Jan,560344,-,-,365.6,-,ANG MO KIO,1.3679,103.8493,TOWNSVILLE,NORTH-EAST
4516,2013,Jan,560345,-,296.1,-,-,ANG MO KIO,1.3674,103.8496,TOWNSVILLE,NORTH-EAST
4517,2013,Jan,560346,-,285.1,-,-,ANG MO KIO,1.3672,103.8497,TOWNSVILLE,NORTH-EAST
4518,2013,Jan,560348,-,299.4,329.8,-,ANG MO KIO,1.3661,103.8479,TOWNSVILLE,NORTH-EAST
4519,2013,Jan,560350,-,-,371.3,398.6,ANG MO KIO,1.3641,103.8498,TOWNSVILLE,NORTH-EAST
4520,2013,Jan,560351,-,-,316.1,399.0,ANG MO KIO,1.3644,103.8501,TOWNSVILLE,NORTH-EAST
4521,2013,Jan,560352,-,-,354.8,390.8,ANG MO KIO,1.3644,103.8511,TOWNSVILLE,NORTH-EAST
4522,2013,Jan,560353,-,-,371.2,407.2,ANG MO KIO,1.3642,103.8517,TOWNSVILLE,NORTH-EAST
4523,2013,Jan,560354,-,-,368.2,503.8,ANG MO KIO,1.364,103.8519,TOWNSVILLE,NORTH-EAST
4716,2013,Jan,561307,-,-,286.2,-,ANG MO KIO,1.3661,103.8443,TOWNSVILLE,NORTH-EAST
4717,2013,Jan,561308,-,210.8,334.0,-,ANG MO KIO,1.3654,103.844,TOWNSVILLE,NORTH-EAST
4718,2013,Jan,561310,-,-,298.7,351.8,ANG MO KIO,1.3646,103.844,TOWNSVILLE,NORTH-EAST
4722,2013,Jan,562307,-,-,301.5,-,ANG MO KIO,1.366,103.8448,TOWNSVILLE,NORTH-EAST
4723,2013,Jan,562308,-,205.8,272.8,-,ANG MO KIO,1.3651,103.8443,TOWNSVILLE,NORTH-EAST
4724,2013,Jan,562309,-,-,304.0,414.0,ANG MO KIO,1.3649,103.8457,TOWNSVILLE,NORTH-EAST
4725,2013,Jan,562310,-,-,279.5,432.9,ANG MO KIO,1.3649,103.8444,TOWNSVILLE,NORTH-EAST
4726,2013,Jan,562315,-,-,260.3,270.8,ANG MO KIO,1.3642,103.8473,TOWNSVILLE,NORTH-EAST
4727,2013,Jan,562316,-,-,297.2,303.4,ANG MO KIO,1.3647,103.8472,TOWNSVILLE,NORTH-EAST
4731,2013,Jan,563307,112.9,219.9,258.3,-,ANG MO KIO,1.3657,103.8453,TOWNSVILLE,NORTH-EAST
4732,2013,Jan,563310,-,187.2,296.6,-,ANG MO KIO,1.3645,103.8449,TOWNSVILLE,NORTH-EAST
4733,2013,Jan,563315,-,-,296.0,358.5,ANG MO KIO,1.3643,103.8475,TOWNSVILLE,NORTH-EAST
13129,2013,Feb,560301,-,237.8,257.8,698.0,ANG MO KIO,1.3673,103.8459,TOWNSVILLE,NORTH-EAST
13130,2013,Feb,560302,-,222.1,335.3,-,ANG MO KIO,1.3672,103.8458,TOWNSVILLE,NORTH-EAST
13131,2013,Feb,560303,-,-,421.8,-,ANG MO KIO,1.3667,103.8457,TOWNSVILLE,NORTH-EAST
13132,2013,Feb,560304,-,-,386.8,-,ANG MO KIO,1.3661,103.8449,TOWNSVILLE,NORTH-EAST
13133,2013,Feb,560305,-,-,497.5,445.9,ANG MO KIO,1.3664,103.8459,TOWNSVILLE,NORTH-EAST
13134,2013,Feb,560306,-,-,330.3,405.8,ANG MO KIO,1.3656,103.8457,TOWNSVILLE,NORTH-EAST
13135,2013,Feb,560311,-,-,284.3,378.2,ANG MO KIO,1.3668,103.8488,TOWNSVILLE,NORTH-EAST
13136,2013,Feb,560312,-,-,348.7,334.0,ANG MO KIO,1.3661,103.8488,TOWNSVILLE,NORTH-EAST
13137,2013,Feb,560313,-,230.4,325.5,499.0,ANG MO KIO,1.3668,103.8501,TOWNSVILLE,NORTH-EAST
13138,2013,Feb,560314,143.4,-,-,-,ANG MO KIO,1.3662,103.8501,TOWNSVILLE,NORTH-EAST
13139,2013,Feb,560318,116.7,-,-,-,ANG MO KIO,1.3655,103.8477,TOWNSVILLE,NORTH-EAST
13140,2013,Feb,560319,-,279.3,417.8,621.3,ANG MO KIO,1.365,103.8473,TOWNSVILLE,NORTH-EAST
13141,2013,Feb,560320,-,280.3,-,-,ANG MO KIO,1.3656,103.8489,TOWNSVILLE,NORTH-EAST
13142,2013,Feb,560321,-,282.1,-,-,ANG MO KIO,1.365,103.8484,TOWNSVILLE,NORTH-EAST
13143,2013,Feb,560322,-,223.2,-,-,ANG MO KIO,1.3685,103.8478,TOWNSVILLE,NORTH-EAST
13144,2013,Feb,560323,159.9,-,-,-,ANG MO KIO,1.3678,103.8477,TOWNSVILLE,NORTH-EAST
13145,2013,Feb,560324,-,-,323.1,-,ANG MO KIO,1.3685,103.8469,TOWNSVILLE,NORTH-EAST
13146,2013,Feb,560325,-,-,330.4,-,ANG MO KIO,1.3678,103.8469,TOWNSVILLE,NORTH-EAST
13147,2013,Feb,560326,-,-,304.4,-,ANG MO KIO,1.3669,103.8479,TOWNSVILLE,NORTH-EAST
13148,2013,Feb,560327,-,-,300.1,-,ANG MO KIO,1.3669,103.847,TOWNSVILLE,NORTH-EAST
13149,2013,Feb,560328,-,232.6,-,-,ANG MO KIO,1.3668,103.8479,TOWNSVILLE,NORTH-EAST
13150,2013,Feb,560329,-,251.1,332.9,-,ANG MO KIO,1.3668,103.8469,TOWNSVILLE,NORTH-EAST
13151,2013,Feb,560330,-,236.7,415.6,470.0,ANG MO KIO,1.3626,103.851,TOWNSVILLE,NORTH-EAST
