index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
3539,2013,Jan,530567,-,-,306.2,358.4,HOUGANG,1.3787,103.8889,TRAFALGAR,NORTH-EAST
3540,2013,Jan,530568,-,-,310.6,369.9,HOUGANG,1.378,103.8888,TRAFALGAR,NORTH-EAST
3541,2013,Jan,530569,-,-,296.6,406.5,HOUGANG,1.3776,103.8882,TRAFALGAR,NORTH-EAST
3542,2013,Jan,530570,-,-,317.6,416.8,HOUGANG,1.3781,103.8886,TRAFALGAR,NORTH-EAST
3543,2013,Jan,530571,-,-,364.5,367.0,HOUGANG,1.3782,103.8874,TRAFALGAR,NORTH-EAST
3544,2013,Jan,530572,-,-,340.3,386.4,HOUGANG,1.3781,103.8874,TRAFALGAR,NORTH-EAST
3545,2013,Jan,530573,-,-,310.6,415.1,HOUGANG,1.3776,103.8874,TRAFALGAR,NORTH-EAST
3546,2013,Jan,530574,-,-,347.2,442.4,HOUGANG,1.3775,103.8873,TRAFALGAR,NORTH-EAST
3547,2013,Jan,530575,-,-,350.5,405.0,HOUGANG,1.3779,103.8871,TRAFALGAR,NORTH-EAST
3548,2013,Jan,530576,-,-,328.8,355.1,HOUGANG,1.3784,103.8865,TRAFALGAR,NORTH-EAST
3549,2013,Jan,530577,-,-,-,464.6,HOUGANG,1.3787,103.8851,TRAFALGAR,NORTH-EAST
3550,2013,Jan,530578,-,-,-,439.3,HOUGANG,1.3788,103.8851,TRAFALGAR,NORTH-EAST
3551,2013,Jan,530579,-,-,-,426.6,HOUGANG,1.3788,103.8854,TRAFALGAR,NORTH-EAST
3552,2013,Jan,530580,-,-,312.3,413.6,HOUGANG,1.3788,103.8862,TRAFALGAR,NORTH-EAST
3676,2013,Jan,530909,-,-,424.3,437.5,HOUGANG,1.3785,103.8833,TRAFALGAR,NORTH-EAST
3677,2013,Jan,530910,-,-,393.7,-,HOUGANG,1.3787,103.8829,TRAFALGAR,NORTH-EAST
3678,2013,Jan,530911,-,-,365.5,-,HOUGANG,1.3787,103.8835,TRAFALGAR,NORTH-EAST
3679,2013,Jan,530912,-,-,415.3,512.7,HOUGANG,1.3786,103.884,TRAFALGAR,NORTH-EAST
3680,2013,Jan,530913,-,-,424.2,553.6,HOUGANG,1.378,103.8839,TRAFALGAR,NORTH-EAST
3681,2013,Jan,530914,-,-,405.3,453.7,HOUGANG,1.3776,103.884,TRAFALGAR,NORTH-EAST
3682,2013,Jan,530915,-,-,436.6,498.3,HOUGANG,1.3776,103.8838,TRAFALGAR,NORTH-EAST
3683,2013,Jan,530916,-,-,358.2,471.3,HOUGANG,1.3745,103.8841,TRAFALGAR,NORTH-EAST
3684,2013,Jan,530917,-,-,421.3,528.1,HOUGANG,1.3748,103.8834,TRAFALGAR,NORTH-EAST
3685,2013,Jan,530918,-,-,411.3,482.3,HOUGANG,1.3756,103.8834,TRAFALGAR,NORTH-EAST
3686,2013,Jan,530919,-,-,424.4,530.1,HOUGANG,1.3758,103.884,TRAFALGAR,NORTH-EAST
3687,2013,Jan,530920,-,-,419.6,474.3,HOUGANG,1.3767,103.884,TRAFALGAR,NORTH-EAST
3688,2013,Jan,530921,-,-,375.3,507.9,HOUGANG,1.3765,103.8839,TRAFALGAR,NORTH-EAST
3689,2013,Jan,530922,-,-,422.7,443.7,HOUGANG,1.3766,103.8836,TRAFALGAR,NORTH-EAST
3690,2013,Jan,530923,-,-,408.3,496.7,HOUGANG,1.376,103.8829,TRAFALGAR,NORTH-EAST
3691,2013,Jan,530924,-,-,354.5,447.2,HOUGANG,1.3761,103.8821,TRAFALGAR,NORTH-EAST
3692,2013,Jan,530925,-,-,431.9,456.4,HOUGANG,1.3769,103.8826,TRAFALGAR,NORTH-EAST
3693,2013,Jan,530926,-,-,400.0,430.6,HOUGANG,1.3762,103.8807,TRAFALGAR,NORTH-EAST
3694,2013,Jan,530927,-,-,385.6,519.4,HOUGANG,1.3764,103.8808,TRAFALGAR,NORTH-EAST
3695,2013,Jan,530928,-,-,360.8,441.0,HOUGANG,1.3769,103.8814,TRAFALGAR,NORTH-EAST
3696,2013,Jan,530929,-,-,393.3,503.3,HOUGANG,1.376,103.8817,TRAFALGAR,NORTH-EAST
