index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
3470,2013,Jan,530464,-,-,460.4,498.7,SERANGOON,1.3439,103.871,UPPER PAYA LEBAR,NORTH-EAST
3472,2013,Jan,530466,-,-,-,482.4,SERANGOON,1.344,103.8709,UPPER PAYA LEBAR,NORTH-EAST
3474,2013,Jan,530468,-,-,363.7,482.3,SERANGOON,1.344,103.8709,UPPER PAYA LEBAR,NORTH-EAST
3737,2013,Jan,531002,-,246.7,-,625.8,SERANGOON,1.3506,103.8757,UPPER PAYA LEBAR,NORTH-EAST
3738,2013,Jan,531006,-,-,300.2,-,SERANGOON,1.3498,103.877,UPPER PAYA LEBAR,NORTH-EAST
3739,2013,Jan,531007,-,-,344.5,-,SERANGOON,1.3491,103.877,UPPER PAYA LEBAR,NORTH-EAST
3740,2013,Jan,531008,144.3,-,-,-,SERANGOON,1.349,103.8768,UPPER PAYA LEBAR,NORTH-EAST
4294,2013,Jan,550401,-,-,387.2,411.1,SERANGOON,1.3464,103.8733,UPPER PAYA LEBAR,NORTH-EAST
4295,2013,Jan,550402,-,-,395.6,418.7,SERANGOON,1.3466,103.8728,UPPER PAYA LEBAR,NORTH-EAST
4296,2013,Jan,550403,-,-,380.8,502.8,SERANGOON,1.3464,103.8726,UPPER PAYA LEBAR,NORTH-EAST
4297,2013,Jan,550404,-,-,410.3,421.7,SERANGOON,1.347,103.8726,UPPER PAYA LEBAR,NORTH-EAST
4298,2013,Jan,550405,-,-,405.3,424.3,SERANGOON,1.3476,103.8728,UPPER PAYA LEBAR,NORTH-EAST
4299,2013,Jan,550406,-,-,-,420.1,SERANGOON,1.3475,103.8731,UPPER PAYA LEBAR,NORTH-EAST
4300,2013,Jan,550407,-,-,411.0,495.8,SERANGOON,1.3473,103.8731,UPPER PAYA LEBAR,NORTH-EAST
4301,2013,Jan,550408,-,-,369.8,428.7,SERANGOON,1.3473,103.8734,UPPER PAYA LEBAR,NORTH-EAST
4302,2013,Jan,550409,-,-,384.5,407.5,SERANGOON,1.3482,103.8743,UPPER PAYA LEBAR,NORTH-EAST
4303,2013,Jan,550410,-,-,385.9,382.1,SERANGOON,1.3479,103.8738,UPPER PAYA LEBAR,NORTH-EAST
4304,2013,Jan,550411,-,-,411.7,471.8,SERANGOON,1.3486,103.8737,UPPER PAYA LEBAR,NORTH-EAST
4305,2013,Jan,550412,-,-,374.8,486.7,SERANGOON,1.3483,103.8732,UPPER PAYA LEBAR,NORTH-EAST
4306,2013,Jan,550413,-,-,420.4,406.6,SERANGOON,1.3489,103.8738,UPPER PAYA LEBAR,NORTH-EAST
4307,2013,Jan,550414,-,-,335.8,315.4,SERANGOON,1.3488,103.8743,UPPER PAYA LEBAR,NORTH-EAST
4308,2013,Jan,550415,-,-,382.7,459.1,SERANGOON,1.3497,103.8746,UPPER PAYA LEBAR,NORTH-EAST
4309,2013,Jan,550416,-,-,340.2,512.9,SERANGOON,1.3501,103.8749,UPPER PAYA LEBAR,NORTH-EAST
4310,2013,Jan,550417,-,-,-,560.2,SERANGOON,1.35,103.8749,UPPER PAYA LEBAR,NORTH-EAST
4311,2013,Jan,550418,-,-,-,506.1,SERANGOON,1.3496,103.8753,UPPER PAYA LEBAR,NORTH-EAST
4312,2013,Jan,550419,-,-,335.5,466.8,SERANGOON,1.3494,103.8759,UPPER PAYA LEBAR,NORTH-EAST
4313,2013,Jan,550420,-,-,428.0,385.3,SERANGOON,1.3494,103.875,UPPER PAYA LEBAR,NORTH-EAST
4314,2013,Jan,550421,-,-,396.5,451.9,SERANGOON,1.3486,103.8751,UPPER PAYA LEBAR,NORTH-EAST
4315,2013,Jan,550422,-,-,344.4,417.5,SERANGOON,1.3487,103.876,UPPER PAYA LEBAR,NORTH-EAST
4316,2013,Jan,550423,-,-,-,519.4,SERANGOON,1.3485,103.876,UPPER PAYA LEBAR,NORTH-EAST
