index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
8388,2013,Jan,820643,-,-,363.3,466.4,PUNGGOL,1.3973,103.9162,WATERWAY EAST,NORTH-EAST
8389,2013,Jan,820645,-,-,377.7,438.9,PUNGGOL,1.3979,103.9165,WATERWAY EAST,NORTH-EAST
8390,2013,Jan,820646,-,-,378.6,451.4,PUNGGOL,1.3983,103.9156,WATERWAY EAST,NORTH-EAST
8391,2013,Jan,820647,-,-,342.9,449.7,PUNGGOL,1.3981,103.9153,WATERWAY EAST,NORTH-EAST
8392,2013,Jan,820648,-,-,301.1,371.2,PUNGGOL,1.3977,103.915,WATERWAY EAST,NORTH-EAST
8393,2013,Jan,820649,-,-,414.3,370.3,PUNGGOL,1.3971,103.9148,WATERWAY EAST,NORTH-EAST
8394,2013,Jan,820651,-,-,392.3,388.6,PUNGGOL,1.3967,103.9154,WATERWAY EAST,NORTH-EAST
8395,2013,Jan,820652,-,-,344.5,427.5,PUNGGOL,1.3969,103.9159,WATERWAY EAST,NORTH-EAST
8444,2013,Jan,821301,-,-,361.2,-,PUNGGOL,1.4038,103.9068,WATERWAY EAST,NORTH-EAST
8449,2013,Jan,821601,191.7,204.7,307.6,-,PUNGGOL,1.4024,103.9075,WATERWAY EAST,NORTH-EAST
8450,2013,Jan,821602,224.7,247.9,325.1,-,PUNGGOL,1.4035,103.9069,WATERWAY EAST,NORTH-EAST
8451,2013,Jan,821603,-,-,310.0,-,PUNGGOL,1.4036,103.9083,WATERWAY EAST,NORTH-EAST
8452,2013,Jan,821604,-,-,284.9,-,PUNGGOL,1.4045,103.9075,WATERWAY EAST,NORTH-EAST
8453,2013,Jan,821612,-,-,300.2,-,PUNGGOL,1.4044,103.9093,WATERWAY EAST,NORTH-EAST
8454,2013,Jan,821613,-,-,277.9,-,PUNGGOL,1.4045,103.9078,WATERWAY EAST,NORTH-EAST
8455,2013,Jan,821614,-,-,304.0,-,PUNGGOL,1.4042,103.9097,WATERWAY EAST,NORTH-EAST
8456,2013,Jan,821615,-,-,301.5,-,PUNGGOL,1.4042,103.9096,WATERWAY EAST,NORTH-EAST
8457,2013,Jan,821618,-,-,264.9,-,PUNGGOL,1.4011,103.9124,WATERWAY EAST,NORTH-EAST
8458,2013,Jan,821619,-,-,230.2,-,PUNGGOL,1.4028,103.9115,WATERWAY EAST,NORTH-EAST
8459,2013,Jan,821621,151.7,-,-,-,PUNGGOL,1.4012,103.91,WATERWAY EAST,NORTH-EAST
8460,2013,Jan,821622,216.0,223.1,234.9,-,PUNGGOL,1.4,103.9107,WATERWAY EAST,NORTH-EAST
8461,2013,Jan,821623,312.2,218.4,256.9,-,PUNGGOL,1.3999,103.9122,WATERWAY EAST,NORTH-EAST
8462,2013,Jan,821624,-,-,165.5,-,PUNGGOL,1.4009,103.9113,WATERWAY EAST,NORTH-EAST
8463,2013,Jan,821632,-,-,342.9,-,PUNGGOL,1.4006,103.9133,WATERWAY EAST,NORTH-EAST
8464,2013,Jan,821633,-,-,325.1,-,PUNGGOL,1.4015,103.9132,WATERWAY EAST,NORTH-EAST
