index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
7271,2013,Jan,730601,-,-,399.3,-,WOODLANDS,1.4384,103.797,WOODLANDS EAST,NORTH
7272,2013,Jan,730602,-,-,373.6,446.3,WOODLANDS,1.4383,103.7968,WOODLANDS EAST,NORTH
7273,2013,Jan,730603,-,-,399.4,458.2,WOODLANDS,1.4374,103.7964,WOODLANDS EAST,NORTH
7274,2013,Jan,730604,-,-,337.1,-,WOODLANDS,1.4369,103.7961,WOODLANDS EAST,NORTH
7275,2013,Jan,730605,-,-,380.7,-,WOODLANDS,1.4374,103.7971,WOODLANDS EAST,NORTH
7276,2013,Jan,730606,-,-,396.1,470.1,WOODLANDS,1.4364,103.7968,WOODLANDS EAST,NORTH
7277,2013,Jan,730607,-,-,327.8,455.4,WOODLANDS,1.4364,103.7965,WOODLANDS EAST,NORTH
7278,2013,Jan,730608,-,-,394.5,460.7,WOODLANDS,1.436,103.7967,WOODLANDS EAST,NORTH
7279,2013,Jan,730609,-,-,438.4,466.7,WOODLANDS,1.4357,103.7962,WOODLANDS EAST,NORTH
7280,2013,Jan,730610,-,-,398.3,451.6,WOODLANDS,1.4352,103.7963,WOODLANDS EAST,NORTH
7281,2013,Jan,730611,-,-,399.8,454.3,WOODLANDS,1.4357,103.7971,WOODLANDS EAST,NORTH
7282,2013,Jan,730612,-,-,378.7,436.3,WOODLANDS,1.4351,103.7964,WOODLANDS EAST,NORTH
7283,2013,Jan,730613,-,-,385.5,386.4,WOODLANDS,1.435,103.7963,WOODLANDS EAST,NORTH
7284,2013,Jan,730614,-,-,311.9,418.4,WOODLANDS,1.4344,103.7963,WOODLANDS EAST,NORTH
7285,2013,Jan,730615,-,-,433.3,428.1,WOODLANDS,1.4342,103.7963,WOODLANDS EAST,NORTH
7286,2013,Jan,730616,-,-,346.4,461.3,WOODLANDS,1.4344,103.7961,WOODLANDS EAST,NORTH
7287,2013,Jan,730617,-,-,360.4,-,WOODLANDS,1.4342,103.7952,WOODLANDS EAST,NORTH
