index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
7029,2013,Jan,730115,-,-,362.3,556.0,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
15665,2013,Feb,730115,-,-,361.6,560.2,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
24312,2013,Mar,730115,-,-,376.6,492.5,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
32990,2013,Apr,730115,-,-,375.4,557.9,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
41673,2013,May,730115,-,-,436.4,712.4,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
50252,2013,Jun,730115,-,-,419.3,664.0,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
58926,2013,Jul,730115,-,-,387.0,688.2,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
67585,2013,Aug,730115,-,-,390.1,655.2,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
76266,2013,Sep,730115,-,-,367.7,559.5,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
84938,2013,Oct,730115,-,-,372.7,597.2,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
93619,2013,Nov,730115,-,-,408.2,693.0,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
102322,2013,Dec,730115,-,-,403.4,666.5,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
111025,2014,Jan,730115,-,-,267.3,495.6,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
119756,2014,Feb,730115,-,-,335.8,597.8,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
128500,2014,Mar,730115,-,-,333.0,532.0,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
137292,2014,Apr,730115,-,-,351.0,609.2,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
146133,2014,May,730115,-,-,394.4,724.5,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
154958,2014,Jun,730115,-,-,380.9,669.0,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
163795,2014,Jul,730115,-,-,426.5,685.5,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
172614,2014,Aug,730115,-,-,428.2,682.4,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
181440,2014,Sep,730115,-,-,348.7,562.8,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
190295,2014,Oct,730115,-,-,393.2,610.5,WOODLANDS,1.4389,103.7817,WOODLANDS REGIONAL CENTRE,NORTH
