index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
7200,2013,Jan,730501,-,-,381.6,400.4,WOODLANDS,1.4328,103.7922,WOODLANDS SOUTH,NORTH
7201,2013,Jan,730502,-,-,-,304.8,WOODLANDS,1.4333,103.7919,WOODLANDS SOUTH,NORTH
7202,2013,Jan,730503,-,-,311.2,358.2,WOODLANDS,1.4324,103.7916,WOODLANDS SOUTH,NORTH
7203,2013,Jan,730504,-,-,368.0,364.2,WOODLANDS,1.4324,103.7915,WOODLANDS SOUTH,NORTH
7204,2013,Jan,730505,-,-,284.6,416.9,WOODLANDS,1.4321,103.7913,WOODLANDS SOUTH,NORTH
7205,2013,Jan,730506,-,-,320.6,368.4,WOODLANDS,1.4327,103.7908,WOODLANDS SOUTH,NORTH
7206,2013,Jan,730507,-,-,342.8,384.3,WOODLANDS,1.4317,103.7908,WOODLANDS SOUTH,NORTH
7207,2013,Jan,730508,-,-,243.6,381.6,WOODLANDS,1.432,103.7905,WOODLANDS SOUTH,NORTH
7208,2013,Jan,730509,-,-,428.1,447.2,WOODLANDS,1.4324,103.7889,WOODLANDS SOUTH,NORTH
7209,2013,Jan,730510,-,-,370.1,348.4,WOODLANDS,1.433,103.7883,WOODLANDS SOUTH,NORTH
7210,2013,Jan,730511,-,-,344.1,406.0,WOODLANDS,1.4336,103.7884,WOODLANDS SOUTH,NORTH
7211,2013,Jan,730512,-,-,299.1,409.3,WOODLANDS,1.4343,103.7886,WOODLANDS SOUTH,NORTH
7212,2013,Jan,730513,-,-,309.3,415.3,WOODLANDS,1.4338,103.7897,WOODLANDS SOUTH,NORTH
7213,2013,Jan,730514,-,-,347.7,406.2,WOODLANDS,1.4349,103.7897,WOODLANDS SOUTH,NORTH
7214,2013,Jan,730515,-,-,310.6,369.5,WOODLANDS,1.435,103.7906,WOODLANDS SOUTH,NORTH
7215,2013,Jan,730516,-,-,311.6,388.3,WOODLANDS,1.4349,103.7912,WOODLANDS SOUTH,NORTH
7216,2013,Jan,730517,-,-,322.7,374.6,WOODLANDS,1.4339,103.7917,WOODLANDS SOUTH,NORTH
7217,2013,Jan,730518,-,-,299.0,327.0,WOODLANDS,1.4344,103.7915,WOODLANDS SOUTH,NORTH
7218,2013,Jan,730519,-,-,276.2,454.4,WOODLANDS,1.4344,103.7921,WOODLANDS SOUTH,NORTH
7219,2013,Jan,730520,-,-,346.1,420.0,WOODLANDS,1.4343,103.7922,WOODLANDS SOUTH,NORTH
7220,2013,Jan,730521,-,-,367.2,462.6,WOODLANDS,1.4338,103.7933,WOODLANDS SOUTH,NORTH
7221,2013,Jan,730522,-,-,325.7,432.6,WOODLANDS,1.4339,103.7938,WOODLANDS SOUTH,NORTH
7222,2013,Jan,730523,-,-,345.0,364.6,WOODLANDS,1.4332,103.7939,WOODLANDS SOUTH,NORTH
7223,2013,Jan,730524,-,-,343.9,432.4,WOODLANDS,1.4327,103.7938,WOODLANDS SOUTH,NORTH
7224,2013,Jan,730525,-,-,317.0,380.4,WOODLANDS,1.4325,103.7932,WOODLANDS SOUTH,NORTH
7225,2013,Jan,730526,-,-,345.3,425.6,WOODLANDS,1.4328,103.7928,WOODLANDS SOUTH,NORTH
7226,2013,Jan,730527,-,-,288.1,336.4,WOODLANDS,1.4318,103.7923,WOODLANDS SOUTH,NORTH
7227,2013,Jan,730528,-,-,337.2,310.2,WOODLANDS,1.4316,103.7925,WOODLANDS SOUTH,NORTH
7228,2013,Jan,730529,-,-,309.2,369.9,WOODLANDS,1.4318,103.7932,WOODLANDS SOUTH,NORTH
7229,2013,Jan,730530,-,-,119.0,396.4,WOODLANDS,1.4313,103.7932,WOODLANDS SOUTH,NORTH
7230,2013,Jan,730531,-,-,303.3,331.9,WOODLANDS,1.431,103.7929,WOODLANDS SOUTH,NORTH
7231,2013,Jan,730532,-,-,356.8,403.7,WOODLANDS,1.4307,103.7926,WOODLANDS SOUTH,NORTH
7232,2013,Jan,730533,-,-,371.8,381.3,WOODLANDS,1.4304,103.7922,WOODLANDS SOUTH,NORTH
7233,2013,Jan,730534,-,-,300.5,385.8,WOODLANDS,1.4305,103.7916,WOODLANDS SOUTH,NORTH
7234,2013,Jan,730535,-,-,356.5,385.0,WOODLANDS,1.4311,103.7919,WOODLANDS SOUTH,NORTH
7235,2013,Jan,730536,-,-,314.9,461.6,WOODLANDS,1.4313,103.7919,WOODLANDS SOUTH,NORTH
7236,2013,Jan,730537,-,-,305.3,349.7,WOODLANDS,1.43,103.7927,WOODLANDS SOUTH,NORTH
7237,2013,Jan,730538,-,-,297.2,360.8,WOODLANDS,1.4296,103.7919,WOODLANDS SOUTH,NORTH
7238,2013,Jan,730539,-,-,311.3,318.3,WOODLANDS,1.429,103.7922,WOODLANDS SOUTH,NORTH
7239,2013,Jan,730540,-,-,303.3,337.9,WOODLANDS,1.4284,103.7925,WOODLANDS SOUTH,NORTH
7240,2013,Jan,730541,-,-,314.5,336.0,WOODLANDS,1.4278,103.793,WOODLANDS SOUTH,NORTH
7241,2013,Jan,730542,-,-,352.6,356.5,WOODLANDS,1.4275,103.7936,WOODLANDS SOUTH,NORTH
7242,2013,Jan,730543,-,-,323.5,335.2,WOODLANDS,1.4286,103.794,WOODLANDS SOUTH,NORTH
7243,2013,Jan,730544,-,-,321.1,324.9,WOODLANDS,1.4286,103.7933,WOODLANDS SOUTH,NORTH
7244,2013,Jan,730545,-,-,347.7,421.2,WOODLANDS,1.429,103.7936,WOODLANDS SOUTH,NORTH
7245,2013,Jan,730546,-,-,366.5,358.5,WOODLANDS,1.4297,103.7942,WOODLANDS SOUTH,NORTH
7246,2013,Jan,730547,-,-,297.2,331.2,WOODLANDS,1.4303,103.7929,WOODLANDS SOUTH,NORTH
7247,2013,Jan,730549,-,-,329.2,372.7,WOODLANDS,1.4317,103.7943,WOODLANDS SOUTH,NORTH
7248,2013,Jan,730550,-,-,400.9,379.1,WOODLANDS,1.4329,103.7947,WOODLANDS SOUTH,NORTH
7249,2013,Jan,730551,-,-,337.7,394.8,WOODLANDS,1.4333,103.7955,WOODLANDS SOUTH,NORTH
7250,2013,Jan,730552,-,-,321.0,384.6,WOODLANDS,1.4321,103.7955,WOODLANDS SOUTH,NORTH
7251,2013,Jan,730553,-,-,351.7,309.7,WOODLANDS,1.4314,103.7952,WOODLANDS SOUTH,NORTH
7252,2013,Jan,730554,-,-,301.3,-,WOODLANDS,1.432,103.7965,WOODLANDS SOUTH,NORTH
7253,2013,Jan,730555,-,-,283.6,352.0,WOODLANDS,1.4321,103.7958,WOODLANDS SOUTH,NORTH
