index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
6987,2013,Jan,730002,-,255.4,-,314.3,WOODLANDS,1.4405,103.7764,WOODLANDS WEST,NORTH
6988,2013,Jan,730003,128.0,-,-,-,WOODLANDS,1.4388,103.7766,WOODLANDS WEST,NORTH
6989,2013,Jan,730004,125.4,-,-,-,WOODLANDS,1.4387,103.7758,WOODLANDS WEST,NORTH
6990,2013,Jan,730005,-,-,293.6,-,WOODLANDS,1.4396,103.7754,WOODLANDS WEST,NORTH
6991,2013,Jan,730007,-,-,334.9,-,WOODLANDS,1.4419,103.7766,WOODLANDS WEST,NORTH
6992,2013,Jan,730008,-,-,348.7,-,WOODLANDS,1.4413,103.7771,WOODLANDS WEST,NORTH
6993,2013,Jan,730009,-,-,-,357.2,WOODLANDS,1.4411,103.7765,WOODLANDS WEST,NORTH
6994,2013,Jan,730010,-,-,-,356.0,WOODLANDS,1.4407,103.7777,WOODLANDS WEST,NORTH
6995,2013,Jan,730011,-,-,-,369.5,WOODLANDS,1.4404,103.7778,WOODLANDS WEST,NORTH
6996,2013,Jan,730016,161.5,-,-,-,WOODLANDS,1.4422,103.7779,WOODLANDS WEST,NORTH
6997,2013,Jan,730017,-,257.4,-,-,WOODLANDS,1.4429,103.7777,WOODLANDS WEST,NORTH
6998,2013,Jan,730018,-,283.5,-,-,WOODLANDS,1.4434,103.7778,WOODLANDS WEST,NORTH
6999,2013,Jan,730019,-,301.3,-,-,WOODLANDS,1.4431,103.7774,WOODLANDS WEST,NORTH
7016,2013,Jan,730101,-,217.3,-,-,WOODLANDS,1.4361,103.7818,WOODLANDS WEST,NORTH
7017,2013,Jan,730102,-,247.6,313.0,-,WOODLANDS,1.4362,103.7813,WOODLANDS WEST,NORTH
7018,2013,Jan,730103,-,219.4,364.4,-,WOODLANDS,1.4362,103.7807,WOODLANDS WEST,NORTH
7019,2013,Jan,730104,-,-,326.8,-,WOODLANDS,1.4364,103.7816,WOODLANDS WEST,NORTH
7020,2013,Jan,730105,-,-,322.0,-,WOODLANDS,1.4368,103.7816,WOODLANDS WEST,NORTH
7021,2013,Jan,730106,-,333.4,274.3,-,WOODLANDS,1.4368,103.7821,WOODLANDS WEST,NORTH
7022,2013,Jan,730107,-,-,-,448.4,WOODLANDS,1.4373,103.7821,WOODLANDS WEST,NORTH
7023,2013,Jan,730108,-,-,371.1,-,WOODLANDS,1.4371,103.7816,WOODLANDS WEST,NORTH
7024,2013,Jan,730109,-,-,-,497.8,WOODLANDS,1.4378,103.7814,WOODLANDS WEST,NORTH
7025,2013,Jan,730110,-,-,294.0,-,WOODLANDS,1.4375,103.7816,WOODLANDS WEST,NORTH
7026,2013,Jan,730112,-,-,-,484.5,WOODLANDS,1.4379,103.7817,WOODLANDS WEST,NORTH
