keyword,amount,type,group,,,,,,,
obesity,1742,obesity,high,,,,,,,
diabetes,640,diabetes,high,,,,,,,
mortality,501,mortality,high,,,,,,,
heart failure,393,heart,high,,,,,,,
diabetes mellitus,367,diabetes,high,,,,,,,
apoptosis,328,death,high,,,,,,,
cancer,296,cancer,high,,,,,,,
malnutrition,280,malnutrition,high,,,,,,,
type 2 diabetes,269,diabetes,high,,,,,,,
obesity,242,diabetes,high,,,,,,,
body mass index,230,obesity,high,,,,,,,
breast cancer,227,cancer,high,,,,,,,
mortality,212,death,high,,,,,,,
epidemiology,203,population,high,,,,,,,
metabolic syndrome,200,obesity,high,,,,,,,
insulin resistance,199,obesity,high,,,,,,,
diabetes,189,obesity,high,,,,,,,
economic factors,169,finance,high,,,,,,,
inflammation,158,obesity,high,,,,,,,
myocardial infarction,148,heart,high,,,,,,,
type 2 diabetes mellitus,147,diabetes,high,,,,,,,
prostate cancer,139,cancer,high,,,,,,,
insulin resistance,138,diabetes,high,,,,,,,
atrial fibrillation,137,heart,high,,,,,,,
epidemiology,131,mortality,high,,,,,,,
prognosis,125,mortality,high,,,,,,,
developing countries,120,finance,high,,,,,,,
insulin,118,diabetes,high,,,,,,,
overweight,118,obesity,high,,,,,,,
physical activity,118,obesity,high,,,,,,,
hypertension,117,obesity,high,,,,,,,
apoptosis,117,cancer,high,,,,,,,
alzheimer's disease,114,disease,high,,,,,,,
hypertension,112,diabetes,high,,,,,,,
metabolic syndrome,111,diabetes,high,,,,,,,
type 1 diabetes,110,diabetes,high,,,,,,,
cell death,109,death,high,,,,,,,
congenital heart disease,108,heart,high,,,,,,,
hypertension,108,heart,high,,,,,,,
prognosis,108,cancer,high,,,,,,,
mortality,106,heart,high,,,,,,,
colorectal cancer,106,cancer,high,,,,,,,
inflammation,105,diabetes,high,,,,,,,
epidemiology,105,obesity,high,,,,,,,
vitamin d,105,malnutrition,high,,,,,,,
heart failure,103,mortality,high,,,,,,,
prognosis,102,death,high,,,,,,,
survival,101,mortality,high,,,,,,,
type 2 diabetes,99,obesity,high,,,,,,,
population,97,finance,high,,,,,,,
cardiovascular disease,96,diabetes,high,,,,,,,
echocardiography,96,heart,high,,,,,,,
leptin,96,obesity,high,,,,,,,
autophagy,94,death,high,,,,,,,
nutrition,94,malnutrition,high,,,,,,,
cancer,92,death,high,,,,,,,
weight loss,92,obesity,high,,,,,,,
adipose tissue,92,obesity,high,,,,,,,
epidemiology,91,hygiene,high,,,,,,,
demographic factors,91,finance,high,,,,,,,
oxidative stress,90,diabetes,high,,,,,,,
oxidative stress,90,death,high,,,,,,,
bariatric surgery,90,obesity,high,,,,,,,
children,88,obesity,medium,,,,,,,
outcome,88,mortality,medium,,,,,,,
epidemiology,88,diabetes,medium,,,,,,,
heart failure,88,death,medium,,,,,,,
epidemiology,87,heart,medium,,,,,,,
mortality,86,population,medium,,,,,,,
inflammation,85,disease,medium,,,,,,,
bmi,85,obesity,medium,,,,,,,
chemotherapy,83,cancer,medium,,,,,,,
lung cancer,83,cancer,medium,,,,,,,
heart rate,83,heart,medium,,,,,,,
cardiovascular disease,82,heart,medium,,,,,,,
blood pressure,81,heart,medium,,,,,,,
workforce,81,workforce,medium,,,,,,,
obesity,81,population,medium,,,,,,,
coronary artery disease,80,heart,medium,,,,,,,
survival,80,death,medium,,,,,,,
inflammation,80,death,medium,,,,,,,
prevalence,79,population,medium,,,,,,,
risk factors,78,obesity,medium,,,,,,,
diabetes mellitus,78,obesity,medium,,,,,,,
heart,78,heart,medium,,,,,,,
risk factors,78,diabetes,medium,,,,,,,
oral hygiene,77,hygiene,medium,,,,,,,
stroke,76,heart,medium,,,,,,,
stroke,75,death,medium,,,,,,,
biodegradation,75,sanitation,medium,,,,,,,
epidemiology,75,death,medium,,,,,,,
cardiovascular disease,74,obesity,medium,,,,,,,
stroke,74,mortality,medium,,,,,,,
metastasis,73,cancer,medium,,,,,,,
cholera,72,cholera,medium,,,,,,,
prognosis,72,heart,medium,,,,,,,
coronary heart disease,70,heart,medium,,,,,,,
outcomes,70,mortality,medium,,,,,,,
inflammation,70,heart,medium,,,,,,,
diet,70,obesity,medium,,,,,,,
population dynamics,70,finance,medium,,,,,,,
health,68,finance,medium,,,,,,,
adiponectin,68,obesity,medium,,,,,,,
survival,68,cancer,medium,,,,,,,
mitochondria,68,death,medium,,,,,,,
atherosclerosis,68,heart,medium,,,,,,,
risk factors,68,population,medium,,,,,,,
stroke,67,diabetes,medium,,,,,,,
africa,67,finance,medium,,,,,,,
epidemiology,66,disease,medium,,,,,,,
parkinson's disease,66,disease,medium,,,,,,,
pregnancy,65,obesity,medium,,,,,,,
cardiovascular disease,65,disease,medium,,,,,,,
cancer,64,mortality,medium,,,,,,,
exercise,64,obesity,medium,,,,,,,
cardiovascular disease,64,mortality,medium,,,,,,,
depression,63,population,medium,,,,,,,
hand hygiene,63,hygiene,medium,,,,,,,
sudden cardiac death,62,death,medium,,,,,,,
epidemiology,62,healthcare,medium,,,,,,,
asia,60,finance,medium,,,,,,,
obesity,59,heart,medium,,,,,,,
risk factors,59,mortality,medium,,,,,,,
myocardial infarction,59,mortality,medium,,,,,,,
blood pressure,58,obesity,medium,,,,,,,
primary care,58,healthcare,medium,,,,,,,
diabetes,57,heart,medium,,,,,,,
metabolism,57,obesity,medium,,,,,,,
organization and administration,56,finance,medium,,,,,,,
meta-analysis,56,mortality,medium,,,,,,,
atherosclerosis,56,diabetes,medium,,,,,,,
metformin,55,diabetes,medium,,,,,,,
myocardial infarction,55,death,medium,,,,,,,
death,54,death,medium,,,,,,,
children,54,population,medium,,,,,,,
elderly,54,mortality,medium,,,,,,,
oral health,54,hygiene,medium,,,,,,,
heart rate variability,54,heart,medium,,,,,,,
mortality,54,diabetes,medium,,,,,,,
morbid obesity,53,obesity,medium,,,,,,,
oxidative stress,53,heart,medium,,,,,,,
diabetic nephropathy,53,diabetes,medium,,,,,,,
financial activities,53,finance,medium,,,,,,,
pregnancy,53,diabetes,medium,,,,,,,
risk factors,53,heart,medium,,,,,,,
surgery,53,mortality,medium,,,,,,,
reactive oxygen species,52,death,medium,,,,,,,
cancer,52,population,medium,,,,,,,
vibrio cholerae,52,cholera,medium,,,,,,,
qualitative research,51,healthcare,medium,,,,,,,
gastric cancer,51,cancer,medium,,,,,,,
exercise,51,heart,medium,,,,,,,
childhood obesity,51,obesity,medium,,,,,,,
prognosis,51,disease,medium,,,,,,,
americas,50,finance,medium,,,,,,,
nutrition,50,obesity,medium,,,,,,,
nutritional status,50,malnutrition,medium,,,,,,,
developed countries,50,finance,medium,,,,,,,
risk factors,50,hygiene,medium,,,,,,,
breast cancer,50,death,medium,,,,,,,
adsorption,50,sanitation,medium,,,,,,,
neuroprotection,50,death,medium,,,,,,,
waist circumference,49,obesity,medium,,,,,,,
nursing,49,workforce,medium,,,,,,,
dementia,49,disease,medium,,,,,,,
melanoma,49,cancer,medium,,,,,,,
hyperglycemia,49,diabetes,medium,,,,,,,
radiotherapy,49,cancer,medium,,,,,,,
oxidative stress,49,obesity,medium,,,,,,,
depression,48,obesity,medium,,,,,,,
socioeconomic factors,48,finance,medium,,,,,,,
body composition,48,obesity,medium,,,,,,,
pulmonary hypertension,48,heart,medium,,,,,,,
elderly,48,population,medium,,,,,,,
biomarker,48,cancer,medium,,,,,,,
programs,48,finance,medium,,,,,,,
oxidative stress,48,disease,medium,,,,,,,
infection control,47,hygiene,medium,,,,,,,
type 2 diabetes mellitus,47,obesity,medium,,,,,,,
stroke,47,population,medium,,,,,,,
autophagy,47,cancer,medium,,,,,,,
prevalence,47,obesity,medium,,,,,,,
atrial fibrillation,47,mortality,medium,,,,,,,
apoptosis,46,diabetes,medium,,,,,,,
inflammation,46,mortality,medium,,,,,,,
diseases,46,cholera,medium,,,,,,,
education,46,workforce,medium,,,,,,,
hygiene,45,hygiene,medium,,,,,,,
cancer,45,disease,medium,,,,,,,
diabetes,45,population,medium,,,,,,,
aging,45,obesity,medium,,,,,,,
insulin,45,obesity,medium,,,,,,,
sepsis,45,mortality,medium,,,,,,,
inflammation,45,cancer,medium,,,,,,,
children,45,hygiene,medium,,,,,,,
high-fat diet,44,obesity,medium,,,,,,,
angiogenesis,44,cancer,medium,,,,,,,
prevalence,44,diabetes,medium,,,,,,,
hypoglycemia,44,diabetes,medium,,,,,,,
coronary artery disease,44,disease,medium,,,,,,,
outcome,44,death,medium,,,,,,,
chronic kidney disease,44,disease,medium,,,,,,,
hypertension,44,mortality,medium,,,,,,,
children,44,malnutrition,medium,,,,,,,
ovarian cancer,44,cancer,medium,,,,,,,
morbidity,43,mortality,medium,,,,,,,
quality of life,43,cancer,medium,,,,,,,
treatment,43,mortality,medium,,,,,,,
stroke,43,healthcare,medium,,,,,,,
magnetic resonance imaging,43,heart,medium,,,,,,,
cardiovascular disease,43,population,medium,,,,,,,
hypertension,43,population,medium,,,,,,,
hiv,43,hygiene,medium,,,,,,,
adolescent,42,obesity,medium,,,,,,,
child,42,obesity,medium,,,,,,,
pregnancy,42,population,medium,,,,,,,
*developing countries,42,finance,medium,,,,,,,
family planning,42,finance,medium,,,,,,,
workforce issues,42,workforce,medium,,,,,,,
public health,42,hygiene,medium,,,,,,,
