index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
7705,2013,Jan,750512,149.2,-,-,-,SEMBAWANG,1.4538,103.8203,ADMIRALTY,NORTH
7706,2013,Jan,750513,155.3,-,-,-,SEMBAWANG,1.4538,103.8203,ADMIRALTY,NORTH
7724,2013,Jan,751501,-,-,357.5,386.4,SEMBAWANG,1.4517,103.8208,ADMIRALTY,NORTH
7725,2013,Jan,751502,-,-,-,432.3,SEMBAWANG,1.4514,103.822,ADMIRALTY,NORTH
7726,2013,Jan,751503,-,-,-,457.7,SEMBAWANG,1.4505,103.8218,ADMIRALTY,NORTH
7727,2013,Jan,751504,-,-,-,388.1,SEMBAWANG,1.4514,103.8237,ADMIRALTY,NORTH
7728,2013,Jan,751506,-,-,-,417.4,SEMBAWANG,1.4521,103.8238,ADMIRALTY,NORTH
7729,2013,Jan,751507,-,-,308.4,347.5,SEMBAWANG,1.4527,103.8241,ADMIRALTY,NORTH
7730,2013,Jan,751508,-,-,348.8,-,SEMBAWANG,1.4526,103.8205,ADMIRALTY,NORTH
7731,2013,Jan,751509,-,-,344.1,339.7,SEMBAWANG,1.4531,103.8204,ADMIRALTY,NORTH
7732,2013,Jan,751510,-,-,290.3,-,SEMBAWANG,1.4538,103.8204,ADMIRALTY,NORTH
7733,2013,Jan,751588,-,-,-,258.9,SEMBAWANG,1.4507,103.8257,ADMIRALTY,NORTH
7734,2013,Jan,751589,-,-,302.6,345.8,SEMBAWANG,1.4497,103.8261,ADMIRALTY,NORTH
7751,2013,Jan,752501,-,-,309.6,313.4,SEMBAWANG,1.4522,103.8213,ADMIRALTY,NORTH
7752,2013,Jan,752503,-,-,331.6,420.5,SEMBAWANG,1.4505,103.8222,ADMIRALTY,NORTH
7753,2013,Jan,752504,-,-,331.6,355.0,SEMBAWANG,1.4509,103.8238,ADMIRALTY,NORTH
7754,2013,Jan,752507,-,-,261.2,339.0,SEMBAWANG,1.4528,103.8235,ADMIRALTY,NORTH
7755,2013,Jan,752508,-,-,322.4,-,SEMBAWANG,1.4529,103.821,ADMIRALTY,NORTH
7756,2013,Jan,752509,-,-,346.1,329.4,SEMBAWANG,1.4531,103.821,ADMIRALTY,NORTH
7757,2013,Jan,752510,-,-,316.8,364.5,SEMBAWANG,1.4539,103.8211,ADMIRALTY,NORTH
7758,2013,Jan,752588,-,-,-,362.5,SEMBAWANG,1.4506,103.8251,ADMIRALTY,NORTH
7759,2013,Jan,752589,-,-,327.4,413.9,SEMBAWANG,1.4496,103.8254,ADMIRALTY,NORTH
7771,2013,Jan,753501,-,-,313.7,355.6,SEMBAWANG,1.4515,103.822,ADMIRALTY,NORTH
7772,2013,Jan,753503,-,-,355.4,365.5,SEMBAWANG,1.4506,103.8226,ADMIRALTY,NORTH
7773,2013,Jan,753504,-,-,281.5,380.2,SEMBAWANG,1.4502,103.8233,ADMIRALTY,NORTH
7774,2013,Jan,753507,-,-,328.7,383.0,SEMBAWANG,1.4521,103.8232,ADMIRALTY,NORTH
7775,2013,Jan,753508,-,-,262.6,-,SEMBAWANG,1.4526,103.8216,ADMIRALTY,NORTH
7776,2013,Jan,753588,-,-,-,346.7,SEMBAWANG,1.4508,103.8247,ADMIRALTY,NORTH
7777,2013,Jan,753589,-,-,337.4,305.3,SEMBAWANG,1.4497,103.8247,ADMIRALTY,NORTH
7782,2013,Jan,754501,-,-,-,413.0,SEMBAWANG,1.4513,103.8222,ADMIRALTY,NORTH
7783,2013,Jan,754504,-,-,313.8,317.5,SEMBAWANG,1.4507,103.8239,ADMIRALTY,NORTH
