index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
507,2013,Jan,150001,-,285.8,-,-,BUKIT MERAH,1.2866,103.8078,ALEXANDRA HILL,CENTRAL
508,2013,Jan,150003,114.7,-,-,-,BUKIT MERAH,1.2873,103.807,ALEXANDRA HILL,CENTRAL
510,2013,Jan,150007,-,239.0,-,-,BUKIT MERAH,1.2878,103.8079,ALEXANDRA HILL,CENTRAL
511,2013,Jan,150008,-,-,415.0,498.9,BUKIT MERAH,1.2884,103.8078,ALEXANDRA HILL,CENTRAL
512,2013,Jan,150009,-,-,416.9,426.2,BUKIT MERAH,1.289,103.8086,ALEXANDRA HILL,CENTRAL
513,2013,Jan,150010,-,290.9,478.4,-,BUKIT MERAH,1.2883,103.8084,ALEXANDRA HILL,CENTRAL
514,2013,Jan,150011,-,206.5,-,-,BUKIT MERAH,1.2864,103.8092,ALEXANDRA HILL,CENTRAL
515,2013,Jan,150012,-,-,386.5,363.9,BUKIT MERAH,1.2875,103.8069,ALEXANDRA HILL,CENTRAL
516,2013,Jan,150013,-,-,335.8,309.3,BUKIT MERAH,1.2875,103.8072,ALEXANDRA HILL,CENTRAL
517,2013,Jan,150014,-,-,418.5,393.6,BUKIT MERAH,1.2879,103.8078,ALEXANDRA HILL,CENTRAL
520,2013,Jan,150035,-,-,418.9,470.3,BUKIT MERAH,1.288,103.8091,ALEXANDRA HILL,CENTRAL
521,2013,Jan,150036,-,-,331.9,463.2,BUKIT MERAH,1.2884,103.8089,ALEXANDRA HILL,CENTRAL
522,2013,Jan,150038,-,-,361.1,-,BUKIT MERAH,1.289,103.8097,ALEXANDRA HILL,CENTRAL
523,2013,Jan,150043,-,-,364.4,477.7,BUKIT MERAH,1.287,103.811,ALEXANDRA HILL,CENTRAL
524,2013,Jan,150044,-,-,-,644.9,BUKIT MERAH,1.2869,103.8118,ALEXANDRA HILL,CENTRAL
525,2013,Jan,150045,-,-,-,513.3,BUKIT MERAH,1.2868,103.8127,ALEXANDRA HILL,CENTRAL
526,2013,Jan,150046,-,-,396.1,553.8,BUKIT MERAH,1.2869,103.8128,ALEXANDRA HILL,CENTRAL
527,2013,Jan,150049,-,-,400.9,453.0,BUKIT MERAH,1.2876,103.8119,ALEXANDRA HILL,CENTRAL
528,2013,Jan,150050,-,-,398.3,439.4,BUKIT MERAH,1.2878,103.8116,ALEXANDRA HILL,CENTRAL
529,2013,Jan,150051,-,-,365.6,486.5,BUKIT MERAH,1.2873,103.8128,ALEXANDRA HILL,CENTRAL
530,2013,Jan,150052,-,-,371.0,490.1,BUKIT MERAH,1.2886,103.8134,ALEXANDRA HILL,CENTRAL
531,2013,Jan,150053,-,-,393.4,438.1,BUKIT MERAH,1.2893,103.8135,ALEXANDRA HILL,CENTRAL
532,2013,Jan,150054,-,-,412.3,389.8,BUKIT MERAH,1.2891,103.8137,ALEXANDRA HILL,CENTRAL
533,2013,Jan,150056,196.5,-,-,-,BUKIT MERAH,1.288,103.814,ALEXANDRA HILL,CENTRAL
534,2013,Jan,150058,190.8,-,-,-,BUKIT MERAH,1.2886,103.8142,ALEXANDRA HILL,CENTRAL
535,2013,Jan,150059,179.3,-,-,-,BUKIT MERAH,1.2887,103.8143,ALEXANDRA HILL,CENTRAL
536,2013,Jan,150061,180.7,-,-,-,BUKIT MERAH,1.2896,103.8138,ALEXANDRA HILL,CENTRAL
568,2013,Jan,150121,-,212.2,-,-,BUKIT MERAH,1.2864,103.8052,ALEXANDRA HILL,CENTRAL
569,2013,Jan,150122,-,179.8,-,-,BUKIT MERAH,1.2865,103.8041,ALEXANDRA HILL,CENTRAL
591,2013,Jan,151028,-,258.0,-,-,BUKIT MERAH,1.2868,103.81,ALEXANDRA HILL,CENTRAL
592,2013,Jan,151039,-,-,378.6,-,BUKIT MERAH,1.2888,103.81,ALEXANDRA HILL,CENTRAL
593,2013,Jan,151040,-,-,388.9,-,BUKIT MERAH,1.2889,103.81,ALEXANDRA HILL,CENTRAL
594,2013,Jan,151047,-,-,371.5,676.7,BUKIT MERAH,1.287,103.8119,ALEXANDRA HILL,CENTRAL
595,2013,Jan,151048,-,-,352.3,432.8,BUKIT MERAH,1.2871,103.8113,ALEXANDRA HILL,CENTRAL
596,2013,Jan,151055,181.8,220.4,-,-,BUKIT MERAH,1.2875,103.8133,ALEXANDRA HILL,CENTRAL
597,2013,Jan,151057,186.0,-,-,-,BUKIT MERAH,1.2881,103.8141,ALEXANDRA HILL,CENTRAL
598,2013,Jan,151063,-,-,375.9,490.3,BUKIT MERAH,1.2897,103.8151,ALEXANDRA HILL,CENTRAL
606,2013,Jan,151119,-,285.3,-,-,BUKIT MERAH,1.2862,103.8048,ALEXANDRA HILL,CENTRAL
613,2013,Jan,152063,-,-,368.5,393.2,BUKIT MERAH,1.289,103.8152,ALEXANDRA HILL,CENTRAL
9153,2013,Feb,150001,-,292.0,-,-,BUKIT MERAH,1.2866,103.8078,ALEXANDRA HILL,CENTRAL
9154,2013,Feb,150002,-,288.1,-,103.3,BUKIT MERAH,1.2865,103.8067,ALEXANDRA HILL,CENTRAL
9155,2013,Feb,150003,117.7,-,-,-,BUKIT MERAH,1.2873,103.807,ALEXANDRA HILL,CENTRAL
9157,2013,Feb,150007,-,266.4,-,-,BUKIT MERAH,1.2878,103.8079,ALEXANDRA HILL,CENTRAL
9158,2013,Feb,150008,-,-,336.2,391.0,BUKIT MERAH,1.2884,103.8078,ALEXANDRA HILL,CENTRAL
9159,2013,Feb,150009,-,-,375.1,357.5,BUKIT MERAH,1.289,103.8086,ALEXANDRA HILL,CENTRAL
9160,2013,Feb,150010,-,214.2,326.1,-,BUKIT MERAH,1.2883,103.8084,ALEXANDRA HILL,CENTRAL
9161,2013,Feb,150011,-,261.1,-,-,BUKIT MERAH,1.2864,103.8092,ALEXANDRA HILL,CENTRAL
9162,2013,Feb,150012,-,-,398.7,431.1,BUKIT MERAH,1.2875,103.8069,ALEXANDRA HILL,CENTRAL
9163,2013,Feb,150013,-,-,345.2,363.7,BUKIT MERAH,1.2875,103.8072,ALEXANDRA HILL,CENTRAL
9164,2013,Feb,150014,-,-,425.9,450.3,BUKIT MERAH,1.2879,103.8078,ALEXANDRA HILL,CENTRAL
9167,2013,Feb,150035,-,-,364.4,358.0,BUKIT MERAH,1.288,103.8091,ALEXANDRA HILL,CENTRAL
9168,2013,Feb,150036,-,-,303.0,372.8,BUKIT MERAH,1.2884,103.8089,ALEXANDRA HILL,CENTRAL
9169,2013,Feb,150038,-,-,303.6,-,BUKIT MERAH,1.289,103.8097,ALEXANDRA HILL,CENTRAL
9170,2013,Feb,150043,-,-,298.2,370.3,BUKIT MERAH,1.287,103.811,ALEXANDRA HILL,CENTRAL
9171,2013,Feb,150044,-,-,-,447.2,BUKIT MERAH,1.2869,103.8118,ALEXANDRA HILL,CENTRAL
9172,2013,Feb,150045,-,-,-,377.9,BUKIT MERAH,1.2868,103.8127,ALEXANDRA HILL,CENTRAL
9173,2013,Feb,150046,-,-,316.6,407.2,BUKIT MERAH,1.2869,103.8128,ALEXANDRA HILL,CENTRAL
9174,2013,Feb,150049,-,-,315.5,377.0,BUKIT MERAH,1.2876,103.8119,ALEXANDRA HILL,CENTRAL
9175,2013,Feb,150050,-,-,284.8,349.4,BUKIT MERAH,1.2878,103.8116,ALEXANDRA HILL,CENTRAL
9176,2013,Feb,150051,-,-,290.2,346.4,BUKIT MERAH,1.2873,103.8128,ALEXANDRA HILL,CENTRAL
9177,2013,Feb,150052,-,-,317.6,370.7,BUKIT MERAH,1.2886,103.8134,ALEXANDRA HILL,CENTRAL
9178,2013,Feb,150053,-,-,318.2,309.3,BUKIT MERAH,1.2893,103.8135,ALEXANDRA HILL,CENTRAL
9179,2013,Feb,150054,-,-,320.0,261.0,BUKIT MERAH,1.2891,103.8137,ALEXANDRA HILL,CENTRAL
9180,2013,Feb,150056,172.9,-,-,-,BUKIT MERAH,1.288,103.814,ALEXANDRA HILL,CENTRAL
9181,2013,Feb,150058,157.6,-,-,-,BUKIT MERAH,1.2886,103.8142,ALEXANDRA HILL,CENTRAL
9182,2013,Feb,150059,146.5,-,-,-,BUKIT MERAH,1.2887,103.8143,ALEXANDRA HILL,CENTRAL
9183,2013,Feb,150061,161.4,-,-,-,BUKIT MERAH,1.2896,103.8138,ALEXANDRA HILL,CENTRAL
9216,2013,Feb,150121,-,185.7,-,-,BUKIT MERAH,1.2864,103.8052,ALEXANDRA HILL,CENTRAL
9217,2013,Feb,150122,-,214.9,-,-,BUKIT MERAH,1.2865,103.8041,ALEXANDRA HILL,CENTRAL
9218,2013,Feb,150127,-,200.3,-,-,BUKIT MERAH,1.2854,103.8033,ALEXANDRA HILL,CENTRAL
9240,2013,Feb,151028,-,277.1,-,-,BUKIT MERAH,1.2868,103.81,ALEXANDRA HILL,CENTRAL
9241,2013,Feb,151039,-,-,301.3,-,BUKIT MERAH,1.2888,103.81,ALEXANDRA HILL,CENTRAL
9242,2013,Feb,151040,-,-,314.0,-,BUKIT MERAH,1.2889,103.81,ALEXANDRA HILL,CENTRAL
9243,2013,Feb,151047,-,-,288.5,431.6,BUKIT MERAH,1.287,103.8119,ALEXANDRA HILL,CENTRAL
9244,2013,Feb,151048,-,-,302.3,343.0,BUKIT MERAH,1.2871,103.8113,ALEXANDRA HILL,CENTRAL
9245,2013,Feb,151055,167.0,207.3,-,-,BUKIT MERAH,1.2875,103.8133,ALEXANDRA HILL,CENTRAL
