index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
1407,2013,Jan,380040,-,-,385.1,459.8,GEYLANG,1.3176,103.8762,ALJUNIED,CENTRAL
1408,2013,Jan,380042,-,-,429.1,-,GEYLANG,1.3171,103.8759,ALJUNIED,CENTRAL
1409,2013,Jan,380043,-,-,440.0,407.9,GEYLANG,1.3173,103.8766,ALJUNIED,CENTRAL
1410,2013,Jan,380044,-,-,342.3,-,GEYLANG,1.3165,103.8773,ALJUNIED,CENTRAL
1411,2013,Jan,380045,-,303.2,-,-,GEYLANG,1.3173,103.8783,ALJUNIED,CENTRAL
1412,2013,Jan,380050,-,-,-,358.6,GEYLANG,1.3167,103.8783,ALJUNIED,CENTRAL
1413,2013,Jan,380051,-,-,-,396.0,GEYLANG,1.3163,103.8788,ALJUNIED,CENTRAL
1414,2013,Jan,380052,-,282.2,-,699.5,GEYLANG,1.3166,103.8803,ALJUNIED,CENTRAL
1415,2013,Jan,380053,-,306.1,-,429.7,GEYLANG,1.3178,103.88,ALJUNIED,CENTRAL
1416,2013,Jan,380054,-,162.3,-,-,GEYLANG,1.3184,103.8788,ALJUNIED,CENTRAL
1417,2013,Jan,380055,120.2,-,-,-,GEYLANG,1.3183,103.8786,ALJUNIED,CENTRAL
1418,2013,Jan,380062,-,98.2,127.5,-,GEYLANG,1.3192,103.8768,ALJUNIED,CENTRAL
1419,2013,Jan,380095,-,309.9,-,375.2,GEYLANG,1.3213,103.8864,ALJUNIED,CENTRAL
1420,2013,Jan,380096,207.5,-,-,-,GEYLANG,1.3215,103.8859,ALJUNIED,CENTRAL
1421,2013,Jan,380098,-,332.7,-,637.3,GEYLANG,1.3214,103.886,ALJUNIED,CENTRAL
1422,2013,Jan,380099,-,311.9,337.8,-,GEYLANG,1.3212,103.8846,ALJUNIED,CENTRAL
1423,2013,Jan,380100,115.0,-,-,-,GEYLANG,1.3208,103.8841,ALJUNIED,CENTRAL
1424,2013,Jan,380101,-,323.0,-,-,GEYLANG,1.3208,103.8833,ALJUNIED,CENTRAL
1425,2013,Jan,380102,-,301.2,469.8,504.5,GEYLANG,1.3199,103.8824,ALJUNIED,CENTRAL
1426,2013,Jan,380103,191.5,-,-,-,GEYLANG,1.3207,103.8833,ALJUNIED,CENTRAL
1427,2013,Jan,380104,-,-,393.8,-,GEYLANG,1.3199,103.8828,ALJUNIED,CENTRAL
1428,2013,Jan,380105,-,-,272.3,431.3,GEYLANG,1.3194,103.8827,ALJUNIED,CENTRAL
1429,2013,Jan,380106,-,300.4,489.9,772.5,GEYLANG,1.3193,103.8829,ALJUNIED,CENTRAL
1430,2013,Jan,380107,-,-,368.0,-,GEYLANG,1.3192,103.8843,ALJUNIED,CENTRAL
1431,2013,Jan,380108,-,282.7,-,-,GEYLANG,1.3191,103.8857,ALJUNIED,CENTRAL
