index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
4970,2013,Jan,590002,-,-,-,470.9,BUKIT TIMAH,1.3391,103.7755,ANAK BUKIT,CENTRAL
4971,2013,Jan,590003,-,-,-,471.0,BUKIT TIMAH,1.3389,103.7752,ANAK BUKIT,CENTRAL
4972,2013,Jan,590004,-,-,303.8,337.6,BUKIT TIMAH,1.3385,103.7743,ANAK BUKIT,CENTRAL
4973,2013,Jan,590005,-,-,313.8,374.3,BUKIT TIMAH,1.3383,103.7747,ANAK BUKIT,CENTRAL
4974,2013,Jan,590006,-,-,-,412.7,BUKIT TIMAH,1.3376,103.7753,ANAK BUKIT,CENTRAL
4975,2013,Jan,590007,-,-,-,464.1,BUKIT TIMAH,1.3376,103.7749,ANAK BUKIT,CENTRAL
4976,2013,Jan,590008,-,-,-,437.5,BUKIT TIMAH,1.3384,103.7741,ANAK BUKIT,CENTRAL
4977,2013,Jan,590009,-,-,254.9,357.1,BUKIT TIMAH,1.3384,103.7737,ANAK BUKIT,CENTRAL
4978,2013,Jan,590010,-,-,-,352.5,BUKIT TIMAH,1.3378,103.7732,ANAK BUKIT,CENTRAL
4979,2013,Jan,590011,-,-,338.0,348.8,BUKIT TIMAH,1.3377,103.7728,ANAK BUKIT,CENTRAL
4980,2013,Jan,590012,-,-,322.3,345.1,BUKIT TIMAH,1.3383,103.7727,ANAK BUKIT,CENTRAL
4981,2013,Jan,590013,-,-,322.6,333.2,BUKIT TIMAH,1.3387,103.7722,ANAK BUKIT,CENTRAL
4982,2013,Jan,590014,-,-,345.1,358.0,BUKIT TIMAH,1.339,103.7725,ANAK BUKIT,CENTRAL
4983,2013,Jan,590015,-,-,-,479.5,BUKIT TIMAH,1.3393,103.7719,ANAK BUKIT,CENTRAL
4984,2013,Jan,590016,-,-,302.3,313.4,BUKIT TIMAH,1.3396,103.7726,ANAK BUKIT,CENTRAL
4985,2013,Jan,590017,-,-,283.3,344.6,BUKIT TIMAH,1.3396,103.7727,ANAK BUKIT,CENTRAL
4986,2013,Jan,590018,-,212.2,302.9,-,BUKIT TIMAH,1.3399,103.7732,ANAK BUKIT,CENTRAL
4987,2013,Jan,590019,-,315.9,281.1,-,BUKIT TIMAH,1.3398,103.7739,ANAK BUKIT,CENTRAL
4988,2013,Jan,591501,-,-,302.2,338.7,BUKIT TIMAH,1.3395,103.7749,ANAK BUKIT,CENTRAL
13617,2013,Feb,590002,-,-,-,554.0,BUKIT TIMAH,1.3391,103.7755,ANAK BUKIT,CENTRAL
13618,2013,Feb,590003,-,-,-,533.6,BUKIT TIMAH,1.3389,103.7752,ANAK BUKIT,CENTRAL
13619,2013,Feb,590004,-,-,353.8,383.6,BUKIT TIMAH,1.3385,103.7743,ANAK BUKIT,CENTRAL
13620,2013,Feb,590005,-,-,354.2,471.4,BUKIT TIMAH,1.3383,103.7747,ANAK BUKIT,CENTRAL
13621,2013,Feb,590006,-,-,-,476.7,BUKIT TIMAH,1.3376,103.7753,ANAK BUKIT,CENTRAL
13622,2013,Feb,590007,-,-,-,524.5,BUKIT TIMAH,1.3376,103.7749,ANAK BUKIT,CENTRAL
13623,2013,Feb,590008,-,-,-,513.5,BUKIT TIMAH,1.3384,103.7741,ANAK BUKIT,CENTRAL
13624,2013,Feb,590009,-,-,303.3,422.9,BUKIT TIMAH,1.3384,103.7737,ANAK BUKIT,CENTRAL
13625,2013,Feb,590010,-,-,-,436.2,BUKIT TIMAH,1.3378,103.7732,ANAK BUKIT,CENTRAL
13626,2013,Feb,590011,-,-,389.9,396.5,BUKIT TIMAH,1.3377,103.7728,ANAK BUKIT,CENTRAL
13627,2013,Feb,590012,-,-,372.2,386.6,BUKIT TIMAH,1.3383,103.7727,ANAK BUKIT,CENTRAL
13628,2013,Feb,590013,-,-,380.0,398.5,BUKIT TIMAH,1.3387,103.7722,ANAK BUKIT,CENTRAL
13629,2013,Feb,590014,-,-,375.5,429.0,BUKIT TIMAH,1.339,103.7725,ANAK BUKIT,CENTRAL
13630,2013,Feb,590015,-,-,-,599.8,BUKIT TIMAH,1.3393,103.7719,ANAK BUKIT,CENTRAL
13631,2013,Feb,590016,-,-,342.9,368.5,BUKIT TIMAH,1.3396,103.7726,ANAK BUKIT,CENTRAL
13632,2013,Feb,590017,-,-,348.1,399.9,BUKIT TIMAH,1.3396,103.7727,ANAK BUKIT,CENTRAL
13633,2013,Feb,590018,-,255.6,374.8,-,BUKIT TIMAH,1.3399,103.7732,ANAK BUKIT,CENTRAL
13634,2013,Feb,590019,-,339.5,325.4,-,BUKIT TIMAH,1.3398,103.7739,ANAK BUKIT,CENTRAL
13635,2013,Feb,591501,-,-,357.8,390.8,BUKIT TIMAH,1.3395,103.7749,ANAK BUKIT,CENTRAL
22261,2013,Mar,590002,-,-,-,480.7,BUKIT TIMAH,1.3391,103.7755,ANAK BUKIT,CENTRAL
22262,2013,Mar,590003,-,-,-,439.5,BUKIT TIMAH,1.3389,103.7752,ANAK BUKIT,CENTRAL
22263,2013,Mar,590004,-,-,279.0,303.3,BUKIT TIMAH,1.3385,103.7743,ANAK BUKIT,CENTRAL
22264,2013,Mar,590005,-,-,312.4,406.0,BUKIT TIMAH,1.3383,103.7747,ANAK BUKIT,CENTRAL
22265,2013,Mar,590006,-,-,-,411.7,BUKIT TIMAH,1.3376,103.7753,ANAK BUKIT,CENTRAL
22266,2013,Mar,590007,-,-,-,465.9,BUKIT TIMAH,1.3376,103.7749,ANAK BUKIT,CENTRAL
22267,2013,Mar,590008,-,-,-,436.0,BUKIT TIMAH,1.3384,103.7741,ANAK BUKIT,CENTRAL
22268,2013,Mar,590009,-,-,276.3,370.5,BUKIT TIMAH,1.3384,103.7737,ANAK BUKIT,CENTRAL
22269,2013,Mar,590010,-,-,-,376.6,BUKIT TIMAH,1.3378,103.7732,ANAK BUKIT,CENTRAL
22270,2013,Mar,590011,-,-,374.0,358.5,BUKIT TIMAH,1.3377,103.7728,ANAK BUKIT,CENTRAL
22271,2013,Mar,590012,-,-,282.0,328.5,BUKIT TIMAH,1.3383,103.7727,ANAK BUKIT,CENTRAL
22272,2013,Mar,590013,-,-,336.5,361.3,BUKIT TIMAH,1.3387,103.7722,ANAK BUKIT,CENTRAL
22273,2013,Mar,590014,-,-,306.0,377.5,BUKIT TIMAH,1.339,103.7725,ANAK BUKIT,CENTRAL
22274,2013,Mar,590015,-,-,-,551.3,BUKIT TIMAH,1.3393,103.7719,ANAK BUKIT,CENTRAL
22275,2013,Mar,590016,-,-,318.0,336.4,BUKIT TIMAH,1.3396,103.7726,ANAK BUKIT,CENTRAL
22276,2013,Mar,590017,-,-,309.9,313.0,BUKIT TIMAH,1.3396,103.7727,ANAK BUKIT,CENTRAL
22277,2013,Mar,590018,-,223.5,340.0,-,BUKIT TIMAH,1.3399,103.7732,ANAK BUKIT,CENTRAL
22278,2013,Mar,590019,-,337.0,237.6,-,BUKIT TIMAH,1.3398,103.7739,ANAK BUKIT,CENTRAL
22279,2013,Mar,591501,-,-,309.0,335.8,BUKIT TIMAH,1.3395,103.7749,ANAK BUKIT,CENTRAL
30933,2013,Apr,590002,-,-,-,542.1,BUKIT TIMAH,1.3391,103.7755,ANAK BUKIT,CENTRAL
30934,2013,Apr,590003,-,-,-,500.6,BUKIT TIMAH,1.3389,103.7752,ANAK BUKIT,CENTRAL
30935,2013,Apr,590004,-,-,330.5,364.2,BUKIT TIMAH,1.3385,103.7743,ANAK BUKIT,CENTRAL
30936,2013,Apr,590005,-,-,346.1,404.1,BUKIT TIMAH,1.3383,103.7747,ANAK BUKIT,CENTRAL
30937,2013,Apr,590006,-,-,-,465.6,BUKIT TIMAH,1.3376,103.7753,ANAK BUKIT,CENTRAL
30938,2013,Apr,590007,-,-,-,511.5,BUKIT TIMAH,1.3376,103.7749,ANAK BUKIT,CENTRAL
30939,2013,Apr,590008,-,-,-,492.2,BUKIT TIMAH,1.3384,103.7741,ANAK BUKIT,CENTRAL
30940,2013,Apr,590009,-,-,299.4,410.1,BUKIT TIMAH,1.3384,103.7737,ANAK BUKIT,CENTRAL
30941,2013,Apr,590010,-,-,-,434.3,BUKIT TIMAH,1.3378,103.7732,ANAK BUKIT,CENTRAL
30942,2013,Apr,590011,-,-,398.6,385.5,BUKIT TIMAH,1.3377,103.7728,ANAK BUKIT,CENTRAL
30943,2013,Apr,590012,-,-,334.0,370.5,BUKIT TIMAH,1.3383,103.7727,ANAK BUKIT,CENTRAL
