index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
3919,2013,Jan,541301,-,-,296.5,400.4,SENGKANG,1.3894,103.8918,ANCHORVALE,NORTH-EAST
3920,2013,Jan,541302,-,-,321.3,396.9,SENGKANG,1.3878,103.8915,ANCHORVALE,NORTH-EAST
3921,2013,Jan,541303,-,-,353.7,402.9,SENGKANG,1.3872,103.8913,ANCHORVALE,NORTH-EAST
3922,2013,Jan,541304,-,-,343.0,334.7,SENGKANG,1.388,103.8886,ANCHORVALE,NORTH-EAST
3923,2013,Jan,541305,-,-,281.8,424.6,SENGKANG,1.3884,103.8879,ANCHORVALE,NORTH-EAST
3924,2013,Jan,541306,-,-,299.8,370.8,SENGKANG,1.3904,103.8891,ANCHORVALE,NORTH-EAST
3925,2013,Jan,541307,-,-,314.4,345.9,SENGKANG,1.3897,103.8879,ANCHORVALE,NORTH-EAST
3926,2013,Jan,541308,-,-,267.4,343.4,SENGKANG,1.3898,103.8858,ANCHORVALE,NORTH-EAST
3927,2013,Jan,541309,-,-,326.2,370.8,SENGKANG,1.3919,103.8861,ANCHORVALE,NORTH-EAST
3928,2013,Jan,541310,-,-,-,375.6,SENGKANG,1.3907,103.8849,ANCHORVALE,NORTH-EAST
3929,2013,Jan,541311,-,-,327.4,324.1,SENGKANG,1.3911,103.884,ANCHORVALE,NORTH-EAST
3930,2013,Jan,541312,-,-,-,373.5,SENGKANG,1.3919,103.8852,ANCHORVALE,NORTH-EAST
3931,2013,Jan,541313,-,-,302.6,324.6,SENGKANG,1.3928,103.8875,ANCHORVALE,NORTH-EAST
3932,2013,Jan,541314,-,-,297.4,276.6,SENGKANG,1.391,103.8895,ANCHORVALE,NORTH-EAST
3933,2013,Jan,541315,-,-,-,388.6,SENGKANG,1.392,103.8887,ANCHORVALE,NORTH-EAST
3934,2013,Jan,541316,-,-,-,327.9,SENGKANG,1.3928,103.8897,ANCHORVALE,NORTH-EAST
3935,2013,Jan,541317,-,-,349.4,333.9,SENGKANG,1.3942,103.888,ANCHORVALE,NORTH-EAST
3936,2013,Jan,541318,-,-,324.9,388.1,SENGKANG,1.3925,103.89,ANCHORVALE,NORTH-EAST
3937,2013,Jan,541319,-,-,327.6,278.6,SENGKANG,1.3907,103.8901,ANCHORVALE,NORTH-EAST
3938,2013,Jan,541320,-,-,288.6,-,SENGKANG,1.3904,103.8909,ANCHORVALE,NORTH-EAST
3939,2013,Jan,541321,-,-,248.4,315.1,SENGKANG,1.39,103.892,ANCHORVALE,NORTH-EAST
3940,2013,Jan,541322,-,-,300.1,-,SENGKANG,1.3918,103.8919,ANCHORVALE,NORTH-EAST
3941,2013,Jan,541323,-,-,281.0,291.1,SENGKANG,1.393,103.893,ANCHORVALE,NORTH-EAST
3942,2013,Jan,541324,-,-,287.0,-,SENGKANG,1.3932,103.892,ANCHORVALE,NORTH-EAST
3943,2013,Jan,541325,-,-,234.9,365.4,SENGKANG,1.3936,103.891,ANCHORVALE,NORTH-EAST
4008,2013,Jan,542301,-,-,347.2,339.8,SENGKANG,1.3893,103.8914,ANCHORVALE,NORTH-EAST
4009,2013,Jan,542302,155.6,246.0,-,-,SENGKANG,1.3879,103.8905,ANCHORVALE,NORTH-EAST
4010,2013,Jan,542303,-,-,335.9,-,SENGKANG,1.3874,103.8895,ANCHORVALE,NORTH-EAST
4011,2013,Jan,542304,-,-,291.7,400.2,SENGKANG,1.3884,103.8894,ANCHORVALE,NORTH-EAST
4012,2013,Jan,542305,-,-,406.8,343.6,SENGKANG,1.3893,103.8888,ANCHORVALE,NORTH-EAST
4013,2013,Jan,542306,-,-,-,365.3,SENGKANG,1.3895,103.889,ANCHORVALE,NORTH-EAST
4014,2013,Jan,542307,-,-,-,463.0,SENGKANG,1.3898,103.8877,ANCHORVALE,NORTH-EAST
4015,2013,Jan,542308,-,-,299.7,361.4,SENGKANG,1.3898,103.8866,ANCHORVALE,NORTH-EAST
4016,2013,Jan,542309,-,-,292.1,338.4,SENGKANG,1.3913,103.886,ANCHORVALE,NORTH-EAST
4017,2013,Jan,542310,-,-,-,405.6,SENGKANG,1.3907,103.8849,ANCHORVALE,NORTH-EAST
4018,2013,Jan,542311,-,-,335.4,379.5,SENGKANG,1.3914,103.8841,ANCHORVALE,NORTH-EAST
4019,2013,Jan,542312,-,-,-,440.1,SENGKANG,1.3919,103.8855,ANCHORVALE,NORTH-EAST
4020,2013,Jan,542313,-,-,287.6,340.5,SENGKANG,1.3927,103.8875,ANCHORVALE,NORTH-EAST
4021,2013,Jan,542314,-,-,331.8,381.4,SENGKANG,1.3912,103.8884,ANCHORVALE,NORTH-EAST
4022,2013,Jan,542315,-,-,-,467.3,SENGKANG,1.3921,103.8886,ANCHORVALE,NORTH-EAST
4023,2013,Jan,542316,-,-,-,387.7,SENGKANG,1.3931,103.8891,ANCHORVALE,NORTH-EAST
4024,2013,Jan,542317,-,-,366.5,327.9,SENGKANG,1.3941,103.8886,ANCHORVALE,NORTH-EAST
4025,2013,Jan,542318,-,-,285.1,378.4,SENGKANG,1.3941,103.8893,ANCHORVALE,NORTH-EAST
4026,2013,Jan,542319,-,-,312.9,310.5,SENGKANG,1.3917,103.8904,ANCHORVALE,NORTH-EAST
4027,2013,Jan,542320,-,-,312.4,275.6,SENGKANG,1.3915,103.8908,ANCHORVALE,NORTH-EAST
4028,2013,Jan,542321,-,-,345.7,349.6,SENGKANG,1.3911,103.8925,ANCHORVALE,NORTH-EAST
4029,2013,Jan,542322,-,-,230.9,342.0,SENGKANG,1.3915,103.8918,ANCHORVALE,NORTH-EAST
4030,2013,Jan,542323,-,-,337.3,323.1,SENGKANG,1.3921,103.893,ANCHORVALE,NORTH-EAST
4031,2013,Jan,542324,-,-,259.1,323.3,SENGKANG,1.3932,103.8921,ANCHORVALE,NORTH-EAST
4032,2013,Jan,542325,-,-,322.2,364.4,SENGKANG,1.3928,103.8907,ANCHORVALE,NORTH-EAST
4089,2013,Jan,543301,-,-,309.8,311.8,SENGKANG,1.3888,103.8911,ANCHORVALE,NORTH-EAST
4090,2013,Jan,543302,-,-,-,375.4,SENGKANG,1.388,103.8904,ANCHORVALE,NORTH-EAST
4091,2013,Jan,543303,-,-,321.1,-,SENGKANG,1.3877,103.8904,ANCHORVALE,NORTH-EAST
4092,2013,Jan,543305,-,-,321.8,402.3,SENGKANG,1.389,103.8879,ANCHORVALE,NORTH-EAST
4093,2013,Jan,543306,-,-,264.3,353.2,SENGKANG,1.3901,103.8877,ANCHORVALE,NORTH-EAST
4094,2013,Jan,543307,-,-,231.4,339.2,SENGKANG,1.3903,103.887,ANCHORVALE,NORTH-EAST
4095,2013,Jan,543308,-,-,319.3,361.8,SENGKANG,1.3894,103.8868,ANCHORVALE,NORTH-EAST
4096,2013,Jan,543309,-,-,324.2,407.4,SENGKANG,1.391,103.8859,ANCHORVALE,NORTH-EAST
4097,2013,Jan,543311,-,-,333.9,328.8,SENGKANG,1.3917,103.8844,ANCHORVALE,NORTH-EAST
4098,2013,Jan,543313,-,-,321.7,320.0,SENGKANG,1.3914,103.8877,ANCHORVALE,NORTH-EAST
4099,2013,Jan,543314,-,-,255.7,363.7,SENGKANG,1.3918,103.8887,ANCHORVALE,NORTH-EAST
4100,2013,Jan,543315,-,-,-,394.2,SENGKANG,1.3924,103.8879,ANCHORVALE,NORTH-EAST
4101,2013,Jan,543316,-,-,-,402.2,SENGKANG,1.3932,103.8887,ANCHORVALE,NORTH-EAST
4102,2013,Jan,543317,-,-,384.3,318.3,SENGKANG,1.3933,103.8884,ANCHORVALE,NORTH-EAST
4103,2013,Jan,543318,-,-,264.9,336.4,SENGKANG,1.3932,103.8891,ANCHORVALE,NORTH-EAST
4104,2013,Jan,543319,-,-,384.8,313.5,SENGKANG,1.3908,103.8904,ANCHORVALE,NORTH-EAST
4105,2013,Jan,543320,-,-,-,360.6,SENGKANG,1.3914,103.8914,ANCHORVALE,NORTH-EAST
4106,2013,Jan,543321,-,-,286.9,374.2,SENGKANG,1.3905,103.8914,ANCHORVALE,NORTH-EAST
4107,2013,Jan,543322,-,-,299.6,317.8,SENGKANG,1.3918,103.892,ANCHORVALE,NORTH-EAST
4108,2013,Jan,543323,-,-,297.1,359.7,SENGKANG,1.393,103.8929,ANCHORVALE,NORTH-EAST
4109,2013,Jan,543324,-,-,-,383.5,SENGKANG,1.3924,103.8916,ANCHORVALE,NORTH-EAST
4110,2013,Jan,543325,-,-,329.7,317.9,SENGKANG,1.3933,103.8915,ANCHORVALE,NORTH-EAST
4144,2013,Jan,544301,-,-,336.5,365.7,SENGKANG,1.3886,103.8915,ANCHORVALE,NORTH-EAST
4145,2013,Jan,544302,-,-,-,405.0,SENGKANG,1.3882,103.8896,ANCHORVALE,NORTH-EAST
4146,2013,Jan,544305,-,-,335.5,426.2,SENGKANG,1.3889,103.8872,ANCHORVALE,NORTH-EAST
4147,2013,Jan,544307,-,-,286.5,338.6,SENGKANG,1.3904,103.8862,ANCHORVALE,NORTH-EAST
4148,2013,Jan,544309,-,-,364.8,404.5,SENGKANG,1.3907,103.8857,ANCHORVALE,NORTH-EAST
4149,2013,Jan,544311,-,-,316.6,392.9,SENGKANG,1.3919,103.8845,ANCHORVALE,NORTH-EAST
4150,2013,Jan,544313,-,-,404.9,375.0,SENGKANG,1.3922,103.8879,ANCHORVALE,NORTH-EAST
4151,2013,Jan,544314,-,-,377.3,404.1,SENGKANG,1.3916,103.8895,ANCHORVALE,NORTH-EAST
4152,2013,Jan,544317,-,-,276.0,399.5,SENGKANG,1.3933,103.8879,ANCHORVALE,NORTH-EAST
4153,2013,Jan,544318,-,-,323.4,365.9,SENGKANG,1.3932,103.8899,ANCHORVALE,NORTH-EAST
4154,2013,Jan,544320,-,-,232.0,312.6,SENGKANG,1.3904,103.892,ANCHORVALE,NORTH-EAST
4155,2013,Jan,544324,-,-,316.7,341.5,SENGKANG,1.3926,103.8913,ANCHORVALE,NORTH-EAST
12566,2013,Feb,541301,-,-,311.4,422.6,SENGKANG,1.3894,103.8918,ANCHORVALE,NORTH-EAST
12567,2013,Feb,541302,-,-,351.1,424.5,SENGKANG,1.3878,103.8915,ANCHORVALE,NORTH-EAST
12568,2013,Feb,541303,-,-,367.3,428.2,SENGKANG,1.3872,103.8913,ANCHORVALE,NORTH-EAST
12569,2013,Feb,541304,-,-,367.5,375.6,SENGKANG,1.388,103.8886,ANCHORVALE,NORTH-EAST
12570,2013,Feb,541305,-,-,299.5,448.9,SENGKANG,1.3884,103.8879,ANCHORVALE,NORTH-EAST
12571,2013,Feb,541306,-,-,325.1,391.4,SENGKANG,1.3904,103.8891,ANCHORVALE,NORTH-EAST
12572,2013,Feb,541307,-,-,335.6,350.4,SENGKANG,1.3897,103.8879,ANCHORVALE,NORTH-EAST
12573,2013,Feb,541308,-,-,294.5,379.2,SENGKANG,1.3898,103.8858,ANCHORVALE,NORTH-EAST
12574,2013,Feb,541309,-,-,362.3,426.3,SENGKANG,1.3919,103.8861,ANCHORVALE,NORTH-EAST
12575,2013,Feb,541310,-,-,-,436.5,SENGKANG,1.3907,103.8849,ANCHORVALE,NORTH-EAST
12576,2013,Feb,541311,-,-,390.6,381.8,SENGKANG,1.3911,103.884,ANCHORVALE,NORTH-EAST
12577,2013,Feb,541312,-,-,-,426.8,SENGKANG,1.3919,103.8852,ANCHORVALE,NORTH-EAST
12578,2013,Feb,541313,-,-,371.7,367.0,SENGKANG,1.3928,103.8875,ANCHORVALE,NORTH-EAST
12579,2013,Feb,541314,-,-,357.0,357.6,SENGKANG,1.391,103.8895,ANCHORVALE,NORTH-EAST
12580,2013,Feb,541315,-,-,-,454.2,SENGKANG,1.392,103.8887,ANCHORVALE,NORTH-EAST
12581,2013,Feb,541316,-,-,-,400.5,SENGKANG,1.3928,103.8897,ANCHORVALE,NORTH-EAST
12582,2013,Feb,541317,-,-,406.0,379.5,SENGKANG,1.3942,103.888,ANCHORVALE,NORTH-EAST
12583,2013,Feb,541318,-,-,379.4,446.4,SENGKANG,1.3925,103.89,ANCHORVALE,NORTH-EAST
12584,2013,Feb,541319,-,-,384.5,339.8,SENGKANG,1.3907,103.8901,ANCHORVALE,NORTH-EAST
12585,2013,Feb,541320,-,-,346.3,-,SENGKANG,1.3904,103.8909,ANCHORVALE,NORTH-EAST
12586,2013,Feb,541321,-,-,301.6,381.6,SENGKANG,1.39,103.892,ANCHORVALE,NORTH-EAST
12587,2013,Feb,541322,-,-,350.1,-,SENGKANG,1.3918,103.8919,ANCHORVALE,NORTH-EAST
12588,2013,Feb,541323,-,-,343.5,369.1,SENGKANG,1.393,103.893,ANCHORVALE,NORTH-EAST
12589,2013,Feb,541324,-,-,335.5,-,SENGKANG,1.3932,103.892,ANCHORVALE,NORTH-EAST
12590,2013,Feb,541325,-,-,314.4,425.6,SENGKANG,1.3936,103.891,ANCHORVALE,NORTH-EAST
12655,2013,Feb,542301,-,-,375.2,374.9,SENGKANG,1.3893,103.8914,ANCHORVALE,NORTH-EAST
12656,2013,Feb,542302,176.3,261.9,-,-,SENGKANG,1.3879,103.8905,ANCHORVALE,NORTH-EAST
12657,2013,Feb,542303,-,-,344.3,-,SENGKANG,1.3874,103.8895,ANCHORVALE,NORTH-EAST
12658,2013,Feb,542304,-,-,326.9,431.1,SENGKANG,1.3884,103.8894,ANCHORVALE,NORTH-EAST
12659,2013,Feb,542305,-,-,409.9,360.3,SENGKANG,1.3893,103.8888,ANCHORVALE,NORTH-EAST
12660,2013,Feb,542306,-,-,-,393.6,SENGKANG,1.3895,103.889,ANCHORVALE,NORTH-EAST
12661,2013,Feb,542307,-,-,-,462.0,SENGKANG,1.3898,103.8877,ANCHORVALE,NORTH-EAST
12662,2013,Feb,542308,-,-,332.6,400.9,SENGKANG,1.3898,103.8866,ANCHORVALE,NORTH-EAST
12663,2013,Feb,542309,-,-,381.5,402.7,SENGKANG,1.3913,103.886,ANCHORVALE,NORTH-EAST
12664,2013,Feb,542310,-,-,-,475.5,SENGKANG,1.3907,103.8849,ANCHORVALE,NORTH-EAST
12665,2013,Feb,542311,-,-,384.0,449.0,SENGKANG,1.3914,103.8841,ANCHORVALE,NORTH-EAST
12666,2013,Feb,542312,-,-,-,493.5,SENGKANG,1.3919,103.8855,ANCHORVALE,NORTH-EAST
12667,2013,Feb,542313,-,-,351.3,404.2,SENGKANG,1.3927,103.8875,ANCHORVALE,NORTH-EAST
12668,2013,Feb,542314,-,-,381.2,428.1,SENGKANG,1.3912,103.8884,ANCHORVALE,NORTH-EAST
12669,2013,Feb,542315,-,-,-,518.4,SENGKANG,1.3921,103.8886,ANCHORVALE,NORTH-EAST
12670,2013,Feb,542316,-,-,-,456.5,SENGKANG,1.3931,103.8891,ANCHORVALE,NORTH-EAST
12671,2013,Feb,542317,-,-,392.0,377.5,SENGKANG,1.3941,103.8886,ANCHORVALE,NORTH-EAST
12672,2013,Feb,542318,-,-,323.9,429.4,SENGKANG,1.3941,103.8893,ANCHORVALE,NORTH-EAST
12673,2013,Feb,542319,-,-,367.4,380.7,SENGKANG,1.3917,103.8904,ANCHORVALE,NORTH-EAST
12674,2013,Feb,542320,-,-,364.0,359.1,SENGKANG,1.3915,103.8908,ANCHORVALE,NORTH-EAST
12675,2013,Feb,542321,-,-,395.0,409.8,SENGKANG,1.3911,103.8925,ANCHORVALE,NORTH-EAST
12676,2013,Feb,542322,-,-,297.8,411.3,SENGKANG,1.3915,103.8918,ANCHORVALE,NORTH-EAST
12677,2013,Feb,542323,-,-,388.1,364.8,SENGKANG,1.3921,103.893,ANCHORVALE,NORTH-EAST
12678,2013,Feb,542324,-,-,291.0,379.0,SENGKANG,1.3932,103.8921,ANCHORVALE,NORTH-EAST
12679,2013,Feb,542325,-,-,371.5,414.0,SENGKANG,1.3928,103.8907,ANCHORVALE,NORTH-EAST
12736,2013,Feb,543301,-,-,349.8,347.3,SENGKANG,1.3888,103.8911,ANCHORVALE,NORTH-EAST
12737,2013,Feb,543302,-,-,-,415.7,SENGKANG,1.388,103.8904,ANCHORVALE,NORTH-EAST
12738,2013,Feb,543303,-,-,345.5,-,SENGKANG,1.3877,103.8904,ANCHORVALE,NORTH-EAST
12739,2013,Feb,543305,-,-,356.1,439.5,SENGKANG,1.389,103.8879,ANCHORVALE,NORTH-EAST
12740,2013,Feb,543306,-,-,302.2,395.3,SENGKANG,1.3901,103.8877,ANCHORVALE,NORTH-EAST
12741,2013,Feb,543307,-,-,270.2,361.9,SENGKANG,1.3903,103.887,ANCHORVALE,NORTH-EAST
12742,2013,Feb,543308,-,-,329.3,405.2,SENGKANG,1.3894,103.8868,ANCHORVALE,NORTH-EAST
12743,2013,Feb,543309,-,-,383.9,481.4,SENGKANG,1.391,103.8859,ANCHORVALE,NORTH-EAST
12744,2013,Feb,543311,-,-,393.0,401.3,SENGKANG,1.3917,103.8844,ANCHORVALE,NORTH-EAST
12745,2013,Feb,543313,-,-,374.2,390.8,SENGKANG,1.3914,103.8877,ANCHORVALE,NORTH-EAST
12746,2013,Feb,543314,-,-,300.4,431.0,SENGKANG,1.3918,103.8887,ANCHORVALE,NORTH-EAST
12747,2013,Feb,543315,-,-,-,468.5,SENGKANG,1.3924,103.8879,ANCHORVALE,NORTH-EAST
12748,2013,Feb,543316,-,-,-,473.7,SENGKANG,1.3932,103.8887,ANCHORVALE,NORTH-EAST
12749,2013,Feb,543317,-,-,420.0,379.9,SENGKANG,1.3933,103.8884,ANCHORVALE,NORTH-EAST
12750,2013,Feb,543318,-,-,333.7,386.9,SENGKANG,1.3932,103.8891,ANCHORVALE,NORTH-EAST
12751,2013,Feb,543319,-,-,437.2,385.9,SENGKANG,1.3908,103.8904,ANCHORVALE,NORTH-EAST
