index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
4702,2013,Jan,560704,-,337.2,-,-,ANG MO KIO,1.3702,103.8473,ANG MO KIO TOWN CENTRE,NORTH-EAST
4703,2013,Jan,560705,-,485.3,-,-,ANG MO KIO,1.3704,103.8477,ANG MO KIO TOWN CENTRE,NORTH-EAST
4704,2013,Jan,560709,-,296.2,-,-,ANG MO KIO,1.371,103.8476,ANG MO KIO TOWN CENTRE,NORTH-EAST
4705,2013,Jan,560710,-,-,-,439.0,ANG MO KIO,1.3712,103.8484,ANG MO KIO TOWN CENTRE,NORTH-EAST
4706,2013,Jan,560713,-,314.4,-,-,ANG MO KIO,1.3712,103.8465,ANG MO KIO TOWN CENTRE,NORTH-EAST
4707,2013,Jan,560714,-,-,-,476.8,ANG MO KIO,1.3711,103.8465,ANG MO KIO TOWN CENTRE,NORTH-EAST
4708,2013,Jan,560716,-,-,-,437.0,ANG MO KIO,1.3714,103.8455,ANG MO KIO TOWN CENTRE,NORTH-EAST
4709,2013,Jan,560720,-,354.1,-,-,ANG MO KIO,1.372,103.847,ANG MO KIO TOWN CENTRE,NORTH-EAST
4710,2013,Jan,560725,-,-,-,462.9,ANG MO KIO,1.3727,103.8469,ANG MO KIO TOWN CENTRE,NORTH-EAST
4711,2013,Jan,560727,-,386.6,-,-,ANG MO KIO,1.3727,103.8459,ANG MO KIO TOWN CENTRE,NORTH-EAST
4712,2013,Jan,560728,-,292.3,-,-,ANG MO KIO,1.3726,103.8458,ANG MO KIO TOWN CENTRE,NORTH-EAST
4713,2013,Jan,560729,-,-,-,451.4,ANG MO KIO,1.3738,103.8453,ANG MO KIO TOWN CENTRE,NORTH-EAST
4721,2013,Jan,561700,-,-,367.9,456.1,ANG MO KIO,1.3699,103.8457,ANG MO KIO TOWN CENTRE,NORTH-EAST
4730,2013,Jan,562700,-,-,361.7,393.9,ANG MO KIO,1.3695,103.8458,ANG MO KIO TOWN CENTRE,NORTH-EAST
4736,2013,Jan,563700,-,-,344.1,430.4,ANG MO KIO,1.3694,103.8466,ANG MO KIO TOWN CENTRE,NORTH-EAST
13348,2013,Feb,560704,-,229.3,-,-,ANG MO KIO,1.3702,103.8473,ANG MO KIO TOWN CENTRE,NORTH-EAST
13349,2013,Feb,560705,-,304.4,-,-,ANG MO KIO,1.3704,103.8477,ANG MO KIO TOWN CENTRE,NORTH-EAST
13350,2013,Feb,560709,-,205.1,-,-,ANG MO KIO,1.371,103.8476,ANG MO KIO TOWN CENTRE,NORTH-EAST
13351,2013,Feb,560710,-,-,-,377.6,ANG MO KIO,1.3712,103.8484,ANG MO KIO TOWN CENTRE,NORTH-EAST
13352,2013,Feb,560713,-,283.1,-,-,ANG MO KIO,1.3712,103.8465,ANG MO KIO TOWN CENTRE,NORTH-EAST
