index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
1161,2013,Jan,320020,143.9,-,-,-,NOVENA,1.3269,103.8596,BALESTIER,CENTRAL
1162,2013,Jan,320021,180.4,-,-,-,NOVENA,1.3263,103.8598,BALESTIER,CENTRAL
1163,2013,Jan,320022,131.9,-,-,-,NOVENA,1.3265,103.8596,BALESTIER,CENTRAL
1165,2013,Jan,320029,-,-,371.0,493.7,NOVENA,1.3253,103.8593,BALESTIER,CENTRAL
1166,2013,Jan,320030,-,-,348.0,500.1,NOVENA,1.3258,103.8582,BALESTIER,CENTRAL
1167,2013,Jan,320035,-,266.7,-,-,NOVENA,1.3271,103.8578,BALESTIER,CENTRAL
1168,2013,Jan,320039,-,346.3,-,-,NOVENA,1.3273,103.8565,BALESTIER,CENTRAL
1169,2013,Jan,320046,-,388.2,-,-,NOVENA,1.3278,103.8569,BALESTIER,CENTRAL
1170,2013,Jan,320053,-,244.6,-,-,NOVENA,1.3283,103.8564,BALESTIER,CENTRAL
1171,2013,Jan,320054,-,526.3,-,-,NOVENA,1.3282,103.8564,BALESTIER,CENTRAL
1172,2013,Jan,320058,-,389.1,-,-,NOVENA,1.3283,103.8571,BALESTIER,CENTRAL
1173,2013,Jan,320061,-,226.0,-,-,NOVENA,1.3278,103.8577,BALESTIER,CENTRAL
1174,2013,Jan,320074,-,231.7,-,427.3,NOVENA,1.3248,103.8576,BALESTIER,CENTRAL
1175,2013,Jan,320075,-,239.0,-,577.7,NOVENA,1.3245,103.858,BALESTIER,CENTRAL
1176,2013,Jan,320077,-,207.6,-,350.5,NOVENA,1.3251,103.855,BALESTIER,CENTRAL
1177,2013,Jan,320083,-,-,283.7,-,NOVENA,1.3238,103.8568,BALESTIER,CENTRAL
1178,2013,Jan,320084,-,-,302.8,-,NOVENA,1.3236,103.8569,BALESTIER,CENTRAL
1179,2013,Jan,320085,-,236.2,-,454.6,NOVENA,1.3231,103.8562,BALESTIER,CENTRAL
1180,2013,Jan,320093,-,258.1,-,693.0,NOVENA,1.3223,103.8545,BALESTIER,CENTRAL
1181,2013,Jan,320094,-,-,301.0,-,NOVENA,1.3221,103.8557,BALESTIER,CENTRAL
1182,2013,Jan,320095,-,-,329.8,-,NOVENA,1.3221,103.856,BALESTIER,CENTRAL
1183,2013,Jan,320096,-,-,257.6,-,NOVENA,1.3219999999999998,103.8555,BALESTIER,CENTRAL
1184,2013,Jan,320097,-,263.4,-,652.7,NOVENA,1.3218,103.8542,BALESTIER,CENTRAL
1185,2013,Jan,320098,-,237.5,-,597.6,NOVENA,1.3216,103.854,BALESTIER,CENTRAL
1186,2013,Jan,320099,-,-,299.2,-,NOVENA,1.3209,103.8537,BALESTIER,CENTRAL
1187,2013,Jan,320100,-,-,329.5,-,NOVENA,1.3208,103.8541,BALESTIER,CENTRAL
1188,2013,Jan,320101,-,-,-,390.8,NOVENA,1.3276,103.8445,BALESTIER,CENTRAL
1189,2013,Jan,320102,-,-,-,360.8,NOVENA,1.328,103.8442,BALESTIER,CENTRAL
1190,2013,Jan,320103,-,-,-,370.9,NOVENA,1.328,103.8447,BALESTIER,CENTRAL
1191,2013,Jan,320104,-,-,275.6,-,NOVENA,1.3284,103.8443,BALESTIER,CENTRAL
1192,2013,Jan,320105,-,-,-,485.2,NOVENA,1.3284,103.8538,BALESTIER,CENTRAL
1193,2013,Jan,320106,-,-,280.5,-,NOVENA,1.3286,103.8445,BALESTIER,CENTRAL
1194,2013,Jan,320107,-,-,329.4,445.8,NOVENA,1.3278,103.8548,BALESTIER,CENTRAL
1195,2013,Jan,320108,-,-,-,519.9,NOVENA,1.3281,103.8554,BALESTIER,CENTRAL
1200,2013,Jan,320113,-,-,265.7,349.0,NOVENA,1.3258,103.8573,BALESTIER,CENTRAL
1201,2013,Jan,320114,-,-,341.7,384.3,NOVENA,1.3253,103.8574,BALESTIER,CENTRAL
1202,2013,Jan,320115,-,-,306.4,393.2,NOVENA,1.3266,103.8571,BALESTIER,CENTRAL
1210,2013,Jan,321016,-,-,280.3,342.2,NOVENA,1.3283,103.8595,BALESTIER,CENTRAL
1211,2013,Jan,321017,-,-,263.3,429.1,NOVENA,1.3284,103.8598,BALESTIER,CENTRAL
1212,2013,Jan,321018,-,-,299.0,357.2,NOVENA,1.3277,103.8601,BALESTIER,CENTRAL
1213,2013,Jan,321019,-,-,310.2,378.9,NOVENA,1.3276,103.8597,BALESTIER,CENTRAL
1217,2013,Jan,321101,-,-,329.4,-,NOVENA,1.3287,103.8508,BALESTIER,CENTRAL
1218,2013,Jan,321102,-,-,299.9,-,NOVENA,1.3286,103.8518,BALESTIER,CENTRAL
1219,2013,Jan,321103,-,-,317.4,395.1,NOVENA,1.3276,103.8529,BALESTIER,CENTRAL
1220,2013,Jan,321104,-,-,304.2,383.2,NOVENA,1.3281,103.8533,BALESTIER,CENTRAL
1222,2013,Jan,321106,-,-,-,469.3,NOVENA,1.3284,103.8547,BALESTIER,CENTRAL
1225,2013,Jan,321109,-,-,355.3,409.4,NOVENA,1.327,103.8557,BALESTIER,CENTRAL
1226,2013,Jan,321110,-,-,371.9,335.4,NOVENA,1.3266,103.8557,BALESTIER,CENTRAL
1227,2013,Jan,321111,-,-,311.5,441.1,NOVENA,1.3265,103.8563,BALESTIER,CENTRAL
1228,2013,Jan,321112,-,-,295.1,371.9,NOVENA,1.3262,103.8567,BALESTIER,CENTRAL
1235,2013,Jan,323101,-,-,319.6,-,NOVENA,1.3205,103.8537,BALESTIER,CENTRAL
1236,2013,Jan,323104,-,-,281.8,378.6,NOVENA,1.3208,103.8533,BALESTIER,CENTRAL
9816,2013,Feb,320020,190.1,-,-,-,NOVENA,1.3269,103.8596,BALESTIER,CENTRAL
9817,2013,Feb,320021,212.6,-,-,-,NOVENA,1.3263,103.8598,BALESTIER,CENTRAL
9818,2013,Feb,320022,167.8,-,-,-,NOVENA,1.3265,103.8596,BALESTIER,CENTRAL
9820,2013,Feb,320029,-,-,322.0,432.7,NOVENA,1.3253,103.8593,BALESTIER,CENTRAL
9821,2013,Feb,320030,-,-,333.8,398.9,NOVENA,1.3258,103.8582,BALESTIER,CENTRAL
9822,2013,Feb,320035,-,232.4,-,-,NOVENA,1.3271,103.8578,BALESTIER,CENTRAL
9823,2013,Feb,320040,-,312.0,-,-,NOVENA,1.3279,103.8563,BALESTIER,CENTRAL
9824,2013,Feb,320042,-,356.0,-,-,NOVENA,1.3272,103.8568,BALESTIER,CENTRAL
9825,2013,Feb,320046,-,377.2,-,-,NOVENA,1.3278,103.8569,BALESTIER,CENTRAL
9826,2013,Feb,320047,-,315.9,-,-,NOVENA,1.3273,103.8568,BALESTIER,CENTRAL
9827,2013,Feb,320048,-,367.2,-,-,NOVENA,1.3276,103.8566,BALESTIER,CENTRAL
9828,2013,Feb,320051,-,362.8,-,-,NOVENA,1.3279,103.856,BALESTIER,CENTRAL
9829,2013,Feb,320053,-,280.3,-,-,NOVENA,1.3283,103.8564,BALESTIER,CENTRAL
9830,2013,Feb,320055,-,328.0,-,-,NOVENA,1.3279,103.8566,BALESTIER,CENTRAL
9831,2013,Feb,320058,-,342.3,-,-,NOVENA,1.3283,103.8571,BALESTIER,CENTRAL
9832,2013,Feb,320074,-,291.2,-,536.8,NOVENA,1.3248,103.8576,BALESTIER,CENTRAL
9833,2013,Feb,320075,-,303.9,-,716.0,NOVENA,1.3245,103.858,BALESTIER,CENTRAL
9834,2013,Feb,320077,-,251.9,-,424.3,NOVENA,1.3251,103.855,BALESTIER,CENTRAL
9835,2013,Feb,320083,-,-,358.4,-,NOVENA,1.3238,103.8568,BALESTIER,CENTRAL
9836,2013,Feb,320084,-,-,384.4,-,NOVENA,1.3236,103.8569,BALESTIER,CENTRAL
9837,2013,Feb,320085,-,292.4,-,524.1,NOVENA,1.3231,103.8562,BALESTIER,CENTRAL
9838,2013,Feb,320094,-,-,352.3,-,NOVENA,1.3221,103.8557,BALESTIER,CENTRAL
9839,2013,Feb,320095,-,-,411.2,-,NOVENA,1.3221,103.856,BALESTIER,CENTRAL
9840,2013,Feb,320096,-,-,324.4,-,NOVENA,1.3219999999999998,103.8555,BALESTIER,CENTRAL
9841,2013,Feb,320097,-,327.8,-,655.3,NOVENA,1.3218,103.8542,BALESTIER,CENTRAL
9842,2013,Feb,320098,-,289.3,-,724.7,NOVENA,1.3216,103.854,BALESTIER,CENTRAL
9843,2013,Feb,320099,-,-,363.7,-,NOVENA,1.3209,103.8537,BALESTIER,CENTRAL
9844,2013,Feb,320100,-,-,399.0,-,NOVENA,1.3208,103.8541,BALESTIER,CENTRAL
9845,2013,Feb,320101,-,-,-,419.5,NOVENA,1.3276,103.8445,BALESTIER,CENTRAL
9846,2013,Feb,320102,-,-,-,413.9,NOVENA,1.328,103.8442,BALESTIER,CENTRAL
9847,2013,Feb,320103,-,-,-,413.5,NOVENA,1.328,103.8447,BALESTIER,CENTRAL
9848,2013,Feb,320104,-,-,326.0,-,NOVENA,1.3284,103.8443,BALESTIER,CENTRAL
